Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-29 00:00:00+05:30,46.599998474121094,51.0,45.709999084472656,48.400001525878906,1899035,0.0,0.0,2024-08-29,46.099999618530276,1.3003484408185058,47.40034805934878,44.79965117771177,48.70069650016729,43.49930273689326,112.24903750502115,113.58182550349296,25465094,1464753.735421475,395175.1787946746,51.915126764239766,76.91138089718619,48.37000020345052,51.03000132242839,45.740000406901046,53.66000111897787,43.07999928792318,56.320002237955734,40.4499994913737,-0.26345042185857825,-29.612743002332266,0.3303283325816224,0.13227654198132074,0.19805179060030167,58.94783288986195,16.792238979386557,47.23399963378906,46.099999618530276,46.155199966430665,44.68190013885498,INDORAMA.NS,2024-08-29 10:50:01.799890
2,2024-08-28 00:00:00+05:30,47.43000030517578,47.91999816894531,46.0,46.16999816894531,137423,0.0,0.0,2024-08-28,46.15099945068359,1.410628400965525,47.56162785164912,44.740371049718064,48.97225625261464,43.32974264875254,36.40236309664322,13.253822564884326,23566059,101112.663878422,127780.5396379744,51.96525043231008,57.552590712458525,46.69666544596354,47.39333089192708,45.473332722981766,48.61666361490885,44.77666727701823,49.31332906087239,43.553334554036454,-0.3653517032042661,-41.74044750120405,0.17986525887302918,0.0827635943312453,0.09710166454178387,50.52626415517188,15.794097428170145,46.9359992980957,46.15099945068359,46.051599960327145,44.627400131225585,INDORAMA.NS,2024-08-29 10:50:01.799890
3,2024-08-27 00:00:00+05:30,47.29999923706055,48.290000915527344,46.77000045776367,46.869998931884766,122367,0.0,0.0,2024-08-27,46.27899951934815,1.524031657979848,47.803031177327995,44.7549678613683,49.32706283530784,43.23093620338845,78.50842449571074,44.8172309103263,23703482,91399.85911231795,134447.5085778625,51.971236604627755,66.51298011299171,47.31000010172526,47.849999745686844,46.32999928792317,48.83000055948893,45.789999643961586,49.370000203450516,44.8099988301595,-0.30142585604517136,-31.41595061372751,0.20412324118846215,0.05848817819579932,0.14563506299266282,53.739629227502746,16.33980590075786,46.875999450683594,46.27899951934815,45.99720001220703,44.59820014953613,INDORAMA.NS,2024-08-29 10:50:01.799890
4,2024-08-26 00:00:00+05:30,48.5,48.5,46.59000015258789,46.86000061035156,177533,0.0,0.0,2024-08-26,46.33349952697754,1.5652114639658012,47.89871099094334,44.76828806301174,49.463922454909145,43.203076599045936,90.957700049193,48.04255769776831,23581115,132576.83646784947,145209.42094424862,51.97593291674205,74.962909046959,47.31666692097982,48.04333368937175,46.13333384195964,49.22666676839193,45.40666707356771,49.95333353678386,44.22333399454753,-0.3175191285188902,-31.56341850949961,0.16314856399694122,0.022079412447633607,0.1410691515493076,53.70056890616347,16.30162509331513,46.59399948120117,46.33349952697754,45.91860000610352,44.5180001449585,INDORAMA.NS,2024-08-29 10:50:01.799890
5,2024-08-23 00:00:00+05:30,47.79999923706055,49.0,47.0099983215332,47.869998931884766,324017,0.0,0.0,2024-08-23,46.41549949645996,1.6356214434722633,48.05112093993222,44.7798780529877,49.686742383404486,43.14425660951543,154.48050378266734,86.47324564649608,23758648,247182.36564004025,148367.5670633484,51.982775205843886,71.61160258421954,47.959999084472656,48.90999984741211,46.91999816894531,49.95000076293945,45.96999740600586,50.900001525878906,44.929996490478516,-0.23107415008528093,-16.666685421327198,0.10920129586489935,-0.0131878754396933,0.12238917130459265,58.318757398893304,16.260507300684505,46.22999954223633,46.41549949645996,45.84620002746582,44.42840015411377,INDORAMA.NS,2024-08-29 10:50:01.799890
6,2024-08-22 00:00:00+05:30,46.400001525878906,47.79999923706055,46.04999923706055,46.90999984741211,157614,0.0,0.0,2024-08-22,46.283999633789065,1.6181580635724429,47.90215769736151,44.66584157021662,49.520315760933954,43.04768350664418,102.34738224583651,33.09416698905453,23434631,117827.4536406378,123663.86741917544,51.99283900182331,62.179940278602814,46.91999944051107,47.78999964396159,46.03999964396159,48.66999944051107,45.16999944051107,49.53999964396159,44.28999964396159,-0.23904039278345007,-21.17645324012217,-0.060991651756140186,-0.04378516826584146,-0.017206483490298727,54.89517362447438,15.888296446649605,45.42399978637695,46.283999633789065,45.736800079345706,44.33370018005371,INDORAMA.NS,2024-08-29 10:50:01.799890
7,2024-08-21 00:00:00+05:30,45.25,46.88999938964844,45.25,45.869998931884766,141024,0.0,0.0,2024-08-21,46.193999671936034,1.6315099953286905,47.825509667264726,44.56248967660734,49.45701966259342,42.93097968127865,34.859759676512034,-16.575421810158307,23277017,103087.97975091834,125122.97086380984,51.99889627757229,54.88606305934859,46.0033327738444,46.7566655476888,45.11666615804036,47.643332163492836,44.36333338419596,48.396664937337235,43.47666676839192,-0.2355238519625615,-53.85590668025361,-0.1834207180159808,-0.039483547393266774,-0.14393717062271405,50.83266400381924,16.13796260338031,44.837999725341795,46.193999671936034,45.6392000579834,44.27160018920898,INDORAMA.NS,2024-08-29 10:50:01.799890
8,2024-08-20 00:00:00+05:30,45.599998474121094,46.34000015258789,45.0,45.459999084472656,99100,0.0,0.0,2024-08-20,46.09749965667724,1.7070129590622543,47.8045126157395,44.39048669761499,49.51152557480175,42.683473738552735,5.024830379582517,-39.34551080166353,23135993,71794.1977573107,130631.71864203269,52.00543834306679,63.95356594802399,45.59999974568685,46.1999994913737,44.85999933878581,46.93999989827474,44.25999959309896,47.53999964396159,43.51999918619792,-0.23624841827496884,-63.097969086175674,-0.23496358816768748,-0.0034992547375882616,-0.2314643334300992,49.15627588318422,16.9553972705629,44.655999755859376,46.09749965667724,45.556800079345706,44.21440021514893,INDORAMA.NS,2024-08-29 10:50:01.799890
9,2024-08-19 00:00:00+05:30,43.900001525878906,45.75,43.900001525878906,45.040000915527344,130290,0.0,0.0,2024-08-19,46.03999977111816,1.7484818979615369,47.7884816690797,44.29151787315662,49.536963567041234,42.54303597519509,-46.838835650245386,-79.76816585877047,23036893,93518.11504835164,145341.09886321318,52.01035169468484,69.7178239503736,44.89666748046875,45.893333435058594,44.0433349609375,46.746665954589844,43.046669006347656,47.74333190917969,42.193336486816406,-0.23403344279056373,-67.88154798524867,-0.2570152537960766,0.05436682861993654,-0.3113820824160131,47.45202052240027,18.1846996128505,44.79000015258789,46.03999977111816,45.461600112915036,44.15780021667481,INDORAMA.NS,2024-08-29 10:50:01.799890
10,2024-08-16 00:00:00+05:30,44.099998474121094,44.63999938964844,43.5,43.84000015258789,80423,0.0,0.0,2024-08-16,45.964999771118165,1.824166523003067,47.78916629412123,44.1408332481151,49.6133328171243,42.31666672511203,-126.78111499053976,-133.8458034789514,22906603,56187.16067365069,158296.84481692855,52.01723758232796,61.15647698483074,43.993333180745445,44.48666636149089,43.34666697184245,45.13333257039388,42.85333379109701,45.62666575113933,42.206667582194015,-0.2585136790903983,-81.54898454308784,-0.2399904415787688,0.13221234922393982,-0.3722027908027086,42.322833896201594,19.275861546588107,44.94000015258789,45.964999771118165,45.36480010986328,44.11740020751953,INDORAMA.NS,2024-08-29 10:50:01.799890
