Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-21 00:00:00+05:30,402.0,409.1499938964844,393.25,394.45001220703125,223491,0.0,0.0,2025-01-21,408.92999877929685,15.987975737312118,424.917974516609,392.9420230419847,440.9059502539211,376.9540473046726,-11.307710448072118,-16.224546297920703,75570931,264975.9671154973,321566.1265720426,430.1824867422907,71.42656975435199,398.9500020345052,404.6500040690104,388.750010172526,414.84999593098956,383.0500081380208,420.54999796549475,372.85001627604163,-0.31441043855505335,-72.58062652186587,-3.15156757878367,-0.031701991613462877,-3.119865587170207,45.96892607152172,23.303491562191198,392.7200012207031,408.92999877929685,395.26099853515626,420.30399993896486,IOLCP.NS,2025-01-21 10:51:05.809053
2,2025-01-20 00:00:00+05:30,395.79998779296875,403.8999938964844,394.3500061035156,401.75,251370,0.0,0.0,2025-01-20,409.80499877929685,15.62863425580286,425.4336330350997,394.176364523494,441.0622672909026,378.5477302676911,-18.35368002835896,-7.675026715696418,75794422,303545.5034874734,335713.6664361789,430.215137094091,75.38097590758835,400.0,405.6499938964844,396.1000061035156,409.54998779296875,390.45001220703125,415.1999816894531,386.5500183105469,-0.3266720301598858,-62.342217099341326,-2.786609459207682,0.7482644051790889,-3.5348738643867708,48.74806181662804,24.600460560270708,392.80999755859375,409.80499877929685,395.52099853515625,420.78449981689454,IOLCP.NS,2025-01-21 10:51:05.809053
3,2025-01-17 00:00:00+05:30,390.04998779296875,392.0,386.3500061035156,389.79998779296875,126935,0.0,0.0,2025-01-17,410.74249877929685,15.682292874294479,426.42479165359134,395.06020590500236,442.10708452788583,379.3779130307079,-66.06219966883454,-36.997464016106235,75543052,148722.84403366753,343755.7071733552,430.2444216083286,70.5391163979915,389.3833312988281,392.4166564941406,386.76666259765625,395.0333251953125,383.73333740234375,398.066650390625,381.1166687011719,-0.4318092932485699,-79.1023982187669,-2.996069309070208,1.6319828712757816,-4.628052180345989,43.561478059467674,26.385326913512547,388.0399963378906,410.74249877929685,395.6889984130859,421.2779998779297,IOLCP.NS,2025-01-21 10:51:05.809053
4,2025-01-16 00:00:00+05:30,388.0,396.0,388.0,391.3999938964844,127952,0.0,0.0,2025-01-16,413.30499877929685,16.256786251009405,429.5617850303063,397.0482125282874,445.81857128131566,380.79142627727805,-73.5429412391476,-24.20545471752513,75669987,150529.7590850479,392513.9229582771,430.265443758071,77.67209507378467,391.7999979654948,395.5999959309896,387.5999959309896,399.7999979654948,383.7999979654948,403.5999959309896,379.5999959309896,-0.014372182943173703,-76.85835096404277,-2.0419512584430777,2.788995916362279,-4.830947174805356,44.116538045886706,27.55121701419674,391.9099975585938,413.30499877929685,395.8299987792969,421.88450012207034,IOLCP.NS,2025-01-21 10:51:05.809053
5,2025-01-15 00:00:00+05:30,396.0,396.0,382.3999938964844,386.20001220703125,160917,0.0,0.0,2025-01-15,414.0324996948242,15.534444448131287,429.5669441429555,398.4980552466929,445.1013885910868,382.9636107985616,-108.37330332781487,-30.777604236015808,75542035,186796.47817708927,453009.96392658434,430.2858177139193,74.68797323939503,388.2000020345052,394.000010172526,380.4000040690104,401.8000081380208,374.59999593098956,407.60001627604163,366.79999796549475,-0.027355804661101886,-84.15145103984447,-0.9470287302069096,3.996732710063618,-4.943761440270528,41.88168481498702,28.92125642226942,398.25999755859374,414.0324996948242,395.9089990234375,422.52050018310547,IOLCP.NS,2025-01-21 10:51:05.809053
6,2025-01-14 00:00:00+05:30,387.75,398.3999938964844,380.0,394.8999938964844,211820,0.0,0.0,2025-01-14,415.6849990844727,14.110504088406964,429.79550317287965,401.5744949960657,443.9060072612866,387.46399090765874,-127.21442759186672,-19.01212971888176,75702952,251425.06094307383,519563.3353639581,430.31490155109464,77.1204788607168,391.09999593098956,402.19999186197913,383.79999796549475,409.49998982747394,372.7000020345052,420.5999857584635,365.4000040690104,-0.032143885585839506,-71.94951632005184,0.981272229605338,5.232673070131249,-4.251400840525911,44.65614270135405,30.396683477116916,406.5799926757812,415.6849990844727,396.25299865722656,423.32450012207033,IOLCP.NS,2025-01-21 10:51:05.809053
7,2025-01-13 00:00:00+05:30,401.0,404.0,374.8999938964844,377.8999938964844,331826,0.0,0.0,2025-01-13,417.3625,13.490092114453814,430.85259211445384,403.8724078855462,444.3426842289076,390.3823157710924,-197.86439431604785,-32.50178483758979,75491132,376913.56696491555,586597.9039691791,430.34568245562264,72.90642490917574,385.59999593098956,396.29999796549475,367.19999186197913,414.7000020345052,356.49998982747394,425.4000040690104,338.0999857584635,-0.02033631135363145,-95.79242744800777,2.57839765222775,6.295523280262726,-3.7171256280349763,37.09506509718321,31.98560492079884,414.13999633789064,417.3625,396.37299865722656,423.74650024414063,IOLCP.NS,2025-01-21 10:51:05.809053
8,2025-01-10 00:00:00+05:30,423.0,423.1000061035156,405.3500061035156,409.1499938964844,309165,0.0,0.0,2025-01-10,419.20500030517576,9.83898994778872,429.0439902529645,409.36601035738704,438.8829802007532,399.5270204095983,-96.18972884485852,41.584053616540274,75822958,380213.33515338035,639018.988220245,430.4171880840034,71.81596562601787,412.53333536783856,419.7166646321615,401.9666646321615,430.28333536783856,394.78333536783856,437.4666646321615,384.2166646321615,0.010865806349748913,-90.69770569106055,6.2583779637333805,7.22480468727147,-0.9664267235380892,48.37652676826693,33.69675109091783,424.50999755859374,419.20500030517576,396.78499877929687,424.3030001831055,IOLCP.NS,2025-01-21 10:51:05.809053
9,2025-01-09 00:00:00+05:30,423.5,436.70001220703125,420.54998779296875,423.1499938964844,264333,0.0,0.0,2025-01-09,419.63500061035154,9.560402456352737,429.1954030667043,410.0745981539988,438.755805523057,400.5141956976461,39.72643682443346,82.42555760384562,76132123,336201.92613512446,703720.4014869612,430.4442384149635,79.51352282263453,426.7999979654948,433.05000813802087,416.89998372395837,442.9500223795573,410.6499735514323,449.20003255208337,400.74995930989587,0.03697450047541674,-67.0223201520728,7.7973924843165605,7.466411368155992,0.3309811161605687,55.383361555922995,34.964302909873155,427.8299987792969,419.63500061035154,396.4089990234375,424.22300018310546,IOLCP.NS,2025-01-21 10:51:05.809053
10,2025-01-08 00:00:00+05:30,433.29998779296875,434.1499938964844,417.0,427.79998779296875,411195,0.0,0.0,2025-01-08,418.62250061035155,10.218215814836435,428.84071642518796,408.40428479551514,439.05893224002443,398.18606898067867,44.6922875504154,85.7925229133577,76396456,528741.0952673474,795600.0203249203,430.4521794353814,87.5621071824869,426.31666056315106,435.6333211263021,418.48332722981775,443.46665445963544,409.1666666666667,452.7833150227865,401.33333333333337,0.0882723233864997,-58.00196662189178,8.270867249543187,7.383666089115849,0.8872011604273382,57.97308780910877,34.88039005136522,428.6299987792969,418.62250061035155,395.7189990234375,423.9000003051758,IOLCP.NS,2025-01-21 10:51:05.809053
