Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-26 00:00:00+05:30,61.599998474121094,61.75,60.599998474121094,61.40999984741211,10332866,0.0,0.0,2024-09-26,61.72849998474121,1.3284713682281473,63.05697135296936,60.40002861651306,64.3854427211975,59.07155724828492,-9.232770848724906,-75.8605326244618,2700041202,31827786.47060115,76847738.03540573,47.66288959682724,54.8216318586361,61.2533327738444,61.906667073567704,60.7566655476888,62.403334299723305,60.10333124796549,63.05666859944661,59.60666402180989,-0.17425217274733362,-54.53333536783854,-0.561490505466935,-0.7399235189008636,0.1784330134339286,46.18162122234803,20.03094996073012,62.28200073242188,61.72849998474121,63.5860139465332,65.59768718719482,IRB.NS,2024-09-26 10:51:53.592909
2,2024-09-25 00:00:00+05:30,62.13999938964844,62.650001525878906,61.220001220703125,61.529998779296875,8341514,0.0,0.0,2024-09-25,61.86649990081787,1.4328932611124408,63.29939316193031,60.43360663970543,64.73228642304275,59.00071337859299,34.4549460388894,-54.246472380202604,2710374068,25744136.626992617,88102725.92660685,47.65426355562234,53.693577190298896,61.800000508626304,62.379999796549484,60.9499994913737,63.230000813802086,60.37000020345052,63.810000101725265,59.51999918619792,-0.2083304044571023,-52.933349609375,-0.5825216688545467,-0.7845317722593457,0.20201010340479897,46.61258750887332,20.436085858989784,61.80200042724609,61.86649990081787,63.77522361755371,65.67895332336425,IRB.NS,2024-09-26 10:51:53.592909
3,2024-09-24 00:00:00+05:30,63.150001525878906,63.349998474121094,61.93000030517578,62.2400016784668,10672161,0.0,0.0,2024-09-24,62.105499839782716,1.7396233390027518,63.84512317878547,60.36587650077996,65.58474651778822,58.626253161777214,91.08527253142606,-26.70303593856216,2718715582,33317200.79110126,103692373.2515104,47.64723120928951,50.20942852384598,62.506666819254555,63.08333333333333,61.663335164388016,63.92666498819987,61.08666865030924,64.50333150227864,60.243336995442704,-0.1939597895749031,-43.466644287109375,-0.6124399218037908,-0.8350342981105454,0.2225943763067546,49.13158244406891,21.203067486139233,61.64400100708008,62.105499839782716,63.90651893615723,65.75852096557617,IRB.NS,2024-09-26 10:51:53.592909
4,2024-09-23 00:00:00+05:30,64.12000274658203,64.30000305175781,62.599998474121094,63.150001525878906,18659371,0.0,0.0,2024-09-23,62.28249969482422,1.9243149240108368,64.20681461883505,60.35818477081338,66.1311295428459,58.433869846802544,143.17377321100994,4.627738895149069,2729387743,59104004.55814384,121286166.36661267,47.637762927443426,49.72034862867177,63.3500010172526,64.10000356038411,62.39999898274739,65.05000559488931,61.64999643961588,65.80000813802083,60.69999440511067,-0.18695193374027208,-31.33331298828125,-0.7113894869100292,-0.8906828921872341,0.17929340527720483,52.5087625841616,22.419346866267034,61.29800033569336,62.28249969482422,64.02680938720704,65.81404064178467,IRB.NS,2024-09-26 10:51:53.592909
5,2024-09-20 00:00:00+05:30,59.400001525878906,65.5,59.0099983215332,63.08000183105469,130358748,0.0,0.0,2024-09-20,62.41549949645996,2.073563845627269,64.48906334208722,60.34193565083269,66.5626271877145,58.26837180520542,132.60403680399082,-30.93461969300413,2710728372,412456754.4851221,136831706.81872988,47.62014537836282,48.62256912999148,62.53000005086263,66.05000178019206,59.560000101725265,69.02000172932944,56.039998372395836,72.54000345865886,53.06999842325847,-0.1583100375951258,-32.266642252604164,-0.9169174834667828,-0.9355062435065353,0.018588760039752517,52.27443874013217,24.10945228656894,60.71399993896485,62.41549949645996,64.12450653076172,65.86993129730224,IRB.NS,2024-09-26 10:51:53.592909
6,2024-09-19 00:00:00+05:30,61.0,61.099998474121094,58.0,59.0099983215332,30392633,0.0,0.0,2024-09-19,62.49699935913086,2.1322584255143235,64.62925778464519,60.36474093361654,66.76151621015951,58.232482508102215,-148.37324521965888,-152.02696041071175,2580369624,89958140.62217616,67925444.9021318,47.49649960873318,22.47121037363746,59.369998931884766,60.73999786376953,57.63999938964844,62.46999740600586,56.27000045776367,63.839996337890625,54.540000915527344,-0.30299875001272863,-83.76208804957388,-1.1592690017883314,-0.9401534335164734,-0.21911556827185796,34.9444088862942,25.929565816124835,60.385999298095705,62.49699935913086,64.22100784301757,65.92502658843995,IRB.NS,2024-09-26 10:51:53.592909
7,2024-09-18 00:00:00+05:30,60.45000076293945,61.189998626708984,60.20000076293945,60.7400016784668,17044222,0.0,0.0,2024-09-18,62.81349925994873,2.0558517982506173,64.86935105819934,60.75764746169811,66.92520285644996,58.70179566344749,-51.50181317501117,-109.0394723570127,2610762257,51927632.66153306,62417270.972120695,47.47499062759454,21.988844803786975,60.710000356038414,61.219999949137375,60.23000208536784,61.699998219807945,59.72000249226888,62.209997812906906,59.24000422159831,-0.26190493207320786,-71.47884557136132,-1.0511540242806348,-0.8853745414485088,-0.16577948283212596,40.79063711490943,24.642860052752894,60.59399948120117,62.81349925994873,64.39112113952636,66.01085250854493,IRB.NS,2024-09-26 10:51:53.592909
8,2024-09-17 00:00:00+05:30,60.47999954223633,60.90999984741211,59.849998474121094,60.5099983215332,23198960,0.0,0.0,2024-09-17,63.01199913024902,2.03668049201919,65.04867962226821,60.97531863822984,67.0853601142874,58.93863814621064,-81.69461646538478,-125.51991534755466,2593718035,70411273.46369816,65039680.5497676,47.46107879871704,16.247092121465386,60.42333221435547,60.996665954589844,59.93666458129883,61.483333587646484,59.36333084106445,62.05666732788086,58.87666320800781,-0.2702414496022331,-80.82760471338484,-1.0671866333168083,-0.8439296707404772,-0.2232569625763311,39.541962853527174,24.326333509317593,60.41599884033203,63.01199913024902,64.51724884033203,66.07738437652588,IRB.NS,2024-09-26 10:51:53.592909
9,2024-09-16 00:00:00+05:30,61.75,61.75,60.099998474121094,60.22999954223633,15808495,0.0,0.0,2024-09-16,63.22449932098389,1.982896087010079,65.20739540799397,61.24160323397381,67.19029149500405,59.25870714696373,-77.32803579215356,-120.8061295516332,2570519075,47758417.54350828,63696782.32128495,47.442425189082115,23.620252952477372,60.69333267211914,61.28666687011719,59.63666534423828,62.34333419799805,59.043331146240234,62.936668395996094,57.986663818359375,-0.3049224015292359,-85.73264472677117,-1.0488918910466793,-0.7881154300963944,-0.26077646095028495,38.065449866603345,23.693378061062784,60.79999923706055,63.22449932098389,64.65616401672364,66.15369338989258,IRB.NS,2024-09-26 10:51:53.592909
10,2024-09-13 00:00:00+05:30,60.349998474121094,61.869998931884766,60.25,61.439998626708984,19608547,0.0,0.0,2024-09-13,63.448499298095705,1.877033238261101,65.3255325363568,61.571466059834606,67.20256577461791,59.6944328215735,-62.85077169676965,-108.15811632159829,2586327570,60428686.29764118,67681373.51572911,47.42995647195338,28.59382425875522,61.186665852864586,62.12333170572917,60.503332773844406,62.80666478474935,59.56666692097982,63.74333063761394,58.88333384195964,-0.2212640126473517,-70.17996245123146,-0.9820011383451401,-0.7229213148588232,-0.259079823486317,42.20116190530573,23.141759813602235,61.12999954223633,63.448499298095705,64.80327514648438,66.21984218597412,IRB.NS,2024-09-26 10:51:53.592909
