Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-10-15 00:00:00+05:30,37.650001525878906,37.72999954223633,36.86000061035156,37.43000030517578,603840,0.0,0.0,2025-10-15,36.9170000076294,1.4493267417879603,38.36632674941736,35.467673265841434,39.81565349120532,34.01834652405348,47.9811934609469,35.12527626364491,249128747,323891.56696847506,2317673.50714082,65.37898572541489,89.41643266452742,37.34000015258789,37.81999969482422,36.95000076293945,38.209999084472656,36.470001220703125,38.689998626708984,36.08000183105469,0.20649036295150672,-47.59257349294776,-0.06583243312040565,-0.29153871009302784,0.2257062769726222,52.30916463005765,21.14641778168369,37.694000244140625,36.9170000076294,36.79379997253418,44.239599800109865,JINDWORLD.NS,2025-10-15 11:17:26.088787
2,2025-10-14 00:00:00+05:30,36.79999923706055,39.18000030517578,36.70000076293945,37.630001068115234,4351208,0.0,0.0,2025-10-14,36.9795000076294,1.4987238049796028,38.478223812609,35.48077620264979,39.9769476175886,33.982052397670195,90.43709324676547,73.26246308585635,249732587,2346399.764620504,2816118.9921839065,65.39654668763063,89.29315245438677,37.83666737874349,38.97333399454753,36.4933344523112,40.31666692097982,35.356667836507164,41.45333353678386,34.013334910074875,0.20666049589985291,-43.88885670729554,-0.12550417488877486,-0.3479652793361834,0.22246110444740852,53.387643867868455,20.548508365203944,37.19599990844726,36.9795000076294,36.835999984741214,44.47089981079102,JINDWORLD.NS,2025-10-15 11:17:26.088787
3,2025-10-13 00:00:00+05:30,37.70000076293945,37.81999969482422,36.599998474121094,36.790000915527344,958501,0.0,0.0,2025-10-13,37.00900001525879,1.5178858990745834,38.52688591433338,35.49111411618421,40.04477181340796,33.97322821710962,67.12645473752728,20.467811122889227,245381379,505336.07221073465,2933548.799074757,65.52283491488102,87.23471161244947,37.06999969482422,37.540000915527344,36.31999969482422,38.290000915527344,35.849998474121094,38.76000213623047,35.099998474121094,0.24548045099686827,-59.44441069301727,-0.21969755312581896,-0.4035805554480355,0.18388300232221655,49.311923065113824,19.90460591668729,36.67399978637695,37.00900001525879,36.90179992675781,44.70069980621338,JINDWORLD.NS,2025-10-15 11:17:26.088787
4,2025-10-10 00:00:00+05:30,38.70000076293945,38.869998931884766,37.70000076293945,38.099998474121094,3346610,0.0,0.0,2025-10-10,36.977000045776364,1.5294479961861016,38.506448041962464,35.447552049590264,40.035896038148564,33.918104053404164,173.81847867535512,107.63558834261302,246339880,1827208.0259255052,3540601.980790762,65.55165117000298,86.77652859058657,38.22333272298177,38.74666468302409,37.57666651407878,39.393330891927086,37.05333455403646,39.916662851969406,36.40666834513347,0.25298506582950314,-35.18520349991311,-0.2542375821573728,-0.4495513060285896,0.19531372387121682,56.46117512600487,19.982648533879797,36.35999984741211,36.977000045776364,36.98619987487793,44.95459980010986,JINDWORLD.NS,2025-10-15 11:17:26.088787
5,2025-10-09 00:00:00+05:30,35.220001220703125,40.0,34.7400016784668,38.52000045776367,33506994,0.0,0.0,2025-10-09,36.90450019836426,1.5076243126220124,38.412124510986274,35.39687588574225,39.91974882360829,33.889251573120234,189.58293048091764,77.2885435544284,249686490,18496079.480464336,3968950.4695070763,65.64811478178902,83.76324421054585,37.753334045410156,40.766666412353516,35.50666809082031,43.01333236694336,32.49333572387695,46.02666473388672,30.24666976928711,0.27724995069914143,-27.407391185791244,-0.4236221124887152,-0.4983797369963938,0.07475762450767864,59.00808453825483,18.982683481204724,35.97200012207031,36.90450019836426,37.04519989013672,45.194099807739256,JINDWORLD.NS,2025-10-15 11:17:26.088787
6,2025-10-08 00:00:00+05:30,35.099998474121094,35.599998474121094,34.75,34.939998626708984,394195,0.0,0.0,2025-10-08,36.80400009155274,1.460523977811644,38.264524069364384,35.34347611374109,39.725048047176024,33.88295213592945,-89.04942647645143,-123.73952403447109,216179496,197374.90155429934,337168.216767761,66.63735046460994,24.362616887603963,35.096665700276695,35.44333140055339,34.593332926432296,35.94666417439779,34.2466672261556,36.293329874674484,33.7433344523112,-0.01161730811277331,-93.57277705586186,-0.6754309548248756,-0.5170691431233134,-0.15836181170156216,36.245344240479355,17.90579803986234,35.405999755859376,36.80400009155274,37.069999847412106,45.44549980163574,JINDWORLD.NS,2025-10-15 11:17:26.088787
7,2025-10-07 00:00:00+05:30,35.220001220703125,35.52000045776367,34.900001525878906,35.02000045776367,422286,0.0,0.0,2025-10-07,36.869500160217285,1.400678124603103,38.27017828482039,35.46882203561418,39.67085640942349,34.06814391101108,-95.82979129335203,-123.44700411451905,216573691,211924.3024955729,372116.5455711264,66.65095441821377,35.659170319085376,35.14666748046875,35.393333435058594,34.77333450317383,35.766666412353516,34.526668548583984,36.01333236694336,34.15333557128906,-0.015089736245672652,-92.06045536949195,-0.6350128384722282,-0.4774786901979229,-0.15753414827430534,36.667851398157914,18.255410667854733,35.48000030517578,36.869500160217285,37.1789998626709,45.713899803161624,JINDWORLD.NS,2025-10-15 11:17:26.088787
8,2025-10-06 00:00:00+05:30,36.52000045776367,36.52000045776367,34.86000061035156,35.220001220703125,847181,0.0,0.0,2025-10-06,36.9310001373291,1.340926061023926,38.27192619835303,35.59007407630517,39.61285225937695,34.24914801528125,-73.4750441862958,-97.137753523992,216995977,427586.0277450091,412164.60634001467,66.66550397433316,45.57411225508642,35.53333409627279,36.206667582194015,34.546667734781906,37.1933339436849,33.87333424886068,37.866667429606125,32.886667887369796,-0.028587913578711176,-88.27972326503416,-0.5815229631931942,-0.4380951531293465,-0.1434278100638477,37.687702646634435,18.78107085822745,35.54000015258789,36.9310001373291,37.28719985961914,45.98219978332519,JINDWORLD.NS,2025-10-15 11:17:26.088787
9,2025-10-03 00:00:00+05:30,35.689998626708984,36.5,35.52000045776367,36.15999984741211,613860,0.0,0.0,2025-10-03,36.98500003814697,1.289142848219766,38.27414288636674,35.6958571899272,39.5632857345865,34.40671434170744,-46.61686722414847,-58.89723964212499,217843158,318094.15316760517,408309.250988766,66.6945486460155,68.7326653528747,36.06000010172526,36.599999745686844,35.620000203450516,37.039999643961586,35.08000055948893,37.57999928792317,34.64000066121419,-0.03139241619622277,-70.51037611898968,-0.523925804630089,-0.4022382006133845,-0.12168760401670448,42.894438298616684,19.34716644785961,35.68199996948242,36.98500003814697,37.40919982910156,46.24849975585938,JINDWORLD.NS,2025-10-15 11:17:26.088787
10,2025-10-01 00:00:00+05:30,35.099998474121094,35.900001525878906,34.959999084472656,35.689998626708984,521467,0.0,0.0,2025-10-01,37.026500129699706,1.2744627542806293,38.30096288398033,35.75203737541908,39.57542563826097,34.477574621138444,-89.57116962784215,-101.8511349259186,217229298,266705.08307020756,430863.02544405626,66.7149981755574,65.64379917583595,35.516666412353516,36.073333740234375,35.133331298828125,36.456668853759766,34.576663970947266,37.013336181640625,34.193328857421875,-0.07036160112386106,-79.39508574774544,-0.5348213405451858,-0.37181629960920837,-0.16300504093597745,38.98044361726145,20.589018414282684,35.78600006103515,37.026500129699706,37.5147998046875,46.501299743652346,JINDWORLD.NS,2025-10-15 11:17:26.088787
