Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-07 00:00:00+05:30,469.0,484.04998779296875,464.5,479.54998779296875,54268,0.0,0.0,2024-08-07,530.8899978637695,37.29226758573607,568.1822654495056,493.59773027803345,605.4745330352416,456.3054626922974,-90.72917253716743,-99.54592192426338,6095241,66823.00146832313,73789.92713500094,414.0355262460572,23.035427934924797,476.0333251953125,487.566650390625,468.01666259765625,495.58331298828125,456.48333740234375,507.11663818359375,448.4666748046875,-0.12399790715589798,-82.17136123647113,-12.108503861890199,-0.8274377955291605,-11.281066066361038,40.563740455576905,34.92029127225692,480.7499938964844,530.8899978637695,502.15699951171877,429.46300018310546,JKPAPER.BO,2024-08-07 11:07:38.794415
2,2024-08-06 00:00:00+05:30,475.6000061035156,482.6499938964844,453.8500061035156,461.8999938964844,39108,0.0,0.0,2024-08-06,535.0199996948243,35.85336036177993,570.8733600566042,499.1666393330443,606.7267204183842,463.3132789712644,-144.10632848220592,-110.39060378155594,6040973,46383.32108127132,75531.65855167038,413.94089456632,28.58653775448586,466.1333312988281,478.4166564941406,449.6166687011719,494.9333190917969,437.3333435058594,507.2166442871094,420.8166809082031,-0.18731181432954,-94.4155476005434,-10.73915669375151,1.9928287210610995,-12.73198541481261,34.9511962709239,34.62980520266501,486.04999389648435,535.0199996948243,500.1629998779297,428.3865002441406,JKPAPER.BO,2024-08-07 11:07:38.794415
3,2024-08-05 00:00:00+05:30,480.04998779296875,492.3999938964844,469.6000061035156,471.0,83220,0.0,0.0,2024-08-05,540.4024993896485,32.191993370544445,572.5944927601929,508.21050601910406,604.7864861307373,476.0185126485596,-142.93031513179224,-83.86435609022993,6080081,100646.08748596786,82818.74291927012,413.8909205232331,32.453081326558745,477.6666666666667,485.73332722981775,462.933339436849,500.46665445963544,454.86667887369794,508.5333150227865,440.13335164388025,-0.1811178588506411,-98.90966202255971,-7.0850058948331025,5.175825074764251,-12.260830969597354,36.60610410643249,34.21986945424148,497.9199951171875,540.4024993896485,498.49400024414064,427.5155001831055,JKPAPER.BO,2024-08-07 11:07:38.794415
4,2024-08-02 00:00:00+05:30,491.8999938964844,501.5,485.0,497.6499938964844,21685,0.0,0.0,2024-08-02,545.6399993896484,28.63038049555321,574.2703798852017,517.0096188940952,602.9007603807548,488.37923839854204,-106.67191240730473,-48.96496791883011,6163301,27709.69259055646,78361.9067775957,413.76400790950345,37.327961546438274,494.71666463216144,504.4333292643229,487.9333292643229,511.21666463216144,478.21666463216144,520.9333292643229,471.4333292643229,-0.1837959789230292,-88.80531513585454,-3.1954497019453356,8.241032817163589,-11.436482519108925,42.01612441526719,34.26366789873088,507.2699951171875,545.6399993896484,496.6540002441406,426.57100006103514,JKPAPER.BO,2024-08-07 11:07:38.794415
5,2024-08-01 00:00:00+05:30,503.95001220703125,509.79998779296875,490.04998779296875,493.6499938964844,97791,0.0,0.0,2024-08-01,550.1849990844727,27.814575024524327,577.999574108997,522.3704240599484,605.8141491335214,494.55584903542405,-107.76826888606024,-36.40123116256269,6141616,123955.64267557027,91024.9603243555,413.7154038754029,42.37853011569118,497.8333231608073,505.61665852864587,485.86665852864587,517.5833231608074,478.0833231608073,525.3666585286459,466.11665852864587,-0.23421044074292124,-96.57567597643552,-0.7918438280996725,11.10015344694082,-11.891997275040492,40.79665840560223,34.849065542529225,511.88999633789064,550.1849990844727,494.08800048828124,425.32850006103513,JKPAPER.BO,2024-08-07 11:07:38.794415
6,2024-07-31 00:00:00+05:30,525.8499755859375,525.8499755859375,503.0,506.04998779296875,69831,0.0,0.0,2024-07-31,555.5424987792969,26.64678839427623,582.1892871735731,528.8957103850207,608.8360755678493,502.24892199074446,-85.65628514371383,-10.344517555415385,6239407,90738.15788914464,82792.28973655181,413.5059958276877,46.037171224095424,511.63332112630206,520.2666422526041,497.41666666666663,534.4832967122395,488.78334554036456,543.1166178385416,474.56669108072913,-0.2848783795931831,-85.0995118881585,2.691437083537494,14.073152765700941,-11.381715682163447,43.42562809529662,35.666678047331565,517.2199951171875,555.5424987792969,491.65600036621095,424.0935000610352,JKPAPER.BO,2024-08-07 11:07:38.794415
7,2024-07-30 00:00:00+05:30,524.9500122070312,527.0,517.7000122070312,521.25,51194,0.0,0.0,2024-07-30,561.9199981689453,29.308689546065487,591.2286877150108,532.6113086228798,620.5373772610762,503.3026190768143,-76.84860714951344,7.360966239554041,6309238,68519.37774703272,80805.82269840362,413.33254777745725,48.51752401136357,521.9833374023438,526.2666625976562,516.9666748046875,531.2833251953125,512.683349609375,535.566650390625,507.66668701171875,0.40429832050005476,-71.03193768708083,5.8891013202444356,16.9185816862418,-11.029480365997365,46.86301512211176,37.04719489087423,528.7900024414063,561.9199981689453,489.07500061035154,422.7615002441406,JKPAPER.BO,2024-08-07 11:07:38.794415
8,2024-07-29 00:00:00+05:30,520.75,529.8499755859375,512.5999755859375,517.75,23021,0.0,0.0,2024-07-29,562.6049987792969,28.455813623235045,591.060812402532,534.1491851560619,619.516626025767,505.69337153282686,-107.81725243122551,8.667623352874962,6258044,30605.013163188298,83877.43393624634,413.18406338113033,41.65466829235822,520.066650390625,527.5333251953125,510.2833251953125,537.316650390625,502.816650390625,544.7833251953125,493.0333251953125,0.4015327621865941,-74.2711791451236,8.396880825332119,19.67595177774114,-11.279070952409022,45.94820230540597,39.16303300907897,535.6200073242187,562.6049987792969,485.64800048828124,421.2320001220703,JKPAPER.BO,2024-08-07 11:07:38.794415
9,2024-07-26 00:00:00+05:30,521.5499877929688,533.3499755859375,518.0499877929688,520.75,52650,0.0,0.0,2024-07-26,563.8024993896485,26.931981227671642,590.7344806173201,536.8705181619769,617.6664618449918,509.93853693430515,-141.82614121555895,16.21255016039778,6281065,70400.53059601644,97195.53912951084,413.1193262757837,41.348273152634555,524.0499877929688,530.0499877929688,514.75,539.3499755859375,508.75,545.3499755859375,499.45001220703125,0.3603522804014914,-71.49468646680123,11.825070027674201,22.495719515843398,-10.670649488169197,46.586560603474396,41.441627905607156,545.6400024414063,563.8024993896485,482.1960003662109,419.7145001220703,JKPAPER.BO,2024-08-07 11:07:38.794415
10,2024-07-25 00:00:00+05:30,489.95001220703125,529.25,489.95001220703125,520.2999877929688,93634,0.0,0.0,2024-07-25,565.5199981689453,25.073073017027028,590.5930711859723,540.4469251519183,615.6661442029994,515.3738521348913,-269.5349113347392,7.789375633468126,6228415,125093.76692767609,103894.29126288442,412.96671428629736,31.718486077992864,513.1666666666666,536.383321126302,497.08333333333326,552.4666544596354,473.8666788736979,575.6833089192708,457.7833455403645,0.3836752189374343,-71.9111716661272,15.739568778738203,25.163381887885695,-9.423813109147492,46.48300006044389,44.12386413348197,551.7300048828125,565.5199981689453,478.88000061035154,418.2525,JKPAPER.BO,2024-08-07 11:07:38.794415
