Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-21 00:00:00+05:30,475.5,482.79998779296875,469.0,478.1000061035156,660959,0.0,0.0,2024-08-21,490.4200775146484,23.335702785959107,513.7557803006075,467.08437472868934,537.0914830865667,443.7486719427302,-54.07854362539277,-90.72754514722652,129582129,795212.6073173182,888582.9144843905,415.58708054305566,40.806140670968375,476.6333312988281,484.26666259765625,470.4666748046875,490.4333190917969,462.8333435058594,498.066650390625,456.66668701171875,-0.16979509135291912,-47.73446193878524,-10.874266438875736,-10.319158449480899,-0.5551079893948376,44.024233213855965,27.625368926903906,480.0214782714844,490.4200775146484,514.9385845947265,437.73039093017576,JKPAPER.NS,2024-08-21 10:49:59.949203
2,2024-08-20 00:00:00+05:30,486.8500061035156,486.8500061035156,474.5,475.29998779296875,1073932,5.0,0.0,2024-08-20,493.9708938598633,26.544744529678674,520.515638389542,467.4261493301846,547.0603829192206,440.88140480050595,22.129421683802555,-92.02666330198991,128921170,1284501.3745884902,911925.4912761585,415.5119946873175,39.66480265968666,478.8833312988281,483.26666259765625,470.9166564941406,491.23333740234375,466.5333251953125,495.6166687011719,458.566650390625,-0.18751479910811517,-63.43406449337958,-11.236215148635551,-10.180381452132186,-1.055833696503365,42.98399174978256,28.216839667550484,479.55523681640625,493.9708938598633,513.4111535644531,436.20301025390626,JKPAPER.NS,2024-08-21 10:49:59.949203
3,2024-08-19 00:00:00+05:30,479.0847974611557,495.9121560496674,477.00611771163096,487.3500061035156,775262,0.0,0.0,2024-08-19,498.32490692138674,30.20973555739856,528.5346424787853,468.11517136398817,558.7443780361839,437.9054358065896,128.18571141243248,-80.14332506424799,129995102,950778.7355519384,818781.5204480754,415.3950843412982,47.809275691096275,486.7560932882713,496.50606886491164,477.60003052687523,505.6621316263077,467.8500549502349,515.412107202948,458.6939921888388,-0.09311178329022671,-47.85568976758923,-11.253614115416042,-9.916423028006344,-1.337191087409698,46.43223616222321,29.17762207420693,481.4901184082031,498.32490692138674,511.7694696044922,434.7155078125,JKPAPER.NS,2024-08-21 10:49:59.949203
4,2024-08-16 00:00:00+05:30,482.05433921587434,487.8944165447192,472.6508151449281,476.9071350097656,582142,0.0,0.0,2024-08-16,501.21030578613284,31.819355069207102,533.0296608553399,469.3909507169257,564.8490159245471,437.57159564771865,26.774523385951056,-97.76787262504256,129219840,698638.8632684135,785782.2166721097,415.29336941909975,40.3501550988301,479.15078889980435,485.6507626546806,470.4071612548895,494.39439029959544,463.90718750001326,500.8943640544717,455.1635598550984,-0.17936385512447586,-63.93762792365885,-12.292124988084026,-9.582125256153919,-2.7099997319301075,42.73652733728753,30.359804818305292,480.2924011230469,501.21030578613284,509.6452624511719,433.1787741088867,JKPAPER.NS,2024-08-21 10:49:59.949203
5,2024-08-14 00:00:00+05:30,478.09494610992607,484.82587736754004,468.44396117292445,482.45025634765625,357620,0.0,0.0,2024-08-14,506.4391616821289,35.94103327453562,542.3801949566645,470.49812840759324,578.3212282312002,434.55709513305766,2.5341099213451,-101.15069596675701,129801982,434174.51447102684,807568.0550230336,415.2278992313506,39.52520357576666,478.5733649627069,488.7027687524893,472.3208525578737,494.9552811573225,462.1914487680913,505.0846849471049,455.9389363632581,-0.11162416624046306,-57.75809822732972,-12.407024709947507,-8.904625323171391,-3.5023993867761156,44.24049604492828,30.998293535523537,479.3916442871094,506.4391616821289,507.35377197265626,431.78408294677735,JKPAPER.NS,2024-08-21 10:49:59.949203
6,2024-08-13 00:00:00+05:30,487.3499926795754,493.9324531987076,472.25486259684936,475.768798828125,468056,0.0,0.0,2024-08-13,511.0493637084961,38.52282810554719,549.5721918140433,472.5265356029489,588.0950199195905,434.0037074974017,-3.234552130776763,-100.37829508571062,129444362,560381.4635609454,900916.4401610352,415.1839899810264,33.421249829845706,480.652038207894,489.04921381893865,467.3716232170804,502.32962880975225,458.97444760603577,510.7268044207969,445.69403261522217,-0.08890503686370649,-66.30781921368641,-12.912059414247608,-8.029025476477361,-4.8830339377702465,41.95332341875331,31.43761472579845,477.8078918457031,511.0493637084961,505.31865173339844,430.3354452514648,JKPAPER.NS,2024-08-21 10:49:59.949203
7,2024-08-12 00:00:00+05:30,480.0746526776426,489.67615781425997,465.57343467437596,484.9743957519531,632733,0.0,0.0,2024-08-12,515.0904037475586,38.86464511299689,553.9550488605555,476.22575863456177,592.8196939735524,437.36111352156485,-23.217931717043374,-100.69725193546353,129912418,772199.0857599942,986050.1843110574,415.1321513546228,33.23293148451326,480.074662746863,494.57589081935004,470.47316767946603,504.177385886747,455.971939606979,518.6786139592341,446.370444539582,-0.07768979096070168,-68.49492895045047,-12.704997281249973,-6.808266992034799,-5.896730289215174,44.278587514827585,32.09150165760629,473.78912963867185,515.0904037475586,503.43497802734373,428.9912365722656,JKPAPER.NS,2024-08-21 10:49:59.949203
8,2024-08-09 00:00:00+05:30,476.7091681554545,491.95276904198397,470.2751782182857,481.3614196777344,882903,0.0,0.0,2024-08-09,518.5499084472656,39.12140278341947,557.6713112306851,479.4285056638461,596.7927140141045,440.30710288042667,-29.40707545443208,-92.93698167457235,129279685,1069483.9189907794,1039512.9589488232,415.0512728284453,32.87648170324057,481.19645564600137,492.11773307371703,470.44014225001877,502.87404646969964,459.5188648223031,513.7953238974153,448.7625514263205,-0.09983859352291423,-72.30573372694549,-13.154006864361065,-5.3340844197310044,-7.819922444630061,43.13138131970087,32.47679762822935,470.0574096679687,518.5499084472656,501.25929870605466,427.5272561645508,JKPAPER.NS,2024-08-21 10:49:59.949203
9,2024-08-08 00:00:00+05:30,476.1152682017131,483.7370839545346,470.17620040709716,472.4033508300781,721825,0.0,0.0,2024-08-08,521.4823226928711,38.37814416844916,559.8604668613202,483.1041785244219,598.2386110297695,444.7260343559728,-61.35347335879633,-97.41505160068526,128396782,858094.0210600694,1032020.2189383341,414.94395055323156,25.386031915756632,475.4388783972366,480.701556387376,467.14067283993853,488.99976194467405,461.8779948497991,494.2624399348135,453.57978929250106,-0.13533536295390292,-80.6020054138998,-13.173748658695956,-3.3791038085734892,-9.794644850122467,40.298552362420864,33.092696201316734,472.2647705078125,521.4823226928711,499.1657775878906,426.2548110961914,JKPAPER.NS,2024-08-21 10:49:59.949203
10,2024-08-07 00:00:00+05:30,469.1863393540726,479.0847853320066,459.68382517372396,474.531494140625,749406,0.0,0.0,2024-08-07,525.3303436279297,37.0328739755075,562.3632176034372,488.29746965242214,599.3960915789446,451.26459567691467,-90.29771874237365,-99.80263469581686,129118607,894895.2320804399,1075501.7684079001,414.8678189561323,17.492866236566996,471.1000348821185,482.51624459051305,463.1152844322304,490.50099504040116,451.69907472383585,501.9172047487957,443.71432427394774,-0.11403100621120867,-82.51122419604168,-12.117187832223863,-0.9304425960428724,-11.18674523618099,40.746601844510735,33.165002680751634,475.54114990234376,525.3303436279297,497.0890838623047,425.14222564697263,JKPAPER.NS,2024-08-21 10:49:59.949203
11,2024-08-06 00:00:00+05:30,469.9782247705948,477.1545984378,449.43894841273163,455.67498779296875,987439,0.0,0.0,2024-08-06,529.4604705810547,35.64963566006597,565.1101062411207,493.81083492098867,600.7597419011865,458.16119926092273,-145.04264184037373,-111.67139176236492,128369201,1132284.21710686,1120653.402489765,414.7856331305094,22.94658666695784,460.75617821450015,472.0734080162687,444.3577579912003,488.47182823956854,433.04052818943177,499.78905804133706,416.6421079661319,-0.18947394564974981,-95.65366161694834,-10.790465920851773,1.8662437130023752,-12.656709633854149,34.78502316188431,32.90187968172413,480.7873291015625,529.4604705810547,495.1272119140625,424.0791326904297,JKPAPER.NS,2024-08-21 10:49:59.949203
