Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-02-04 00:00:00+05:30,749.5999755859375,754.7000122070312,737.7999877929688,744.9000244140625,742,0.0,0.0,2025-02-04,761.4050048828125,22.54304828220738,783.9480531650198,738.8619566006051,806.4911014472273,716.3189083183977,-14.777431313167362,-83.14319243216947,348741,1301.8863125836813,1232.5247152772513,740.0935891251412,20.744214580099353,745.8000081380209,753.800028483073,736.9000040690105,762.7000325520834,728.8999837239584,770.7000528971355,719.999979654948,-0.10052971012005366,-60.38620899030683,-27.92387767925709,-30.68011492874895,2.7562372494918606,37.219234554992056,27.38355935244496,744.8699951171875,761.4050048828125,850.8660021972656,832.0770007324219,JPOLYINVST.BO,2025-02-04 11:11:39.789333
2,2025-02-03 00:00:00+05:30,745.5499877929688,749.9000244140625,731.5999755859375,745.0999755859375,432,0.0,0.0,2025-02-03,765.4000030517578,26.24068833513542,791.6406913868933,739.1593147166224,817.8813797220287,712.918626381487,-38.444769378643144,-90.36976225780981,349483,758.1750057901104,1215.1843159506438,740.0913756118504,26.704109471881367,742.1999918619791,752.8000081380208,734.4999593098958,760.5000406901041,723.8999430338541,771.1000569661458,716.1999104817708,-0.09263074761015595,-60.19784240916027,-29.37458085826279,-31.369174241121915,1.9945933828591258,37.26276398550614,28.88945061754525,744.6799926757812,765.4000030517578,855.5850012207031,832.8050006103516,JPOLYINVST.BO,2025-02-04 11:11:39.789333
3,2025-02-01 00:00:00+05:30,809.0,809.0,743.5999755859375,743.6500244140625,291,0.0,0.0,2025-02-01,769.9050048828125,30.032394873343165,799.9373997561556,739.8726100094693,829.9697946294988,709.8402151361262,37.759522634374314,-73.43941972391991,349051,509.7212656381483,1329.4366434907772,740.0900323159661,34.95118356921574,765.4166666666666,787.2333577473958,721.8333333333333,830.8166910807291,700.0166422526041,852.6333821614583,656.4333089192708,-0.11783157914705737,-61.56378761725475,-30.806543288337025,-31.867822586836695,1.0612792984996702,36.76488108498531,30.31796955323548,739.0900024414062,769.9050048828125,860.9800012207031,833.4155010986328,JPOLYINVST.BO,2025-02-04 11:11:39.789333
4,2025-01-31 00:00:00+05:30,759.0,766.0499877929688,744.0499877929688,746.5999755859375,285,0.0,0.0,2025-01-31,773.9025024414062,31.632075858729273,805.5345783001355,742.2704265826769,837.1666541588647,710.6383507239477,-16.221178399762046,-89.57574273543804,349342,501.1918482158921,1534.3654879539342,740.0893890477691,22.438305226614318,752.2333170572916,760.4166463216145,738.4166463216145,774.2333170572916,730.2333170572916,782.4166463216145,716.4166463216145,-0.19612034955392368,-56.38087866241185,-32.03032509796958,-32.13314241146161,0.10281731349203227,37.324464383915966,32.25082237004055,735.1,773.9025024414062,866.5570007324219,834.1480010986328,JPOLYINVST.BO,2025-02-04 11:11:39.789333
5,2025-01-30 00:00:00+05:30,745.0,754.75,739.0999755859375,744.0999755859375,297,0.0,0.0,2025-01-30,781.0100036621094,40.02983393357852,821.0398375956879,740.9801697285309,861.0696715292664,700.9503357949524,-45.002445449240476,-100.32920744371037,349057,520.5457522160923,1792.6588978884447,740.0882366778942,19.64745553701951,745.9833170572916,752.8666585286458,737.2166341145833,761.6333414713541,730.3332926432291,768.5166829427083,721.5666097005208,-0.20979404139862684,-58.8733998817026,-33.402354195441944,-32.158846739834615,-1.243507455607329,36.56466997813243,32.433921473440535,738.460009765625,781.0100036621094,872.1510021972656,834.9505010986328,JPOLYINVST.BO,2025-02-04 11:11:39.789333
6,2025-01-29 00:00:00+05:30,702.8499755859375,746.2999877929688,702.8499755859375,743.9500122070312,314,0.0,0.0,2025-01-29,788.4800048828125,46.237940236527244,834.7179451193398,742.2420646462853,880.955885355867,696.004124409758,-106.6312159752765,-120.37977753096759,348760,550.2303864084034,2110.687184306533,740.0874965681122,17.653798718502415,731.0333251953125,759.2166748046875,715.7666625976562,774.4833374023438,687.5833129882812,802.6666870117188,672.316650390625,-0.21560145668497768,-62.822235669028935,-34.40665880969891,-31.84796987593278,-2.558688933766131,36.521796449172115,32.023679697074584,746.3900146484375,788.4800048828125,876.5400024414063,835.8920013427735,JPOLYINVST.BO,2025-02-04 11:11:39.789333
7,2025-01-28 00:00:00+05:30,735.4500122070312,755.0,703.0,717.1500244140625,1496,0.0,0.0,2025-01-28,795.8050048828125,50.24301201739038,846.0480169002028,745.5619928654221,896.2910289175932,695.3189808480317,-182.80107343140642,-134.71915678209433,348446,2527.043852010699,2500.8013837810654,740.0867430535513,15.11678023495135,725.0500081380209,747.1000162760417,695.1000162760417,777.0500081380209,673.0500081380209,799.1000162760417,643.1000162760417,-0.21901228277956947,-88.38257320836993,-35.15639091776154,-31.208297642491242,-3.948093275270299,28.50517268741291,31.11473042912076,752.3500122070312,795.8050048828125,880.4610021972657,836.8785009765625,JPOLYINVST.BO,2025-02-04 11:11:39.789333
8,2025-01-27 00:00:00+05:30,749.7999877929688,757.0499877929688,717.6500244140625,723.7000122070312,1451,0.0,0.0,2025-01-27,803.6700042724609,49.58995642769705,853.259960700158,754.0800478447638,902.849917127855,704.4900914170669,-235.53432440200558,-137.80804497062346,349942,2473.4159649169,2494.2407667236566,740.108081287435,14.721978995940788,732.8000081380209,747.9499918619792,708.550028483073,772.1999715169271,693.4000447591146,787.3499552408855,669.1500651041667,-0.22050875643914955,-94.84449164751787,-32.94420988078025,-30.221274323673665,-2.7229355571065845,29.346260749068506,30.139003753487273,763.210009765625,803.6700042724609,881.7850012207032,838.1760009765625,JPOLYINVST.BO,2025-02-04 11:11:39.789333
9,2025-01-24 00:00:00+05:30,799.4500122070312,799.4500122070312,752.2999877929688,763.4000244140625,2173,0.0,0.0,2025-01-24,811.5025024414062,48.656567474644135,860.1590699160504,762.8459349667621,908.8156373906945,714.189367492118,-25.61442834448523,-108.44951390058328,351393,3907.3567324201763,2499.4469671753454,740.122900070154,14.332166033624617,771.7166748046875,791.1333618164062,743.9833374023438,818.86669921875,724.566650390625,838.2833862304688,696.8333129882812,-0.2171574534062129,-71.48351163738597,-30.257867655759014,-29.540540434397016,-0.7173272213619981,35.19017350732774,29.393438352043006,777.0900024414062,811.5025024414062,882.7980004882812,839.3470007324219,JPOLYINVST.BO,2025-02-04 11:11:39.789333
10,2025-01-23 00:00:00+05:30,765.0999755859375,786.0,761.6500244140625,783.75,320,0.0,0.0,2025-01-23,818.4400024414062,51.25905123271801,869.6990536741242,767.1809512086883,920.9581049068422,715.9218999759703,6.252007145790349,-110.93634573559751,353566,590.7431567806395,2147.4695258641377,740.0913743882359,13.021709408478358,777.1333414713541,792.6166585286458,768.2666829427083,801.4833170572916,752.7833658854166,816.9666341145833,743.9167073567708,-0.20433129484287396,-70.3232889834839,-30.269932711450565,-29.361208629056513,-0.9087240823940519,38.874939396516695,29.43987530508292,780.9799926757812,818.4400024414062,883.9719995117188,840.2080004882813,JPOLYINVST.BO,2025-02-04 11:11:39.789333
