Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-11-07 00:00:00+05:30,310.1000061035156,313.8999938964844,309.1000061035156,312.3500061035156,108055,0.0,0.0,2025-11-07,315.8449996948242,3.3024654138084064,319.1474651086326,312.5425342810158,322.44993052244104,309.24006886720736,-140.09670556720656,-86.14459679293127,76318028,85581.47466786992,142294.31293626578,431.92105827365793,50.34946023032505,311.78333536783856,314.4666646321615,309.66667683919275,316.5833231608073,306.9833475748698,319.26665242513025,304.866689046224,0.00793601773347122,-79.55974058129291,-1.107230353579837,-1.0124807280165962,-0.09474962556324074,42.25477653941985,10.778820858502108,314.3400024414062,315.8449996948242,320.8260009765625,327.9145178222656,JYOTHYLAB.NS,2025-11-07 11:17:50.610153
2,2025-11-06 00:00:00+05:30,315.54998779296875,316.3999938964844,311.20001220703125,313.45001220703125,109084,0.0,0.0,2025-11-06,315.74249877929685,3.4453731477184246,319.1878719270153,312.2971256315784,322.6332450747337,308.85175248386,-113.99840166083757,-61.427858946919734,76426083,86700.72417134432,156472.52250336471,431.9508985625435,53.65439893714574,313.68333943684894,316.16666666666663,310.9666849772135,318.88332112630206,308.4833577473958,321.36664835611975,305.7667032877604,-0.020322849876204557,-83.69563775160438,-0.8739717825012008,-0.9887933216257858,0.11482153912458504,43.74248020152489,11.125023785495049,315.8700012207031,315.74249877929685,321.45084289550783,328.1289532470703,JYOTHYLAB.NS,2025-11-07 11:17:50.610153
3,2025-11-04 00:00:00+05:30,315.70001220703125,318.6000061035156,313.04998779296875,315.54998779296875,131594,0.0,0.0,2025-11-04,315.61499786376953,3.5792571678624583,319.194255031632,312.03574069590707,322.77351219949446,308.4564835280446,-78.80312006875168,-35.205004922018446,76535167,105292.54791013525,173915.47208636982,431.98076092669766,57.83247143293486,315.7333272298177,318.41666666666663,312.86664835611975,321.28334554036456,310.1833089192708,323.9666849772135,307.3166300455729,-0.014552651690528625,-61.36373995049809,-0.6704220648376236,-1.017498706406932,0.3470766415693085,46.65436959460316,11.923806685558386,317.4,315.61499786376953,321.9250164794922,328.3996917724609,JYOTHYLAB.NS,2025-11-07 11:17:50.610153
4,2025-11-03 00:00:00+05:30,315.0,316.70001220703125,313.70001220703125,315.8500061035156,137756,0.0,0.0,2025-11-03,315.3799987792969,3.734666788293871,319.11466556759075,311.64533199100305,322.84933235588466,307.91066520270914,-93.81342705063734,-43.29888392508565,76666761,110327.75791960844,191071.20313042842,432.0161669743847,52.483399530539984,315.4166768391927,317.13334147135413,314.13334147135413,318.4166768391927,312.4166768391927,320.13334147135413,311.13334147135413,0.015260404887146299,-49.19349942984651,-0.6064746118252629,-1.1042678667992591,0.4977932549739963,47.07002475227573,12.278308384869794,317.07000122070315,315.3799987792969,322.4205352783203,328.69100006103514,JYOTHYLAB.NS,2025-11-07 11:17:50.610153
5,2025-10-31 00:00:00+05:30,319.25,319.8999938964844,313.45001220703125,314.5,165397,0.0,0.0,2025-10-31,315.27749786376955,3.749192077533349,319.0266899413029,311.5283057862362,322.7758820188362,307.7791137087029,-85.00159679290653,-40.42622845539614,76529005,131899.04676928325,211257.0644331334,432.0531584805006,51.43843387206677,315.9500020345052,318.44999186197913,312.000010172526,322.3999837239583,309.50002034505206,324.89997355143225,305.5500284830729,-0.03973748529616509,-56.45159437886084,-0.5449607425402405,-1.2287161805427582,0.6837554380025177,45.023359206395746,13.13325976067468,317.42999877929685,315.27749786376955,322.98230529785155,328.9520901489258,JYOTHYLAB.NS,2025-11-07 11:17:50.610153
6,2025-10-30 00:00:00+05:30,321.1000061035156,322.75,317.29998779296875,320.0,176516,0.0,0.0,2025-10-30,315.45749816894534,3.796025837972499,319.2535240069178,311.66147233097286,323.04954984489035,307.8654464930003,62.43022555835381,2.3077365996643575,76694402,143227.83751320728,231096.5688490959,432.0981198840424,54.95804343458443,320.01666259765625,322.73333740234375,317.2833251953125,325.4666748046875,314.566650390625,328.183349609375,311.83331298828125,0.0021445087156735966,-26.88171160898135,-0.3249922217829635,-1.3996550400433876,1.074662818260424,52.73794531439129,14.053976626926096,318.65,315.45749816894534,323.36421752929687,329.1569027709961,JYOTHYLAB.NS,2025-11-07 11:17:50.610153
7,2025-10-29 00:00:00+05:30,314.8999938964844,322.0,313.8999938964844,321.1000061035156,183698,0.0,0.0,2025-10-29,315.2199981689453,3.6423462557844877,318.8623444247298,311.5776519131608,322.5046906805143,307.9353056573764,43.54358069664895,-13.123187921457717,76870918,149567.80527638056,253063.75168306803,432.1438958635754,54.32799654180751,319.0,324.1000061035156,316.0,327.1000061035156,310.8999938964844,332.20001220703125,307.8999938964844,0.01159510158336375,-20.967702240416088,-0.5801084001802792,-1.6683207446084936,1.0882123444282144,54.47130144214427,14.024795871177332,318.60999755859376,315.2199981689453,323.6519659423828,329.30968475341797,JYOTHYLAB.NS,2025-11-07 11:17:50.610153
8,2025-10-28 00:00:00+05:30,317.6499938964844,319.5,312.45001220703125,313.8999938964844,783955,0.0,0.0,2025-10-28,314.5124984741211,3.8104710085266933,318.3229694826478,310.7020274655944,322.1334404911745,306.89155645706774,-33.20868889024688,-53.19698665840074,76687220,623987.4008419075,278937.7382847399,432.1911064001481,54.341342980114426,315.28333536783856,318.11665852864587,311.0666707356771,322.3333231608073,308.2333475748698,325.1666463216146,304.01668294270837,-0.04954110419672924,-59.67743258652797,-1.0062788296839926,-1.940373830715547,0.9340950010315543,43.10582890384297,14.153338669211692,318.5199951171875,314.5124984741211,323.7870666503906,329.4915512084961,JYOTHYLAB.NS,2025-11-07 11:17:50.610153
9,2025-10-27 00:00:00+05:30,321.95001220703125,321.95001220703125,316.0,317.6499938964844,128201,0.0,0.0,2025-10-27,314.3424987792969,3.913681004212995,318.2561797835099,310.42881777508387,322.1698607877229,306.51513677087087,50.37784559463162,-26.371471301548976,77471175,103260.36201718854,192675.322645448,432.4061229003773,67.705748052018,318.53333536783856,321.0666707356771,315.11665852864587,324.4833475748698,312.5833231608073,327.01668294270837,309.1666463216146,-0.020633747397469246,-39.516148879791956,-0.8275673617700363,-2.1738975809734353,1.346330219203399,49.02458238159773,14.840198872591698,319.1499938964844,314.3424987792969,324.0275671386719,329.7300769042969,JYOTHYLAB.NS,2025-11-07 11:17:50.610153
10,2025-10-24 00:00:00+05:30,318.79998779296875,321.79998779296875,317.0,320.6000061035156,110914,0.0,0.0,2025-10-24,314.3424987792969,3.913681004212995,318.2561797835099,310.42881777508387,322.1698607877229,306.51513677087087,87.9425819478404,-18.19839256606073,77599376,90166.09752733116,215029.06280251284,432.4402441520116,64.35561947912024,319.7999979654948,322.5999959309896,317.80000813802087,324.59998575846356,315.00001017252606,327.39998372395837,313.0000203450521,-0.02582273257103013,-23.157862613075658,-0.9555418102473823,-2.510480135774285,1.5549383255269027,54.48991287333254,14.607417215155339,318.92999267578125,314.3424987792969,324.26136108398435,329.95238220214844,JYOTHYLAB.NS,2025-11-07 11:17:50.610153
