Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-12-06 00:00:00+05:30,607.0,619.0,596.7000122070312,602.75,3639,0.0,0.0,2024-12-06,567.5724945068359,70.39730980636362,637.9698043131996,497.1751847004723,708.3671141195632,426.77787489410866,-156.85628320221252,91.92004188231718,-20426,8561.42439781166,14760.326936072755,469.3416923022232,58.993834829317166,606.1500040690104,615.5999959309895,593.3000081380208,628.4499918619791,583.8500162760416,637.8999837239583,571.000020345052,,-50.70181032670632,34.502538113103355,34.073339593588265,0.42919851951509,60.30941267543865,42.21324942202456,617.7200073242187,567.5724945068359,511.39799743652344,520.9407131958008,KALYANIFRG.NS,2024-12-06 10:55:14.803156
2,2024-12-05 00:00:00+05:30,624.5999755859375,645.0,612.0,619.5499877929688,3684,0.0,0.0,2024-12-05,560.9124938964844,73.1414225278818,634.0539164243662,487.77107136860263,707.195338952248,414.62964884072085,-3.5666350234316972,119.97253535914196,-16787,8908.872132237955,16310.052570638029,469.02138878415536,60.59522046850513,625.5166625976562,639.0333251953125,606.0333251953125,658.5166625976562,592.5166625976562,672.0333251953125,573.0333251953125,,-33.40140142278865,37.29864237828076,33.96603996370949,3.3326024145712694,65.70061399408932,42.2631837129311,623.0400024414063,560.9124938964844,509.2009973144531,520.9340322875977,KALYANIFRG.NS,2024-12-06 10:55:14.803156
3,2024-12-04 00:00:00+05:30,627.9000244140625,627.9000244140625,605.2999877929688,618.25,2367,0.0,0.0,2024-12-04,552.9724945068359,75.03577525196032,628.0082697587962,477.9367192548756,703.0440450107566,402.90094400291525,-22.943080595655985,121.36469036333045,-20471,5712.01230439659,18160.347680238046,468.65462004913263,60.39034397629514,617.1500040690104,629.000020345052,606.3999837239583,639.7500406901041,594.5499674479166,651.6000569661458,583.7999471028645,,-29.94884286085358,38.658827944567406,33.13288936006668,5.525938584500729,65.47887874865518,41.35355532163726,626.85,552.9724945068359,506.71099731445315,520.7837008666992,KALYANIFRG.NS,2024-12-06 10:55:14.803156
4,2024-12-03 00:00:00+05:30,611.2000122070312,633.0,611.2000122070312,627.9000244140625,3131,0.0,0.0,2024-12-03,545.1599945068359,76.00939093434012,621.169385441176,469.1506035724958,697.1787763755161,393.1412126381557,30.892071654544786,141.42325176714695,-18104,7673.620528197096,21272.431524198408,468.42006190092803,60.99039672072835,624.0333455403646,636.866678873698,615.0666910807292,645.8333333333334,602.2333577473959,658.6666666666667,593.2667032877605,,-21.742981194305248,39.94256693033924,31.751404713941493,8.191162216397746,68.53271392408033,40.731001328841394,625.7199951171875,545.1599945068359,504.1179974365234,520.5758053588867,KALYANIFRG.NS,2024-12-06 10:55:14.803156
5,2024-12-02 00:00:00+05:30,635.0,635.0,606.4500122070312,620.1500244140625,1060,0.0,0.0,2024-12-02,537.609992980957,74.84882566580052,612.4588186467575,462.7611673151565,687.3076443125581,387.912341649356,32.36881801817173,152.54022263180946,-21235,2565.8388802541676,24672.134273198735,468.08860660894754,60.44106154174732,620.5333455403646,634.616678873698,606.0666910807292,649.0833333333334,591.9833577473959,663.1666666666667,577.5167032877605,,-25.188957277153488,40.03057024361158,29.703614159842054,10.326956083769524,67.39883364251585,39.67573550507137,624.4599853515625,537.609992980957,501.27599670410154,520.2157528686523,KALYANIFRG.NS,2024-12-06 10:55:14.803156
6,2024-11-29 00:00:00+05:30,662.0,662.0,616.1500244140625,629.3499755859375,2371,0.0,0.0,2024-11-29,529.7249923706055,73.99761326019151,603.722605630797,455.72737911041395,677.7202188909885,381.72976585022246,67.14572616104786,192.7460741149184,-20175,5824.391038621813,30198.708121434876,467.9815369661472,61.76398815832716,635.8333333333334,655.5166422526042,609.6666666666667,681.6833089192709,589.9833577473959,701.3666178385417,563.8166910807292,,-20.921523263195827,40.29997493645851,27.121875138899668,13.178099797558843,70.18664804833249,38.5392953871652,629.4399780273437,529.7249923706055,498.87224670410154,520.0619058227539,KALYANIFRG.NS,2024-12-06 10:55:14.803156
7,2024-11-28 00:00:00+05:30,615.0,640.0,591.0999755859375,638.5999755859375,7660,0.0,0.0,2024-11-28,522.2199935913086,70.90890228295707,593.1288958742657,451.31109130835154,664.0377981572227,380.4021890253945,61.176903003459685,201.9335554638786,-17804,19093.450453171907,36292.28739213814,467.7269851821986,60.089607916702384,623.2333170572916,655.3666585286458,606.4666341145833,672.1333414713541,574.3332926432291,704.2666829427083,557.5666097005208,,-16.55830742910615,39.12823310300291,23.827350189509957,15.300882913492956,73.0059321981402,36.723570186966505,626.4399780273437,522.2199935913086,496.7794415283203,519.8901022338868,KALYANIFRG.NS,2024-12-06 10:55:14.803156
8,2024-11-27 00:00:00+05:30,620.9000244140625,651.0,594.0499877929688,612.5999755859375,14381,0.0,0.0,2024-11-27,513.5874954223633,66.35827245446734,579.9457678768306,447.22922296789596,646.304040331298,380.8709505134286,68.14515721539038,226.18687182292894,-25464,34386.88314301476,40591.9966268797,466.8517049168952,58.6804929302275,619.2166544596354,644.383321126302,587.4333089192708,676.1666666666666,562.2666422526041,701.3333333333333,530.4832967122395,,-27.828356004575387,36.12421161769964,20.002129461136715,16.12208215656293,69.84438662758348,35.10950647463418,615.7399780273438,513.5874954223633,494.43902282714845,519.334596862793,KALYANIFRG.NS,2024-12-06 10:55:14.803156
9,2024-11-26 00:00:00+05:30,676.7999877929688,676.7999877929688,612.7999877929688,621.5999755859375,40948,0.0,0.0,2024-11-26,505.3949966430664,63.54570464560064,568.940701288667,441.8492919974658,632.4864059342676,378.30358735186513,102.76678798016789,298.87406980260965,-11083,99350.58637234705,42143.27499784593,465.43645149845906,64.74168889569204,637.066650390625,661.3333129882812,597.3333129882812,701.066650390625,573.066650390625,725.3333129882812,533.3333129882812,,-23.927185343836037,34.29142332791457,15.971608921995983,18.31981440591859,72.57658428555632,33.19160768148347,604.6699829101562,505.3949966430664,492.57586853027345,518.7618038940429,KALYANIFRG.NS,2024-12-06 10:55:14.803156
10,2024-11-25 00:00:00+05:30,645.0499877929688,645.0499877929688,636.5999755859375,645.0499877929688,27564,0.0,0.0,2024-11-25,496.4874984741211,58.700752479837845,555.1882509539589,437.78674599428325,613.8890034337968,379.08599351444536,137.6271633677613,371.39817145111266,29865,69400.46237639137,27841.447154220645,460.9959624474008,93.21229144898287,642.2333170572916,647.8666585286458,639.4166463216145,650.6833292643229,633.7833048502604,656.316670735677,630.9666341145833,,-0.0,30.538968270115333,11.391655320516335,19.147312949598998,80.16364804663289,29.946958559221542,586.4999877929688,496.4874984741211,490.5804193115234,517.8346438598633,KALYANIFRG.NS,2024-12-06 10:55:14.803156
