Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-27 00:00:00+05:30,3271.300048828125,3294.949951171875,3205.050048828125,3253.85009765625,19169,4.0,0.0,2024-08-27,3351.1493408203123,148.62468226517777,3499.77402308549,3202.5246585551345,3648.398705350668,3053.8999762899566,-17.39794834874267,-58.78096022796992,4375905,70200.40158319083,128338.48065424484,1737.8585288518382,39.58106607798419,3251.2833658854165,3297.516682942708,3207.616780598958,3341.1832682291665,3161.3834635416665,3387.416585286458,3117.716878255208,-0.1851393834160129,-65.85916420049112,-7.6465315831342195,18.193816511296713,-25.840348094430933,48.26726742582521,24.06760606054222,3227.0328125,3351.1493408203123,3224.9368017578126,2880.854567871094,KDDL.NS,2024-08-27 10:48:58.747510
2,2024-08-26 00:00:00+05:30,3278.8454040093775,3324.88972305926,3256.072821397173,3316.449951171875,33403,0.0,0.0,2024-08-26,3358.9462036132813,147.3363641493747,3506.282567762656,3211.6098394639066,3653.618931912031,3064.273475314532,-4.500994591881374,-23.854433879940583,4395074,124681.35658856508,142873.00042200834,1735.9556918882945,42.53391022040662,3299.1374985427697,3342.2021756883664,3273.385274026279,3367.954400204857,3230.3205968806824,3411.0190773504537,3204.568372364192,-0.19480874671303147,-54.46364392427669,-5.36718304056285,24.653903534904444,-30.021086575467294,51.501637820242635,25.602829066331488,3194.83671875,3358.9462036132813,3213.2823681640625,2872.809025878906,KDDL.NS,2024-08-27 10:48:58.747510
3,2024-08-23 00:00:00+05:30,3245.984945308337,3295.924713344999,3227.257532294589,3278.845458984375,21723,0.0,0.0,2024-08-23,3362.377062988281,147.09342460350217,3509.4704875917832,3215.283638384779,3656.5639121952854,3068.1902137812767,-28.880175197391292,-41.904928563883885,4361671,80164.73246863755,147420.91138036913,1732.4912389482515,35.7355179165358,3267.3425682079874,3307.4276041213857,3238.760423070976,3336.0097492583973,3198.6753871575775,3376.0947851717956,3170.093242020566,-0.26070744450071726,-61.30907133557955,-8.53274232789181,32.159175178771264,-40.691917506663074,49.61870333462695,27.39145558691068,3169.7169921875,3362.377062988281,3200.0563232421873,2863.1491772460936,KDDL.NS,2024-08-27 10:48:58.747510
4,2024-08-22 00:00:00+05:30,3096.2656284559966,3283.0403615273744,3093.2692423639423,3213.674072265625,65937,0.0,0.0,2024-08-22,3370.2550537109373,146.60265452979425,3516.8577082407314,3223.652399181143,3663.460362770526,3077.0497446513486,-65.55106549091303,-73.8025548694563,4339948,238491.8872924793,164234.95610830202,1730.2837192005877,32.012777353684,3196.6612253856474,3300.0532084073525,3110.2820892439204,3386.4323445490795,3006.8901062222153,3489.8243275707846,2920.5109700804883,-0.2704690400814349,-73.17270706433023,-8.752860785962184,42.332154555437036,-51.08501534139922,46.26074773759209,29.402720642844987,3164.613134765625,3370.2550537109373,3187.0889599609377,2854.38025390625,KDDL.NS,2024-08-27 10:48:58.747510
5,2024-08-21 00:00:00+05:30,3112.3462849233306,3152.1981218145065,3066.3017217904103,3072.344482421875,56075,0.0,0.0,2024-08-21,3378.6923706054686,141.89711873636375,3520.589489341832,3236.795251869105,3662.4866080781962,3094.898133132741,-125.86716881060289,-115.55380798094335,4274011,193901.77679981056,145670.7233122577,1723.8279736739016,20.17656496735583,3096.9481086755973,3127.5944955607843,3041.698095536688,3182.8445086996935,3011.051708651501,3213.4908955848805,2955.801695512592,-0.3162432170339557,-98.8999910154266,-2.4836658654944586,55.10340839078684,-57.5870742562813,37.929882031191504,31.44841540371769,3223.771728515625,3378.6923706054686,3174.69990234375,2846.9347338867187,KDDL.NS,2024-08-27 10:48:58.747510
6,2024-08-20 00:00:00+05:30,3194.5967840805492,3245.535344469282,3077.2883246605043,3092.86962890625,43135,0.0,0.0,2024-08-20,3389.3020629882812,124.6734043119468,3513.975467300228,3264.6286586763345,3638.648871612175,3139.9552543643877,-139.34805514554915,-80.08975855708917,4330086,150153.000120971,133612.95994036947,1718.8184357498244,26.434525999416365,3138.5644326786787,3199.840540696853,3031.5935208880755,3306.8114524874563,2970.317412869901,3368.087560505631,2863.346501079298,-0.20636533294083,-97.10573390891447,19.49925793192051,69.50017695485715,-50.00091902293664,38.73996146373681,32.30338034888857,3302.28701171875,3389.3020629882812,3164.2694775390623,2840.98291015625,KDDL.NS,2024-08-27 10:48:58.747510
7,2024-08-19 00:00:00+05:30,3246.1347361379303,3320.9943956248944,3180.16425734426,3190.851318359375,52447,0.0,0.0,2024-08-19,3399.534716796875,106.07415866546698,3505.608875462342,3293.4605581314077,3611.6830341278087,3187.386399465941,-114.21181051492448,-24.070701359137377,4373221,188351.81833435743,129477.94989521909,1714.8806901690277,33.284525868207396,3230.669990442843,3281.1757235414257,3140.3455852607913,3371.5001287234772,3089.8398521622084,3422.00586182206,2999.515446980157,-0.12196640048921695,-97.54588331850071,45.32720264103,82.0004067105913,-36.67320406956131,42.78992838294855,33.30665950426288,3395.29482421875,3399.534716796875,3152.3178955078124,2834.6305737304688,KDDL.NS,2024-08-27 10:48:58.747510
8,2024-08-16 00:00:00+05:30,3459.8271116355822,3459.8271116355822,3208.6800682510852,3253.326171875,83943,0.0,0.0,2024-08-16,3401.9118530273436,101.5893063270831,3503.501159354427,3300.3225467002603,3605.0904656815096,3198.7332403731775,-92.72977620893646,15.27949151037294,4425668,307365.1970802314,114759.48278543449,1709.719745202451,41.44238560662321,3307.2777839205555,3405.875499590026,3154.728456205529,3558.4248273050525,3056.1307405360585,3657.022542974523,2903.581412821032,-0.049169836818616856,-89.02933735620864,68.0583108809301,91.16870772798164,-23.110396847051547,45.613058346694125,35.211026388676984,3473.48056640625,3401.9118530273436,3138.24087890625,2827.3997973632813,KDDL.NS,2024-08-27 10:48:58.747510
9,2024-08-14 00:00:00+05:30,3525.747453379854,3570.293821859179,3371.483566122381,3509.467041015625,24512,0.0,0.0,2024-08-14,3403.4050415039064,99.48815096315184,3502.8931924670583,3303.9168905407546,3602.38134343021,3204.4287395776028,42.48850013066436,85.03783826888544,4509611,96819.42827097783,66608.05421173526,1701.032356072772,55.432796119110556,3483.7481429990617,3596.0127198757423,3397.2024641389444,3682.5583987358596,3284.9378872622638,3794.82297561254,3198.3922084021465,0.052806536765782376,-28.760851357406043,89.9770046315216,96.94630693974452,-6.969302308222922,60.91444640486671,37.510571641413684,3518.066748046875,3403.4050415039064,3120.9826953125,2818.910537109375,KDDL.NS,2024-08-27 10:48:58.747510
10,2024-08-13 00:00:00+05:30,3570.6932239524813,3570.6932239524813,3431.7109544664736,3464.9208984375,11516,0.0,0.0,2024-08-13,3395.4421508789064,96.89181316135836,3492.3339640402646,3298.5503377175482,3589.2257772016233,3201.6585245561896,46.77052296407447,86.56121360160832,4485099,44909.43366061957,59055.21069692461,1698.0554570775266,69.68403449438088,3489.1083589521513,3546.505763437829,3407.5234939518214,3628.090628438159,3350.1260894661436,3685.4880329238367,3268.5412244658137,0.03629024502507703,-40.827913734689716,91.45029202363321,98.68863251680023,-7.238340493167016,58.67554814783129,39.12514976259766,3487.8931640625,3395.4421508789064,3100.6092724609375,2807.6116650390627,KDDL.NS,2024-08-27 10:48:58.747510
