Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-02 00:00:00+05:30,269.79998779296875,269.79998779296875,251.1999969482422,255.4499969482422,5166,0.0,0.0,2024-09-02,264.12999572753904,15.997765319973267,280.1277610475123,248.13223040756577,296.1255263674856,232.1344650875925,-147.5585893630783,-5.3334168689566255,2980882,11540.472487577124,23683.276099185132,156.29567507962906,76.93221832398002,258.81666056315106,266.43332417805993,247.83333333333337,277.4166514078776,240.2166697184245,285.0333150227865,229.2333424886068,0.03578491354242331,-69.37765936208763,4.395657021947272,7.4054940831960145,-3.009837061248742,47.084400515637974,21.757397803342737,265.2699920654297,264.12999572753904,242.70639831542968,209.82639938354492,KEYFINSERV.NS,2024-09-02 10:52:20.628853
2,2024-08-30 00:00:00+05:30,275.95001220703125,276.70001220703125,261.1499938964844,264.8999938964844,5090,0.0,0.0,2024-08-30,265.0724952697754,16.014732791838632,281.08722806161404,249.05776247793676,297.1019608534527,233.04302968609812,-114.72531852528707,21.817512080315474,2986048,11791.336053090623,26718.977002087133,156.2378352544734,72.3077846773851,267.5833333333333,274.01667277018225,258.4666544596354,283.1333516438802,252.03331502278644,289.56669108072913,242.9166361490885,0.03711943812093522,-44.923436012960366,5.902633883232909,8.1579533485082,-2.2553194652752904,51.49473691002774,23.332429390991454,270.3699951171875,265.0724952697754,241.09719848632812,208.93339935302734,KEYFINSERV.NS,2024-09-02 10:52:20.628853
3,2024-08-29 00:00:00+05:30,268.0,273.79998779296875,258.70001220703125,263.3999938964844,5252,0.0,0.0,2024-08-29,265.7049949645996,16.25555549917651,281.96055046377614,249.4494394654231,298.2161059629526,233.1938839662466,-106.66667599561895,19.756315026755242,2980958,12097.726565244864,30450.887239336258,156.17534580278942,66.82133460519665,265.2999979654948,271.89998372395837,256.80000813802087,280.3999735514323,250.2000223795573,286.99995930989587,241.70003255208337,0.02896762505760561,-46.62508105420843,6.811905560987839,8.72178321482702,-1.9098776538391817,50.81569595522846,24.241265535355613,271.9699951171875,265.7049949645996,239.2701986694336,207.92389938354492,KEYFINSERV.NS,2024-09-02 10:52:20.628853
4,2024-08-28 00:00:00+05:30,274.8999938964844,280.3999938964844,265.04998779296875,267.79998779296875,7357,0.0,0.0,2024-08-28,266.67949600219725,16.68853598528934,283.3680319874866,249.9909600169079,300.05656797277595,233.30242403161856,-18.54605608944505,35.312768276055095,2986210,17229.57620384486,35039.177407859104,156.11168271046827,67.21239314854223,271.0833231608073,277.11665852864587,261.76665242513025,286.43332926432294,255.73331705729169,292.4666646321615,246.41664632161462,0.03986990700049765,-41.6335958572255,8.020565427795475,9.199252628286814,-1.1786872004913391,52.83019011003692,25.411407579919125,275.6199951171875,266.67949600219725,237.48319885253906,206.98289947509767,KEYFINSERV.NS,2024-09-02 10:52:20.628853
5,2024-08-27 00:00:00+05:30,283.1499938964844,288.0,272.0,274.79998779296875,8557,0.0,0.0,2024-08-27,267.3099967956543,16.968947098571697,284.27894389422596,250.34104969708258,301.2478909927977,233.37210259851088,34.38015099655171,52.07277672157682,2993567,20563.712689438562,39491.577708862664,156.01871370302874,69.60003193712562,278.26666259765625,284.5333251953125,268.5333251953125,294.26666259765625,262.26666259765625,300.5333251953125,252.5333251953125,0.04479765368158508,-33.69258566473452,9.013159867042475,9.493924428409649,-0.4807645613671738,56.11658742087363,26.162964912362664,278.4599975585937,267.3099967956543,235.49319915771486,205.8443995666504,KEYFINSERV.NS,2024-09-02 10:52:20.628853
6,2024-08-26 00:00:00+05:30,273.0,285.0,273.0,280.95001220703125,11870,0.0,0.0,2024-08-26,267.68349685668943,17.22279625068534,284.9062931073748,250.46070060600408,302.1290893580601,233.23790435531873,48.44117519095597,56.90697955379819,3002124,29163.729443527893,44223.54396371869,155.90360188222928,73.03505689922409,279.65000406901044,286.30000813802087,274.30000813802087,291.65000406901044,267.65000406901044,298.30000813802087,262.30000813802087,0.03770962593093374,-26.715813299571852,9.458024567789892,9.614115568751442,-0.15609100096155082,59.11672122434147,26.388087088751554,279.7799987792969,267.68349685668943,233.41919952392578,204.53689971923828,KEYFINSERV.NS,2024-09-02 10:52:20.628853
7,2024-08-23 00:00:00+05:30,289.0,289.0,268.70001220703125,272.8999938964844,8595,0.0,0.0,2024-08-23,267.8569969177246,17.380233804871892,285.23723072259645,250.4767631128527,302.61746452746837,233.0965293079808,48.66263471498364,54.33143894550798,2990254,20512.221297933487,47988.497593766384,155.73527379762376,67.70251693224462,276.8666687011719,285.0333251953125,264.73333740234375,297.1666564941406,256.5666809082031,305.33331298828125,244.433349609375,0.008230483628228967,-35.84799579297067,9.278598567092274,9.65313831899183,-0.37453975189955635,56.27546323504281,26.79017931096184,281.59999389648436,267.8569969177246,231.18679931640625,203.16789962768556,KEYFINSERV.NS,2024-09-02 10:52:20.628853
8,2024-08-22 00:00:00+05:30,290.79998779296875,290.79998779296875,273.0,281.6499938964844,11983,0.0,0.0,2024-08-22,268.58049697875975,17.894771727733815,286.4752687064936,250.68572525102593,304.3700404342274,232.79095352329213,75.8168646126737,65.12864116815382,2998849,29514.714853421683,54857.566667724604,155.6209594093727,66.54255718613209,281.81666056315106,290.6333211263021,272.83333333333337,299.6166483561198,264.0166727701823,308.43330891927087,255.03334554036462,0.03555487784435374,-25.921733052356952,9.701098921524363,9.74677325696672,-0.04567433544235655,60.52064183319298,27.22320170411138,279.75999755859374,268.58049697875975,228.95419952392578,201.8938996887207,KEYFINSERV.NS,2024-09-02 10:52:20.628853
9,2024-08-21 00:00:00+05:30,275.0,287.25,272.04998779296875,282.0,15914,0.0,0.0,2024-08-21,268.81149673461914,18.100993589467592,286.9124903240867,250.71050314515156,305.0134839135543,232.60950955568396,81.61765262742477,65.27970482794055,3010832,39245.670055888266,61193.27962130033,155.44929293705383,63.210091947571115,280.43332926432294,288.8166707356771,273.61665852864587,295.6333414713542,265.2333170572917,304.01668294270837,258.4166463216146,0.008977105699293874,-25.524675618721,9.23329863406957,9.758191840827308,-0.5248932067577385,60.690690909417185,27.367337252819258,271.3799987792969,268.81149673461914,226.66079956054688,200.5518997192383,KEYFINSERV.NS,2024-09-02 10:52:20.628853
10,2024-08-20 00:00:00+05:30,290.04998779296875,304.5,273.29998779296875,281.3999938964844,55539,0.0,0.0,2024-08-20,268.9424964904785,18.210613148443485,287.153109638922,250.73188334203502,305.3637227873655,232.52127019359153,123.40266972206184,77.27609170239947,2994918,136673.84921319567,66680.18201265334,155.21995305957174,65.0710061676306,286.3999938964844,299.5,268.29998779296875,317.6000061035156,255.19998168945312,330.70001220703125,237.0999755859375,0.001009125086134348,-26.20534055923163,8.460003746238499,9.889415142516741,-1.4294113962782422,60.51408244725123,27.67888605424319,262.2099975585937,268.9424964904785,224.39979949951172,199.21689971923828,KEYFINSERV.NS,2024-09-02 10:52:20.628853
