Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-10 00:00:00+05:30,559.3499755859375,559.3499755859375,542.6500244140625,549.2000122070312,2126,0.0,0.0,2025-01-10,596.1500030517578,23.13602215681247,619.2860252085703,573.0139808949453,642.4220473653828,549.8779587381329,-142.14795103912974,-240.40470932657135,12300,2284.836657961254,3400.877635838231,607.9159786446543,14.93668895491605,550.4000040690104,558.1499837239583,541.4500325520833,567.0999552408854,533.7000528971354,574.8499348958333,524.7500813802083,-0.0632243533461788,-92.40581125452898,-13.942684812404195,-9.441747875031265,-4.500936937372931,31.45357048926988,20.67873147319057,565.8900024414063,596.1500030517578,609.7380029296875,625.1490014648438,KKCL.BO,2025-01-10 11:10:28.261084
2,2025-01-09 00:00:00+05:30,568.7999877929688,568.7999877929688,557.0499877929688,560.25,2507,0.0,0.0,2025-01-09,600.0600036621094,21.320530015796844,621.3805336779062,578.7394736463125,642.7010636937031,557.4189436305156,-125.83505950316878,-217.38148898401738,14426,2748.51150196965,3679.887880307475,607.9786534413349,14.131232662834094,562.0333251953125,567.0166625976562,555.2666625976562,573.7833251953125,550.2833251953125,578.7666625976562,543.5166625976562,-0.06507610137007157,-95.74183477386543,-12.03794812021215,-8.316513640688031,-3.7214344795241185,34.254754697024865,19.419490119442617,575.5,600.0600036621094,610.6730029296875,625.8180010986329,KKCL.BO,2025-01-10 11:10:28.261084
3,2025-01-08 00:00:00+05:30,577.0,582.1500244140625,559.4000244140625,566.0,5299,0.0,0.0,2025-01-08,603.7125030517578,20.37798104837454,624.0904841001324,583.3345220033833,644.4684651485069,562.9565409550088,-124.53074530754039,-203.0532766846591,16933,5869.102716658197,3912.731974891931,608.0388059817606,22.267069505637295,569.183349609375,578.9666748046875,556.2166748046875,591.933349609375,546.433349609375,601.7166748046875,533.4666748046875,-0.04397176981201265,-90.93409794970468,-10.505171181482865,-7.386155020807001,-3.119016160675864,35.795092928287445,18.655469820823285,585.2800048828125,603.7125030517578,611.9470031738281,626.6190008544922,KKCL.BO,2025-01-10 11:10:28.261084
4,2025-01-07 00:00:00+05:30,585.0,585.0,568.6500244140625,577.0,2555,0.0,0.0,2025-01-07,606.7175018310547,18.901887690913995,625.6193895219687,587.8156141401407,644.5212772128828,568.9137264492267,-112.74449850890443,-179.88448523768756,22232,2884.8821544076245,3423.6392894503633,608.1510913586369,22.635245878079473,576.8833414713541,585.1166585286458,568.7666829427083,593.2333170572916,560.5333658854166,601.4666341145833,552.4167073567708,-0.050121970659136796,-79.31032063609824,-8.949870840511494,-6.606400980638034,-2.3434698598734602,38.90261471430163,17.93527547457319,592.7400024414062,606.7175018310547,613.3870031738281,627.5495007324218,KKCL.BO,2025-01-10 11:10:28.261084
5,2025-01-06 00:00:00+05:30,592.0,596.0999755859375,572.2000122070312,577.0,2300,0.0,0.0,2025-01-06,608.8325012207031,17.73202632891497,626.5645275496181,591.100474891788,644.296553878533,573.3684485628731,-110.04102092674354,-165.5660913600628,24787,2596.9584951614625,3558.328573211048,608.1912614438068,29.67671632026844,581.7666625976562,591.3333129882812,567.433349609375,605.6666259765625,557.86669921875,615.2332763671875,543.5333862304688,-0.06644971450483085,-82.52424739378479,-7.9063443306237104,-6.020533515669667,-1.8858108149540431,38.90261471430163,17.570064716784387,593.9900024414062,608.8325012207031,614.5520031738281,628.3260009765625,KKCL.BO,2025-01-10 11:10:28.261084
6,2025-01-03 00:00:00+05:30,628.9000244140625,628.9000244140625,594.0,597.25,1363,0.0,0.0,2025-01-03,610.9450012207031,16.189719640477364,627.1347208611805,594.7552815802258,643.3244405016578,578.5655619397485,58.74875990259643,-40.243516946014275,27087,1592.9911895588539,3798.6710927234444,608.2275110914009,45.082562829574016,606.7166748046875,619.433349609375,584.5333251953125,641.61669921875,571.816650390625,654.3333740234375,549.63330078125,-0.051740845252399324,-57.94901195666505,-6.450521081894294,-5.549080811931156,-0.9014402699631381,45.12024862463512,17.338109702785147,594.2800048828125,610.9450012207031,615.7690026855469,629.1650012207032,KKCL.BO,2025-01-10 11:10:28.261084
7,2025-01-02 00:00:00+05:30,605.0,618.0999755859375,603.9500122070312,609.1500244140625,5335,0.0,0.0,2025-01-02,612.0950012207031,15.981261004451367,628.0762622251544,596.1137402162518,644.0575232296059,580.1324792118004,60.00902812843058,-22.571683474305416,28450,6359.457207025906,4350.091068514592,608.2350766667685,44.250821546371185,610.4000040690104,616.8499959309895,602.7000325520833,624.5499674479166,596.2500406901041,630.9999593098958,588.550069173177,-0.03668966248310867,-43.507239034044865,-6.483209178871107,-5.3237207444403705,-1.1594884344307363,49.43132653211667,18.206262938573786,594.0700073242188,612.0950012207031,616.7950024414063,629.7055010986328,KKCL.BO,2025-01-10 11:10:28.261084
8,2025-01-01 00:00:00+05:30,587.2000122070312,605.5499877929688,587.0,603.2999877929688,472,0.0,0.0,2025-01-01,612.6200012207031,16.051736009764284,628.6717372304674,596.5682652109388,644.7234732402317,580.5165292011745,-18.963596410546447,-88.66745242830036,23115,557.2328034201231,3847.7495338867634,608.232601832785,37.50884882526567,598.6166585286459,610.2333170572917,591.683329264323,617.1666463216146,580.0666707356771,628.7833048502605,573.1333414713542,-0.025521906899461717,-52.86624789098355,-7.598801507766325,-5.033848635832686,-2.564952871933639,47.12517660409536,18.391267235528034,592.6700073242188,612.6200012207031,617.4950024414062,630.0700006103516,KKCL.BO,2025-01-10 11:10:28.261084
9,2024-12-31 00:00:00+05:30,578.4500122070312,592.2000122070312,562.5999755859375,583.25,4957,0.0,0.0,2024-12-31,613.7100006103516,16.125546071685825,629.8355466820374,597.5844545386658,645.9610927537233,581.4589084669799,-120.72519033476546,-196.96423272711402,22643,5657.636306002253,4670.378716503424,608.2337825297068,41.240582832152995,579.3499959309896,596.1000162760417,566.499979654948,608.9500325520834,549.7499593098959,625.7000528971355,536.8999430338542,-0.04197393610760059,-76.08567961044956,-8.335824420596055,-4.392610417849276,-3.943214002746778,38.14815033033747,17.609624129183576,591.2700073242188,613.7100006103516,618.5030029296875,630.6985009765625,KKCL.BO,2025-01-10 11:10:28.261084
10,2024-12-30 00:00:00+05:30,608.0,613.5,576.0999755859375,578.4500122070312,4194,0.0,0.0,2024-12-30,615.7575012207031,14.580114462801067,630.3376156835042,601.1773867579021,644.9177301463053,586.597272295101,-98.79209879754777,-160.7610621093035,17686,4747.39775715116,4423.564319128716,608.2967461266733,49.83381426306157,589.3499959309896,602.6000162760417,565.1999918619792,626.7500203450521,551.9499715169271,640.0000406901042,527.7999674479167,-0.08296666790630952,-95.07751421135032,-7.178516709372275,-3.406806917162581,-3.771709792209694,35.72217188745849,15.561029308698942,594.6300048828125,615.7575012207031,619.8760034179687,631.5790008544922,KKCL.BO,2025-01-10 11:10:28.261084
