Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-23 00:00:00+05:30,5734.25,5734.25,5595.0498046875,5674.89990234375,5552,0.0,0.0,2024-08-23,4831.205981445312,478.68415248720265,5309.890133932515,4352.52182895811,5788.574286419717,3873.837676470907,102.6343737966269,226.17046816909885,327919,21076.086956983265,28329.707147881578,3538.277646337817,83.18321571492542,5668.066569010417,5741.083333333334,5601.883138020834,5807.266764322917,5528.866373697917,5880.283528645834,5462.682942708334,0.16065640855996619,-6.380202617663496,313.822552595615,217.57660057042878,96.2459520251862,79.83608689192872,34.326868945178475,5533.869921875,4831.205981445312,4505.41451171875,4294.1162622070315,KOVAI.BO,2024-08-23 11:04:51.126551
2,2024-08-22 00:00:00+05:30,5540.14990234375,5770.0,5500.0,5694.25,9268,0.0,0.0,2024-08-22,4762.28740234375,449.1335047828113,5211.420907126561,4313.153897560938,5660.554411909372,3864.020392778127,128.209913485859,260.7046580113077,333471,35302.45225408296,30143.112195606154,3531.424944709783,81.22314807552408,5654.75,5809.5,5539.5,5924.75,5384.75,6079.5,5269.5,0.17118206974731892,-5.082017371159315,292.8917906969482,193.5151125641322,99.37667813281598,80.88938591037575,32.09219096430593,5393.2099609375,4762.28740234375,4477.400068359375,4273.890322265625,KOVAI.BO,2024-08-23 11:04:51.126551
3,2024-08-21 00:00:00+05:30,5464.0,5542.0,5460.0,5500.14990234375,9144,0.0,0.0,2024-08-21,4693.182104492187,402.05139197472687,5095.233496466914,4291.13071251746,5497.284888441641,3889.0793205427335,132.19834626960255,267.21991683719426,324203,33642.87191485284,28853.27718098695,3519.783055754629,79.70720098234702,5500.716634114583,5541.433268229166,5459.433268229166,5582.716634114583,5418.716634114583,5623.433268229166,5377.433268229166,0.14287871885625889,-3.314728456720844,259.7506269711903,168.67094303092819,91.0796839402621,78.21186847027722,29.685614677212417,5262.219921875,4693.182104492187,4449.555390625,4254.415290527344,KOVAI.BO,2024-08-23 11:04:51.126551
4,2024-08-20 00:00:00+05:30,5416.0498046875,5500.0,5376.0498046875,5424.0,6578,0.0,0.0,2024-08-20,4631.2998046875,364.83301278060424,4996.132817468104,4266.466791906896,5360.965830248709,3901.6337791262913,138.94124833469948,293.6420440643392,315059,23866.8920468478,27655.878497520473,3509.20975815212,78.53219320138528,5433.349934895833,5490.650065104166,5366.699869791666,5557.300130208333,5309.399739583333,5614.600260416666,5242.749674479166,0.16236199876620797,-6.226702073780467,232.50019777373564,145.90102204586265,86.59917572787299,77.03997051641001,27.622748320054523,5158.369921875,4631.2998046875,4423.4963671875,4236.813410644531,KOVAI.BO,2024-08-23 11:04:51.126551
5,2024-08-19 00:00:00+05:30,5011.60009765625,5400.0,5000.0,5376.0498046875,11766,0.0,0.0,2024-08-19,4572.74853515625,322.4210019574941,4895.169537113744,4250.327533198756,5217.590539071238,3927.9065312412617,135.74417240080652,289.86465899942965,308481,42313.0612098582,28603.125110188637,3501.8270632827166,77.18422151410577,5258.683268229167,5517.366536458334,5117.366536458334,5658.683268229167,4858.683268229167,5917.366536458334,4717.366536458334,0.19941999226733645,-2.1373610715303504,201.58827202033717,124.25122811389438,77.33704390644279,76.29446016527659,25.51220317539455,5034.219921875,4572.74853515625,4399.57298828125,4219.142868652344,KOVAI.BO,2024-08-23 11:04:51.126551
6,2024-08-16 00:00:00+05:30,5050.0,5070.0,4900.14990234375,4971.60009765625,7907,0.0,0.0,2024-08-16,4512.69345703125,272.99225387561853,4785.685710906868,4239.701203155631,5058.677964782487,3966.7089492800123,92.89430563243799,234.0004745316149,296715,26296.033564539113,25175.641085271243,3488.8117274421575,75.40656984984491,4980.583333333333,5061.016764322916,4891.166666666666,5150.433430989583,4810.733235677083,5230.866861979166,4721.316569010416,0.013468430408561044,-16.233918644063046,163.6796397680455,104.91696713728368,58.76267263076181,68.20969334594199,23.51293533977217,4886.17998046875,4512.69345703125,4373.8646875,4201.943845214843,KOVAI.BO,2024-08-23 11:04:51.126551
7,2024-08-14 00:00:00+05:30,5000.0,5097.9501953125,4981.0,5039.2998046875,8826,0.0,0.0,2024-08-14,4474.1455078125,258.846948834373,4732.992456646873,4215.298558978127,4991.839405481246,3956.451610143754,135.60572170789038,294.79839438378053,304622,29752.01871900561,24895.54296545427,3481.8594396572876,80.21448148168676,5039.416666666667,5097.833333333334,4980.883138020834,5156.366861979167,4922.466471354167,5214.783528645834,4863.932942708334,0.00770226688909316,-8.375796980314421,152.4972765955663,90.22629897959322,62.27097761597307,72.0278825195659,22.55445902377952,4851.6099609375,4474.1455078125,4355.085952148437,4188.2205810546875,KOVAI.BO,2024-08-23 11:04:51.126551
8,2024-08-13 00:00:00+05:30,4934.0,5120.7998046875,4925.0,4980.89990234375,15974,0.0,0.0,2024-08-13,4434.452612304687,226.46349303471013,4660.916105339397,4207.989119269977,4887.379598374107,3981.525626235267,175.44128703420049,333.72561332368747,295796,53223.54686353357,23681.424027066438,3473.665531834039,74.98692228713428,5008.89990234375,5092.7998046875,4897.0,5204.69970703125,4813.10009765625,5288.599609375,4701.2001953125,-0.003044704463013109,-14.377585025730843,129.2025029535489,74.65855457559996,54.54394837794894,70.71477779632828,20.700422691008928,4765.87001953125,4434.452612304687,4337.600356445312,4173.679133300781,KOVAI.BO,2024-08-23 11:04:51.126551
9,2024-08-12 00:00:00+05:30,4675.85009765625,4824.0,4595.85009765625,4803.25,7575,0.0,0.0,2024-08-12,4398.797216796875,188.92682192383896,4587.724038720714,4209.870394873035,4776.650860644552,4020.9435729491966,123.34082901700226,239.25678639487722,279822,24338.85522224245,16295.893317949653,3459.175632378377,67.98999998956049,4741.033365885417,4886.216634114584,4658.066731770834,4969.183268229167,4512.883463541667,5114.366536458334,4429.916829427084,0.05869025458548194,-5.137541930740861,103.17202552219078,61.02256748111274,42.14945804107804,66.23794856623601,18.703768178794448,4643.380078125,4398.797216796875,4321.7207861328125,4159.268186035156,KOVAI.BO,2024-08-23 11:04:51.126551
10,2024-08-09 00:00:00+05:30,4820.0,4838.75,4590.0,4635.85009765625,5434,0.0,0.0,2024-08-09,4371.917065429688,165.09480844368596,4537.011873873374,4206.822256986002,4702.1066823170595,4041.727448542316,124.80319127320602,238.45009765510497,272247,16851.219561181228,14285.152841876454,3453.020162068055,65.01633000285264,4688.200032552083,4786.400065104166,4537.650065104166,4936.950032552083,4439.450032552083,5035.150065104166,4288.900065104166,-0.0060844243580514155,-29.363570592513845,85.77773759434876,50.48520297084322,35.292534623505546,61.024580858412335,17.911873721011126,4554.6201171875,4371.917065429688,4307.3836669921875,4144.89708984375,KOVAI.BO,2024-08-23 11:04:51.126551
