Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-17 00:00:00+05:30,821.0,831.0,805.0,815.9500122070312,41008,0.0,0.0,2024-09-17,876.6199951171875,49.47740587078188,926.0974009879694,827.1425892464056,975.5748068587512,777.6651833756238,-70.6449439100473,-138.30291823466015,6287263,233287.7998338489,244579.75485235138,489.32668459713705,34.06373875131155,817.3166707356771,829.6333414713542,803.6333414713542,843.3166707356771,791.3166707356771,855.6333414713542,777.6333414713542,-0.47183920024213144,-85.16527916774277,-35.91812725098873,-30.059755700685287,-5.8583715503034455,34.92601245505911,24.247566949182783,815.7400024414062,876.6199951171875,934.4860620117188,928.7562622070312,KPIGREEN.BO,2024-09-17 11:14:55.069372
2,2024-09-16 00:00:00+05:30,822.0999755859375,839.9500122070312,814.0,817.8499755859375,40553,0.0,0.0,2024-09-16,886.1372436523437,55.17219712744747,941.3094407797912,830.9650465248963,996.4816379072387,775.7928493974488,-63.955586793583976,-139.11338410518636,6328271,231236.56953492115,247402.74360697696,489.0485437353655,31.369538107894243,823.9333292643229,833.8666585286458,807.9166463216145,849.8833414713541,797.9833170572916,859.816670735677,781.9666341145833,-0.4647738657448688,-83.59506149922521,-35.928168357007394,-28.59516281310942,-7.333005543897972,35.19410196259169,23.635908497981475,820.3300048828125,886.1372436523437,936.008427734375,929.7054064941407,KPIGREEN.BO,2024-09-17 11:14:55.069372
3,2024-09-13 00:00:00+05:30,813.0,850.0,798.0,819.4500122070312,58335,0.0,0.0,2024-09-13,895.1320831298829,58.04301805013257,953.1751011800154,837.0890650797503,1011.218119230148,779.0460470296177,-79.62518509849286,-150.16133906916662,6368824,333281.7656466389,251444.2871249909,488.77142137063134,23.731887748699876,822.4833374023438,846.9666748046875,794.9666748046875,874.4833374023438,770.4833374023438,898.9666748046875,742.9666748046875,-0.46003320825342137,-84.34305678318887,-35.58377543374161,-26.761911427134926,-8.821864006606681,35.406620582928596,23.214544080720138,822.4300048828125,895.1320831298829,937.6497607421875,930.2018896484375,KPIGREEN.BO,2024-09-17 11:14:55.069372
4,2024-09-12 00:00:00+05:30,815.0,830.0,805.0,810.6500244140625,19832,0.0,0.0,2024-09-12,904.2743743896484,59.86630346645728,964.1406778561056,844.4080709231912,1024.006981322563,784.5417674567339,-117.4408843122082,-170.35763572718471,6310489,112088.17523634242,230984.91749457887,488.37002168798995,15.88549377265278,815.2166748046875,825.433349609375,800.433349609375,840.2166748046875,790.2166748046875,850.433349609375,775.433349609375,-0.4722243614390929,-95.88790144822985,-34.76127938203581,-24.556445425483254,-10.204833956552555,33.35121592354794,22.76076701597716,832.9099975585938,904.2743743896484,938.86267578125,930.834341430664,KPIGREEN.BO,2024-09-17 11:14:55.069372
5,2024-09-11 00:00:00+05:30,849.0,849.0,810.0,814.7999877929688,18980,0.0,0.0,2024-09-11,915.8162628173828,63.03433111544859,978.8505939328314,852.7819317019342,1041.88492504828,789.7476005864856,-140.66446428529912,-172.59689100451692,6330321,107821.93141132045,260709.103059138,488.2369698506316,14.754991862199574,824.5999959309896,839.1999918619792,800.1999918619792,863.5999959309896,785.5999959309896,878.1999918619792,761.1999918619792,-0.49066472496970587,-93.28767959385702,-32.31488367892257,-22.005236936345113,-10.309646742577456,33.822514318235946,21.32332083876741,848.0499877929688,915.8162628173828,940.4865417480469,931.1708709716797,KPIGREEN.BO,2024-09-17 11:14:55.069372
6,2024-09-10 00:00:00+05:30,830.0,859.9000244140625,805.0,838.9000244140625,34566,0.0,0.0,2024-09-10,929.8901000976563,70.29765541907577,1000.1877555167321,859.5924446785805,1070.4854109358077,789.2947892595048,-186.07458874898202,-170.56078075583545,6349301,202171.16691055475,298930.8959710924,488.10789077681176,12.455579030262271,834.6000162760416,864.2000325520833,809.3000081380208,889.5000406901041,779.6999918619791,919.1000569661458,754.3999837239583,-0.4324664231720877,-76.9387589019983,-29.10184491181485,-19.42782525070075,-9.674019661114102,36.61247191310512,19.87744879993406,863.939990234375,929.8901000976563,942.2328662109375,931.4564031982422,KPIGREEN.BO,2024-09-17 11:14:55.069372
7,2024-09-09 00:00:00+05:30,874.9500122070312,874.9500122070312,828.2999877929688,828.3499755859375,86926,0.0,0.0,2024-09-09,941.1342651367188,72.91416139132184,1014.0484265280406,868.220103745397,1086.9625879193625,795.3059423540751,-236.6795468374628,-168.68086651155204,6314735,502022.8032763585,323120.8282362268,487.8551913002383,12.285534913301177,843.8666585286459,859.433329264323,812.7833048502605,890.5166829427084,797.2166341145834,906.0833536783855,766.133280436198,-0.4189339068237186,-99.97375865354384,-26.920733052795185,-17.009320335422224,-9.911412717372961,34.41330499622701,18.32035583503661,874.02998046875,941.1342651367188,942.6383642578126,931.9395959472656,KPIGREEN.BO,2024-09-17 11:14:55.069372
8,2024-09-06 00:00:00+05:30,893.2000122070312,896.0,868.0,871.8499755859375,41101,0.0,0.0,2024-09-06,950.3739471435547,69.49844368843604,1019.8723908319907,880.8755034551186,1089.3708345204268,811.3770597666826,-91.95403796419419,-124.09624830727716,6401661,249835.43359024308,278395.3344761939,487.2372417815126,12.9258474424242,878.6166585286459,889.2333170572917,861.2333170572917,906.6166585286459,850.6166585286459,917.2333170572917,833.2333170572917,-0.3394768626000845,-93.93137910531483,-22.681339075177448,-14.531467156078982,-8.149871919098466,39.684756443561724,17.10531105049722,885.6099853515625,950.3739471435547,943.4223291015625,932.3418267822266,KPIGREEN.BO,2024-09-17 11:14:55.069372
9,2024-09-05 00:00:00+05:30,900.0,905.0,885.0,886.3499755859375,14329,0.0,0.0,2024-09-05,955.0266204833985,67.03604080357769,1022.0626612869762,887.9905796798207,1089.0987020905538,820.9545388762431,-38.85273823503725,-108.3198908903248,6442762,88548.45844866816,285535.3096976816,486.9069165707502,12.72220241116311,892.1166585286459,899.2333170572917,879.2333170572917,912.1166585286459,872.1166585286459,919.2333170572917,859.2333170572917,-0.29622201471626763,-85.82122233344302,-21.19406437542193,-12.493999176304364,-8.700065199117567,41.659983294209,16.752314182324323,892.439990234375,955.0266204833985,943.4287756347657,932.4350317382813,KPIGREEN.BO,2024-09-17 11:14:55.069372
10,2024-09-04 00:00:00+05:30,868.0,898.4500122070312,868.0,894.25,35348,0.0,0.0,2024-09-04,957.1846557617188,65.38317176303019,1022.567827524749,891.8014839986886,1087.9509992877793,826.4183122356584,-64.44733354357662,-119.46283420319499,6457091,220385.83647557144,334782.0225099349,486.787279301602,10.770524339078904,886.9000040690104,905.8000081380208,875.3499959309895,917.3500162760416,856.4499918619791,936.250020345052,844.8999837239583,-0.3074485760309377,-81.4025715403629,-20.3968101859557,-10.31898287652497,-10.077827309430731,42.73610808429911,16.860328377156645,888.0799926757812,957.1846557617188,943.1837158203125,932.2580126953125,KPIGREEN.BO,2024-09-17 11:14:55.069372
