Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-07-18 00:00:00+05:30,4.860000133514404,4.860000133514404,4.860000133514404,4.860000133514404,3685,0.0,0.0,2025-07-18,4.635000014305115,0.32820884729330063,4.963208861598416,4.306791167011815,5.291417708891716,3.9785823197185137,105.44394198712696,64.90716663719935,4835268,8329.813812840734,177279.33572760763,4.954333748993908,46.23231066366471,4.860000133514404,4.860000133514404,4.860000133514404,4.860000133514404,4.860000133514404,4.860000133514404,4.860000133514404,,-15.84157293981511,0.038011886008323614,0.004326865847293471,0.033685020161030144,59.233122320677765,22.359124791341117,4.7080000877380375,4.635000014305115,4.4180000162124635,4.12410002708435,KRIDHANINF.NS,2025-07-20 16:56:24.536892
2,2025-07-17 00:00:00+05:30,5.010000228881836,5.019999980926514,4.849999904632568,4.960000038146973,76663,0.0,0.0,2025-07-17,4.632500004768372,0.32659123185433675,4.959091236622709,4.305908772914035,5.285682468477045,3.9793175410596984,175.01343232482483,85.88134037245229,4838953,176859.75165479069,219516.71620629934,4.954339532924735,40.94385758270456,4.9433333079020185,5.036666711171469,4.866666634877523,5.113333384195964,4.773333231608073,5.206666787465414,4.696666558583578,,-12.84402826901498,0.016297643562553255,-0.004094389192964065,0.02039203275551732,62.84271458748769,21.424553758652493,4.568000030517578,4.632500004768372,4.393200011253357,4.118400025367737,KRIDHANINF.NS,2025-07-20 16:56:24.536892
3,2025-07-16 00:00:00+05:30,4.78000020980835,4.789999961853027,4.590000152587891,4.789999961853027,113679,0.0,0.0,2025-07-16,4.614000010490417,0.3174138748969819,4.931413885387399,4.296586135593436,5.248827760284382,3.9791722606964535,164.4144059001561,41.71115788655182,4762290,253266.22395820438,230180.95734417648,4.954332303321703,33.34831680273729,4.723333358764648,4.856666564941406,4.6566667556762695,4.923333168029785,4.523333549499512,5.056666374206543,4.456666946411133,,-36.585363962572536,-0.021598576291110838,-0.009192397381843395,-0.012406178909267443,58.88788696996077,20.418092646526283,4.411999988555908,4.614000010490417,4.366000008583069,4.113500022888184,KRIDHANINF.NS,2025-07-20 16:56:24.536892
4,2025-07-15 00:00:00+05:30,4.570000171661377,4.570000171661377,4.570000171661377,4.570000171661377,31125,0.0,0.0,2025-07-15,4.6065000057220455,0.3147977462440923,4.921297751966138,4.291702259477953,5.23609549821023,3.976904513233861,103.06192345587186,13.267454221177726,4648611,66158.72048073148,224409.6406906695,4.954644120485873,50.799507370223644,4.570000171661377,4.570000171661377,4.570000171661377,4.570000171661377,4.570000171661377,4.570000171661377,4.570000171661377,,-54.47153242338813,-0.05304753849463939,-0.006090852654526535,-0.04695668584011285,52.858453910645025,20.08208692530297,4.3,4.6065000057220455,4.343000011444092,4.1114000225067135,KRIDHANINF.NS,2025-07-20 16:56:24.536892
5,2025-07-14 00:00:00+05:30,4.28000020980835,4.360000133514404,4.010000228881836,4.360000133514404,68899,0.0,0.0,2025-07-14,4.6065000057220455,0.3147977462440923,4.921297751966138,4.291702259477953,5.23609549821023,3.976904513233861,-52.06215030523226,-46.4623822230465,4617486,139720.76087171998,263972.370743154,4.954844056338745,39.24381238093157,4.243333498636882,4.476666768391928,4.126666863759359,4.59333340326945,3.8933335940043134,4.826666673024496,3.776666959126791,-0.32839826721100324,-71.54471261052547,-0.07084134351672677,0.005648318805501679,-0.07648966232222845,45.81477610830864,20.59897383244844,4.238000011444091,4.6065000057220455,4.32720000743866,4.109400019645691,KRIDHANINF.NS,2025-07-20 16:56:24.536892
6,2025-07-11 00:00:00+05:30,4.28000020980835,4.28000020980835,4.099999904632568,4.159999847412109,53774,0.0,0.0,2025-07-11,4.627999997138977,0.3117454979246916,4.939745495063669,4.316254499214285,5.2514909929883595,4.004509001289594,-78.5916149138093,-53.45724232237709,4548587,104046.42877771975,295035.27321101254,4.955529289484242,53.50859308742982,4.179999987284343,4.260000069936117,4.079999764760336,4.360000292460124,3.9999996821085615,4.440000375111898,3.8999994595845546,-0.3440768990539473,-90.9836331480052,-0.07186763037876354,0.02477073438605879,-0.09663836476482232,37.56483296451859,22.17464747607426,4.222000026702881,4.627999997138977,4.319600005149841,4.107500019073487,KRIDHANINF.NS,2025-07-20 16:56:24.536892
7,2025-07-10 00:00:00+05:30,4.059999942779541,4.269999980926514,4.059999942779541,4.179999828338623,73515,0.0,0.0,2025-07-10,4.670500016212463,0.3023848069954865,4.9728848232079494,4.368115209216977,5.275269630203436,4.06573040222149,-91.756478343298,-51.44171793305587,4602361,142926.82499988316,342782.48431933566,4.956245171830013,62.78305059719781,4.169999917348226,4.27999989191691,4.069999853769938,4.379999955495198,3.959999879201253,4.489999930063883,3.859999815622965,-0.35056828307924826,-89.34429016718617,-0.052395687193889096,0.04893032557726437,-0.10132601277115347,38.103537581841344,23.382191472693375,4.270000076293945,4.670500016212463,4.315400009155273,4.106300020217896,KRIDHANINF.NS,2025-07-20 16:56:24.536892
8,2025-07-09 00:00:00+05:30,4.150000095367432,4.460000038146973,4.050000190734863,4.230000019073486,245944,0.0,0.0,2025-07-09,4.720500016212464,0.2996747783483544,5.020174794560818,4.4208252378641095,5.319849572909172,4.121150459515755,-88.86225960981119,-34.58955828233126,4675876,483880.5016486353,392746.3991491987,4.95720131435974,65.02881320029144,4.2466667493184405,4.443333307902018,4.033333460489908,4.65666659673055,3.836666901906331,4.853333155314127,3.623333613077799,-0.335089899164378,-85.24591317262876,-0.02864152037126111,0.07426182877005273,-0.10290334914131384,39.415719409266565,24.73194457216002,4.316000080108642,4.720500016212464,4.312800016403198,4.106500020027161,KRIDHANINF.NS,2025-07-20 16:56:24.536892
9,2025-07-08 00:00:00+05:30,4.119999885559082,4.289999961853027,4.119999885559082,4.260000228881836,21640,0.0,0.0,2025-07-08,4.756000018119812,0.2799134735559798,5.0359134916757915,4.476086544563832,5.315826965231771,4.196173071007852,-115.76354661481912,-35.0949963134291,4921820,42877.3957506491,369962.8735243396,4.960210381586493,51.011208557306134,4.223333358764648,4.326666831970215,4.1566667556762695,4.393333435058594,4.053333282470703,4.49666690826416,3.986666679382324,-0.32503516455889225,-87.82605811193233,-0.002719287384797653,0.09998766605538119,-0.10270695344017884,40.18676188144603,26.1855248331241,4.390000057220459,4.756000018119812,4.31020001411438,4.107500019073487,KRIDHANINF.NS,2025-07-20 16:56:24.536892
10,2025-07-07 00:00:00+05:30,4.400000095367432,4.539999961853027,4.21999979019165,4.28000020980835,60400,0.0,0.0,2025-07-07,4.778500008583069,0.25491533338508593,5.033415341968155,4.5235846751979825,5.28833067535324,4.268669341812897,-117.49538629360285,-12.340713009675852,4943460,120238.14009563766,451734.24296776217,4.960465407799529,52.611422066057116,4.346666653951009,4.473333517710367,4.15333334604899,4.666666825612386,4.026666482289632,4.793333689371744,3.8333331743876133,-0.3067332374841682,-94.28567536023905,0.02755566126651754,0.1256644044154259,-0.09810874314890836,40.6793763778098,27.839457556546844,4.473999977111816,4.778500008583069,4.304200010299683,4.107400016784668,KRIDHANINF.NS,2025-07-20 16:56:24.536892
11,2025-07-04 00:00:00+05:30,4.429999828338623,4.449999809265137,4.260000228881836,4.400000095367432,34825,0.0,0.0,2025-07-04,4.78899998664856,0.23699656488218013,5.02599655153074,4.552003421766379,5.26299311641292,4.3150068568841995,-151.04845990936823,-5.897532887474142,5003860,71269.7658252818,534608.2686857933,4.961157850327251,35.37958181885871,4.370000044504802,4.4799998601277675,4.290000279744467,4.5599996248881025,4.180000464121501,4.669999440511068,4.100000699361166,-0.304662822110303,-86.13862367766178,0.06392956465662625,0.15019159020265296,-0.08626202554602672,43.66123285351802,29.864805989178773,4.589999961853027,4.78899998664856,4.299600009918213,4.1063000154495235,KRIDHANINF.NS,2025-07-20 16:56:24.536892
12,2025-07-03 00:00:00+05:30,4.75,4.75,4.369999885559082,4.409999847412109,159041,0.0,0.0,2025-07-03,4.798499989509582,0.2240365431899295,5.022536532699512,4.574463446319653,5.246573075889441,4.350426903129724,-150.04190743506993,17.822157736429368,5038685,326218.95563795505,650442.8944009211,4.961487286933198,35.05946338598419,4.509999910990397,4.649999936421713,4.269999821980795,4.890000025431315,4.1299997965494795,5.030000050862631,3.889999707539877,-0.308811794367434,-95.55556026505785,0.09771238307592256,0.17175709658915964,-0.07404471351323708,43.910297969278545,31.843146157807244,4.709999942779541,4.798499989509582,4.292600011825561,4.103200016021728,KRIDHANINF.NS,2025-07-20 16:56:24.536892
13,2025-07-02 00:00:00+05:30,4.550000190734863,4.840000152587891,4.550000190734863,4.599999904632568,147265,0.0,0.0,2025-07-02,4.814499998092652,0.20548978218318872,5.01998978027584,4.609010215909463,5.22547956245903,4.403520433726274,-100.7104887785213,41.96002366571879,5197726,315078.584143013,731498.8790916625,4.962969826909511,34.84368004798263,4.663333415985107,4.776666641235352,4.486666679382324,4.953333377838135,4.37333345413208,5.066666603088379,4.196666717529297,-0.2880660420469943,-87.77776423795868,0.13849931315265263,0.19026827496746887,-0.051768961814816244,48.82413042177972,34.09747967200786,4.84399995803833,4.814499998092652,4.283800015449524,4.100900015830994,KRIDHANINF.NS,2025-07-20 16:56:24.536892
