Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-02-07 00:00:00+05:30,2242.64990234375,2254.0,2222.35009765625,2232.949951171875,638,0.0,0.0,2025-02-07,2254.5074829101563,102.70040231596656,2357.207885226123,2151.8070805941898,2459.9082875420895,2049.106678278223,77.56283726482492,-70.99565546683297,663113,822.8453742892854,2121.157519473148,2341.396384096511,25.210764816288872,2236.433349609375,2250.5166015625,2218.86669921875,2268.083251953125,2204.783447265625,2282.16650390625,2187.216796875,-0.1278424486815842,-36.589619669189275,-41.79274614922679,-50.57320394827625,8.780457799049465,45.18110952309127,29.512098386930717,2232.2099609375,2254.5074829101563,2352.4119873046875,2423.108996582031,LUMAXIND.NS,2025-02-07 10:53:24.932790
2,2025-02-06 00:00:00+05:30,2266.39990234375,2269.14990234375,2230.0,2242.64990234375,725,0.0,0.0,2025-02-06,2265.287487792969,111.27578357379532,2376.563271366764,2154.0117042191737,2487.8390549405594,2042.7359206453782,91.24722062612324,-67.60299422944446,663751,939.1134326209328,2445.7355557691135,2341.4102352997897,38.659523662991504,2247.2666015625,2264.533203125,2225.38330078125,2286.41650390625,2208.11669921875,2303.68310546875,2186.2333984375,-0.038263479714804545,-35.585717663750295,-45.98308838265166,-52.768318398038616,6.785230015386958,46.17221037702189,29.616851105132437,2220.089990234375,2265.287487792969,2353.574990234375,2428.417497558594,LUMAXIND.NS,2025-02-07 10:53:24.932790
3,2025-02-05 00:00:00+05:30,2228.5,2282.449951171875,2221.64990234375,2266.39990234375,1423,0.0,0.0,2025-02-05,2276.2449951171875,119.4212110278266,2395.6662061450143,2156.8237840893607,2515.0874171728406,2037.4025730615342,97.87340839993394,-64.94459784571332,664476,1862.7733122227703,2822.3910865561584,2341.424571535839,34.79740525335089,2256.833251953125,2292.0166015625,2231.216552734375,2317.63330078125,2196.033203125,2352.816650390625,2170.41650390625,-0.03699855731557666,-30.173229660745832,-51.6065810032419,-54.464625901885356,2.858044898643456,48.59584585184401,29.831198069914766,2198.8,2276.2449951171875,2354.3529931640624,2433.390498046875,LUMAXIND.NS,2025-02-07 10:53:24.932790
4,2025-02-04 00:00:00+05:30,2198.60009765625,2242.0,2179.949951171875,2232.0,1529,0.0,0.0,2025-02-04,2284.727502441406,124.59803959626835,2409.3255420376745,2160.129462845138,2533.923581633943,2035.5314232488695,47.68963914518257,-96.96389191304785,663053,1971.152567346489,3062.295530139505,2341.445953487146,38.14638996813994,2217.9833170572915,2256.016682942708,2193.966634114583,2280.0333658854165,2155.9332682291665,2318.066731770833,2131.916585286458,-0.05879518400617757,-45.40893125940793,-60.363452903797224,-55.17913712654621,-5.184315777251015,44.691109392811754,30.062033262757275,2161.27001953125,2284.727502441406,2354.7819970703126,2437.6139990234374,LUMAXIND.NS,2025-02-07 10:53:24.932790
5,2025-02-03 00:00:00+05:30,2210.300048828125,2221.5,2134.85009765625,2187.050048828125,2248,0.0,0.0,2025-02-03,2297.425,131.68033730607684,2429.105337306077,2165.744662693923,2560.785674612154,2034.0643253878466,-7.931626597526643,-131.87249096366594,661524,2839.707397821926,3335.0812708377584,2341.479479241249,34.11133048944308,2181.1333821614585,2227.416666666667,2140.766764322917,2267.7832845052085,2094.4834798177085,2314.066569010417,2054.116861979167,0.001326532857873179,-54.43049697378324,-67.27243559256613,-53.883058182233455,-13.38937741033267,39.07585375807801,29.418752161124743,2132.77001953125,2297.425,2355.577998046875,2443.415498046875,LUMAXIND.NS,2025-02-07 10:53:24.932790
6,2025-01-31 00:00:00+05:30,2144.75,2184.949951171875,2121.60009765625,2172.35009765625,1731,0.0,0.0,2025-01-31,2309.4650024414063,132.06524633569938,2441.530248777106,2177.3997561057067,2573.595495112805,2045.3345097700076,-37.27356111367212,-161.48359380323015,659276,2171.9281291468756,3458.924739091716,2341.549060675069,35.275373900028356,2159.6333821614585,2197.666666666667,2134.316813151042,2222.9832356770835,2096.2835286458335,2261.016520182292,2070.966959635417,0.016390439513961408,-59.9301599732802,-70.67185860758445,-50.53571382965028,-20.136144777934177,37.13779402879988,28.24731170753401,2123.17001953125,2309.4650024414063,2356.5969970703127,2450.2369970703126,LUMAXIND.NS,2025-02-07 10:53:24.932790
7,2025-01-30 00:00:00+05:30,1960.0,2163.64990234375,1960.0,2136.199951171875,3561,0.0,0.0,2025-01-30,2322.2,130.41744702213342,2452.617447022133,2191.7825529778665,2583.034894044267,2061.365105955733,-105.3125536364292,-242.455821272282,657545,4393.720624825006,3780.673891577926,2341.607784247209,24.69563253130454,2086.6166178385415,2213.233235677083,2009.583333333333,2290.2665201822915,1882.9667154947915,2416.883138020833,1805.933430989583,-0.00568312328391112,-66.75158648807398,-72.50564199461905,-45.50167763516673,-27.003964359452326,32.21370512372761,26.09106110727376,2133.339990234375,2322.2,2357.7219970703127,2456.9219970703125,LUMAXIND.NS,2025-02-07 10:53:24.932790
8,2025-01-29 00:00:00+05:30,2089.5,2133.949951171875,2053.050048828125,2078.75,3149,0.0,0.0,2025-01-29,2337.532507324219,125.32572541205616,2462.858232736275,2212.2067819121626,2588.183958148331,2086.8810565001068,-135.79813332270768,-280.3082578673264,653984,3780.885167121698,3627.412208266156,2341.7545473438126,22.542718164484143,2088.5833333333335,2124.116617838542,2043.216715494792,2169.4832356770835,2007.6834309895835,2205.016520182292,1962.316813151042,-0.026666768996822934,-93.67809475182418,-70.19462838948812,-38.750686545303644,-31.443941844184472,23.353918261579324,23.22206198604283,2159.739990234375,2337.532507324219,2358.8889990234375,2464.3539965820314,LUMAXIND.NS,2025-02-07 10:53:24.932790
9,2025-01-28 00:00:00+05:30,2145.85009765625,2205.85009765625,2051.0,2089.5,3653,0.0,0.0,2025-01-28,2353.6275024414062,110.08576887129567,2463.713271312702,2243.5417335701104,2573.7990401839975,2133.455964698815,-151.37225881282262,-299.51412036934073,657133,4408.700657197321,3589.04396855227,2341.9208266857527,29.056911417373172,2115.4500325520835,2179.900065104167,2025.049967447917,2270.3001302083335,1960.5999348958335,2334.750162760417,1870.199869791667,0.0018276423829561741,-91.38702460850112,-60.51432595554479,-30.889701084257524,-29.624624871287267,23.89660771283745,20.76970364111213,2196.969970703125,2353.6275024414062,2361.7910009765624,2472.8599267578124,LUMAXIND.NS,2025-02-07 10:53:24.932790
10,2025-01-27 00:00:00+05:30,2234.89990234375,2234.89990234375,2133.35009765625,2139.050048828125,2185,0.0,0.0,2025-01-27,2365.45,91.32531037294707,2456.775310372947,2274.1246896270527,2548.100620745894,2182.7993792541056,-149.14306533481266,-282.733386944192,660786,2699.5473650449053,3384.1297963910074,2342.1060927487015,29.55308825250775,2169.1000162760415,2204.849934895833,2103.300130208333,2270.6498209635415,2067.5502115885415,2306.399739583333,2001.750325520833,0.033550887141123524,-98.43687023217636,-48.26243380973074,-23.483544866435704,-24.778888943295033,26.5358221821336,18.128702346571377,2237.819970703125,2365.45,2365.702001953125,2481.1225073242185,LUMAXIND.NS,2025-02-07 10:53:24.932790
