Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-17 00:00:00+05:30,54.849998474121094,54.9900016784668,53.900001525878906,53.97999954223633,8788021,0.0,0.0,2024-10-17,57.51100044250488,2.8705287149766074,60.38152915748149,54.64047172752827,63.252057872458096,51.769943012551664,-64.08968595314234,-152.6026852514195,2627103979,27642743.74092272,52116739.511729285,43.31630639074495,20.771762665411813,54.290000915527344,54.68000030517578,53.59000015258789,55.380001068115234,53.20000076293945,55.77000045776367,52.5,-0.2377823604176474,-93.79126812673255,-1.7276826747586824,-1.4526368718683775,-0.2750458028903049,32.79059682687665,28.667933347805153,54.26000061035156,57.51100044250488,59.800800247192385,62.876400260925294,MAHABANK.NS,2024-10-17 10:53:16.328030
2,2024-10-16 00:00:00+05:30,54.97999954223633,55.70000076293945,54.27000045776367,54.560001373291016,22333654,0.0,0.0,2024-10-16,57.76500053405762,2.7644346767877215,60.52943521084534,55.0005658572699,63.293869887633065,52.236131180482175,-43.65689088077104,-148.0555611556742,2635892000,71005393.95078304,58235238.454430915,43.310494701145736,20.344271405883788,54.84333419799805,55.41666793823242,53.98666763305664,56.27333450317383,53.413333892822266,56.8466682434082,52.55666732788086,-0.22909656786635427,-86.29238808519624,-1.7074173276551718,-1.3838754211458013,-0.32354190650937054,34.569107103922406,28.049115444580593,54.29600067138672,57.76500053405762,59.951200256347654,63.01810028076172,MAHABANK.NS,2024-10-17 10:53:16.328030
3,2024-10-15 00:00:00+05:30,54.599998474121094,55.099998474121094,53.5099983215332,54.31999969482422,30428543,0.0,0.0,2024-10-15,58.027500534057616,2.6924041924434308,60.71990472650105,55.33509634161418,63.412308918944476,52.642692149170756,-75.95269815277658,-177.21041950642257,2613558346,96315925.38536558,55042699.580342874,43.29489203269866,10.718948698211292,54.30999883015951,55.10999933878581,53.51999918619792,55.8999989827474,52.71999867757162,56.6999994913737,51.92999903361003,-0.2080175852319033,-89.81130445839702,-1.7127229752908377,-1.3029899445184587,-0.409733030772379,33.176479581042386,27.585756226882435,54.316000366210936,58.027500534057616,60.10340019226074,63.160500297546385,MAHABANK.NS,2024-10-17 10:53:16.328030
4,2024-10-14 00:00:00+05:30,54.349998474121094,54.95000076293945,53.79999923706055,54.20000076293945,9822253,0.0,0.0,2024-10-14,58.34350051879883,2.6037850421086848,60.94728556090751,55.739715476690144,63.5510706030162,53.135930434581454,-90.19858527257762,-194.88907988529152,2583129803,31021842.90080992,44724393.129087195,43.274018735023546,21.461989927185243,54.31666692097982,54.83333460489909,53.68333307902019,55.466668446858726,53.166665395100914,55.983336130778,52.53333155314128,-0.24688746157159064,-95.70813799381298,-1.6699289349861104,-1.2005566868253639,-0.4693722481607465,32.50955032360082,26.395580531999943,54.86000061035156,58.34350051879883,60.32720024108887,63.29280033111572,MAHABANK.NS,2024-10-17 10:53:16.328030
5,2024-10-11 00:00:00+05:30,54.20000076293945,54.630001068115234,53.79999923706055,54.2400016784668,7882394,0.0,0.0,2024-10-11,58.684500503540036,2.4760290393381554,61.160529542878194,56.20847146420188,63.636558582216345,53.73244242486373,-109.95073502151041,-219.6444912712969,2592952056,24913515.7440381,48150030.686156504,43.2673373859511,35.217998443563786,54.223333994547524,54.6466687520345,53.81666692097981,55.05333582560221,53.393332163492836,55.47667058308919,52.986665089925125,-0.19964457335606464,-95.4403899292008,-1.5780195653196571,-1.0832136247851771,-0.49480594053448,32.61028967185254,25.24968541907525,55.18800048828125,58.684500503540036,60.56540023803711,63.42530029296875,MAHABANK.NS,2024-10-17 10:53:16.328030
6,2024-10-10 00:00:00+05:30,55.0,55.56999969482422,54.0,54.15999984741211,13569778,0.0,0.0,2024-10-10,58.90850048065185,2.2446175030994757,61.15311798375133,56.663882977552376,63.397735486850806,54.4192654744529,-128.48077027543766,-232.88303595344087,2585069662,42826105.47448705,53959159.4216861,43.26195002625145,33.48335563118161,54.576666514078774,55.15333302815755,53.58333333333333,56.14666620890299,53.006666819254555,56.723332722981766,52.01333363850911,-0.21264972717568828,-98.30688005825789,-1.4403778175741024,-0.9595121396515571,-0.4808656779225453,32.22022771769166,23.658964527454945,55.87000045776367,58.90850048065185,60.819400253295896,63.52440029144287,MAHABANK.NS,2024-10-17 10:53:16.328030
7,2024-10-09 00:00:00+05:30,56.75,56.97999954223633,54.29999923706055,54.65999984741211,39971975,0.0,0.0,2024-10-09,59.12750053405762,1.9514658480630673,61.07896638212068,57.17603468599455,63.03043223018375,55.224568837931486,-139.58862486166126,-230.32881600796182,2598639440,127315833.72681525,56742422.90848585,43.252730799210084,34.10486634324481,55.313332875569664,56.32666651407878,53.646666208903,57.993333180745445,52.63333257039388,59.00666681925456,50.96666590372722,-0.19617252103036395,-96.06556775609955,-1.2344517963024515,-0.8392957201709207,-0.3951560761315308,33.34019002708381,22.026636188605977,56.72800064086914,59.12750053405762,61.08960021972656,63.62280029296875,MAHABANK.NS,2024-10-17 10:53:16.328030
8,2024-10-08 00:00:00+05:30,56.25,57.25,55.310001373291016,57.040000915527344,10974855,0.0,0.0,2024-10-08,59.38100051879883,1.6459736838622674,61.026974202661094,57.73502683493656,62.67294788652336,56.089053151074296,-126.4420344621474,-197.1167138401064,2638611415,36478376.37475672,39099070.203903496,43.22423414748338,39.95405857183607,56.53333409627279,57.75666681925456,55.81666819254558,58.47333272298177,54.593335469563804,59.696665445963546,53.87666956583659,-0.09540210366261075,-78.7469327769686,-1.0013426963970389,-0.740506701138038,-0.2608359952590009,39.39232632779849,20.38659551776092,57.77200088500977,59.38100051879883,61.35820014953613,63.72170032501221,MAHABANK.NS,2024-10-17 10:53:16.328030
9,2024-10-07 00:00:00+05:30,58.5099983215332,58.869998931884766,55.599998474121094,55.84000015258789,11622901,0.0,0.0,2024-10-07,59.483500480651855,1.553766818825773,61.03726729947763,57.929733661826084,62.5910341183034,56.37596684300031,-166.6483982888407,-202.16842357715674,2627636560,37819617.707784116,39754243.66119019,43.21475152834371,41.23387061846281,56.769999186197914,57.939999898274735,54.66999944051106,60.039999643961586,53.49999872843424,61.21000035603841,51.39999898274739,-0.1549765675634117,-96.94265466892082,-0.9221145949477147,-0.6752977023232877,-0.24681689262442708,33.76293676106074,19.035100174329568,58.422000885009766,59.483500480651855,61.57200019836426,63.79480030059815,MAHABANK.NS,2024-10-17 10:53:16.328030
10,2024-10-04 00:00:00+05:30,58.209999084472656,58.849998474121094,57.40999984741211,57.650001525878906,10744051,0.0,0.0,2024-10-04,59.701500511169435,1.300959827168052,61.002460338337485,58.400540684001385,62.30342016550554,57.09958085683333,-136.57786069115056,-157.35535248919433,2639259461,36093131.965917684,40237900.149541706,43.20556767793528,46.29691505764922,57.96999994913737,58.530000050862625,57.09000142415364,59.40999857584635,56.53000132242838,59.96999867757161,55.65000279744466,-0.13522278219553555,-95.86776807394334,-0.6885252900004133,-0.6135934791671809,-0.07493181083323242,38.812020677362966,17.70388377622153,59.220001220703125,59.701500511169435,61.78780014038086,63.861400299072265,MAHABANK.NS,2024-10-17 10:53:16.328030
11,2024-10-03 00:00:00+05:30,59.0,59.29999923706055,58.06999969482422,58.45000076293945,8713928,0.0,0.0,2024-10-03,59.87900047302246,1.2474007323640959,61.12640120538656,58.63159974065836,62.37380193775065,57.38419900829427,-105.5923807543409,-134.37009948132436,2650003512,29679438.030134894,41274092.195447706,43.195848466419314,52.69617986528564,58.606666564941406,59.143333435058594,57.913333892822266,59.836666107177734,57.37666702270508,60.37333297729492,56.68333435058594,-0.12125757059432626,-82.6446385211331,-0.5572857046722888,-0.5948605264588727,0.03757482178658389,41.349916177600285,17.140327149371895,59.698001098632815,59.87900047302246,61.97860015869141,63.923900299072265,MAHABANK.NS,2024-10-17 10:53:16.328030
12,2024-10-01 00:00:00+05:30,59.9900016784668,60.61000061035156,59.349998474121094,59.880001068115234,11955842,0.0,0.0,2024-10-01,60.03350048065185,1.2524426745234416,61.285943155175296,58.78105780612841,62.53838582969873,57.52861513160497,-13.559341689854582,-68.93562554207712,2658717440,41717584.24113277,44172755.736775905,43.18751929951343,53.75579848672035,59.9466667175293,60.5433349609375,59.28333282470703,61.206668853759766,58.68666458129883,61.80333709716797,58.02333068847656,-0.09133028439277521,-59.00826685986061,-0.45960334673281267,-0.6042542319055186,0.14465088517270597,46.38421590077388,16.902569933418196,60.04400100708008,60.03350048065185,62.11340019226074,63.96090030670166,MAHABANK.NS,2024-10-17 10:53:16.328030
13,2024-09-30 00:00:00+05:30,60.0,61.08000183105469,59.29999923706055,60.290000915527344,10841817,0.0,0.0,2024-09-30,60.13250045776367,1.3162978616511833,61.448798319414855,58.81620259611248,62.765096181066035,57.4999047344613,7.772349957392103,-57.119832466105834,2670673282,38089436.53294931,44786548.61068668,43.17500443710866,55.704549364227205,60.223333994547524,61.1466687520345,59.36666615804036,62.003336588541664,58.44333140055338,62.92667134602864,57.58666356404622,-0.09984568689494822,-52.231409023241916,-0.4684100041725685,-0.6404169531986951,0.17200694902612657,47.93806215341961,17.446031303846002,60.36000061035156,60.13250045776367,62.24720016479492,64.00707153320313,MAHABANK.NS,2024-10-17 10:53:16.328030
14,2024-09-27 00:00:00+05:30,60.29999923706055,60.70000076293945,59.70000076293945,59.83000183105469,9288927,0.0,0.0,2024-09-27,60.21700038909912,1.3796605771783044,61.596660966277426,58.83733981192081,62.976321543455725,57.457679234742514,-9.637704199833488,-68.67964019408252,2659831465,32384839.654081415,46460826.63012102,43.16336051603204,53.982003586861275,60.07666778564453,60.45333480834961,59.45333480834961,61.07666778564453,59.07666778564453,61.45333480834961,58.45333480834961,-0.12417107862465204,-59.834700634500884,-0.5129668459553969,-0.6834186904552266,0.17045184449982975,46.05538786416879,18.031297395075946,60.92600021362305,60.21700038909912,62.354400177001956,64.04034111022949,MAHABANK.NS,2024-10-17 10:53:16.328030
15,2024-09-26 00:00:00+05:30,60.0099983215332,61.16999816894531,59.29999923706055,60.040000915527344,11983212,0.0,0.0,2024-09-26,60.3540002822876,1.4721495435036185,61.82614982579122,58.88185073878398,63.29829936929484,57.40970119528036,-5.044957764672179,-67.96251964230285,2669120392,41924811.43593042,49979823.37413092,43.153640046918504,54.95020445808102,60.16999944051107,61.03999964396159,59.17000071207683,62.039998372395836,58.300000508626304,62.90999857584636,57.30000178019206,-0.09875461613251948,-56.36364094929857,-0.5169379404345094,-0.726031651580184,0.20909371114567465,46.77239126578604,18.91394326995177,60.64399948120117,60.3540002822876,62.501600189208986,64.09532516479493,MAHABANK.NS,2024-10-17 10:53:16.328030
