Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-12-03 00:00:00+05:30,641.4000244140625,672.0,641.4000244140625,666.8499755859375,576304,0.0,0.0,2024-12-03,633.6425018310547,18.990805774146786,652.6333076052015,614.6516960569079,671.6241133793483,595.6608902827611,136.00913647169818,154.07927140621698,32327665,1012382.1636815756,420899.4200861258,600.9720338937761,74.12475155584553,660.0833333333334,678.7666422526042,648.1666666666667,690.6833089192709,629.4833577473959,709.3666178385417,617.5666910807292,0.10941826498523173,-6.964196841028824,7.981905664692931,4.83164213407666,3.1502635306162707,64.238877481272,16.014531269927236,646.85,633.6425018310547,623.8850012207031,631.7090740966797,MAHSEAMLES.NS,2024-12-03 10:58:31.526536
2,2024-12-02 00:00:00+05:30,647.0999755859375,647.0999755859375,636.4500122070312,641.2000122070312,111203,0.0,0.0,2024-12-02,632.2375030517578,17.375471471140823,649.6129745228986,614.862031580617,666.9884459940395,597.4865601094762,30.466106342465736,86.38280902507033,31751361,187834.22926003695,273028.7341872633,600.7531829100589,61.451242377007226,641.5833333333334,646.7166544596355,636.0666910807292,652.2332967122396,630.9333699544271,657.3666178385417,625.416727701823,0.05804730452965382,-27.29570717951935,6.073239845847979,4.0440762514225925,2.0291635944253867,55.55148800598238,15.288188985301542,643.4900024414062,632.2375030517578,623.3740014648438,631.3382275390625,MAHSEAMLES.NS,2024-12-03 10:58:31.526536
3,2024-11-29 00:00:00+05:30,644.4000244140625,646.25,634.9500122070312,642.25,109414,0.0,0.0,2024-11-29,631.4700012207031,17.297590224012225,648.7675914447153,614.1724109966909,666.0651816687275,596.8748207726787,37.57754655591855,86.08796022099513,31862564,185115.0462639536,294327.3604190698,600.7272389471198,55.63636006675014,641.1500040690104,647.3499959309895,636.0500081380208,652.4499918619791,629.8500162760416,658.6499837239583,624.750020345052,0.06459272268910736,-25.52656287439929,6.0636831856152185,3.5367853528162456,2.526897832798973,56.06923793673272,16.11079088986854,646.2599975585938,631.4700012207031,623.7190014648437,631.2022534179688,MAHSEAMLES.NS,2024-12-03 10:58:31.526536
4,2024-11-28 00:00:00+05:30,642.0499877929688,651.9500122070312,639.0499877929688,641.9000244140625,86220,0.0,0.0,2024-11-28,630.7100006103516,17.1321520602025,647.8421526705541,613.577848550149,664.9743047307566,596.4456964899466,59.886607341800804,97.45874124383222,31753150,145794.15806408096,321630.4389578489,600.7010167773254,61.51706896247786,644.3000081380209,649.550028483073,636.6500040690105,657.2000325520834,631.3999837239584,662.4500528971355,623.749979654948,0.09226783488453,-29.217065406620172,5.856165888197552,2.9050608946165024,2.9511049935810494,55.94213902761109,17.062357614852594,646.0099975585938,630.7100006103516,624.2980017089844,631.2027502441406,MAHSEAMLES.NS,2024-12-03 10:58:31.526536
5,2024-11-27 00:00:00+05:30,649.9000244140625,650.3499755859375,638.0,642.0499877929688,112189,0.0,0.0,2024-11-27,629.1375,17.49059504276243,646.6280950427624,611.6469049572377,664.1186900855249,594.1563099144752,71.01677341103165,95.12042386333997,31839370,189750.89391609075,365589.5091812908,600.6805041893534,65.72543034363633,643.4666544596354,648.9333089192708,636.5833333333333,655.8166300455729,631.1166788736979,661.2832845052083,624.2333577473958,0.14995568981463095,-28.974993817666988,5.5362183698428,2.16728464622124,3.3689337236215597,56.00662288421467,17.753834819147155,643.339990234375,629.1375,624.9670007324219,631.1978991699219,MAHSEAMLES.NS,2024-12-03 10:58:31.526536
6,2024-11-26 00:00:00+05:30,654.0499877929688,654.2999877929688,647.0499877929688,650.0499877929688,116581,0.0,0.0,2024-11-26,626.2550018310546,19.842844197352658,646.0978460284073,606.412157633702,665.9406902257599,586.5693134363494,125.22967919305897,124.7288096560131,31951559,199636.17592501215,409549.1629975908,600.6536855024926,72.9833224320553,650.4666544596354,653.883321126302,646.633321126302,657.7166544596354,643.2166544596354,661.133321126302,639.383321126302,0.053934036878603965,-16.061356329970078,5.027937375392639,1.32505121531585,3.7028861600767895,59.39735173870282,18.607170123242806,637.0099975585938,626.2550018310546,625.5220007324219,631.1079864501953,MAHSEAMLES.NS,2024-12-03 10:58:31.526536
7,2024-11-25 00:00:00+05:30,655.0,657.4000244140625,645.5499877929688,655.0499877929688,343739,0.0,0.0,2024-11-25,622.2450012207031,22.68172737997717,644.9267286006802,599.563273840726,667.6084559806575,576.8815464607487,153.0976710415534,135.54199543192215,32068140,593154.6831035265,462027.4097657354,600.6203872064538,71.79733344007613,652.6666666666666,659.7833455403645,647.9333089192708,664.5167032877604,640.8166300455729,671.6333821614583,636.083272298177,0.011159970067441105,-7.990332900159509,3.513124020749842,0.39932967529665275,3.1137943454531896,61.560318615537696,18.805798410904924,629.0099975585938,622.2450012207031,625.7160009765626,630.9764135742188,MAHSEAMLES.NS,2024-12-03 10:58:31.526536
8,2024-11-22 00:00:00+05:30,630.0,646.9500122070312,630.0,641.0,275159,0.0,0.0,2024-11-22,618.4850006103516,23.184810527382535,641.6698111377341,595.300190082969,664.8546216651166,572.1153795555865,82.50134345479701,81.49096156935606,31724401,464629.16104157205,429245.5914312876,600.5119875732549,70.02652413415368,639.3166707356771,648.6333414713542,631.683329264323,656.2666829427084,622.3666585286459,665.5833536783855,614.7333170572917,-0.0394232438396615,-30.669889033280164,1.0280504982032426,-0.3791189110666447,1.4071694092698872,57.52438413058577,19.019705797617974,619.5400024414063,618.4850006103516,625.8140014648437,630.8872509765625,MAHSEAMLES.NS,2024-12-03 10:58:31.526536
9,2024-11-21 00:00:00+05:30,616.0,630.3499755859375,611.5499877929688,628.5499877929688,407687,0.0,0.0,2024-11-21,615.4399993896484,24.055000185484577,639.494999575133,591.3849992041638,663.5499997606175,567.3299990186792,-4.007516842279346,14.63061263711421,31449242,675042.9361896082,420399.6990287164,600.4473378085733,69.48593468820263,623.4833170572916,635.4166463216145,616.6166585286458,642.2833048502604,604.6833292643229,654.2166341145833,597.816670735677,-0.08446194844843466,-50.76675707815553,-0.7854622669344735,-0.7309112633841165,-0.054551003550357025,53.50784148781597,19.868816815560105,611.3300048828125,615.4399993896484,626.3790014648438,630.9243334960937,MAHSEAMLES.NS,2024-12-03 10:58:31.526536
10,2024-11-19 00:00:00+05:30,612.8499755859375,623.7000122070312,606.0,610.4000244140625,130981,0.0,0.0,2024-11-19,612.775,25.438819759756413,638.2138197597563,587.3361802402436,663.6526395195128,561.8973604804871,-51.351123013801505,-28.512282345570995,31041555,210614.15484581387,356738.8897384935,600.3806940334254,70.22820053068256,613.3666788736979,620.7333577473958,603.0333455403645,631.0666910807291,595.6666666666666,638.433369954427,585.3333333333333,-0.17842688016517252,-80.06451301442675,-1.8692696463511993,-0.7172735124965273,-1.151996133854672,46.682848111778426,20.84646122706901,608.1300048828125,612.775,626.7700012207031,631.142935180664,MAHSEAMLES.NS,2024-12-03 10:58:31.526536
