Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-22 00:00:00+05:30,225.27999877929688,227.3800048828125,214.1999969482422,218.41000366210938,779644,0.0,0.0,2025-01-22,237.63050231933593,11.314145153904398,248.94464747324034,226.31635716543153,260.2587926271447,215.00221201152715,-121.43301380439463,-133.43525018576207,204930667,2266536.320580841,4303225.920895089,172.9500815466214,35.956151695073785,219.99666849772134,225.7933400472005,212.6133321126302,233.17667643229166,206.81666056315103,238.97334798177081,199.43332417805988,0.0969560151100352,-90.43615105575766,-2.072424866965264,0.817828849842375,-2.890253716807639,40.29559311971014,25.046684274115268,226.59200439453124,237.63050231933593,225.03899993896485,207.5043000793457,MANINFRA.NS,2025-01-22 10:52:34.436597
2,2025-01-21 00:00:00+05:30,226.0,230.9499969482422,222.60000610351562,224.5500030517578,1251069,0.0,0.0,2025-01-21,238.4075019836426,10.42323243199459,248.83073441563718,227.984269551648,259.2539668476318,217.5610371196534,-61.53545566054937,-72.8259545942524,205710311,3739281.3546651923,4812398.3209736515,172.8962222534169,41.902467086062494,226.03333536783853,229.46666463216144,221.11667378743488,234.3833262125651,217.68334452311197,237.816655476888,212.76668294270831,0.09739332706087989,-81.86237338137397,-1.139720288086835,1.5403922790442846,-2.6801125671311192,44.0311583845772,25.7577424535278,226.64800415039062,238.4075019836426,224.4413998413086,207.27830001831055,MANINFRA.NS,2025-01-22 10:52:34.436597
3,2025-01-20 00:00:00+05:30,236.35000610351562,236.75,226.14999389648438,227.10000610351562,831532,0.0,0.0,2025-01-20,238.827001953125,9.996250303319115,248.8232522564441,228.8307516498059,258.81950255976324,218.83450134648677,-30.02052038431571,-32.121214050013876,206961380,2513563.889593835,5080677.562550766,172.7978335028714,49.37636262748674,230.0,233.85000610351562,223.25,240.60000610351562,219.39999389648438,244.45001220703125,212.64999389648438,0.09432719876099716,-75.66251257653508,-0.533004209744405,2.2104204208270644,-2.7434246305714693,45.663671694507855,27.59924966381049,227.25800476074218,238.827001953125,223.7797998046875,206.99720001220703,MANINFRA.NS,2025-01-22 10:52:34.436597
4,2025-01-17 00:00:00+05:30,227.5,238.8800048828125,224.89999389648438,235.49000549316406,1716528,0.0,0.0,2025-01-17,239.13550186157227,9.706291313265387,248.84179317483765,229.42921054830688,258.54808448810303,219.7229192350415,-10.20282245069976,-1.5600864337856577,207792912,5380432.5034748735,5722455.980789999,172.72899864588112,48.47101176726954,233.09000142415366,241.28000895182294,227.2999979654948,247.07001241048178,219.10999043782553,255.26001993815106,213.31998697916669,0.09042530068490344,-55.26378076613729,0.0007153810624629386,2.896276578469932,-2.895561197407469,51.49698828488268,29.335525828709127,227.3300048828125,239.13550186157227,223.1011996459961,206.71379989624023,MANINFRA.NS,2025-01-22 10:52:34.436597
5,2025-01-16 00:00:00+05:30,219.88999938964844,231.8800048828125,218.75999450683594,227.41000366210938,3086218,0.0,0.0,2025-01-16,239.22000122070312,9.6802057929169,248.90020701362002,229.53979542778623,258.5804128065369,219.85958963486934,-81.20594851618714,-30.391720186146465,206076384,9341787.431195395,5807961.8501187805,172.56433756274242,54.15282919766996,226.01666768391928,233.27334086100262,220.15333048502606,239.13667805989584,212.89665730794272,246.39335123697919,207.0333201090495,0.08290775730407618,-77.42286315156977,-0.14226046727989683,3.6201668778217986,-3.7624273451016954,45.24150385568727,31.205361698599965,227.29600524902344,239.22000122070312,222.25179962158202,206.32529983520507,MANINFRA.NS,2025-01-22 10:52:34.436597
6,2025-01-15 00:00:00+05:30,230.0,230.88999938964844,217.08999633789062,218.69000244140625,1128086,0.0,0.0,2025-01-15,239.67150115966797,9.303639940345958,248.97514110001393,230.367861219322,258.2787810403599,221.06422127897605,-131.80193358812542,-38.55429115569601,202990166,3283711.2033516704,4924505.454849627,172.30439789802094,66.32990577724613,222.22333272298178,227.35666910807294,213.55666605631512,236.0233357747396,208.42332967122397,241.15667215983075,199.7566630045573,0.05467927930914639,-96.49965783719728,0.4726003385414117,4.560773714097222,-4.088173375555811,37.11379648750553,33.00997637368506,229.87000427246093,239.67150115966797,221.5511996459961,206.04079986572265,MANINFRA.NS,2025-01-22 10:52:34.436597
7,2025-01-14 00:00:00+05:30,228.0,230.3000030517578,221.11000061035156,227.60000610351562,1134601,0.0,0.0,2025-01-14,240.74700088500975,7.885758758681511,248.63275964369126,232.86124212632825,256.51851840237276,224.97548336764675,-150.21097680049903,-12.939680526729612,204118252,3437235.172121511,5334704.017724115,172.22390045413997,70.734156283219,226.336669921875,231.56333923339844,222.3733367919922,235.52667236328125,217.14666748046875,240.7533416748047,213.18333435058594,0.05586904579868165,-84.21050710300489,2.1114358792676455,5.5828170579861744,-3.471381178718529,43.19723350547345,34.80438699105204,234.86400451660157,240.74700088500975,221.084599609375,205.86039978027344,MANINFRA.NS,2025-01-22 10:52:34.436597
8,2025-01-13 00:00:00+05:30,230.9600067138672,237.33999633789062,221.0,227.4600067138672,2035247,0.0,0.0,2025-01-13,241.61050033569336,7.293694524182248,248.90419485987562,234.3168058115111,256.1978893840579,227.02311128732887,-183.20182735143666,1.4704433585117056,202983651,6161919.021929114,5809071.229124766,172.12707692233158,73.83012032358525,228.6000010172526,236.2000020345052,219.86000569661456,244.93999735514322,212.26000467936197,252.53999837239581,203.52000935872394,0.0667133583848546,-84.54543397030886,3.30015017484925,6.450662352665806,-3.150512177816556,43.06106124375505,37.24208517628854,237.76000366210937,241.61050033569336,220.44379943847656,205.50199966430665,MANINFRA.NS,2025-01-22 10:52:34.436597
9,2025-01-10 00:00:00+05:30,238.10000610351562,239.3699951171875,233.0,235.32000732421875,1811172,0.0,0.0,2025-01-10,241.97750015258788,6.7051207557349795,248.68262090832286,235.2723793968529,255.38774166405784,228.56725864111792,-138.71053630075633,29.359301936934884,205018898,5672994.526466816,5720859.280923679,171.95298428598508,74.20381350875991,235.89666748046875,238.7933349609375,232.42333984375,242.26666259765625,229.52667236328125,245.163330078125,226.0533447265625,0.07969296080322075,-86.41506609265447,4.785850232947865,7.238290397119945,-2.4524401641720797,49.211329973573456,39.86729860654324,240.25400085449218,241.97750015258788,219.7209994506836,205.1497996520996,MANINFRA.NS,2025-01-22 10:52:34.436597
10,2025-01-09 00:00:00+05:30,245.72000122070312,245.72000122070312,238.69000244140625,240.27999877929688,1307195,0.0,0.0,2025-01-09,242.04099960327147,6.644493508159975,248.68549311143144,235.3965060951115,255.3299866195914,228.75201258695154,-87.20060227681508,48.54763775625693,206830070,4180727.054476794,5732825.469537894,171.7750661210982,73.76851833639148,241.5633341471354,244.43666585286456,237.4066670735677,248.59333292643228,234.53333536783853,251.46666463216144,230.37666829427081,0.0843387909009884,-64.99276473453226,5.84139266793423,7.851400438162964,-2.010007770228734,53.70609944155926,41.45727693551948,243.1519989013672,242.04099960327147,218.70359924316406,204.71909957885742,MANINFRA.NS,2025-01-22 10:52:34.436597
11,2025-01-08 00:00:00+05:30,240.75999450683594,245.38999938964844,237.5399932861328,243.66000366210938,790390,0.0,0.0,2025-01-08,242.0354995727539,6.646073249347349,248.68157282210126,235.38942632340655,255.3276460714486,228.7433530740592,-76.15903056899828,51.972797210638234,208137265,2563418.410488344,6120850.07330317,171.63596184367012,74.01115390837917,242.19666544596353,246.85333760579425,239.00333150227863,250.04667154947916,234.3466593424479,254.70334370930988,231.153325398763,0.09430377319264112,-55.01577414356247,6.615816889607061,8.353902380720147,-1.738085491113086,57.000459122222026,42.13494506951598,245.3940002441406,242.0354995727539,217.44539916992187,204.20809967041015,MANINFRA.NS,2025-01-22 10:52:34.436597
12,2025-01-07 00:00:00+05:30,238.0,244.83999633789062,238.0,242.0800018310547,835850,0.0,0.0,2025-01-07,242.00899963378907,6.640309070486932,248.649308704276,235.36869056330215,255.28961777476295,228.7283814928152,-61.35177093862485,52.191222063824085,207346875,2693277.3361384426,7010207.989006875,171.54742363443052,72.37228256967745,241.63999938964844,245.27999877929688,238.44000244140625,248.47999572753906,234.8000030517578,252.1199951171875,231.60000610351562,0.09236662813839595,-59.55731520699369,7.174195648750441,8.788423753498417,-1.6142281047479763,55.82424306089352,42.89641759619153,247.0,242.00899963378907,216.09219909667968,203.6130192565918,MANINFRA.NS,2025-01-22 10:52:34.436597
13,2025-01-06 00:00:00+05:30,248.50999450683594,253.63999938964844,238.0800018310547,239.92999267578125,2179150,0.0,0.0,2025-01-06,241.99499969482423,6.640446658937513,248.63544635376175,235.3545530358867,255.27589301269927,228.7141063769492,-18.276565799473598,60.18087233328307,206511025,6959298.777814296,8089440.652223984,171.45561260449952,71.80364492895957,243.88333129882812,249.68666076660156,234.1266632080078,259.4433288574219,228.32333374023438,265.2466583251953,218.56666564941406,0.06831214749031145,-65.7372794788765,7.9359959730037986,9.191980779685412,-1.2559848066816137,54.24270246813412,43.76625829777198,247.7739990234375,241.99499969482423,214.8137991333008,203.04401428222656,MANINFRA.NS,2025-01-22 10:52:34.436597
