Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-28 00:00:00+05:30,383.0,383.0,367.79998779296875,368.29998779296875,183,0.0,0.0,2023-11-28,374.44000244140625,9.188902364591083,383.6289048059973,365.2511000768152,392.8178071705884,356.0621977122241,-1.8382441133557512,-34.70916618000563,-104359,66.97694383752642,405.53047534636954,681.254398944762,48.329211560981534,373.0333251953125,378.26666259765625,363.066650390625,388.23333740234375,357.83331298828125,393.4666748046875,347.86663818359375,-0.28235755968054654,-83.41660376162015,-2.8965027715683505,-2.239696903702691,-0.6568058678656596,44.87309264376111,10.38920279392448,369.11000366210936,374.44000244140625,377.9840008544922,399.3405010986328,MANORG.BO,2023-11-28 11:01:30.188566
2,2023-11-24 00:00:00+05:30,373.6000061035156,373.6499938964844,360.0,366.6000061035156,1671,0.0,0.0,2023-11-24,374.6350036621094,9.092622438865185,383.7276261009746,365.5423812232442,392.8202485398398,356.449758784379,-75.29741680830627,-90.57310721308664,-104542,608.7534707642319,490.1688582235803,681.2971828130611,45.54421026361403,366.75,373.5,359.8500061035156,380.3999938964844,353.1000061035156,387.1499938964844,346.20001220703125,-0.24283820211123375,-86.81317140212604,-2.7984015467975496,-2.0754954367362757,-0.7229061100612739,43.52750753636596,10.67187499596527,369.2200073242187,374.6350036621094,378.4260009765625,399.851501159668,MANORG.BO,2023-11-28 11:01:30.188566
3,2023-11-23 00:00:00+05:30,371.6000061035156,373.75,369.0,369.0,382,0.0,0.0,2023-11-23,373.90250396728516,10.285801171342108,384.18830513862724,363.61670279594307,394.4741063099694,353.3309016246009,-55.0578172390938,-61.5131345679277,-102871,140.07552589675657,460.52270508841735,681.6905151507937,43.37906682477356,370.5833333333333,372.16666666666663,367.41666666666663,375.3333333333333,365.8333333333333,376.91666666666663,362.66666666666663,-0.2472737815835406,-91.22219509548611,-2.462979788897883,-1.8947689092209572,-0.5682108796769256,44.96634852783743,11.098674538910071,369.4300048828125,373.90250396728516,379.07500061035154,400.2825012207031,MANORG.BO,2023-11-28 11:01:30.188566
4,2023-11-22 00:00:00+05:30,374.20001220703125,379.8999938964844,370.04998779296875,371.20001220703125,433,0.0,0.0,2023-11-22,373.44250335693357,10.713422017210974,384.15592537414454,362.7290813397226,394.8693473913555,352.0156593225116,-42.00844736875638,-36.809393411516325,-102489,159.72335012957592,540.6344998863325,681.7798853108455,44.92097418975596,373.71666463216144,377.38334147135413,367.5333353678385,383.56667073567706,363.8666585286458,387.23334757486975,357.6833292643229,-0.2411238470173362,-86.33327907986111,-2.2325834554999915,-1.7527161893017256,-0.4798672661982659,46.26819051259255,11.412831823826512,369.37000732421876,373.44250335693357,379.7340008544922,400.7400012207031,MANORG.BO,2023-11-28 11:01:30.188566
5,2023-11-21 00:00:00+05:30,369.3500061035156,371.54998779296875,369.04998779296875,370.45001220703125,1292,0.0,0.0,2023-11-21,373.320002746582,10.754341860665189,384.0743446072472,362.5656608859168,394.8286864679124,351.81131902525163,-61.92660145139996,-68.05997078191632,-102922,475.62498417713687,635.8622873255216,681.8805359158475,44.978014959471025,370.34999593098956,371.6500040690104,369.1500040690104,372.84999593098956,367.84999593098956,374.1500040690104,366.6500040690104,-0.28293498971252357,-87.99994574652777,-2.120447178501138,-1.632749372752159,-0.4876978057489789,45.771192554630275,11.635461158503118,370.2900024414063,373.320002746582,380.2890008544922,401.1745010375977,MANORG.BO,2023-11-28 11:01:30.188566
6,2023-11-20 00:00:00+05:30,371.6000061035156,372.0,367.20001220703125,368.8500061035156,563,0.0,0.0,2023-11-20,374.02250213623046,11.012784181900699,385.03528631813117,363.00971795432974,396.0480705000318,351.9969337724291,-69.10728345060126,-80.09863125798594,-104214,206.3624723793622,675.9216131126177,682.1819746326778,40.90664887672845,369.3500061035156,371.5,366.70001220703125,374.1499938964844,364.5500183105469,376.29998779296875,361.9000244140625,-0.2979785876416455,-82.48247606095208,-1.8708871393358777,-1.510824921314914,-0.3600622180209636,44.75901052382337,12.3708765359514,373.9599975585937,374.02250213623046,380.82000061035154,401.7165008544922,MANORG.BO,2023-11-28 11:01:30.188566
7,2023-11-17 00:00:00+05:30,368.70001220703125,374.1000061035156,365.95001220703125,367.6499938964844,1550,0.0,0.0,2023-11-17,374.7000015258789,11.094319167058295,385.7943206929372,363.6056823588206,396.8886398599955,352.5113631917623,-82.06532930989802,-85.52644295421307,-104777,566.2898712633095,793.3113982959314,682.3141868714058,40.41081115496436,369.23333740234375,372.51666259765625,364.3666687011719,377.3833312988281,361.0833435058594,380.6666564941406,356.2166748046875,-0.2949967151554535,-84.88490378253148,-1.365451531432086,-1.4208093668096733,0.055357835377587206,44.031483813822376,13.16286232704955,379.6299987792969,374.7000015258789,381.5120007324219,402.27700073242187,MANORG.BO,2023-11-28 11:01:30.188566
8,2023-11-16 00:00:00+05:30,375.79998779296875,375.79998779296875,365.04998779296875,368.70001220703125,2592,0.0,0.0,2023-11-16,375.6425018310547,11.263274408775796,386.90577623983046,364.3792274222789,398.1690506486063,353.1159530135031,-94.45952519628804,-85.04586136733886,-103227,949.6874125345204,850.0667800540868,682.6801542620676,45.27231727150567,369.84999593098956,374.6500040690104,363.9000040690104,380.59999593098956,359.09999593098956,385.4000040690104,353.1500040690104,-0.2652655833725739,-63.51765144881202,-0.5794691110532426,-1.4346488256540701,0.8551797146008275,44.507746402091044,14.015770102078328,385.0,375.6425018310547,382.1330010986328,402.8490008544922,MANORG.BO,2023-11-28 11:01:30.188566
9,2023-11-15 00:00:00+05:30,390.04998779296875,390.04998779296875,372.6000061035156,375.79998779296875,3789,0.0,0.0,2023-11-15,376.79000091552734,11.680105025681868,388.4701059412092,365.10989588984546,400.1502109668911,353.4297908641636,-14.428570567512676,-3.3640754418917815,-100635,1414.991723164469,825.1616219339784,683.2920057614475,47.932023633488676,379.4833272298177,386.36664835611975,368.91666666666663,396.9333089192708,362.03334554036456,403.8166300455729,351.4666849772135,-0.25839247406674354,-52.611386858028986,0.3321955043181788,-1.648443754304277,1.9806392586224557,47.75075224232849,14.934286167493934,386.0,376.79000091552734,382.5520007324219,403.45350067138673,MANORG.BO,2023-11-28 11:01:30.188566
10,2023-11-13 00:00:00+05:30,394.95001220703125,395.0,383.95001220703125,388.79998779296875,1020,0.0,0.0,2023-11-13,377.69500122070315,12.284914663685159,389.97991588438833,365.41008655701796,402.26483054807346,353.12517189333283,76.12693997719666,78.61946933544922,-96846,394.0932051669838,677.7040966263557,684.1704338292938,56.304993484310785,389.25,394.54998779296875,383.5,400.29998779296875,378.20001220703125,405.5999755859375,372.45001220703125,-0.19173541021892151,-32.64210133527346,0.7951291889540357,-2.143603568959891,2.9387327579139266,54.502724667253,15.606803521795241,384.86000366210936,377.69500122070315,382.85300109863283,403.9425009155273,MANORG.BO,2023-11-28 11:01:30.188566
