Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-21 00:00:00+05:30,12145.5498046875,12250.0,11944.5498046875,12175.900390625,375271,0.0,0.0,2024-10-21,12703.882421875,389.53790424199246,13093.420326116991,12314.344517633008,13482.958230358985,11924.806613391014,-99.25306640987758,-101.0502960101499,4305103,531156.4925376932,738380.1875110517,10464.4075713423,23.925986790693727,12123.4833984375,12302.4169921875,11996.966796875,12428.93359375,11818.033203125,12607.8671875,11691.5166015625,0.10808632526717603,-77.23556350875687,-80.2643258244625,9.121222213969098,-89.38554803843161,40.03870850664346,18.23648337990175,12251.080078125,12703.882421875,12460.17294921875,12426.52234375,MARUTI.NS,2024-10-21 10:56:57.990483
2,2024-10-18 00:00:00+05:30,12070.0,12141.25,11844.4501953125,12105.099609375,506871,0.0,0.0,2024-10-18,12725.81240234375,370.1110437304635,13095.923446074214,12355.701358613287,13466.034489804677,11985.590314882824,-167.61291217798768,-128.33861164188676,3929832,713250.7140772251,790186.1112543913,10461.941865972245,18.69745827160692,12030.2666015625,12216.0830078125,11919.283203125,12327.06640625,11733.466796875,12512.8828125,11622.4833984375,0.12276508147327472,-84.2560209711299,-60.31812666345468,31.467609223576996,-91.78573588703168,37.72162059880243,17.850961570627458,12323.469921875,12725.81240234375,12461.03193359375,12431.74990234375,MARUTI.NS,2024-10-21 10:56:57.990483
3,2024-10-17 00:00:00+05:30,12400.0,12420.099609375,12070.0,12143.75,875937,0.0,0.0,2024-10-17,12738.132421875,352.0205776507726,13090.152999525772,12386.111844224228,13442.173577176545,12034.091266573454,-158.94479689137424,-83.59775020875357,4436703,1236522.6980142219,809419.9605486828,10458.738225951878,29.615881643764283,12211.283203125,12352.56640625,12002.466796875,12561.3828125,11861.18359375,12702.666015625,11652.3671875,0.10698802228956263,-94.98861954783439,-26.894232210523114,54.41404319533491,-81.30827540585803,38.47529727155679,16.865235449775444,12457.780078125,12738.132421875,12466.35994140625,12438.55228515625,MARUTI.NS,2024-10-21 10:56:57.990483
4,2024-10-16 00:00:00+05:30,12414.0498046875,12454.9501953125,12231.0,12383.900390625,418138,0.0,0.0,2024-10-16,12741.14990234375,346.87854178957485,13088.028444133324,12394.271360554176,13434.9069859229,12047.3928187646,-138.82934882741986,-44.67891610574255,5312640,601940.3980062071,702644.2761822981,10453.041719949604,45.5366375121896,12356.616861979166,12482.233723958332,12258.283528645832,12580.567057291666,12132.666666666666,12706.183919270832,12034.333333333332,0.1510411037653255,-88.33400640485922,12.499491644339287,74.74111204679942,-62.24162040246013,43.48853002395561,16.502864473141592,12617.85,12741.14990234375,12466.10693359375,12445.902841796875,MARUTI.NS,2024-10-21 10:56:57.990483
5,2024-10-15 00:00:00+05:30,12709.0,12709.0,12355.0,12446.75,532135,0.0,0.0,2024-10-15,12734.2423828125,355.6320766884159,13089.874459500916,12378.610306124083,13445.50653618933,12022.978229435668,-93.1597916404099,-4.339986655128212,5730778,769935.2342722814,727820.2457263208,10449.920644215033,50.03251687777111,12503.583333333334,12652.166666666668,12298.166666666668,12857.583333333334,12149.583333333334,13006.166666666668,11944.166666666668,0.1563898847329901,-92.26815237875783,39.094834599321985,90.30151714741444,-51.20668254809246,44.91060602553943,16.686688374994468,12693.2099609375,12734.2423828125,12462.44591796875,12450.202529296876,MARUTI.NS,2024-10-21 10:56:57.990483
6,2024-10-14 00:00:00+05:30,12775.0,12799.0,12462.2998046875,12537.849609375,488067,0.0,0.0,2024-10-14,12726.3548828125,363.9949364581971,13090.349819270697,12362.359946354303,13454.344755728895,11998.365009896106,-69.26568629066185,22.78896377169709,6262913,711342.740837318,717291.4985898306,10445.80449349607,55.84736588319893,12599.716471354166,12737.133138020832,12400.432942708332,12936.416666666666,12263.016276041666,13073.833333333332,12063.732747395832,0.17984242943077833,-86.26308978514206,66.36285254113136,103.10318778443755,-36.74033524330619,46.97823787614535,17.3671156838492,12710.25,12726.3548828125,12468.03892578125,12449.875966796875,MARUTI.NS,2024-10-21 10:56:57.990483
7,2024-10-11 00:00:00+05:30,12944.099609375,12980.0,12725.0,12776.650390625,274243,0.0,0.0,2024-10-11,12715.264892578125,373.3003745349238,13088.565267113048,12341.964518043202,13461.865641647972,11968.664143508278,-15.264413195289421,83.25434977206568,6750980,407313.6511427372,718778.6880279587,10441.841705380837,60.57427918617388,12827.216796875,12929.43359375,12674.43359375,13082.216796875,12572.216796875,13184.43359375,12419.43359375,0.18989255391385887,-65.74139502407732,91.2967495502835,112.28827159526409,-20.9915220449806,52.907071810352456,18.54178844966439,12708.180078125,12715.264892578125,12481.9629296875,12448.063349609374,MARUTI.NS,2024-10-21 10:56:57.990483
8,2024-10-10 00:00:00+05:30,12798.900390625,12965.0,12711.5,12944.099609375,492698,0.0,0.0,2024-10-10,12696.474853515625,379.455128927075,13075.9299824427,12317.01972458855,13455.385111369775,11937.564595661475,-11.511216825034408,101.1842091181496,7025223,741359.8276073689,796644.947249264,10439.353995668564,66.55939556833133,12873.533203125,13035.56640625,12782.06640625,13127.033203125,12620.033203125,13289.06640625,12528.56640625,0.24192405631674763,-50.57130034984657,98.3181506048004,117.53615210650923,-19.21800150170884,57.64395267799269,18.88586974203335,12674.0,12696.474853515625,12486.29142578125,12445.528984375,MARUTI.NS,2024-10-21 10:56:57.990483
9,2024-10-09 00:00:00+05:30,12554.9501953125,12850.0,12540.5,12760.7001953125,465231,0.0,0.0,2024-10-09,12661.399853515624,387.6934021635275,13049.093255679152,12273.706451352096,13436.78665784268,11886.013049188568,-43.26581009490411,66.87015990852801,6532525,690111.9603823982,810466.2271597377,10434.550145981208,66.37102234680437,12717.066731770834,12893.633463541668,12584.133463541668,13026.566731770834,12407.566731770834,13203.133463541668,12274.633463541668,0.20340261946103624,-58.487189313798915,89.32679176581587,122.34065248193643,-33.01386071612056,53.400821125004185,19.314797255836027,12614.65,12661.399853515624,12482.47328125,12439.895087890625,MARUTI.NS,2024-10-21 10:56:57.990483
10,2024-10-08 00:00:00+05:30,12502.25,12630.099609375,12462.0498046875,12531.9501953125,387060,0.0,0.0,2024-10-08,12636.53486328125,396.82920675449355,13033.364070035743,12239.705656526756,13430.193276790236,11842.876449772262,-82.08632798324136,23.016840072308607,6067294,563862.6860604538,840554.7938540726,10430.329892190643,65.17646231508341,12541.366536458334,12620.683268229168,12452.633463541668,12709.416341145834,12373.316731770834,12788.733072916668,12284.583658854168,0.20833541480036213,-73.612066326349,94.52375506499811,130.59411766096656,-36.07036259596845,47.28456036645155,20.224117906112436,12695.7099609375,12636.53486328125,12479.9039453125,12438.766455078125,MARUTI.NS,2024-10-21 10:56:57.990483
11,2024-10-07 00:00:00+05:30,12626.0498046875,12648.0,12378.0,12527.5,465500,0.0,0.0,2024-10-07,12617.224853515625,411.3181165500605,13028.542970065686,12205.906736965564,13439.861086615747,11794.588620415503,-94.25942541403211,18.420886064661154,5680234,677891.9865255042,909727.8208024772,10427.152866156814,59.30192947742468,12517.833333333334,12657.666666666668,12387.666666666668,12787.833333333334,12247.833333333334,12927.666666666668,12117.666666666668,0.20370854430293445,-72.96045975719424,122.27367390917789,139.6117083099587,-17.3380344007808,47.159277783587484,21.39391611981594,12836.919921875,12617.224853515625,12480.1690625,12440.389931640624,MARUTI.NS,2024-10-21 10:56:57.990483
