Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-24 00:00:00+05:30,135.35000610351562,137.6999969482422,135.35000610351562,136.3000030517578,42087,0.0,0.0,2023-11-24,138.525,5.376496673979323,143.90149667397932,133.1485033260207,149.27799334795864,127.77200665204136,61.61694315126847,-89.41892473878058,22015635,71465.84221549392,154968.13136358044,113.9993647803319,38.31455228371079,136.45000203450522,137.5499979654948,135.20000712076825,138.79999287923178,134.10001118977866,139.89998881022137,132.85001627604169,-0.2542389799140427,-53.508764885135164,-2.648604729709632,-2.89126167872229,0.242656949012658,43.30122558195652,20.926270454238804,136.33999938964843,138.525,144.03000061035155,141.44127456665038,MENONBE.NS,2023-11-27 10:50:26.256368
2,2023-11-23 00:00:00+05:30,137.10000610351562,139.0,136.0,136.39999389648438,49268,0.0,0.0,2023-11-23,138.91500015258788,5.4883402364758895,144.40334038906377,133.426659916112,149.89168062553966,127.9383196796361,75.81695826498239,-86.66342659791171,22057722,83720.91464303063,175843.70365060208,113.98817601045027,37.47608910771339,137.13333129882812,138.26666259765625,135.26666259765625,140.13333129882812,134.13333129882812,141.26666259765625,132.26666259765625,-0.1551773701066678,-54.000069754464285,-2.8555413364578897,-2.9519259159754543,0.09638457951756463,43.475240739808235,21.356257077148754,135.65,138.91500015258788,144.31300048828126,141.4194630432129,MENONBE.NS,2023-11-27 10:50:26.256368
3,2023-11-22 00:00:00+05:30,134.9499969482422,139.64999389648438,134.9499969482422,136.35000610351562,93729,0.0,0.0,2023-11-22,139.20000076293945,5.498852473381563,144.698853236321,133.7011482895579,150.19770570970257,128.20229581617633,51.36479728025565,-94.4218783187259,22008454,159214.94308664047,198874.40090249496,113.97500514705995,35.414866667239565,136.98333231608072,139.01666768391925,134.31667073567706,141.6833292643229,132.28333536783853,143.71666463216144,129.61667378743488,-0.16494500689417024,-56.284123844750475,-3.0870647065259504,-2.976022060854845,-0.11104264567110533,43.36957796528694,21.996419729757633,134.81000061035155,139.20000076293945,144.61700073242187,141.39812606811523,MENONBE.NS,2023-11-27 10:50:26.256368
4,2023-11-21 00:00:00+05:30,138.0,139.5500030517578,133.10000610351562,134.89999389648438,82769,0.0,0.0,2023-11-21,139.67500076293945,5.647998217474121,145.32299898041356,134.02700254546534,150.9709971978877,128.3790043279912,12.942631505375148,-116.4109838636795,21914725,139102.30254034806,208789.26535645858,113.94996164318881,29.325822785621227,135.8500010172526,138.59999593098956,132.14999898274738,142.29999796549478,129.4000040690104,145.04999287923175,125.70000203450519,-0.2201257004410388,-65.79639749038657,-3.3317880309188013,-2.9482613994370688,-0.3835266314817325,40.36780822316671,22.685825663336423,133.8,139.67500076293945,144.9440005493164,141.37728897094726,MENONBE.NS,2023-11-27 10:50:26.256368
5,2023-11-20 00:00:00+05:30,135.0,139.85000610351562,132.5,137.75,192922,0.0,0.0,2023-11-20,140.54250106811523,6.1830692986021365,146.72557036671736,134.3594317695131,152.9086396653195,128.17636247091096,11.018395041443844,-112.28562809397106,21997494,331076.26244418474,226211.0060604862,113.92923447785935,36.72056788904684,136.70000203450522,140.90000406901044,133.5499979654948,144.05000813802084,129.3499959309896,148.25001017252606,126.19999186197919,-0.25825775244336197,-56.380514055087446,-3.4518221753820626,-2.8523797415666357,-0.599442433815427,44.6913892999949,23.396786574249354,133.07000122070312,140.54250106811523,145.27700073242187,141.33310958862305,MENONBE.NS,2023-11-27 10:50:26.256368
6,2023-11-17 00:00:00+05:30,132.1999969482422,134.0,131.75,132.85000610351562,62521,0.0,0.0,2023-11-17,141.135001373291,6.462832099145749,147.59783347243675,134.67216927414526,154.0606655715825,128.20933717499952,-55.10515192870903,-176.23668353882888,21804572,103476.60590533681,199994.69196456156,113.87417556400857,30.68368313969802,132.86666870117188,133.98333740234375,131.73333740234375,135.11666870117188,130.61666870117188,136.23333740234375,129.48333740234375,-0.28850303204554084,-79.11831763789563,-3.8338843375731813,-2.7025191331127787,-1.1313652044604026,33.28340714017813,24.16243678600174,131.77000122070314,141.135001373291,145.65700073242186,141.3066271972656,MENONBE.NS,2023-11-27 10:50:26.256368
7,2023-11-16 00:00:00+05:30,132.5,134.6999969482422,131.10000610351562,132.1999969482422,121290,0.0,0.0,2023-11-16,141.86500091552733,6.3002748977258545,148.16527581325317,135.5647260178015,154.46555071097904,129.26445112007562,-70.42128757053226,-195.28177834434106,21742051,199761.19246756638,224124.21347936775,113.85995089029592,32.064894273583064,132.66666666666666,134.2333272298177,130.63333638509113,136.26665751139322,129.0666758219401,137.83331807454425,127.03334554036456,-0.30434738932023353,-82.13460312964668,-3.782375368488772,-2.419677831997678,-1.362697536491094,31.5441686989178,23.037345526676184,132.37999877929687,141.86500091552733,146.13700073242188,141.3365165710449,MENONBE.NS,2023-11-27 10:50:26.256368
8,2023-11-15 00:00:00+05:30,128.5,132.85000610351562,128.5,131.3000030517578,156058,0.0,0.0,2023-11-15,142.722501373291,6.078792609628715,148.80129398291973,136.6437087636623,154.88008659254845,130.56491615403357,-112.64539286098726,-246.79985928831954,21620761,255273.33585072035,230214.96873231806,113.833240941412,22.429837623303186,130.88333638509116,133.2666727701823,128.91666666666669,135.23334248860678,126.53333028157553,137.61667887369794,124.56666056315106,-0.32088552856421926,-86.3109112794732,-3.5951035084069645,-2.079003447874904,-1.5161000605320605,29.170139125521686,21.825708785864045,134.1699981689453,142.722501373291,146.5710006713867,141.3896156311035,MENONBE.NS,2023-11-27 10:50:26.256368
9,2023-11-13 00:00:00+05:30,133.5500030517578,134.5500030517578,128.35000610351562,131.25,130931,0.0,0.0,2023-11-13,143.73000106811523,5.746748603068881,149.4767496711841,137.98325246504635,155.223498274253,132.23650386197747,-148.65221628623914,-271.22876103547003,21464703,214090.0470556043,223950.3769527175,113.80044948960496,21.82078429732094,131.38333638509116,134.41666666666669,128.2166697184245,137.58333333333334,125.18333943684897,140.61666361490887,122.01667277018231,-0.362555444968238,-86.54294413368264,-3.212231750642246,-1.6999784327418888,-1.5122533179003574,29.043195020097457,19.828288755043946,136.0999969482422,143.73000106811523,147.0890005493164,141.44630874633788,MENONBE.NS,2023-11-27 10:50:26.256368
10,2023-11-10 00:00:00+05:30,134.89999389648438,136.0500030517578,130.0,131.25,240238,0.0,0.0,2023-11-10,144.73750076293945,5.182229357983997,149.91973012092345,139.55527140495545,155.10195947890745,134.37304204697145,-194.05701553212546,-290.28006854476905,21595634,392821.9040910423,226415.45942699577,113.7729215616447,20.08448297084192,132.43333435058594,134.86666870117188,128.81666564941406,138.48333740234375,126.38333129882812,140.9166717529297,122.76666259765625,-0.3586823177706241,-94.78079265437341,-2.6684451579425,-1.3219151032667993,-1.3465300546757009,29.04319502009747,17.67722102954538,138.5199981689453,144.73750076293945,147.5320004272461,141.53249786376952,MENONBE.NS,2023-11-27 10:50:26.256368
11,2023-11-09 00:00:00+05:30,140.14999389648438,143.39999389648438,132.8000030517578,135.89999389648438,183820,0.0,0.0,2023-11-09,145.71750106811524,4.270440344616681,149.9879414127319,141.44706072349857,154.25838175734862,137.17662037888186,-185.2073108242273,-217.6983324526645,21835872,311219.55663158634,184813.84826098412,113.72218555698687,38.995868487956514,137.36666361490884,141.93332417805988,131.33333333333331,147.9666544596354,126.76667277018228,152.53331502278644,120.73334248860675,-0.3311420637849693,-87.93777738195959,-1.9318025482292853,-0.9852825895978742,-0.9465199586314111,33.91777351767898,15.571559555465177,140.92999877929688,145.71750106811524,147.81500030517577,141.65505477905273,MENONBE.NS,2023-11-27 10:50:26.256368
12,2023-11-08 00:00:00+05:30,141.75,143.14999389648438,139.35000610351562,141.14999389648438,63518,0.0,0.0,2023-11-08,146.45750122070314,3.7274682222905255,150.18496944299366,142.7300329984126,153.9124376652842,139.00256477612209,-111.80761870091456,-142.36056737076433,22019692,111694.64684781,153212.42116833356,113.67281331315152,48.15109776125544,141.21666463216147,143.0833231608073,139.28333536783856,145.01665242513022,137.41667683919272,146.88331095377606,135.4833475748698,-0.33710513349661875,-76.43175522479157,-1.4173609915346503,-0.7486525999400213,-0.668708391594629,41.160356343852094,13.685205845642447,142.42999877929688,146.45750122070314,147.88600036621094,141.65690155029296,MENONBE.NS,2023-11-27 10:50:26.256368
13,2023-11-07 00:00:00+05:30,143.35000610351562,144.1999969482422,137.6999969482422,140.9499969482422,61727,0.0,0.0,2023-11-07,147.11000137329103,3.8882267960121606,150.9982281693032,143.22177457727886,154.88645496531535,139.3335477812667,-151.4021819139429,-155.81840430438513,21956174,108391.42396894071,163591.86474846443,113.65166018158693,44.15051120941561,140.9499969482422,144.1999969482422,137.6999969482422,147.4499969482422,134.4499969482422,150.6999969482422,131.1999969482422,-0.0910420190922118,-77.31279916809339,-1.2542901955917216,-0.581475502041364,-0.6728146935503576,40.71252436484431,12.776708871568612,142.8,147.11000137329103,147.7840005493164,141.63868453979492,MENONBE.NS,2023-11-27 10:50:26.256368
14,2023-11-06 00:00:00+05:30,143.0,145.4499969482422,143.0,143.35000610351562,51049,0.0,0.0,2023-11-06,147.197501373291,3.759879647007492,150.9573810202985,143.4376217262835,154.717260667306,139.67774207927602,-40.875318852304865,-90.88414289946992,22017901,91167.41389856412,177391.97494334538,113.6312220082438,42.00090403956013,143.93333435058594,144.86666870117188,142.4166717529297,146.38333129882812,141.48333740234375,147.31666564941406,139.9666748046875,-0.11462024606912212,-66.74007019043913,-1.0068090953440958,-0.41327182865377465,-0.5935372666903211,44.485273198376376,11.798327514873714,143.8300018310547,147.197501373291,147.7140005493164,141.58315093994142,MENONBE.NS,2023-11-27 10:50:26.256368
15,2023-11-03 00:00:00+05:30,145.14999389648438,145.85000610351562,143.0,143.3000030517578,72027,0.0,0.0,2023-11-03,147.510001373291,3.6821967725762788,151.19219814586728,143.82780460071473,154.87439491844356,140.14560782813845,-51.58450003261405,-92.17367379803328,21966852,128586.74611881727,198948.1152045407,113.61280928662411,45.005573661523464,144.0500030517578,145.10000610351562,142.25,146.90000915527344,141.1999969482422,147.95001220703125,139.39999389648438,-0.10372992341539558,-66.96034798110061,-0.9110681475109175,-0.26488751198119437,-0.646180635529723,44.385574061160675,11.918705871039348,144.4800018310547,147.510001373291,147.6240005493164,141.48150161743163,MENONBE.NS,2023-11-27 10:50:26.256368
16,2023-11-02 00:00:00+05:30,145.0,146.64999389648438,142.85000610351562,143.39999389648438,69328,0.0,0.0,2023-11-02,147.8750015258789,3.6038899269449387,151.47889145282383,144.27111159893397,155.0827813797688,140.667221671989,-57.38515737453523,-90.33071815527106,22038879,123854.69814884651,216538.45747597155,113.58683497796369,44.088848354949036,144.29999796549478,145.74998982747394,141.9500020345052,148.09998575846353,140.50001017252603,149.5499776204427,138.15001424153644,-0.08486510087389532,-66.51985961912175,-0.7697621160587858,-0.10334235309876358,-0.6664197629600221,44.534106478280734,12.048344100756186,145.06000061035155,147.8750015258789,147.4820004272461,141.39214736938476,MENONBE.NS,2023-11-27 10:50:26.256368
