Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-22 00:00:00+05:30,1284.300048828125,1287.550048828125,1254.25,1280.199951171875,282925,0.0,0.0,2025-01-22,1275.4400024414062,25.814917538453727,1301.25491997986,1249.6250849029525,1327.0698375183138,1223.8101673644987,-51.046261663734946,22.865083744570164,55743360,429064.1297103426,938398.2323203529,1289.4944027727552,55.213621254763886,1274.0,1293.75,1260.449951171875,1307.300048828125,1240.699951171875,1327.050048828125,1227.14990234375,-0.08489129480211173,-44.500901068372755,3.093686955924113,-0.600742930677165,3.694429886601278,49.899084703373646,13.902459546787744,1296.189990234375,1275.4400024414062,1257.7569995117187,1497.7229992675782,MGL.NS,2025-01-22 10:52:59.699839
2,2025-01-21 00:00:00+05:30,1310.0,1323.449951171875,1272.9000244140625,1277.550048828125,366115,0.0,0.0,2025-01-21,1273.8575073242187,26.46956152611938,1300.327068850338,1247.3879457980993,1326.7966303764574,1220.91838427198,28.84973628719816,65.38761539969222,55460435,554074.9592033301,1065731.7579728554,1289.5026499264357,58.865061994152626,1291.3000081380208,1309.699991861979,1259.1500651041665,1341.8499348958333,1240.7500813802083,1360.2499186197915,1208.600138346354,-0.08586800630396633,-46.742779834657824,3.5918902755918225,-1.5243504023274843,5.116240677919307,49.4450392294643,14.924074139160648,1298.4,1273.8575073242187,1260.5860009765624,1502.705,MGL.NS,2025-01-22 10:52:59.699839
3,2025-01-20 00:00:00+05:30,1329.449951171875,1329.449951171875,1288.0,1307.0999755859375,373533,0.0,0.0,2025-01-20,1271.2600036621093,28.554960912464367,1299.8149645745737,1242.705042749645,1328.369925487038,1214.1500818371806,97.11794508283785,104.16302395979554,55826550,578376.7945912827,1193645.9576652367,1289.516389963199,61.1280444471553,1308.1833089192708,1328.3666178385415,1286.9166666666665,1349.6332600911458,1266.7333577473958,1369.8165690104165,1245.4667154947915,-0.06020710284649432,-21.742857290391875,4.436294146359842,-2.803410571807311,7.239704718167152,54.56536617503002,15.461232256348012,1296.8199951171875,1271.2600036621093,1263.7880004882813,1507.8209997558595,MGL.NS,2025-01-22 10:52:59.699839
4,2025-01-17 00:00:00+05:30,1298.949951171875,1332.800048828125,1285.800048828125,1321.5999755859375,761011,0.0,0.0,2025-01-17,1266.6700073242187,29.83990765773298,1296.5099149819516,1236.8300996664857,1326.3498226396846,1206.9901920087527,133.36711966300464,117.3784726126525,56200083,1191417.6618764817,1347463.248433725,1289.4957431029848,64.92501309132109,1313.4000244140625,1341.0,1294.0,1360.4000244140625,1266.4000244140625,1388.0,1247.0,-0.0789608287106947,-9.475521406183033,2.539950343447117,-4.613336751349099,7.153287094796216,57.2675141770038,15.464604780308285,1280.9300048828125,1266.6700073242187,1266.34,1512.5444995117186,MGL.NS,2025-01-22 10:52:59.699839
5,2025-01-16 00:00:00+05:30,1309.9000244140625,1325.0,1285.6500244140625,1294.5,527065,0.0,0.0,2025-01-16,1263.572509765625,26.909273118675564,1290.4817828843006,1236.6632366469494,1317.391056002976,1209.753963528274,91.69418639466126,95.96813647460213,55439072,808238.0832672839,1386474.6450730357,1289.418757233792,63.83801766101454,1301.7166748046875,1317.7833251953125,1278.433349609375,1341.066650390625,1262.36669921875,1357.13330078125,1239.0833740234375,-0.08410802365701621,-30.461264197709244,-1.354458773061424,-6.401658525048153,5.047199751986729,53.249667419358026,15.46823672918858,1273.8300048828125,1263.572509765625,1267.4990014648438,1517.05,MGL.NS,2025-01-22 10:52:59.699839
6,2025-01-15 00:00:00+05:30,1279.0,1311.550048828125,1273.3499755859375,1291.25,561153,0.0,0.0,2025-01-15,1260.8250122070312,26.385467228382293,1287.2104794354136,1234.4395449786489,1313.5959466637958,1208.0540777502667,59.05124034547054,79.92938879539757,54912007,858350.5726659341,1531033.7855244735,1289.4103041767942,60.358517758142945,1292.0500081380208,1310.750040690104,1272.5499674479165,1330.2500813802083,1253.8499348958333,1348.9501139322915,1234.349894205729,-0.06394475841985697,-33.2898101589251,-3.6510234740208034,-7.663458463044835,4.012434989024031,52.754991776319365,15.679258880538265,1269.060009765625,1260.8250122070312,1269.3650024414062,1521.775,MGL.NS,2025-01-22 10:52:59.699839
7,2025-01-14 00:00:00+05:30,1262.25,1297.5999755859375,1258.449951171875,1269.6500244140625,1241633,0.0,0.0,2025-01-14,1258.247509765625,25.76756700845408,1284.015076774079,1232.4799427571709,1309.7826437825331,1206.7123757487168,-2.644799476311949,53.92089749963753,54350854,1867455.8783440047,1699204.588739108,1289.4070399759025,57.517111748469254,1275.2333170572917,1292.0166829427085,1252.866658528646,1314.3833414713542,1236.0832926432292,1331.166707356771,1213.7166341145835,-0.09451884264236553,-52.08874052999115,-6.215927924885136,-8.666567210300842,2.450639285415706,49.454293712383574,16.26706723867845,1261.32001953125,1258.247509765625,1272.4610034179686,1527.01,MGL.NS,2025-01-22 10:52:59.699839
8,2025-01-13 00:00:00+05:30,1278.050048828125,1282.800048828125,1214.5999755859375,1227.6500244140625,642122,0.0,0.0,2025-01-13,1259.1125061035157,26.451774500467817,1285.5642806039834,1232.660731603048,1312.0160551044512,1206.2089571025801,-138.54812667537277,-3.3814607816865996,53109221,933824.3713550321,1657141.7663378837,1289.4849103969148,55.55398761136769,1241.683349609375,1268.7667236328125,1200.566650390625,1309.8834228515625,1173.4832763671875,1336.966796875,1132.3665771484375,-0.09595374664040907,-88.64225756724224,-7.278331816772152,-9.279227031654768,2.0008952148826165,42.157966964430095,17.28594822273455,1256.37001953125,1259.1125061035157,1275.9000024414063,1532.8969995117188,MGL.NS,2025-01-22 10:52:59.699839
9,2025-01-10 00:00:00+05:30,1295.0,1313.449951171875,1240.050048828125,1286.0999755859375,1858084,0.0,0.0,2025-01-10,1262.6000061035156,26.68236583999749,1289.2823719435132,1235.917640263518,1315.9647377835106,1209.2352744235207,13.016532122840957,52.15610071558702,53751343,2830825.84018059,1837971.1150835962,1289.6112080234443,57.36048180864467,1279.8666585286458,1319.6832682291665,1246.2833658854165,1353.2665608723958,1206.4667561848958,1393.0831705729165,1172.8834635416665,0.00022157172432649057,-34.72001953125,-4.391889347798042,-9.779450835375421,5.387561487577379,51.82545574583373,18.424447936711648,1265.7400146484374,1262.6000061035156,1280.1850024414061,1538.9874987792969,MGL.NS,2025-01-22 10:52:59.699839
10,2025-01-09 00:00:00+05:30,1255.0,1320.0,1252.5999755859375,1270.6500244140625,2183246,0.0,0.0,2025-01-09,1262.2375061035157,26.39398765974704,1288.6314937632628,1235.8435184437685,1315.0254814230098,1209.4495307840216,29.55264374487032,47.678539836570096,51893259,3286258.329727604,1589757.4338093477,1289.6320838376982,65.53285664880461,1281.0833333333333,1309.566691080729,1242.1666666666665,1348.4833577473958,1213.6833089192708,1376.9667154947915,1174.766642252604,-0.044490969981689374,-47.07998046875,-6.386259115086887,-11.126341207269764,4.7400820921828775,48.95222770043958,19.284909114783396,1271.0900146484375,1262.2375061035157,1282.982001953125,1544.534998779297,MGL.NS,2025-01-22 10:52:59.699839
