Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-07-29 00:00:00+05:30,487.5,496.8999938964844,481.6000061035156,482.95001220703125,278149,0.0,0.0,2024-07-29,486.25249938964845,9.177010811982257,495.4295102016307,477.0754885776662,504.60652101361296,467.89847776568394,65.79075062022106,54.768545891195906,86335887,601681.6355238495,510828.89579962776,310.7683006092315,39.18470129882955,487.15000406901044,492.70000203450525,477.4000142415365,502.4499918619792,471.8500162760417,507.999989827474,462.10002644856775,0.024855007574391373,-56.30975506005192,3.004235243964729,5.244804816812723,-2.2405695728479937,53.49088718540017,31.22193773972602,478.6800048828125,486.25249938964845,462.3009997558594,436.1320004272461,MINDACORP.NS,2024-07-29 10:52:28.012935
2,2024-07-26 00:00:00+05:30,479.8500061035156,494.25,477.6000061035156,484.6000061035156,246063,0.0,0.0,2024-07-26,486.1749984741211,9.212843670810964,495.38784214493205,476.9621548033101,504.600685815743,467.74931113249914,52.7258836572168,51.09808004372624,86614036,534092.8964533355,488115.71086857223,310.651345559808,31.308462622948127,485.48333740234375,493.3666687011719,476.7166748046875,502.1333312988281,468.8333435058594,510.01666259765625,460.0666809082031,0.014638894066773926,-53.1548921177733,3.0678582556249125,5.804947210024721,-2.737088954399808,54.48994399247712,31.336247720544428,476.1,486.1749984741211,461.00699951171873,435.5965002441406,MINDACORP.NS,2024-07-29 10:52:28.012935
3,2024-07-25 00:00:00+05:30,480.0,481.0,475.0,477.45001220703125,54765,0.0,0.0,2024-07-25,486.2849975585938,9.206180121792164,495.49117768038593,477.0788174368016,504.6973578021781,467.87263731500946,-24.19659959169846,28.869731510890468,86367973,117116.49664989593,476621.4144723814,310.54675730847015,24.36370854859797,477.81667073567706,480.63334147135413,474.63334147135413,483.81667073567706,471.81667073567706,486.63334147135413,468.63334147135413,0.08021823721007236,-66.82600376830689,2.9403328905114563,6.489219448624672,-3.5488865581132156,50.79178657106176,31.633972536407622,473.9599975585937,486.2849975585938,459.8689996337891,435.0780001831055,MINDACORP.NS,2024-07-29 10:52:28.012935
4,2024-07-24 00:00:00+05:30,469.25,485.0,468.8999938964844,482.29998779296875,105170,0.0,0.0,2024-07-24,486.31499633789065,9.176806339913258,495.4918026778039,477.1381899979774,504.6686090177172,467.9613836580641,-26.779396555659023,34.052798111203735,86422738,227193.65416373493,566497.6439280028,310.5244194509011,20.88142042518264,478.7333272298177,488.566660563151,472.4666544596354,494.8333333333333,462.63332112630206,504.66666666666663,456.36664835611975,0.05502037773399504,-57.552631133637185,3.4366773463380014,7.376441088152976,-3.939763741814975,53.5317214903702,32.93923496810906,474.92999267578125,486.31499633789065,458.59299926757814,434.63700012207033,MINDACORP.NS,2024-07-29 10:52:28.012935
5,2024-07-23 00:00:00+05:30,468.29998779296875,470.6499938964844,460.1000061035156,466.1000061035156,203827,0.0,0.0,2024-07-23,486.2624969482422,9.203947917159624,495.4664448654018,477.0585490310826,504.6703927825614,467.85460111392297,-141.68578335941558,-1.3706322037364782,86317568,425527.7557778061,651323.6413690697,310.48025848909055,17.552183302082852,465.6166687011719,471.1333312988281,460.5833435058594,476.1666564941406,455.0666809082031,481.6833190917969,450.0333557128906,-0.13992669226335644,-88.52772868190367,3.542428677586713,8.36138202360672,-4.818953346020006,44.19463701379427,34.344902202249074,476.2799926757813,486.2624969482422,457.2329992675781,434.1525003051758,MINDACORP.NS,2024-07-29 10:52:28.012935
6,2024-07-22 00:00:00+05:30,472.0,473.75,463.04998779296875,470.04998779296875,600749,0.0,0.0,2024-07-22,487.59249725341795,7.9771978901117,495.56969514352966,479.61529936330624,503.54689303364137,471.6381014731945,-184.3597350570718,11.011585246140974,86521395,1264806.748651398,707772.6127668855,310.4026823581599,34.64662732339687,468.9499918619792,474.8499959309896,464.14998372395837,479.65000406901044,458.24997965494794,485.55000813802087,453.4499715169271,-0.020891802899615463,-85.81561336266977,5.21960200780444,9.56612036011172,-4.34651835230728,46.30104704508051,36.81975578182218,480.59999389648436,487.59249725341795,456.0359991455078,433.79550018310545,MINDACORP.NS,2024-07-29 10:52:28.012935
7,2024-07-19 00:00:00+05:30,480.0,481.95001220703125,466.3500061035156,473.8999938964844,215509,0.0,0.0,2024-07-19,487.7849975585938,7.5675273026192915,495.35252486121306,480.2174702559745,502.92005216383234,472.6499429533552,-224.0316963634275,26.91390066397143,87122144,457445.31780556316,568514.0787957574,310.16777593022533,51.60382226222254,474.06667073567706,481.7833353678385,466.1833292643229,489.6666768391927,458.46666463216144,497.38334147135413,450.58332316080725,-0.05729188946164892,-83.60481044317072,6.898793877715718,10.65274994818854,-3.753956070472821,48.3883882694532,39.52457867777723,483.1699951171875,487.7849975585938,454.73399963378904,433.3700003051758,MINDACORP.NS,2024-07-29 10:52:28.012935
8,2024-07-18 00:00:00+05:30,489.04998779296875,491.0,480.79998779296875,482.29998779296875,225561,0.0,0.0,2024-07-18,487.9949981689453,7.2118529909669595,495.2068511599123,480.7831451779783,502.4187041508792,473.5712921870114,-124.9300398726509,55.66559061876641,87337653,487268.4969746717,596281.2690433059,310.08130520358986,46.81706887232069,484.6999918619792,488.5999959309896,478.39998372395837,494.90000406901044,474.49997965494794,498.80000813802087,468.1999715169271,-0.013277405612560132,-87.50004435691346,8.564973869487517,11.591238965806745,-3.0262650963192286,53.25216684522769,42.106076112005866,486.34999389648436,487.9949981689453,453.3179998779297,432.88850036621096,MINDACORP.NS,2024-07-29 10:52:28.012935
9,2024-07-16 00:00:00+05:30,487.6499938964844,493.8999938964844,485.0,489.04998779296875,197461,0.0,0.0,2024-07-16,487.2249984741211,8.549896026376562,495.7748945004977,478.6751024477445,504.3247905268742,470.125206421368,-53.87732881480279,69.7194282934974,87563214,432535.3991662587,623534.4620604644,309.98605762337166,55.701446721415586,489.31666056315106,493.6333211263021,484.73332722981775,498.21665445963544,480.4166666666667,502.5333150227865,475.83333333333337,-0.07948456786078234,-62.60060364230798,9.741144704458463,12.34780523988655,-2.6066605354280874,57.570030253449836,43.18922950380253,489.0299987792969,487.2249984741211,451.8279998779297,432.12800048828126,MINDACORP.NS,2024-07-29 10:52:28.012935
10,2024-07-15 00:00:00+05:30,486.25,496.0,485.0,487.70001220703125,184564,0.0,0.0,2024-07-15,486.49499969482423,8.997442452193312,495.4924421470175,477.49755724263093,504.4898845992109,468.5001147904376,-62.70196840727763,73.77686921817997,87365753,403168.7223001395,671284.2277840158,309.89931961588076,55.19005535111485,489.56667073567706,494.13334147135413,483.13334147135413,500.56667073567706,478.56667073567706,505.13334147135413,472.13334147135413,-0.033493969034662834,-66.2198393614384,10.434633959770338,12.999470373743574,-2.564836413973236,56.92133735983169,43.76942029920268,489.7,486.49499969482423,450.2679998779297,431.2775006103516,MINDACORP.NS,2024-07-29 10:52:28.012935
