Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-12-13 00:00:00+05:30,540.0999755859375,570.2999877929688,529.9000244140625,559.6500244140625,11904,0.0,0.0,2024-12-13,504.9550033569336,41.02868433570854,545.9836876926422,463.9263190212251,587.0123720283507,422.89763468551655,58.32087121007234,109.83999651697464,941072,15855.292755351113,9243.458319365986,506.2205081725469,81.60053592715204,553.2833455403646,576.6666666666667,536.2667032877605,593.6833089192709,512.8833821614584,617.066630045573,495.86673990885424,0.09079515178461241,-17.98585859165655,14.693410744257449,6.891504571850708,7.80190617240674,61.79251125812474,35.693249911761576,550.860009765625,504.9550033569336,517.2910009765625,554.4805029296875,MMFL.BO,2024-12-13 11:09:25.645435
2,2024-12-12 00:00:00+05:30,555.9500122070312,556.5999755859375,537.9000244140625,540.4000244140625,4931,0.0,0.0,2024-12-12,498.6850021362305,41.80474645248652,540.489748588717,456.88025568374394,582.2944950412035,415.07550923125746,40.97866917974088,89.40148856376,929168,6341.838564567739,7590.499710369702,506.07375562332004,78.38189381448421,544.9666748046875,552.0333251953125,533.3333740234375,563.6666259765625,526.2667236328125,570.7332763671875,514.6334228515625,-0.05569263598218901,-32.53658992251546,13.289448287479217,4.941028028749023,8.348420258730194,57.5199135229806,35.16923302117801,547.5900024414062,498.6850021362305,517.7370007324218,555.5790026855469,MMFL.BO,2024-12-13 11:09:25.645435
3,2024-12-11 00:00:00+05:30,565.0,565.0,550.0,555.9500122070312,2231,0.0,0.0,2024-12-11,494.4250015258789,41.67098501777167,536.0959865436505,452.7540165081072,577.7669715614222,411.08303149033554,85.88957645397828,111.54004369722006,934099,2951.889760010778,7902.664996820193,506.0346564572398,82.05761386932454,556.9833374023438,563.9666748046875,548.9666748046875,571.9833374023438,541.9833374023438,578.9666748046875,533.9666748046875,-0.048370171261231255,-20.547391781993873,13.186428955884708,2.853922964066474,10.332505991818234,62.7864410002224,34.993170137301064,550.3900024414063,494.4250015258789,518.6709997558594,557.0235021972657,MMFL.BO,2024-12-13 11:09:25.645435
4,2024-12-10 00:00:00+05:30,559.75,571.7000122070312,532.6500244140625,565.9500122070312,4546,0.0,0.0,2024-12-10,489.8375015258789,39.5369705530115,529.3744720788904,450.3005309728674,568.9114426319019,410.76356041985593,107.41259042950466,108.52781423380299,936330,6123.113716778024,9140.358806022547,506.0089191262773,79.7555526450795,556.7666829427084,580.8833414713542,541.8333536783855,595.8166707356771,517.7166951497396,619.933329264323,502.78336588541674,-0.058771653529760444,-12.24712439972174,11.323300423613091,0.27079646611191577,11.052503957501175,66.41785619761615,33.983212989307944,544.3900024414063,489.8375015258789,519.2919995117187,558.0272521972656,MMFL.BO,2024-12-13 11:09:25.645435
5,2024-12-09 00:00:00+05:30,542.25,545.25,530.4000244140625,532.3499755859375,3826,0.0,0.0,2024-12-09,485.27750091552736,35.33219426384315,520.6096951793705,449.9453066516842,555.9418894432137,414.61311238784106,71.476464723232,63.9080820063287,931784,4847.379527052123,9894.670078333676,505.94587561572337,78.99253068654656,536.0,541.5999755859375,526.75,550.8499755859375,521.1500244140625,556.449951171875,511.9000244140625,-0.11226217517819313,-36.962123404168395,7.781517675119687,-2.492329523263378,10.273847198383066,59.023518121117256,32.89556682993074,532.05,485.27750091552736,519.8459997558593,559.0612518310547,MMFL.BO,2024-12-13 11:09:25.645435
6,2024-12-06 00:00:00+05:30,553.25,553.25,538.0,543.2999877929688,4481,0.0,0.0,2024-12-06,482.7975021362305,33.55002360093013,516.3475257371606,449.2474785353004,549.8975493380908,415.6974549343702,117.00409795018263,79.60312112056057,935610,5794.012919825688,11156.492716154064,505.9224825451149,83.08482497099196,544.8499959309896,551.6999918619792,536.4499918619792,560.0999959309896,529.5999959309896,566.9499918619792,521.1999918619792,-0.0845177972240468,-25.762039290559777,6.438155222306079,-5.060791322859145,11.498946545165225,63.237116134999674,32.40775818057825,525.0900024414062,482.7975021362305,521.1220007324218,560.2200018310547,MMFL.BO,2024-12-13 11:09:25.645435
7,2024-12-05 00:00:00+05:30,537.6500244140625,582.5999755859375,537.5999755859375,554.4000244140625,28485,0.0,0.0,2024-12-05,479.6250030517578,30.377726901409627,510.00272995316743,449.24727615034817,540.380456854577,418.86954924893854,185.52161815460153,103.64590069418196,940091,37584.11122034627,12497.112665236156,505.883657941804,85.13034924917119,558.1999918619791,578.8000081380208,533.8000081380208,603.1999918619791,513.1999918619791,623.8000081380208,488.80000813802076,-0.16701916524072083,-17.724673475290924,3.5422861036581708,-7.935527959150451,11.477814062808623,67.79259957600435,31.36952512848835,516.7400024414062,479.6250030517578,522.0250012207031,561.3640020751953,MMFL.BO,2024-12-13 11:09:25.645435
8,2024-12-04 00:00:00+05:30,513.2999877929688,528.75,507.54998779296875,525.9500122070312,10586,0.0,0.0,2024-12-04,476.4250015258789,24.977164259941837,501.4021657858207,451.44783726593704,526.3793300457626,426.4706730059952,110.11856904528818,27.56263508033669,911606,13250.77193717926,6225.363026458628,505.5611774870417,61.132885038576255,520.75,533.9500122070312,512.75,541.9500122070312,499.54998779296875,555.1500244140625,491.54998779296875,-0.13428957482334808,-2.660320943438242,-1.3121603306830139,-10.804981474852605,9.492821144169591,61.12800278449635,30.251427995468454,507.47999877929686,476.4250015258789,522.6520007324219,562.3012518310547,MMFL.BO,2024-12-13 11:09:25.645435
9,2024-12-03 00:00:00+05:30,490.0,508.75,490.0,504.25,2838,0.0,0.0,2024-12-03,474.98500061035156,22.697834962778682,497.68283557313026,452.28716564757286,520.380670535909,429.5893306847942,68.333046927537,-12.886666538006036,901020,3405.831187994112,4469.01079877847,505.5106884230974,49.44926843826969,501.0,512.0,493.25,519.75,482.25,530.75,474.5,-0.25064769274854015,-14.55026455026455,-4.7055464522806005,-13.178186760895002,8.472640308614402,54.45265219058756,30.76822461699418,503.3999938964844,474.98500061035156,523.9130004882812,563.395751953125,MMFL.BO,2024-12-13 11:09:25.645435
10,2024-12-02 00:00:00+05:30,491.0,501.20001220703125,491.0,497.54998779296875,2409,0.0,0.0,2024-12-02,474.0925003051758,21.820527846508487,495.9130281516843,452.27197245866734,517.7335559981927,430.4514446121588,70.41387672848076,-23.727256919526557,898182,2852.583330500765,4734.80570147456,505.5115259168814,44.66335113379053,496.5833333333333,502.16666666666663,491.9666544596354,506.78334554036456,486.38332112630206,512.3666788736979,481.76664225260413,-0.2522437741598097,-21.640224557705025,-6.841690414053517,-15.296346838048601,8.454656423995084,52.09403646269867,32.30327410899159,494.2899963378906,474.0925003051758,525.7270007324219,564.8085021972656,MMFL.BO,2024-12-13 11:09:25.645435
