Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-19 00:00:00+05:30,2680.050048828125,2689.75,2626.449951171875,2674.550048828125,583522,0.0,0.0,2023-12-19,2428.1800048828127,122.27732509433022,2550.4573299771428,2305.9026797884826,2672.7346550714733,2183.625354694152,103.14312247332501,198.07647999898856,17717081,539578.8782978136,806651.3870232983,2254.3983046778367,85.11704226383557,2663.5833333333335,2700.716715494792,2637.416666666667,2726.8833821614585,2600.2832845052085,2764.016764322917,2574.116617838542,0.2618030417052042,-11.511134276138963,86.22071371086986,55.787588654235435,30.433125056634424,79.49947502486398,30.573737755200742,2608.02998046875,2428.1800048828127,2327.0309912109374,2356.49048828125,MPHASIS.NS,2023-12-19 10:51:04.582312
2,2023-12-18 00:00:00+05:30,2658.89990234375,2719.949951171875,2605.75,2680.050048828125,1133495,0.0,0.0,2023-12-18,2411.925,108.65175163680561,2520.576751636806,2303.2732483631944,2629.2285032736113,2194.621496726389,145.1270933069895,219.59994448631448,18300603,1050290.628323325,873419.5142046693,2253.4791367267744,91.16821722143587,2668.5833333333335,2731.416666666667,2617.216715494792,2782.7832845052085,2554.3833821614585,2845.616617838542,2503.016764322917,0.24972060557345496,-9.633005081449967,78.17063842901553,48.17930739007682,29.991331038938704,80.47417832308122,28.481572812266762,2559.739990234375,2411.925,2322.9639892578125,2352.4709887695312,MPHASIS.NS,2023-12-19 10:51:04.582312
3,2023-12-15 00:00:00+05:30,2600.0,2677.800048828125,2577.0,2658.89990234375,1714328,0.0,0.0,2023-12-15,2394.192492675781,89.9138692938528,2484.106361969634,2304.2786233819284,2574.0202312634865,2214.3647540880756,207.78059696607124,222.95938549719912,17167108,1575951.630130682,829201.7356750052,2251.65863188773,84.72031677981148,2637.8999837239585,2698.799967447917,2597.999918619792,2738.7000325520835,2537.0999348958335,2799.600016276042,2497.199869791667,0.22695631539615024,-4.673625034185108,66.13803237226239,40.681474630342144,25.456557741920243,79.58020932221228,26.228472104491708,2510.369970703125,2394.192492675781,2317.9089892578127,2348.9789892578124,MPHASIS.NS,2023-12-19 10:51:04.582312
4,2023-12-14 00:00:00+05:30,2461.10009765625,2620.0,2460.25,2601.0,2057224,0.0,0.0,2023-12-14,2379.525,64.91015813982717,2444.4351581398273,2314.614841860173,2509.3453162796545,2249.7046837203457,226.40412148200684,192.5351766411673,15452780,1849988.0013002267,642514.262061086,2249.0129415407596,79.63317156350969,2560.4166666666665,2660.583333333333,2500.833333333333,2720.1666666666665,2400.6666666666665,2820.333333333333,2341.083333333333,0.19623220666929356,-5.4818218830520244,51.81352794772465,34.31733519486208,17.49619275286257,76.89062720845459,24.103776076184474,2464.0,2379.525,2312.3259912109374,2344.5289892578126,MPHASIS.NS,2023-12-19 10:51:04.582312
5,2023-12-13 00:00:00+05:30,2445.0,2445.89990234375,2384.0,2425.64990234375,290960,0.0,0.0,2023-12-13,2362.9275024414064,44.5428502575661,2407.4703526989724,2318.3846521838404,2452.0132029565384,2273.8418019262745,53.53949654536071,102.62750030466368,13395556,244010.42645536305,340645.8272513008,2246.2472697536173,65.96815337738684,2418.5166015625,2453.033203125,2391.13330078125,2480.41650390625,2356.61669921875,2514.93310546875,2329.2333984375,0.15550664825991167,-22.930922617760285,38.39103118125877,29.943287006646443,8.447744174612325,63.29489926650442,22.291845345400215,2423.05,2362.9275024414064,2307.8379931640625,2340.2169897460935,MPHASIS.NS,2023-12-19 10:51:04.582312
6,2023-12-12 00:00:00+05:30,2446.0,2464.64990234375,2422.449951171875,2433.10009765625,270763,0.0,0.0,2023-12-12,2349.2150024414063,62.721782374671925,2411.936784816078,2286.4932200667345,2474.65856719075,2223.7714376920626,118.51809816710781,119.41879614728958,13686516,227769.86831944404,364804.67745028523,2246.0476804079303,71.18648426891244,2440.066650390625,2457.683349609375,2415.4833984375,2482.2666015625,2397.86669921875,2499.88330078125,2373.283447265625,0.08838534535712111,-19.15962751725544,37.89381340577347,27.831350962993362,10.06246244278011,64.7988989776558,22.75818990207503,2414.7900390625,2349.2150024414063,2307.04099609375,2337.194489746094,MPHASIS.NS,2023-12-19 10:51:04.582312
7,2023-12-11 00:00:00+05:30,2439.0,2470.949951171875,2422.0,2433.199951171875,484192,0.0,0.0,2023-12-11,2337.6699951171877,67.53454863179876,2405.2045437489865,2270.135446485389,2472.739092380785,2202.60089785359,154.31296060188728,119.46036130280527,13957279,407326.2377415608,399063.37973299547,2245.85382507485,71.4365326748146,2442.0499674479165,2462.099934895833,2413.149983723958,2490.9999186197915,2393.1000162760415,2511.049886067708,2364.200032552083,0.12479562433763777,-19.109081584102128,35.949343936598325,25.315735352298336,10.633608584299989,64.818096021357,22.0048110106796,2396.95,2337.6699951171877,2307.778994140625,2334.1009887695313,MPHASIS.NS,2023-12-19 10:51:04.582312
8,2023-12-08 00:00:00+05:30,2410.0,2455.0,2402.0,2427.050048828125,529468,0.0,0.0,2023-12-08,2325.692492675781,70.86086933045877,2396.5533620062397,2254.8316233453224,2467.414231336699,2183.9707540148634,167.4535631138689,107.08141195157565,13473087,444288.8627575034,396997.66523085407,2245.5059742344083,70.77740826764852,2428.0166829427085,2454.033365885417,2401.033365885417,2481.0166829427085,2375.0166829427085,2507.033365885417,2348.033365885417,0.16231143387562827,-15.390933998714766,32.9053126951826,22.65733320622334,10.247979488959263,64.21263401745409,21.193479896869132,2384.57001953125,2325.692492675781,2307.943994140625,2330.464489746094,MPHASIS.NS,2023-12-19 10:51:04.582312
9,2023-12-07 00:00:00+05:30,2388.0,2417.60009765625,2340.0,2396.25,584528,0.0,0.0,2023-12-07,2313.449987792969,73.52878777625392,2386.9787755692228,2239.921200016715,2460.5075633454767,2166.392412240461,107.0239623574451,74.19128140573038,12943619,484266.495130252,385174.8658491917,2245.136626711024,64.90510653881846,2384.61669921875,2429.2333984375,2351.63330078125,2462.216796875,2307.0166015625,2506.83349609375,2274.033203125,0.11327790075434584,-14.805872911601574,29.115137129114828,20.095338333983523,9.019798795131305,61.09937658447022,20.594135231917367,2374.2,2313.449987792969,2309.2709912109376,2325.4159887695314,MPHASIS.NS,2023-12-19 10:51:04.582312
10,2023-12-06 00:00:00+05:30,2351.0,2404.89990234375,2350.64990234375,2384.35009765625,698387,0.0,0.0,2023-12-06,2303.752490234375,74.81232931651455,2378.5648195508893,2228.9401609178603,2453.377148867404,2154.127831601346,119.00914320343546,67.71135997642007,12359091,575722.4272830737,360401.9585289266,2244.7964550286406,67.26939654096896,2379.9666341145835,2409.283365885417,2355.033365885417,2434.2166341145835,2325.7166341145835,2463.533365885417,2300.783365885417,0.09656843825521125,-13.440037810684712,26.854763567311238,17.840388635200696,9.014374932110542,59.846166519695316,20.65960510204757,2365.87998046875,2303.752490234375,2311.0659912109377,2320.4934887695313,MPHASIS.NS,2023-12-19 10:51:04.582312
