Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-13 00:00:00+05:30,3450.0,3466.89990234375,3262.14990234375,3277.050048828125,449713,0.0,0.0,2024-08-13,3569.9099975585937,115.95073665903945,3685.8607342176333,3453.959260899554,3801.8114708766725,3338.008524240515,-176.82806251824692,-283.15582665579245,5013820,337218.43833127833,213170.5079288265,3869.4231141084897,62.232283955668734,3335.3666178385415,3408.583333333333,3203.833333333333,3540.1166178385415,3130.6166178385415,3613.333333333333,2999.083333333333,-0.002768888922237676,-97.33354595876959,-34.98413722655414,-4.734911737214674,-30.249225489339466,34.41217825806987,16.658324351891345,3489.089990234375,3569.9099975585937,3558.546962890625,3399.4126977539063,NAVINFLUOR.NS,2024-08-13 10:53:53.551834
2,2024-08-12 00:00:00+05:30,3532.14990234375,3550.0,3452.0,3466.89990234375,155475,0.0,0.0,2024-08-12,3589.0625,94.72337312115879,3683.7858731211586,3494.3391268788414,3778.5092462423177,3399.6157537576823,-93.59258386895931,-141.87529384059076,5463533,123337.36469853309,182158.52532821352,3872.05392185743,69.90738139555319,3489.63330078125,3527.2666015625,3429.2666015625,3587.63330078125,3391.63330078125,3625.2666015625,3331.2666015625,0.06893367551318265,-95.5988089281606,-14.16622113227777,2.8273946351201933,-16.993615767397962,42.94471958589089,15.287824484624064,3526.87998046875,3589.0625,3556.63201171875,3396.5653442382813,NAVINFLUOR.NS,2024-08-13 10:53:53.551834
3,2024-08-09 00:00:00+05:30,3592.0,3630.0,3535.0,3550.199951171875,86254,0.0,0.0,2024-08-09,3598.577502441406,91.30231375705206,3689.8798161984582,3507.275188684354,3781.1821299555104,3415.9728749273017,-34.24216335449198,-52.49427388322388,5619008,70068.82822167447,196863.81548563362,3872.676948198399,70.39740540081803,3571.7333170572915,3608.466634114583,3513.466634114583,3666.7333170572915,3476.7333170572915,3703.466634114583,3418.466634114583,0.08018153325952904,-68.36257205399265,-5.995674416413294,7.075798576969683,-13.071472993382978,47.77060115395767,15.39501131726147,3524.689990234375,3598.577502441406,3551.794384765625,3391.0829028320313,NAVINFLUOR.NS,2024-08-13 10:53:53.551834
4,2024-08-08 00:00:00+05:30,3585.0,3644.0,3537.25,3549.449951171875,94435,0.0,0.0,2024-08-08,3603.3650024414064,91.14231086236776,3694.507313303774,3512.222691579039,3785.649624166142,3421.080380716671,-25.123891412055794,-43.08725668985021,5532754,76698.49426934822,228562.5623016234,3872.952291385867,69.32780922901313,3576.8999837239585,3616.549967447917,3509.799967447917,3683.6499837239585,3470.1499837239585,3723.299967447917,3403.049967447917,0.08121088992887503,-68.55194205968237,-3.647847832714433,10.343666825315427,-13.99151465802986,47.7214852991092,16.478395922878487,3535.889990234375,3603.3650024414064,3546.9475830078127,3385.712648925781,NAVINFLUOR.NS,2024-08-13 10:53:53.551834
5,2024-08-07 00:00:00+05:30,3515.0,3620.0,3502.0,3601.85009765625,246049,0.0,0.0,2024-08-07,3609.620007324219,91.53931341558004,3701.159320739799,3518.0806939086388,3792.698634155379,3426.541380493059,-18.72880677551838,-41.43235797234172,5627189,202786.96489991187,266528.5793096922,3873.2549917475762,66.54553857963626,3574.61669921875,3647.2333984375,3529.2333984375,3692.61669921875,3456.61669921875,3765.2333984375,3411.2333984375,0.10034833286092934,-55.32125400916398,-0.5127842849074113,13.841545489822892,-14.354329774730303,50.822075858417485,17.673147068905873,3563.239990234375,3609.620007324219,3542.5679150390624,3380.6583056640625,NAVINFLUOR.NS,2024-08-13 10:53:53.551834
6,2024-08-06 00:00:00+05:30,3476.5,3591.949951171875,3451.60009765625,3466.0,285809,0.0,0.0,2024-08-06,3614.120007324219,93.33186074464143,3707.45186806886,3520.7881465795776,3800.783728813502,3427.456285834936,-70.3372490984324,-105.85898877939879,5381140,226671.67578260828,282463.98291213723,3873.918279360786,60.25098978647504,3503.183349609375,3554.7666015625,3414.416748046875,3643.533203125,3362.83349609375,3695.116455078125,3274.06689453125,0.05808617116083655,-89.62249903064995,-1.6518039526927168,17.430127933505467,-19.081931886198184,41.70375868568491,18.665048703334765,3603.0599609375,3614.120007324219,3537.7390966796875,3375.179270019531,NAVINFLUOR.NS,2024-08-13 10:53:53.551834
7,2024-08-05 00:00:00+05:30,3515.0,3584.85009765625,3450.60009765625,3455.949951171875,186557,0.0,0.0,2024-08-05,3623.997509765625,87.0747953485475,3711.0723051141727,3536.9227144170777,3798.14710046272,3449.8479190685302,-78.98384346854755,-99.19561875838535,5095331,147527.0948758535,296412.05969451944,3875.079584410249,60.520984782003985,3497.1333821614585,3543.666666666667,3409.416666666667,3631.3833821614585,3362.8833821614585,3677.916666666667,3275.166666666667,0.10034615751272781,-92.16006943566876,10.29410933201143,22.20061090505501,-11.906501573043581,40.95166157718105,19.3869552472826,3664.08994140625,3623.997509765625,3535.4017138671875,3370.716892089844,NAVINFLUOR.NS,2024-08-13 10:53:53.551834
8,2024-08-02 00:00:00+05:30,3641.0,3699.0,3588.0,3606.199951171875,266577,0.0,0.0,2024-08-02,3634.480017089844,77.91747114691233,3712.397488236756,3556.5625459429316,3790.3149593836683,3478.6450747960193,22.558599281869373,27.90066707728882,5281888,219970.92240436617,333633.3008991859,3875.859890418078,62.21429168921376,3631.066650390625,3674.13330078125,3563.13330078125,3742.066650390625,3520.066650390625,3785.13330078125,3452.13330078125,0.12556769783170602,-54.22294496249278,26.42230449274257,25.177236298315904,1.2450681944266648,49.886335404384496,20.078638868083203,3687.0599609375,3634.480017089844,3532.76728515625,3366.533669433594,NAVINFLUOR.NS,2024-08-13 10:53:53.551834
9,2024-08-01 00:00:00+05:30,3790.0,3790.0,3660.35009765625,3686.199951171875,355652,0.0,0.0,2024-08-01,3636.7775146484373,77.71689740556496,3714.494412054002,3559.0606172428725,3792.211309459567,3481.3437198373076,98.07474895847389,95.56629903389411,5548465,299983.20507679536,362048.8955228908,3876.579175458466,67.32563392488339,3712.183349609375,3764.0166015625,3634.36669921875,3841.833251953125,3582.533447265625,3893.66650390625,3504.716796875,0.1738768056758841,-34.023477688921545,31.873595198637304,24.865969249709238,7.007625948928066,55.91819372925752,20.87557224134051,3671.92998046875,3636.7775146484373,3527.5121240234375,3360.915319824219,NAVINFLUOR.NS,2024-08-13 10:53:53.551834
10,2024-07-31 00:00:00+05:30,3759.949951171875,3820.949951171875,3627.0,3800.949951171875,983055,0.0,0.0,2024-07-31,3633.3358520507813,76.93322750746948,3710.2690795582507,3556.402624543312,3787.20230706572,3479.4693970358426,148.94039401382307,119.82680217655354,5904117,854993.4036225736,377565.3181344146,3877.259091038487,72.11171518507709,3749.63330078125,3872.2666015625,3678.316650390625,3943.583251953125,3555.683349609375,4066.216552734375,3484.36669921875,0.21452863919428883,-5.049866818392808,30.49117806908407,23.11406276247722,7.37711530660685,66.65220583435848,20.69328336664231,3637.539990234375,3633.3358520507813,3521.324677734375,3354.531403808594,NAVINFLUOR.NS,2024-08-13 10:53:53.551834
