Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-08-08 00:00:00+05:30,1399.0,1409.0,1380.0,1392.0,431982,0.0,0.0,2025-08-08,1382.225,29.564328104976642,1411.7893281049764,1352.6606718950234,1441.3536562099532,1323.0963437900466,125.9761310700136,82.31013825131994,98772555,896353.8285512959,1101872.985856169,977.9857072421893,52.35147981069256,1393.6666666666667,1407.3333333333335,1378.3333333333335,1422.6666666666667,1364.6666666666667,1436.3333333333335,1349.3333333333335,0.06991200962771535,-35.91050996306847,9.478452246194138,12.42271996700225,-2.944267720808112,57.8563453720971,20.731238950327526,1376.9199951171875,1382.225,1336.7480004882811,1201.9730004882813,NAZARA.NS,2025-08-08 11:30:08.946996
2,2025-08-07 00:00:00+05:30,1375.5,1402.5999755859375,1366.0,1387.199951171875,551995,0.0,0.0,2025-08-07,1379.325,31.345981384067436,1410.6709813840675,1347.9790186159325,1442.0169627681348,1316.6330372318653,78.35564354676335,68.36364435846367,98340573,1141428.7320772596,1153252.775182387,977.4084079457784,43.666571268138306,1385.2666422526042,1404.5332845052085,1367.933308919271,1421.8666178385417,1348.6666666666667,1441.133260091146,1331.3333333333335,0.06425839710809905,-44.03850848858173,8.608464284083993,13.158786897204276,-4.550322613120283,56.805512494244894,21.074696019799465,1366.4,1379.325,1334.81,1197.4080004882812,NAZARA.NS,2025-08-08 11:30:08.946996
3,2025-08-06 00:00:00+05:30,1374.0,1405.199951171875,1366.5,1373.4000244140625,667724,0.0,0.0,2025-08-06,1376.9,32.55732407373674,1409.4573240737368,1344.3426759262634,1442.0146481474735,1311.7853518525267,40.19115436078862,64.1468959033443,97788578,1367000.3596569805,1156208.785958669,976.6769443979579,47.44530844845073,1381.6999918619792,1396.8999837239585,1358.2000325520835,1420.3999430338542,1343.0000406901042,1435.5999348958335,1319.5000813802085,0.009152752282406692,-58.50465008031542,7.836916864392833,14.296367550484348,-6.459450686091515,53.725166591459136,21.678269836088063,1359.2400146484374,1376.9,1332.832001953125,1192.8775012207032,NAZARA.NS,2025-08-08 11:30:08.946996
4,2025-08-05 00:00:00+05:30,1367.800048828125,1403.199951171875,1362.199951171875,1370.0,620164,0.0,0.0,2025-08-05,1375.825,33.030483620755874,1408.8554836207559,1342.7945163792442,1441.8859672415117,1309.7640327584884,12.634179436595607,60.90366621788239,97120854,1266489.8426178135,1103510.892534091,975.8184889809189,51.7651034200503,1378.4666341145833,1394.7333170572915,1353.7333170572915,1419.4666341145833,1337.4666341145833,1435.7333170572915,1312.7333170572915,0.04074960581645316,-61.6822429906542,8.089444896173518,15.911230222007227,-7.821785325833709,52.95767237476042,22.305286808341716,1356.760009765625,1375.825,1330.8580004882813,1188.4690008544922,NAZARA.NS,2025-08-08 11:30:08.946996
5,2025-08-04 00:00:00+05:30,1343.9000244140625,1365.0,1329.0,1362.0,379053,0.0,0.0,2025-08-04,1375.3099975585938,33.20591746615731,1408.5159150247512,1342.1040800924363,1441.7218324909084,1308.8981626262791,-66.02498766192672,13.41006726093937,96500690,769576.2164246562,1062766.1550131603,975.0246913627833,53.627775554680355,1352.0,1375.0,1339.0,1388.0,1316.0,1411.0,1303.0,0.09730723285610107,-69.1588785046729,8.625040842850694,17.866676553465652,-9.241635710614958,51.18888612831564,23.04638265591321,1356.32001953125,1375.3099975585938,1329.0760009765625,1184.1200006103516,NAZARA.NS,2025-08-08 11:30:08.946996
6,2025-08-01 00:00:00+05:30,1354.5,1361.199951171875,1330.800048828125,1339.4000244140625,419735,0.0,0.0,2025-08-01,1374.354998779297,33.87673942822259,1408.2317382075196,1340.4782593510743,1442.108477635742,1306.6015199228518,-98.33777287914886,2.1095418933697303,96121637,838030.9900978999,1136063.6396602863,974.547793841025,56.63542806947586,1343.8000081380208,1356.7999674479165,1326.4000651041665,1374.1999104817708,1313.4001057942708,1387.1998697916665,1296.0001627604165,0.028857252388239853,-86.24997820172992,9.967962307265452,20.17708548111939,-10.20912317385394,45.847706633303964,24.363316754524394,1353.360009765625,1374.354998779297,1327.3240014648438,1179.851500854492,NAZARA.NS,2025-08-08 11:30:08.946996
7,2025-07-31 00:00:00+05:30,1355.0,1370.9000244140625,1344.4000244140625,1351.4000244140625,271397,0.0,0.0,2025-07-31,1376.6399963378906,32.92272933329243,1409.562725671183,1343.7172670045982,1442.4854550044754,1310.7945376713058,-95.3224867470164,26.487753941702444,96541372,546718.2317560044,1210571.802050883,974.0492227171353,57.312601340408726,1355.5666910807292,1366.733357747396,1340.233357747396,1382.0666910807292,1329.0666910807292,1393.233357747396,1313.733357747396,0.021449782618740254,-75.5356924874442,13.76203416702856,22.729366274582876,-8.967332107554316,48.46234101339425,25.61805213646643,1363.5800048828125,1376.6399963378906,1326.662001953125,1175.7215008544922,NAZARA.NS,2025-08-08 11:30:08.946996
8,2025-07-30 00:00:00+05:30,1374.0,1387.0,1355.5,1361.0,610066,0.0,0.0,2025-07-30,1377.8749938964843,32.38497628336943,1410.2599701798538,1345.4900176131148,1442.644946463223,1313.1050413297455,-92.72835006911045,49.77815063851282,96812769,1237683.3214830083,1376535.1946246026,973.715512772383,57.456757626654294,1367.8333333333333,1380.1666666666665,1348.6666666666665,1399.3333333333333,1336.3333333333333,1411.6666666666665,1317.1666666666665,0.1280822796803361,-66.96428571428571,17.229262015255244,24.971199301471454,-7.74193728621621,50.60623178500253,27.474661153686174,1376.1,1377.8749938964843,1325.6540014648438,1171.3865008544922,NAZARA.NS,2025-08-08 11:30:08.946996
9,2025-07-29 00:00:00+05:30,1348.0,1371.0,1330.0,1367.800048828125,1061873,0.0,0.0,2025-07-29,1376.6549926757812,33.49472915845978,1410.1497218342408,1343.1602635173215,1443.6444509927007,1309.6655343588616,-155.85835538313088,34.66269880435903,97422835,2165059.2444021106,1411248.1629100011,972.9440944530063,50.354286821611616,1356.2666829427083,1382.5333658854165,1341.5333658854165,1397.2666829427083,1315.2666829427083,1423.5333658854165,1300.5333658854165,0.20098611095667787,-60.892813546316965,20.461862770577454,26.906683623025504,-6.44482085244805,52.1228613244919,29.26825122402387,1387.260009765625,1376.6549926757812,1324.4100024414063,1166.9870007324218,NAZARA.NS,2025-08-08 11:30:08.946996
10,2025-07-28 00:00:00+05:30,1395.0,1399.300048828125,1337.300048828125,1347.199951171875,458309,0.0,0.0,2025-07-28,1373.2749877929687,37.59515326211425,1410.870141055083,1335.6798345308544,1448.4652943171973,1298.08468126874,-138.25519121437117,44.98349174334516,96360962,920375.4712554724,1222795.3925369736,971.5703605521032,53.108192943107994,1361.2666829427083,1385.2333170572915,1323.2333170572915,1423.2666829427083,1299.2666829427083,1447.2333170572915,1261.2333170572915,0.14662874993412092,-79.28575788225446,23.620841311052345,28.517888836137512,-4.897047525085167,47.71501857527515,31.227681729535625,1396.6,1373.2749877929687,1322.9600024414062,1162.4175,NAZARA.NS,2025-08-08 11:30:08.946996
