Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-22 00:00:00+05:30,164.64999389648438,165.4499969482422,162.4499969482422,164.0,102765,0.0,0.0,2023-12-22,169.01249923706055,4.71645674231057,173.72895597937114,164.29604249474997,178.4454127216817,159.5795857524394,-84.0298953113101,12.68264247371928,32558021,245319.66155249104,868385.5703465033,99.27131908046404,50.31273576411971,163.96666463216147,165.48333231608075,162.48333231608075,166.96666463216147,160.96666463216147,168.48333231608075,159.48333231608075,-0.21518048110986865,-66.96269972610077,0.9277202333521473,2.5756821644666292,-1.647961931114482,46.64015822689881,19.01070785497693,164.7699981689453,169.01249923706055,161.0509991455078,157.7499998474121,NCC.BO,2023-12-22 10:57:23.216296
2,2023-12-21 00:00:00+05:30,157.25,164.0,154.6999969482422,163.1999969482422,325115,0.0,0.0,2023-12-21,168.95249938964844,4.790628353779739,173.74312774342818,164.1618710358687,178.5337560972079,159.37124268208896,-163.30234059668123,-9.233468357072283,32455256,772325.6093854189,1024152.0475450063,99.23908393279228,51.799488126895106,160.63333129882812,166.56666564941406,157.26666259765625,169.93333435058594,151.3333282470703,175.86666870117188,147.96665954589844,-0.22550094095167697,-69.80462793772247,1.3467337450317416,2.9876726472452497,-1.6409389022135081,45.42684547342036,19.763861362496378,166.63999938964844,168.95249938964844,160.93199920654297,157.49699981689454,NCC.BO,2023-12-22 10:57:23.216296
3,2023-12-20 00:00:00+05:30,167.0500030517578,170.89999389648438,158.89999389648438,160.4499969482422,924516,0.0,0.0,2023-12-20,168.98999938964843,4.745956183368496,173.73595557301692,164.24404320627994,178.48191175638541,159.49808702291145,-204.40673705765033,13.473932327454802,32130141,2159222.6487339907,1087108.657084903,99.13815303813534,57.71371311364297,163.41666158040366,167.93332926432294,155.93332926432294,175.41666158040366,151.41666158040366,179.93332926432294,143.93332926432294,-0.28373935341529466,-93.52817427248425,1.9415811363699333,3.3979073727986266,-1.4563262364286933,41.15595141829521,20.240378959272917,168.75,168.98999938964843,160.72999938964844,157.2704998779297,NCC.BO,2023-12-22 10:57:23.216296
4,2023-12-19 00:00:00+05:30,170.0,172.4499969482422,165.4499969482422,166.25,208370,0.0,0.0,2023-12-19,169.3949996948242,4.303849879553383,173.6988495743776,165.09114981527082,178.00269945393097,160.78729993571744,-175.21663892094512,47.20386071410714,33054657,504243.29023039714,819080.159172631,98.86178712680791,68.5939460498914,168.04999796549478,170.64999898274738,163.64999898274738,175.04999796549478,161.04999796549478,177.64999898274738,156.64999898274738,-0.26692890287152954,-85.78811817790402,2.9445814913957804,3.7619889319057997,-0.8174074405100193,48.6056177959763,21.55109606735075,171.06000061035155,169.3949996948242,160.70199951171875,157.04049987792968,NCC.BO,2023-12-22 10:57:23.216296
5,2023-12-18 00:00:00+05:30,174.85000610351562,175.0,169.0,169.9499969482422,437572,0.0,0.0,2023-12-18,169.63999938964844,4.2545816572567,173.89458104690513,165.38541773239174,178.14916270416182,161.13083607513505,-79.04418261406647,72.31570407014723,33263027,1082465.2600881776,897789.3764081894,98.7932562593175,67.92118069228013,171.31666564941406,173.63333129882812,167.63333129882812,177.31666564941406,165.31666564941406,179.63333129882812,161.63333129882812,-0.18048657877812224,-64.33918798901368,3.6128985924846404,3.966340792033304,-0.3534421995486636,54.44325811048311,21.889674730403858,172.65,169.63999938964844,160.51699951171875,156.75049987792968,NCC.BO,2023-12-22 10:57:23.216296
6,2023-12-15 00:00:00+05:30,175.3000030517578,181.0,171.5,173.35000610351562,344749,0.0,0.0,2023-12-15,169.2224998474121,4.616829127661303,173.8393289750734,164.6056707197508,178.45615810273472,159.9888415920895,65.7441957483441,104.53476605550739,33700599,869901.6580627349,851620.4054881923,98.64096985461659,75.25408956023992,175.28333536783853,179.06667073567706,169.56667073567706,184.78333536783853,165.78333536783853,188.56667073567706,160.06667073567706,-0.16871235532939577,-47.38153892284381,4.049412475605067,4.054701341920469,-0.005288866315402707,60.65972797933184,21.18800792368645,174.01000061035157,169.2224998474121,160.2559994506836,156.30849990844726,NCC.BO,2023-12-22 10:57:23.216296
7,2023-12-14 00:00:00+05:30,172.25,176.0500030517578,172.10000610351562,173.75,131277,0.0,0.0,2023-12-14,168.73999938964843,4.666750865818514,173.40675025546693,164.07324852382993,178.07350112128546,159.4064976580114,39.01267040294875,100.0040589581167,34045348,332014.26147346495,847050.0923445567,98.51478575900764,72.23925353458002,173.96666971842447,175.83333333333331,171.88333638509113,177.91666666666666,170.01667277018228,179.7833302815755,167.93333943684894,-0.14715128742814254,-43.436758000844875,4.212078401950407,4.056023558499319,0.15605484345108778,61.42593815394488,19.587194505396134,174.2699981689453,168.73999938964843,159.99999938964845,155.8474998474121,NCC.BO,2023-12-22 10:57:23.216296
8,2023-12-13 00:00:00+05:30,175.60000610351562,175.60000610351562,171.5500030517578,172.0,105322,0.0,0.0,2023-12-13,168.30999908447265,4.576155231224132,172.88615431569679,163.73384385324852,177.46230954692092,159.15768862202438,30.032714242758292,97.0215477094113,33914071,263688.2795445809,975809.0500623295,98.46636655057829,69.47592188040112,173.0500030517578,174.5500030517578,170.5,177.10000610351562,169.0,178.60000610351562,166.4499969482422,-0.19665617999127882,-51.17924460400586,4.317127372360744,4.0170098476365474,0.3001175247241967,59.33945933922263,18.67660201158466,174.45999755859376,168.30999908447265,159.62699951171874,155.3309998321533,NCC.BO,2023-12-22 10:57:23.216296
9,2023-12-12 00:00:00+05:30,177.35000610351562,177.89999389648438,173.0,174.1999969482422,347752,0.0,0.0,2023-12-12,168.00249938964845,4.521452228097366,172.5239516177458,163.4810471615511,177.04540384584317,158.95959493345373,80.97923958290583,116.9540207317644,34019393,881781.6598213827,1153839.2426917667,98.42837934911029,68.38450446347406,175.03333028157553,177.06666056315106,172.16666666666669,179.9333241780599,170.13333638509116,181.96665445963544,167.2666727701823,-0.11429592120677226,-40.80190648383001,4.558559351562479,3.9419804664554983,0.6165788851069811,63.338799884341945,17.778409283218984,174.10999755859376,168.00249938964845,159.30999938964842,154.81549980163575,NCC.BO,2023-12-22 10:57:23.216296
10,2023-12-11 00:00:00+05:30,176.14999389648438,177.5500030517578,171.5,176.75,217461,0.0,0.0,2023-12-11,166.96499938964843,5.332449329029759,172.2974487186782,161.63255006061866,177.62989804770794,156.3001007315889,106.51827680204156,124.61485718916487,34367145,559479.3807481142,1221853.6384093626,98.29891512316313,76.75892541860614,175.26666768391928,179.03333536783856,172.98333231608075,181.3166707356771,169.21666463216147,185.08333841959637,166.93332926432294,-0.103020673938498,-28.77359712789449,4.58192999894743,3.7878357451787528,0.7940942537686775,68.29275724813992,16.319205747451765,173.31999816894532,166.96499938964843,158.9659994506836,154.2824998474121,NCC.BO,2023-12-22 10:57:23.216296
