Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-04 00:00:00+05:30,869.0499877929688,881.9500122070312,797.6500244140625,803.7000122070312,95825,0.0,0.0,2024-10-04,878.5937469482421,57.0472380315782,935.6409849798204,821.5465089166639,992.6882230113986,764.4992708850857,-146.69850261424133,26.895193691271583,7242034,695529.6188449085,552603.5038158509,364.9015181191196,62.986610991425266,827.7666829427084,857.8833414713542,773.5833536783855,912.0666707356771,743.4666951497396,942.183329264323,689.2833658854167,-0.0859264462174203,-97.50309961958183,36.31668063656696,54.36714014942572,-18.050459512858765,45.7014796595353,38.456856631648094,878.8300048828125,878.5937469482421,728.5914971923828,582.1760250854492,NDRAUTO.NS,2024-10-04 10:55:46.790233
2,2024-10-03 00:00:00+05:30,856.0499877929688,924.5999755859375,846.0499877929688,886.25,34863,0.0,0.0,2024-10-03,879.8549957275391,55.56383675153407,935.4188324790731,824.291158976005,990.9826692306071,768.727322224471,-58.527605567401466,62.61688418973665,7337859,279038.30824777565,516871.9750585865,363.276213061475,66.27270298272043,885.6333211263021,925.2166544596355,846.6666666666667,964.1833089192709,807.0833333333334,1003.7666422526042,768.116678873698,-0.030112126197239675,-71.6884223064176,47.08618349760354,58.87975502764041,-11.793571530036864,56.34834991644338,41.39381349925877,901.7,879.8549957275391,722.2734967041016,578.1503131103516,NDRAUTO.NS,2024-10-04 10:55:46.790233
3,2024-10-01 00:00:00+05:30,895.0499877929688,899.7999877929688,871.0999755859375,879.75,29966,0.0,0.0,2024-10-01,876.0637451171875,57.65214079870999,933.7158859158975,818.4116043184775,991.3680267146075,760.7594635197676,-71.73226428923553,62.90101878986293,7302996,238084.36532399064,576330.3917612892,362.57051122058476,66.49119200204464,883.5499877929688,896.0,867.2999877929688,912.25,854.8499755859375,924.7000122070312,838.5999755859375,-0.011864388999131637,-74.72013924216756,52.0310605825382,61.82814791014962,-9.797087327611415,55.59192603125531,43.61449585082872,922.2099975585937,876.0637451171875,714.276996459961,573.3536511230469,NDRAUTO.NS,2024-10-04 10:55:46.790233
4,2024-09-30 00:00:00+05:30,915.0,922.75,895.5499877929688,905.9500122070312,17670,0.0,0.0,2024-09-30,871.4787445068359,60.89853763093354,932.3772821377695,810.5802068759024,993.2758197687031,749.6816692449688,-30.668638227969996,77.37238847209312,7332962,144571.80750580272,660891.8983706137,361.96995917056853,69.84315706615968,908.0833333333334,920.616678873698,893.4166666666667,935.2833455403646,880.8833211263021,947.8166910807292,866.2166544596355,-0.013232744581794794,-61.62334746119516,58.213803811241746,64.27741974205247,-6.063615930810727,59.447617494575354,45.43688948048153,939.8849975585938,871.4787445068359,706.7199963378906,568.667820739746,NDRAUTO.NS,2024-10-04 10:55:46.790233
5,2024-09-27 00:00:00+05:30,917.0,961.3499755859375,875.0,918.5,58412,0.0,0.0,2024-09-27,865.734994506836,62.86187214242809,928.596866649264,802.8731223644079,991.4587387916921,740.0112502219798,-5.190186034412876,84.69864415799334,7350632,484533.7837594965,789971.9210868163,361.59722639319034,72.26960367332832,918.2833251953125,961.566650390625,875.2166748046875,1004.63330078125,831.933349609375,1047.9166259765625,788.86669921875,-0.007246411950059355,-46.774491931910475,62.66725713955259,65.79332372475515,-3.1260665852025653,61.33992424892139,46.81491740506739,945.2549926757813,865.734994506836,698.46849609375,563.7648260498047,NDRAUTO.NS,2024-10-04 10:55:46.790233
6,2024-09-26 00:00:00+05:30,991.7999877929688,997.5,900.0,918.0499877929688,70175,0.0,0.0,2024-09-26,859.3887451171875,63.65645622338302,923.0452013405704,795.7322888938045,986.7016575639535,732.0758326704214,45.13525244467594,97.13887355929012,7292220,581823.9261131713,866331.4554186463,360.33294327742453,74.34587020859635,938.5166625976562,977.0333251953125,879.5333251953125,1036.0166625976562,841.0166625976562,1074.5333251953125,782.0333251953125,-0.017581527747614623,-42.79444403256751,66.1835393887709,66.57484037105579,-0.3913009822848892,61.29890719925967,48.29894747769831,931.1549926757813,859.3887451171875,690.0494958496093,558.6601110839844,NDRAUTO.NS,2024-10-04 10:55:46.790233
7,2024-09-25 00:00:00+05:30,1004.9500122070312,1039.949951171875,954.0999755859375,988.7999877929688,118477,0.0,2.0,2024-09-25,853.297494506836,63.57639319773949,916.8738877045755,789.7211013090964,980.450280902315,726.144708111357,153.51985243646726,127.28366913197038,7362395,1057999.170568355,937458.337745015,358.8076782145974,75.81342622216926,994.2833048502604,1034.4666341145833,948.6166585286458,1080.1332804361978,908.4333292643229,1120.3166097005208,862.7666829427083,0.010010226458870041,-17.95680806139814,69.72698469204181,66.672665616627,3.05431907541481,72.53387537945616,49.316686386740386,920.2549926757813,853.297494506836,682.1529956054687,553.5977575683594,NDRAUTO.NS,2024-10-04 10:55:46.790233
8,2024-09-24 00:00:00+05:30,949.9749755859375,992.5,945.8499755859375,968.125,207700,0.0,0.0,2024-09-24,845.0562438964844,55.220952290390265,900.2771961868747,789.8352916060941,955.4981484772649,734.6143393157039,154.29553307925147,120.87112401083354,7243918,1815978.73127816,907323.12953918,355.8853555326113,73.75637537061068,968.8249918619791,991.8000081380208,945.1499837239583,1015.4750162760416,922.1749674479166,1038.4500325520833,898.4999593098958,0.05251997102905665,-10.267479988749376,66.23939595619845,65.9090858477733,0.3303101084251523,71.096748315019,49.01061620308304,899.564990234375,845.0562438964844,672.7174963378907,547.8866882324219,NDRAUTO.NS,2024-10-04 10:55:46.790233
9,2024-09-23 00:00:00+05:30,877.5,932.7999877929688,866.0,932.7999877929688,148856,0.0,0.0,2024-09-23,837.1924926757813,47.420346656226975,884.6128393320083,789.7721460195543,932.0331859882352,742.3517993633274,75.6406063098087,98.87178725827596,7036218,1254000.4792669576,680159.2291044348,350.86582706827903,68.57004860913447,910.5333251953125,955.066650390625,888.2666625976562,977.3333129882812,843.7333374023438,1021.8666381835938,821.4666748046875,-0.05500943478673578,-18.261273113483266,62.806771358006586,65.82650832066702,-3.0197369626604313,68.4790765294616,49.12461120912574,894.1199951171875,837.1924926757813,663.5794958496094,542.3342950439453,NDRAUTO.NS,2024-10-04 10:55:46.790233
10,2024-09-20 00:00:00+05:30,868.0250244140625,879.8499755859375,839.2750244140625,848.0,41250,0.0,0.0,2024-09-20,831.5299926757813,41.835695533017265,873.3656882087986,789.694297142764,915.2013837418158,747.8586016097468,-12.243687991409956,77.5013705928592,6887362,315909.4600681262,536698.916563804,347.42625389724014,63.42559751815669,855.7083333333334,872.1416422526042,831.5666910807292,896.2832845052084,815.1333821614584,912.7165934244792,790.9917399088542,0.17916786878840785,-57.26770286045411,60.939332410135194,66.58144256133212,-5.642110151196931,60.50735222294064,49.92779289635621,886.5949951171875,831.5299926757813,655.2974475097657,537.20962890625,NDRAUTO.NS,2024-10-04 10:55:46.790233
11,2024-09-19 00:00:00+05:30,886.5,923.4749755859375,850.0,863.5499877929688,42898,0.0,0.0,2024-09-19,824.0499938964844,51.086924203668445,875.1369181001528,772.9630696928159,926.2238423038212,721.8761454891475,37.82053733132455,92.50178036316927,6928612,334554.867876437,591896.2806877235,346.6050173036798,65.14593296813953,879.0083211263021,908.0166422526042,834.5416666666667,952.4832967122396,805.5333455403646,981.4916178385417,761.0666910807292,0.2139227633995726,-50.114995387269985,65.97663539724181,67.99197009913135,-2.015334701889543,63.23022875516305,51.55317904388913,885.7549926757813,824.0499938964844,649.3645043945312,532.9755563354493,NDRAUTO.NS,2024-10-04 10:55:46.790233
12,2024-09-18 00:00:00+05:30,963.4749755859375,972.5,869.5250244140625,885.3499755859375,102232,0.0,0.0,2024-09-18,814.0499938964844,61.46783716479711,875.5178310612814,752.5821567316873,936.9856682260786,691.1143195668901,97.69532259701,111.8639637548837,6971510,817418.8771236592,656231.6338905452,345.72153220526184,69.9429344710288,909.125,948.7249755859375,845.75,1012.0999755859375,806.1500244140625,1051.699951171875,742.7750244140625,0.2027836139060873,-40.087403232336165,69.89482549358979,68.49580377460374,1.3990217189860488,67.16485320980709,52.99378043558518,884.3199951171875,814.0499938964844,641.3759600830078,528.554848022461,NDRAUTO.NS,2024-10-04 10:55:46.790233
13,2024-09-17 00:00:00+05:30,912.0,962.0,910.0,940.9000244140625,133566,0.0,0.0,2024-09-17,803.2987457275391,66.90488194662889,870.2036276741679,736.3938637809102,937.1085096207969,669.4889818342813,182.1631917561112,132.5968165555588,7073742,1134964.3648841188,615934.8230822666,343.5146862781946,75.79832625272468,937.6333414713541,965.2666829427083,913.2666829427083,989.6333414713541,885.6333414713541,1017.2666829427083,861.2666829427083,0.37291118270212353,-10.198150360635426,71.70531514500658,68.14604834485722,3.5592668001493593,78.76159297140703,53.97493868649239,876.3599975585937,803.2987457275391,632.5429144287109,523.9574880981445,NDRAUTO.NS,2024-10-04 10:55:46.790233
14,2024-09-16 00:00:00+05:30,874.5,925.0,865.625,895.1749877929688,92062,0.0,0.0,2024-09-16,784.7087432861329,77.47739553600115,862.186138822134,707.2313477501317,939.6635343581352,629.7539522141305,164.92364840773328,120.67690043806172,6940176,744271.1255818527,486177.43763180345,340.3057029169935,63.09690576131073,895.2666625976562,924.9083251953125,865.5333251953125,954.6416625976562,835.8916625976562,984.2833251953125,806.1583251953125,0.37533902245960127,-17.554448452782363,67.46600822102016,67.25623164481988,0.20977657620028367,75.5321972379827,53.73310897266257,852.8849975585938,784.7087432861329,622.7841876220704,518.6920407104492,NDRAUTO.NS,2024-10-04 10:55:46.790233
15,2024-09-13 00:00:00+05:30,862.5,864.4749755859375,825.5499877929688,843.7999877929688,29314,0.0,0.0,2024-09-13,768.1337432861328,87.42235862203837,855.5561019081712,680.7113846640945,942.9784605302095,593.2890260420561,85.03620583377047,103.13170918591405,6848114,223386.7575491801,421654.0156442911,338.2436536169212,69.55060986210216,844.6083170572916,863.6666463216145,824.7416585286458,883.5333048502604,805.6833292643229,902.5916341145833,785.816670735677,0.38682966191244983,-39.204936693292325,65.51942177767546,67.2037875007698,-1.684365723094345,70.9188124417665,53.84805299619658,829.9099975585938,768.1337432861328,613.9245184326172,513.8811038208008,NDRAUTO.NS,2024-10-04 10:55:46.790233
