Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-28 00:00:00+05:30,535.75,530.5499877929688,510.1000061035156,522.75,1580,0.0,0.0,2024-10-28,555.5624969482421,17.217641435291654,572.7801383835338,538.3448555129505,589.9977798188254,521.1272140776589,-106.72611932392644,-226.00604753172834,176724,1732.267242336073,1169.970402153198,580.0641456850583,29.48616776234617,521.1333312988281,532.1666564941406,511.7166748046875,541.5833129882812,500.683349609375,552.6166381835938,491.2666931152344,-0.003269220921726835,-81.22239261322062,-12.035099148771451,-8.094828108543217,-3.940271040228234,34.71377356383094,15.136865852034616,529.239990234375,555.5624969482421,572.4170007324219,574.6845013427734,NIPPOBATRY.BO,2024-10-28 11:05:30.630749
2,2024-10-25 00:00:00+05:30,535.75,535.75,510.0,520.0999755859375,1493,0.0,0.0,2024-10-25,558.5149963378906,16.335136930495175,574.8501332683858,542.1798594073954,591.185270198881,525.8447224769002,-132.95490567715672,-244.74330841348723,175144,1628.5849065226316,1029.396192107479,580.124915885913,38.378410480937475,521.9499918619791,533.8999837239583,508.14998372395826,547.6999918619791,496.19999186197913,559.6499837239583,482.39998372395826,-0.009981701636869802,-85.12522539852617,-10.980988106996165,-7.109760348486158,-3.871227758510007,33.24239162327963,15.96013237808413,535.139990234375,558.5149963378906,573.2480004882813,575.2915014648438,NIPPOBATRY.BO,2024-10-28 11:05:30.630749
3,2024-10-24 00:00:00+05:30,525.0499877929688,566.8499755859375,522.0,539.0,732,0.0,0.0,2024-10-24,561.6674987792969,14.513700656715242,576.1811994360122,547.1537981225816,590.6949000927274,532.6400974658665,-76.00948014845982,-159.8656310285472,176637,827.4916319236909,879.5990135036908,580.18511618529,40.25044221737156,542.6166585286459,563.2333170572917,518.3833414713542,587.4666341145834,497.76668294270837,608.0832926432292,473.53336588541674,-0.01280836124290566,-69.58856426595158,-9.204040685353448,-6.141953408858655,-3.0620872764947924,39.07454648475593,16.846727098445147,542.7199951171875,561.6674987792969,574.4150012207032,575.9465014648438,NIPPOBATRY.BO,2024-10-28 11:05:30.630749
4,2024-10-23 00:00:00+05:30,532.0,534.0499877929688,522.0,526.75,649,0.0,0.0,2024-10-23,564.1049987792969,14.59984836316469,578.7048471424616,549.5051504161322,593.3046955056263,534.9053020529675,-199.3335625635712,-243.8147707126163,175905,716.989846376504,892.6258588986907,580.2053777082947,32.67780215196741,527.5999959309896,533.1999918619792,521.1500040690105,539.6499837239584,515.5500081380209,545.249979654948,509.10001627604174,-0.029610448943158712,-91.50268707431,-8.65092039561489,-5.376431589734956,-3.2744888058799333,31.881896347319113,17.726382974951203,547.3199951171875,564.1049987792969,575.0790014648437,576.4745013427735,NIPPOBATRY.BO,2024-10-28 11:05:30.630749
5,2024-10-22 00:00:00+05:30,553.0,553.0,527.9500122070312,537.5999755859375,1028,0.0,0.0,2024-10-22,567.4549987792968,13.196762034870567,580.6517608141673,554.2582367444263,593.848522849038,541.0614747095557,-236.46973668077675,-198.90366114534302,176554,1159.0872253593902,936.5348620292373,580.2287040311095,33.01628526768276,539.5166625976562,551.0833129882812,526.0333251953125,564.566650390625,514.4666748046875,576.13330078125,500.98333740234375,0.059960026104644175,-80.68075871751665,-6.605244867152351,-4.557809388264973,-2.047435478887378,35.31037510151535,16.929958680737187,555.9299926757812,567.4549987792968,575.9650012207031,577.2665014648437,NIPPOBATRY.BO,2024-10-28 11:05:30.630749
6,2024-10-21 00:00:00+05:30,570.0499877929688,570.0499877929688,549.0,552.25,346,0.0,0.0,2024-10-21,568.8075012207031,11.213000561210622,580.0205017819137,557.5945006594925,591.2335023431243,546.3815000982819,-106.0031802432293,-118.34327099155172,177582,400.7518978439403,880.896771196699,580.2581893590989,40.64169524432769,557.0999959309896,565.1999918619792,544.1500040690105,578.1499837239584,536.0500081380209,586.249979654948,523.1000162760417,0.024381361753892633,-83.61208564795284,-4.95463902300628,-4.045950518543128,-0.9086885044631519,40.81313371473129,16.423154285837192,561.1099975585937,568.8075012207031,576.492001953125,578.083501586914,NIPPOBATRY.BO,2024-10-28 11:05:30.630749
7,2024-10-18 00:00:00+05:30,558.0,562.0,550.9000244140625,558.0,664,0.0,0.0,2024-10-18,569.7725006103516,10.522262513391029,580.2947631237427,559.2502380969605,590.8170256371336,548.7279755835696,-99.94538085963143,-125.74753358011854,177928,777.0805568075634,1000.9329895348886,580.2647112378295,36.02782973410124,556.9666748046875,563.0333251953125,551.933349609375,568.066650390625,545.86669921875,574.13330078125,540.8333740234375,0.029734117491130568,-70.79156584860007,-4.2090985054009025,-3.81877839242734,-0.3903201129735625,43.27077408481942,17.425783717794644,565.5299926757813,569.7725006103516,576.6980017089844,578.458501586914,NIPPOBATRY.BO,2024-10-28 11:05:30.630749
8,2024-10-17 00:00:00+05:30,569.7999877929688,569.7999877929688,558.25,562.0,356,0.0,0.0,2024-10-17,570.2925018310547,10.160620718998759,580.4531225500534,560.1318811120559,590.6137432690522,549.9712603930572,-9.43896993145512,-96.5610572823961,178592,419.61410470268936,1056.8960977167199,580.2746650822537,36.52720113668974,563.3499959309896,568.4499918619792,556.9000040690105,574.8999837239584,551.8000081380209,579.999979654948,545.3500162760417,0.00574488332511338,-61.8729433794851,-3.7570943805062598,-3.721198364183949,-0.035896016322310764,45.022035501793404,17.685605623278157,567.6099975585937,570.2925018310547,576.6580017089843,578.8345013427735,NIPPOBATRY.BO,2024-10-28 11:05:30.630749
9,2024-10-16 00:00:00+05:30,571.9000244140625,572.0,556.1500244140625,569.7999877929688,984,0.0,0.0,2024-10-16,571.5800018310547,10.673063944273165,582.2530657753279,560.9069378867815,592.926129719601,550.2338739425084,40.23445582298095,-83.9088124081287,178948,1175.92953511512,1216.2165959702274,580.2790464452559,35.884169271529785,565.9833374023438,575.816650390625,559.9666748046875,581.8333129882812,550.1333618164062,591.6666259765625,544.11669921875,-0.028374747142739392,-47.133808310634116,-3.515405851201649,-3.712224360103371,0.19681850890172203,48.58231814245324,18.59868412166692,568.2699951171875,571.5800018310547,576.6080017089844,579.2690014648438,NIPPOBATRY.BO,2024-10-28 11:05:30.630749
10,2024-10-15 00:00:00+05:30,574.25,574.5499877929688,561.0,563.5,1373,0.0,0.0,2024-10-15,572.8275024414063,11.847555366157065,584.6750578075633,560.9799470752492,596.5226131737204,549.1323917090922,20.722054383558287,-81.06712710140243,177964,1622.6625834897065,1226.2883611840043,580.2859953294832,43.89692883915256,566.3499959309896,571.6999918619792,558.1500040690105,579.8999837239584,552.8000081380209,585.249979654948,544.6000162760417,-0.07205724286800438,-69.0516087492561,-3.9208881856993685,-3.7614289873288014,-0.1594591983705671,45.340518883532326,19.58199942762405,567.8799926757813,572.8275024414063,576.7740014648438,579.5995013427735,NIPPOBATRY.BO,2024-10-28 11:05:30.630749
