Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-08-08 00:00:00+05:30,330.0,337.5,329.6499938964844,334.75,11245777,0.0,0.0,2025-08-08,337.1275009155273,4.684054879658974,341.8115557951863,332.44344603586836,346.4956106748453,327.75939115620935,28.891653033107552,-40.26389224600156,636902288,18282449.259577982,15801932.047081577,332.9447718126344,32.56335247877362,333.96666463216144,338.2833353678385,330.4333292643229,341.81667073567706,326.1166585286458,346.13334147135413,322.58332316080725,-0.11789152457720077,-55.05956381629858,-1.5824672652057075,-1.009983153415844,-0.5724841117898634,48.04362538561779,13.938600098175773,332.44000244140625,337.1275009155273,335.7940026855469,342.7165005493164,NTPC.NS,2025-08-08 11:31:41.725164
2,2025-08-07 00:00:00+05:30,332.1000061035156,332.45001220703125,328.6499938964844,329.75,8731389,0.0,0.0,2025-08-07,337.5250015258789,4.80738066870803,342.33238219458696,332.71762085717086,347.13976286329495,327.91024018846286,-121.61735991304606,-99.6435765836172,625656511,13982745.890588187,15181802.743957475,332.9421230964834,24.532594709716136,330.28333536783856,331.91667683919275,328.11665852864587,334.08335367838544,326.4833170572917,335.7166951497396,324.316640218099,-0.0906841336105869,-84.821490203487,-1.7637909307749169,-0.8668621254683784,-0.8969288053065385,38.98429996670963,14.675948668105251,331.6700012207031,337.5250015258789,335.7770025634766,342.6705004882813,NTPC.NS,2025-08-08 11:31:41.725164
3,2025-08-06 00:00:00+05:30,333.6000061035156,335.3999938964844,331.6000061035156,332.1000061035156,13872826,0.0,0.0,2025-08-06,338.1100021362305,4.514408598097658,342.62441073432814,333.59559353813285,347.1388193324258,329.0811849400352,-39.86377727526362,-57.741355730950424,634387900,22374747.68087893,15481566.957299795,332.9457636870649,24.99912374299167,333.03333536783856,334.4666646321615,330.66667683919275,336.8333231608073,329.2333475748698,338.26665242513025,326.866689046224,-0.10331089006645754,-70.8333484710319,-1.476791821832819,-0.6426299241417437,-0.8341618976910754,42.19525169815469,14.052149794693968,332.57000122070315,338.1100021362305,335.96900268554685,342.6760003662109,NTPC.NS,2025-08-08 11:31:41.725164
4,2025-08-05 00:00:00+05:30,332.45001220703125,334.3500061035156,331.29998779296875,333.6000061035156,9855535,0.0,0.0,2025-08-05,338.7050018310547,4.464534776294509,343.1695366073492,334.2404670547602,347.6340713836437,329.7759322784657,-50.82826380256954,-59.38651964995084,648260726,15967266.659914542,13758271.77640501,332.94729903707776,33.86223751714073,333.0833333333333,334.8666788736979,331.816660563151,336.1333516438802,330.03331502278644,337.91669718424475,328.76664225260413,-0.05145664695762668,-63.0057895238196,-1.3184103543391643,-0.4340894497189749,-0.8843209046201894,44.36087467767795,14.009756986915221,333.9099975585938,338.7050018310547,336.12800231933596,342.6490002441406,NTPC.NS,2025-08-08 11:31:41.725164
5,2025-08-04 00:00:00+05:30,330.8999938964844,333.29998779296875,327.20001220703125,332.0,8193399,0.0,0.0,2025-08-04,339.1850021362305,4.402424425656247,343.58742656188673,334.78257771057423,347.989850987543,330.380153284918,-104.8760255893531,-100.75798238113994,638405191,13210720.734781984,13206023.055527626,332.9464561769066,25.369203647207755,330.8333333333333,334.4666544596354,328.3666788736979,336.9333089192708,324.7333577473958,340.5666300455729,322.2667032877604,-0.02266265380444575,-72.25438624344224,-1.2433854398307176,-0.21300922356392754,-1.03037621626679,41.38097314283981,13.644157919388247,334.10999755859376,339.1850021362305,336.227001953125,342.60850006103516,NTPC.NS,2025-08-08 11:31:41.725164
6,2025-08-01 00:00:00+05:30,333.0,334.75,330.20001220703125,330.8999938964844,7107542,0.0,0.0,2025-08-01,339.457502746582,4.092009404428045,343.54951215101005,335.36549334215397,347.6415215554381,331.2734839377259,-103.98410814824295,-86.08444956326548,630211792,11421956.914565941,13204848.635714034,332.94747333419036,27.58430319478329,331.9500020345052,333.69999186197913,329.1500040690104,336.49998982747394,327.40001424153644,338.2499796549479,324.60001627604163,-0.027484000037775735,-85.00003814697266,-0.9709152824269722,0.044584830502769957,-1.0155001129297423,39.305787669327124,12.931814477615507,334.3,339.457502746582,336.457001953125,342.6675,NTPC.NS,2025-08-08 11:31:41.725164
7,2025-07-31 00:00:00+05:30,336.04998779296875,340.1000061035156,333.0,334.25,8935384,0.0,0.0,2025-07-31,339.6875030517578,3.6957952339517317,343.38329828570954,335.99170781780606,347.0790935196613,332.2959125838543,-50.435346070148945,-18.248687923040915,637319334,14504707.01625343,13650571.566001054,332.94938392441884,38.329748904139414,335.78333536783856,338.5666707356771,331.4666646321615,342.8833414713542,328.68332926432294,345.66667683919275,324.36665852864587,0.028403934330000817,-65.15151515151516,-0.4990261421860964,0.29845985873520553,-0.797486000921302,43.67852865510039,12.769362545415094,334.7600036621094,339.6875030517578,336.73100219726564,342.6205001831055,NTPC.NS,2025-08-08 11:31:41.725164
8,2025-07-30 00:00:00+05:30,335.0,342.29998779296875,332.5,338.79998779296875,12537358,0.0,0.0,2025-07-30,339.7050033569336,3.669427076760357,343.374430433694,336.03557628017325,347.04385751045436,332.3661492034129,-21.42050669881719,20.635957256644993,646254718,20628789.151474085,13437037.703437958,332.9478563559506,35.206130382330514,337.8666585286458,343.23331705729163,333.4333292643229,347.66664632161456,328.06667073567706,353.0333048502604,323.63334147135413,0.09277715606133219,-37.57583155776515,-0.21722888734234402,0.497831358965531,-0.715060246307875,50.80712027380284,13.227888289105758,335.69000244140625,339.7050033569336,336.87400207519534,342.41550018310545,NTPC.NS,2025-08-08 11:31:41.725164
9,2025-07-29 00:00:00+05:30,332.0,335.5,328.5,334.6000061035156,7551356,0.0,0.0,2025-07-29,339.45250396728517,3.9013971811471606,343.3539011484323,335.551106786138,347.2552983295795,331.64970960499085,-129.59460767987608,-58.06605393275719,633717360,12270865.994236026,11639099.841428924,332.9381964092133,24.69615797747231,332.8666687011719,337.23333740234375,330.23333740234375,339.8666687011719,325.8666687011719,344.23333740234375,323.23333740234375,0.0808262125645464,-63.03026603929924,-0.30125651965539646,0.6765964205424997,-0.9778529401978961,42.806243799056276,13.72168524384955,336.5400024414063,339.45250396728517,337.0210021972656,342.17150024414065,NTPC.NS,2025-08-08 11:31:41.725164
10,2025-07-28 00:00:00+05:30,333.45001220703125,336.6000061035156,330.3500061035156,332.95001220703125,4605823,0.0,0.0,2025-07-28,339.35250396728514,4.054932608897314,343.4074365761825,335.2975713583878,347.46236918507975,331.24263874949054,-183.14624949356312,-49.05052475304681,626166004,7447501.563750714,11481158.303227149,332.9365425716098,33.4170391486912,333.3000081380208,336.250010172526,330.000010172526,339.5500081380208,327.0500081380208,342.500010172526,323.750010172526,0.010780821041255962,-82.95077964907787,0.009361701112027276,0.9210596555919737,-0.9116979544799464,39.1988188432349,12.161021973172907,337.7900024414063,339.35250396728514,337.1810021972656,341.9400003051758,NTPC.NS,2025-08-08 11:31:41.725164
