Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-27 00:00:00+05:30,11044.7001953125,11048.9501953125,10833.75,10950.099609375,186166,0.0,0.0,2024-08-27,10697.357421875,434.3849757181473,11131.742397593147,10262.972446156853,11566.127373311294,9828.587470438706,-13.219810956789427,46.95356085383299,26495148,709728.265478336,928507.9318376724,6601.997147474018,79.15037702061439,10944.2666015625,11054.783203125,10839.5830078125,11159.466796875,10729.06640625,11269.9833984375,10624.3828125,-0.19625816866880696,-26.32008780420354,161.63117702205454,153.05365340428312,8.57752361777142,56.9126117679654,18.48162553421705,11030.619921875,10697.357421875,10494.23294921875,9153.060166015624,OFSS.NS,2024-08-27 10:51:35.456321
2,2024-08-26 00:00:00+05:30,11049.0,11187.150390625,10995.7998046875,11007.4501953125,235922,0.0,0.0,2024-08-26,10714.574951171875,451.42045612247705,11165.995407294353,10263.154495049397,11617.415863416829,9811.734038926921,56.98213881983224,71.37364935216641,26681314,904125.7423706409,983202.8484275064,6592.742252024151,84.00804906727988,11063.466796875,11131.1337890625,10939.783203125,11254.8173828125,10872.1162109375,11322.484375,10748.4326171875,-0.181899962355662,-19.34826036028478,168.53616691229763,150.90927249984026,17.626894412457375,58.583777293528655,19.577142491706365,11051.9400390625,10714.574951171875,10468.39095703125,9128.621220703126,OFSS.NS,2024-08-27 10:51:35.456321
3,2024-08-23 00:00:00+05:30,11161.599609375,11161.599609375,10900.0,10931.5,197480,0.0,0.0,2024-08-23,10718.8849609375,454.7630321267523,11173.64799306425,10264.121928810748,11628.411025191004,9809.358896683994,43.346563838004464,62.64591329147543,26445392,751582.2969495485,1002972.1249417226,6580.801963178189,76.69334672934706,10997.699869791666,11095.399739583332,10833.800130208332,11259.299479166666,10736.100260416666,11356.999348958332,10572.200520833332,-0.1830950089685713,-22.062925286192254,169.17490433986495,146.5025488967259,22.672355443139054,57.0322358524911,20.026094564100084,11039.280078125,10718.8849609375,10423.0989453125,9103.8816796875,OFSS.NS,2024-08-27 10:51:35.456321
4,2024-08-22 00:00:00+05:30,11224.0,11307.0,11020.0,11106.0498046875,258898,0.0,0.0,2024-08-22,10726.51494140625,459.7706032675964,11186.285544673847,10266.744338138655,11646.056147941443,9806.973734871059,95.7602829098653,89.90086131698988,26642872,1001064.3063390461,1065819.581939766,6570.929834413796,75.94789477017645,11144.349934895834,11268.699869791668,10981.699869791668,11431.349934895834,10857.349934895834,11555.699869791668,10694.699869791668,-0.12454715706484804,-11.807054981159595,174.90936915533348,140.8344600359411,34.07490911939237,61.9879662538145,20.599323587090094,11032.6701171875,10726.51494140625,10373.2339453125,9079.533720703124,OFSS.NS,2024-08-27 10:51:35.456321
5,2024-08-21 00:00:00+05:30,11098.0,11198.0,11001.349609375,11158.0,223275,0.0,0.0,2024-08-21,10726.632470703125,459.8730175172684,11186.505488220393,10266.759453185858,11646.378505737663,9806.886435668588,102.38844432487822,89.74693450012548,26901770,867361.456991324,1082008.4008399458,6557.39851673103,69.59913035589716,11119.116536458334,11236.883463541668,11040.233072916668,11315.766927083334,10922.466145833334,11433.533854166668,10843.582682291668,-0.1414448127071693,-4.014474295751269,162.410568811134,132.31573275609298,30.094836055041014,63.51318516984512,20.673866387724605,10937.890234375,10726.632470703125,10319.23794921875,9049.704428710938,OFSS.NS,2024-08-27 10:51:35.456321
6,2024-08-20 00:00:00+05:30,11030.0,11124.400390625,10950.7998046875,11056.7001953125,222688,0.0,0.0,2024-08-20,10718.25498046875,453.07713135624954,11171.332111824999,10265.1778491125,11624.40924318125,9812.10071775625,95.86943006985109,82.06384202554639,26678495,857227.338347197,1135670.136802101,6545.530004909555,63.754967122748454,11043.966796875,11137.1337890625,10963.533203125,11217.5673828125,10870.3662109375,11310.734375,10789.9326171875,-0.12810313029894424,-10.27566350582171,138.83124354708707,124.79202374233273,14.039219804754339,61.81183874522915,21.099230019286022,10852.690234375,10718.25498046875,10264.2039453125,9019.65859375,OFSS.NS,2024-08-27 10:51:35.456321
7,2024-08-19 00:00:00+05:30,10969.2998046875,11135.900390625,10900.0,10944.150390625,201063,0.0,0.0,2024-08-19,10705.6224609375,446.6202219017677,11152.242682839267,10259.002239035734,11598.862904741036,9812.382017133965,101.69960703470606,78.27063348357213,26455807,766104.2558496516,1205280.8364158268,6533.892859626806,59.14850416166605,10993.350260416666,11086.700520833332,10850.800130208332,11229.250651041666,10757.449869791666,11322.600911458332,10614.899739583332,-0.14065408519892103,-20.99469414258462,116.5155541851127,121.28221879114415,-4.766664606031441,59.881876647276435,21.794044177015774,10788.26015625,10705.6224609375,10206.506943359374,8988.993168945313,OFSS.NS,2024-08-27 10:51:35.456321
8,2024-08-16 00:00:00+05:30,10799.7998046875,11007.0,10760.099609375,10898.4501953125,435583,0.0,0.0,2024-08-16,10699.529931640625,444.01863881331695,11143.548570453942,10255.511292827308,11587.56720926726,9811.492654013991,101.6550945248868,65.94559348842664,26254744,1652758.2356418245,1315074.9815573706,6523.5968428014585,61.17742469109494,10888.5166015625,11016.93359375,10770.033203125,11135.4169921875,10641.6162109375,11263.833984375,10523.1328125,-0.15812920851370044,-29.65105501480606,97.2637727486981,122.47388494265199,-25.21011219395389,59.10258154858201,22.542305577647817,10712.25,10699.529931640625,10142.204931640625,8959.772685546875,OFSS.NS,2024-08-27 10:51:35.456321
9,2024-08-14 00:00:00+05:30,10786.5,10897.0,10606.900390625,10632.150390625,415397,0.0,0.0,2024-08-14,10701.704931640625,445.14942382473856,11146.854355465362,10256.555507815887,11592.003779290102,9811.406083991147,61.34404820882101,41.831679720771675,25819161,1537652.260784693,1230654.1680362571,6501.358131572497,60.31764573941094,10712.016927083334,10817.133463541668,10527.033854166668,11002.116536458334,10421.917317708334,11107.233072916668,10236.934244791668,-0.19229404476837147,-44.13528622837187,75.64274192150879,128.77641299114046,-53.133671069631674,54.29909697884605,23.740044581879953,10544.8298828125,10701.704931640625,10070.050927734375,8934.29908203125,OFSS.NS,2024-08-27 10:51:35.456321
10,2024-08-13 00:00:00+05:30,10829.0,10945.0,10600.0,10732.0,440334,0.0,0.0,2024-08-13,10724.727392578125,453.19696669742723,11177.924359275552,10271.530425880697,11631.12132597298,9818.33345918327,58.710530679514655,51.816906686409034,26234558,1645267.6131570614,1153904.644849148,6481.235611611341,54.54551982072016,10759.0,10918.0,10573.0,11104.0,10414.0,11263.0,10228.0,-0.13596609291323164,-38.7043966696323,73.0416644010511,142.05983075854837,-69.01816635749728,56.61424322681967,25.37428615766809,10426.1197265625,10724.727392578125,10008.673916015625,8909.929580078126,OFSS.NS,2024-08-27 10:51:35.456321
