Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-14 00:00:00+05:30,452.3999938964844,467.95001220703125,452.3999938964844,465.1499938964844,2788022,0.0,0.0,2025-01-14,447.35499877929686,21.61992606168749,468.97492484098433,425.7350727176094,490.59485090267185,404.1151466559219,-18.237639971375746,-13.322797693229894,801174290,9506039.52231486,19685107.96774498,385.82103725930807,56.549256289621155,461.8333333333333,471.26667277018225,455.7166544596354,477.3833516438802,446.28331502278644,486.81669108072913,440.1666361490885,-0.0037699842311685267,-37.051043405355095,-0.5008389443267447,-4.124724600895697,3.6238856565689526,51.559561709327504,21.511964223959556,466.4200012207031,447.35499877929686,470.9606024169922,528.8275625610352,OIL.NS,2025-01-14 10:53:40.145247
2,2025-01-13 00:00:00+05:30,465.0,478.6499938964844,448.8500061035156,452.3999938964844,9815743,0.0,0.0,2025-01-13,447.1574996948242,21.466308097219056,468.62380779204324,425.69119159760515,490.0901158892623,404.2248835003861,-6.515547268006954,-20.17184364045021,798386268,32550387.9428908,22229875.07910251,385.7390336349745,55.666600026339026,459.96666463216144,471.08332316080725,441.2833353678385,489.7666524251302,430.1666768391927,500.883310953776,411.48334757486975,-0.011050943508598893,-53.11910127916189,-1.125901303308467,-5.030696015037935,3.904794711729468,47.33231681424959,22.674584195476353,468.2600036621094,447.1574996948242,471.0337384033203,530.8244555664063,OIL.NS,2025-01-14 10:53:40.145247
3,2025-01-10 00:00:00+05:30,470.0,471.6499938964844,454.5,455.8500061035156,3609946,0.0,0.0,2025-01-10,447.25500030517577,21.49578117576877,468.7507814809445,425.75921912940703,490.2465626567133,404.26343795363823,11.418536724610156,-19.63041242449936,808202011,12062381.781069612,19649746.863155432,385.49554241697695,61.76980327422466,460.6666666666667,466.83333333333337,449.683339436849,477.81666056315106,443.5166727701823,483.98332722981775,432.5333455403646,0.05521030883042015,-48.04467728650763,-0.6534296068031722,-6.006894692970302,5.35346508616713,48.39342566553927,23.92663647249444,469.32000732421875,447.25500030517577,471.35094299316404,532.9627139282227,OIL.NS,2025-01-14 10:53:40.145247
4,2025-01-09 00:00:00+05:30,490.0,490.0,454.0,467.0,9333706,0.0,0.0,2025-01-09,447.7725006103516,21.835493532977043,469.60799414332865,425.9370070773745,491.44348767630566,404.1015135443975,51.84357001653418,7.7255446023225955,811811957,31950775.020753186,21546588.133676883,385.40090459826956,62.247408106405395,470.3333333333333,486.66666666666663,450.66666666666663,506.3333333333333,434.3333333333333,522.6666666666666,414.66666666666663,0.08429840816993427,-34.20234881199275,-0.3783961429273859,-7.345260964512084,6.966864821584698,51.88408464659559,25.71511136015284,474.37000732421876,447.7725006103516,471.76311767578125,535.2333502197266,OIL.NS,2025-01-14 10:53:40.145247
5,2025-01-08 00:00:00+05:30,475.29998779296875,494.54998779296875,473.6499938964844,491.70001220703125,7307026,0.0,0.0,2025-01-08,447.9,21.96075910880931,469.8607591088093,425.93924089119065,491.8215182176186,403.9784817823814,111.75981409518076,54.24284405804081,821145663,26336088.40124113,18945541.411907807,385.1161144780024,68.83410002269702,486.6333312988281,499.6166687011719,478.7166748046875,507.5333251953125,465.73333740234375,520.5166625976562,457.8166809082031,0.11852389146176075,-3.5381452735443815,-1.1186421503019233,-9.086977169908259,7.968335019606336,60.923572393708476,27.641161239169577,473.6300048828125,447.9,471.884716796875,537.2751275634765,OIL.NS,2025-01-14 10:53:40.145247
6,2025-01-07 00:00:00+05:30,460.0,478.6499938964844,460.0,474.3500061035156,5339442,0.0,0.0,2025-01-07,446.7799987792969,20.101916936063436,466.8819157153603,426.67808184323343,486.98383265142377,406.57616490717,93.51802450035854,5.519530399556193,813838637,18565437.305335555,17097904.664574474,384.82409894770393,61.269199758420136,471.0,482.0,463.3500061035156,489.6499938964844,452.3500061035156,500.6499938964844,444.70001220703125,0.05430045632960688,-21.87701475273058,-4.482009193007229,-11.079060924809841,6.597051731802612,55.91364154787802,28.370640879258865,462.7100036621094,446.7799987792969,471.6971551513672,538.8837139892578,OIL.NS,2025-01-14 10:53:40.145247
7,2025-01-06 00:00:00+05:30,484.04998779296875,485.54998779296875,455.54998779296875,457.70001220703125,2853849,0.0,0.0,2025-01-06,446.4549987792969,19.680850471525883,466.1358492508228,426.774148307771,485.81669972234863,407.09329783624514,108.2616073475623,-11.557288401823092,808499195,9574636.919042774,16731021.504384205,384.6445062632355,55.007691577392684,466.26666259765625,476.98333740234375,446.98333740234375,496.26666259765625,436.26666259765625,506.98333740234375,416.98333740234375,-0.012902174127441404,-43.43040490999191,-7.011516257291078,-12.728323857760495,5.7168076004694175,50.227222960239416,30.100831718125075,453.99000244140626,446.4549987792969,472.35148681640624,540.9475619506836,OIL.NS,2025-01-14 10:53:40.145247
8,2025-01-03 00:00:00+05:30,468.0,491.25,466.0,481.1000061035156,12072883,0.0,0.0,2025-01-03,447.3149978637695,20.55449378717033,467.86949165093984,426.7605040765992,488.4239854381102,406.20601028942883,227.35199273663233,21.376368264627338,811353044,42575205.59432031,18520117.65071956,384.5660922139707,59.81487175138294,479.4500020345052,492.9000040690104,467.6500040690104,504.7000020345052,454.2000020345052,518.1500040690104,442.4000040690104,0.017070223074614074,-13.13915067506068,-8.504044595890377,-14.157525757877847,5.65348116198747,60.392931262011686,31.96411415998099,446.7099975585937,447.3149978637695,473.2334796142578,542.9788449096679,OIL.NS,2025-01-14 10:53:40.145247
9,2025-01-02 00:00:00+05:30,435.6499938964844,467.0,435.54998779296875,463.29998779296875,8809869,0.0,0.0,2025-01-02,446.94749755859374,19.97622074365626,466.92371830225,426.9712768149375,486.89993904590625,406.9950560712812,214.49817289151116,-44.33407790214093,799280161,29918660.039436933,12506345.664819375,384.1257631748084,42.85431395154327,455.2833251953125,475.01666259765625,443.566650390625,486.73333740234375,423.83331298828125,506.4666748046875,412.11663818359375,-0.0773565693124202,-14.111510391661788,-12.590628843509933,-15.570896048374713,2.9802672048647807,53.786147152778305,33.21385940792319,435.5199951171875,446.94749755859374,473.8790185546875,544.5453698730469,OIL.NS,2025-01-14 10:53:40.145247
10,2025-01-01 00:00:00+05:30,434.0,438.45001220703125,428.29998779296875,437.1000061035156,1408767,0.0,0.0,2025-01-01,448.2374984741211,21.834408505974306,470.0719069800954,426.4030899681468,491.9063154860697,404.5686814621725,53.26940494479167,-102.20127606318638,790470292,4513676.005970256,8153267.071164984,383.861347208775,26.00730885654299,434.6166687011719,440.933349609375,430.7833251953125,444.7666931152344,424.4666442871094,451.0833740234375,420.63330078125,-0.27081534248199834,-60.17240326980065,-15.878895829294606,-16.315962849590907,0.4370670202963005,40.138344158209414,35.354480181876234,428.2699951171875,448.2374984741211,475.1448986816406,545.9818878173828,OIL.NS,2025-01-14 10:53:40.145247
