Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-26 00:00:00+05:30,278.0,290.6000061035156,277.0,287.54998779296875,118375,0.0,0.0,2024-09-26,295.46500091552736,10.047113775449201,305.51211469097655,285.41788714007816,315.55922846642574,275.370773364629,-62.28310804305899,-90.2457500478233,13405201,267327.0860686053,219391.4450797785,213.18093587564212,21.030480830443665,285.0499979654948,293.0999959309896,279.499989827474,298.65000406901044,271.4499918619792,306.70000203450525,265.89998372395837,0.08323289435111711,-60.81083310269489,-7.82170612272796,-7.310769699060094,-0.5109364236678662,44.16192439276898,23.902987405257097,285.8299987792969,295.46500091552736,316.89585571289064,278.6577375793457,ORIENTCEM.BO,2024-09-26 11:14:16.348021
2,2024-09-25 00:00:00+05:30,280.3999938964844,284.04998779296875,274.5,275.75,147849,0.0,0.0,2024-09-25,295.39750213623046,10.107440902762145,305.5049430389926,285.2900612334683,315.61238394175473,275.1826203307062,-220.7635983027187,-115.6486008925681,13286826,320186.8794735627,207407.53483257178,212.97167934387912,10.620079873800407,278.09999593098956,281.69999186197913,272.1500040690104,287.6499837239583,268.5500081380208,291.2499796549479,262.60001627604163,0.08117878251145769,-97.33191069978068,-8.229326732918821,-7.183035593143127,-1.0462911397756942,36.86652155570507,23.60689428636454,286.02000122070314,295.39750213623046,317.2364819335937,278.00723907470706,ORIENTCEM.BO,2024-09-26 11:14:16.348021
3,2024-09-24 00:00:00+05:30,288.75,289.95001220703125,284.0,284.70001220703125,66364,0.0,0.0,2024-09-24,295.75000152587893,9.49025755708178,305.24025908296073,286.2597439687971,314.7305166400425,276.7694864117154,-114.03922912780665,-96.58927128226446,13434675,148384.88327669867,179212.69867232404,212.75027617982698,25.70658362888655,286.2166748046875,288.433349609375,282.48333740234375,292.16668701171875,280.26666259765625,294.38336181640625,276.5333251953125,0.08210827427169572,-84.63300167636673,-7.46439785676597,-6.921462808199203,-0.5429350485667674,40.60272353281701,22.311554464041205,288.7900024414063,295.75000152587893,317.8728393554687,277.467274017334,ORIENTCEM.BO,2024-09-26 11:14:16.348021
4,2024-09-23 00:00:00+05:30,286.04998779296875,292.95001220703125,284.54998779296875,291.25,115551,0.0,0.0,2024-09-23,296.98500061035156,9.583292353974505,306.5682929643261,287.40170825637705,316.1515853183006,277.81841590240253,-58.1329740728907,-91.67827611920667,13501039,264307.3627354973,186919.65252123037,212.63619722285168,38.958658910882995,289.5833333333333,294.6166788736979,286.2166544596354,297.9833577473958,281.1833089192708,303.0167032877604,277.8166300455729,0.08179587382586663,-69.6100959973682,-7.253400757584473,-6.78572904605751,-0.46767171152696285,43.60587153228032,21.624338033825023,289.8700012207031,296.98500061035156,318.37897705078126,276.81292068481446,ORIENTCEM.BO,2024-09-26 11:14:16.348021
5,2024-09-20 00:00:00+05:30,288.5,293.1499938964844,285.75,289.8999938964844,56555,0.0,0.0,2024-09-20,298.9800003051758,12.138903126305937,311.1189034314817,286.84109717886986,323.25780655778766,274.7021940525639,-65.42726869678671,-97.41178127280314,13385488,128762.33151924616,167572.72496766364,212.41856815324303,59.94797618476126,289.59999593098956,293.44999186197913,286.04999796549475,296.99998982747394,282.2000020345052,300.8499857584635,278.6500040690104,0.04120317707398465,-72.70643983803288,-7.518435076006881,-6.6688111181757685,-0.8496239578311124,42.79611420699511,20.92855324084789,291.14000244140624,298.9800003051758,318.6904016113281,276.180673828125,ORIENTCEM.BO,2024-09-26 11:14:16.348021
6,2024-09-19 00:00:00+05:30,290.20001220703125,292.8999938964844,278.0,288.5,68686,0.0,0.0,2024-09-19,301.0950012207031,14.01383622674553,315.10883744744865,287.0811649939576,329.1226736741942,273.0673287672121,-110.73669108265493,-114.11358722194068,13328933,155626.53999644346,177275.323329768,212.31344416276633,54.11013523789269,286.46666463216144,294.9333292643229,280.0333353678385,301.3666585286458,271.56667073567706,309.83332316080725,265.13334147135413,0.02719444959443845,-75.91743456395217,-7.610888487489262,-6.45640512871799,-1.1544833587712722,41.994061258805694,20.271302464363153,290.6300048828125,301.0950012207031,318.9591394042969,275.5674024963379,ORIENTCEM.BO,2024-09-26 11:14:16.348021
7,2024-09-18 00:00:00+05:30,285.6499938964844,291.25,285.6499938964844,289.6000061035156,20981,0.0,0.0,2024-09-18,303.04000091552734,14.848396365081811,317.8883972806092,288.1916045504455,332.73679364569097,273.3432081853637,-92.27106452493811,-114.24584016580634,13397619,47719.333524353024,182687.51916309912,212.18769763261602,64.07006811991508,288.8333333333333,292.01667277018225,286.41666666666663,294.43333943684894,283.2333272298177,297.6166788736979,280.816660563151,0.00770602208006537,-80.40197306019859,-7.476062191362246,-6.167784289025172,-1.3082779023370739,42.428082393769785,19.53012606286665,291.9600036621094,303.04000091552734,319.3693670654297,274.9780863952637,ORIENTCEM.BO,2024-09-26 11:14:16.348021
8,2024-09-17 00:00:00+05:30,292.1000061035156,296.04998779296875,288.75,290.1000061035156,97584,0.0,0.0,2024-09-17,304.8450012207031,15.31546302688097,320.1604642475841,289.52953819382213,335.47592727446505,274.2140751669412,-84.45269052013366,-112.60907725730331,13418600,222328.9274782104,216429.56557278562,212.14864910537534,60.213452248489965,291.6333312988281,294.51666259765625,287.2166748046875,298.9333190917969,284.3333435058594,301.816650390625,279.91668701171875,-0.02577149158722212,-71.10606541781165,-7.298503940737362,-5.840714813440903,-1.4577891272964587,42.613977393376686,19.299232629418064,292.39000244140624,304.8450012207031,319.4888024902344,274.117440032959,ORIENTCEM.BO,2024-09-26 11:14:16.348021
9,2024-09-16 00:00:00+05:30,288.0,300.0,288.0,297.6000061035156,51402,0.0,0.0,2024-09-16,307.16500091552734,16.4375706392064,323.60257155473374,290.72743027632094,340.04014219394014,274.28985963711455,-68.84738213257096,-107.85441410848554,13516184,120138.6014760043,214954.7250964294,211.96533712513772,59.39387506248624,295.2000020345052,302.4000040690104,290.4000040690104,307.2000020345052,283.2000020345052,314.4000040690104,278.4000040690104,-0.011872774152695005,-54.176049842142206,-7.009834605607921,-5.476267531616788,-1.533567073991133,45.38359475236092,19.296228403301416,294.4100036621094,307.16500091552734,319.7903741455078,273.21247039794923,ORIENTCEM.BO,2024-09-26 11:14:16.348021
10,2024-09-13 00:00:00+05:30,302.54998779296875,302.54998779296875,286.45001220703125,287.3500061035156,75533,0.0,0.0,2024-09-13,309.25,17.75254566485663,327.00254566485665,291.49745433514335,344.75509132971325,273.74490867028675,-101.69827693526733,-127.11294318193146,13464782,170458.06884304437,238658.7560015357,211.85912930612756,56.304030446408134,292.1166687011719,297.7833251953125,281.683349609375,308.2166442871094,276.0166931152344,313.88330078125,265.5833740234375,0.005723455375719846,-81.59337511520944,-7.2726771294860555,-5.092875763119005,-2.179801366367051,40.473917769562476,19.2929930828681,295.1,309.25,319.9519012451172,272.21010131835936,ORIENTCEM.BO,2024-09-26 11:14:16.348021
11,2024-09-12 00:00:00+05:30,295.20001220703125,298.5,284.0,295.1499938964844,126840,0.0,0.0,2024-09-12,311.0399993896484,17.225169490314222,328.26516887996263,293.8148298993342,345.49033837027685,276.58966040902,-112.19864741164412,-130.15927451874938,13540315,294014.41994503845,255708.9277911585,211.72129723869344,55.57593956908319,292.5499979654948,301.0999959309896,286.5999959309896,307.0499979654948,278.0499979654948,315.5999959309896,272.0999959309896,-0.023837483232589465,-70.59307658352012,-6.489533434610564,-4.547925421527242,-1.9416080130833224,43.21923770816495,19.28950889163222,299.22999877929686,311.0399993896484,320.15018493652343,271.2888285827637,ORIENTCEM.BO,2024-09-26 11:14:16.348021
12,2024-09-11 00:00:00+05:30,300.54998779296875,307.79998779296875,289.25,291.75,41682,0.0,0.0,2024-09-11,313.4574996948242,18.240637145456176,331.69813684028037,295.21686254936805,349.9387739857366,276.9762254039118,-56.78359043066048,-118.47769009282297,13413475,95505.64302385288,246132.55475268848,211.464716316913,62.03227437275849,296.26666259765625,303.2833251953125,284.73333740234375,314.816650390625,277.7166748046875,321.83331298828125,266.183349609375,0.00036425022930719226,-76.5040451918191,-6.1567265407121,-4.0625234182564105,-2.0942031224556894,41.61632914934442,18.87208802936461,303.65,313.4574996948242,320.50108215332034,270.32340377807617,ORIENTCEM.BO,2024-09-26 11:14:16.348021
13,2024-09-10 00:00:00+05:30,300.04998779296875,306.0,297.25,300.20001220703125,45864,0.0,0.0,2024-09-10,315.9024993896484,18.453856755252836,334.35635614490127,297.4486426343956,352.8102129001541,278.99478587914274,-1.5731274261654693,-101.42950874597568,13455157,108131.50641293902,283789.28268489736,211.3834938256056,62.33259652994985,301.15000406901044,305.05000813802087,296.30000813802087,309.90000406901044,292.40000406901044,313.80000813802087,287.55000813802087,0.06348742485375942,-62.76418794461382,-5.302501246738302,-3.538972637642488,-1.7635286090958142,44.516486186174355,18.75469434795574,306.92999877929685,315.9024993896484,320.13849060058595,269.41039611816404,ORIENTCEM.BO,2024-09-26 11:14:16.348021
14,2024-09-09 00:00:00+05:30,305.1000061035156,307.0,297.79998779296875,301.04998779296875,40015,0.0,0.0,2024-09-09,317.49249877929685,18.399586972942718,335.89208575223955,299.09291180635415,354.2916727251823,280.6933248334114,-6.8135278309409415,-100.68697535688902,13501021,94608.69546533303,327703.72675288696,211.28451524998084,59.80782257451957,301.9499918619792,306.0999959309896,296.89998372395837,311.15000406901044,292.74997965494794,315.30000813802087,287.6999715169271,0.006064706335906983,-61.60065051529555,-4.960691258225836,-3.0980904853685343,-1.8626007728573017,44.80815658504083,19.169073644397393,308.3799987792969,317.49249877929685,319.3829052734375,268.4955169677734,ORIENTCEM.BO,2024-09-26 11:14:16.348021
15,2024-09-06 00:00:00+05:30,318.8999938964844,321.3500061035156,307.1000061035156,308.0,65239,0.0,0.0,2024-09-06,319.92999877929685,19.313127208082264,339.24312598737913,300.6168715712146,358.5562531954614,281.3037443631323,37.47266816606678,-56.324202763603914,13541036,157807.4967934109,385977.48457477544,211.19715172739984,61.95694220961842,312.15000406901044,317.20000203450525,302.95000203450525,326.40000406901044,297.90000406901044,331.45000203450525,288.70000203450525,0.016812934670127812,-55.859088246457354,-4.5316186221814405,-2.6324402921542087,-1.8991783300272318,47.1538419465992,19.653114183176218,306.6200012207031,319.92999877929685,318.38831817626954,267.63834060668944,ORIENTCEM.BO,2024-09-26 11:14:16.348021
16,2024-09-05 00:00:00+05:30,307.1499938964844,321.6000061035156,307.1499938964844,317.25,146207,0.0,0.0,2024-09-05,322.4199981689453,20.843716743987848,343.26371491293315,301.5762814249575,364.107431656921,280.73256468096963,37.11530990366209,-41.11100719047369,13606275,364283.428827811,443019.98152011656,211.04330683423265,66.75303243359173,315.3333333333333,323.51667277018225,309.066660563151,329.78334554036456,300.88332112630206,337.9666849772135,294.61664835611975,0.0505778559517644,-42.55930742009158,-4.598085636996075,-2.1576457096474004,-2.4404399273486743,50.415584918360416,20.829368237328623,306.1700012207031,322.4199981689453,316.9331759643555,266.7246060180664,ORIENTCEM.BO,2024-09-26 11:14:16.348021
17,2024-09-04 00:00:00+05:30,304.8999938964844,316.5,302.79998779296875,308.1499938964844,172926,0.0,0.0,2024-09-04,323.49249877929685,21.11379550410942,344.60629428340627,302.37870327518743,365.7200897875157,281.264907771078,-0.6913682190966749,-64.8883688566008,13460068,418496.7390130161,462704.11969319294,210.66367966325174,56.490085998921984,309.1499938964844,315.5,301.79998779296875,322.8500061035156,295.4499816894531,329.20001220703125,288.0999755859375,0.0033654321228095254,-55.64342490066981,-5.524500441766406,-1.5475357278102315,-3.976964713956175,47.071007482668804,22.099693678225183,299.9600036621094,323.49249877929685,315.2064227294922,265.76715225219726,ORIENTCEM.BO,2024-09-26 11:14:16.348021
18,2024-09-03 00:00:00+05:30,299.75,313.8999938964844,295.1000061035156,307.45001220703125,413400,0.0,0.0,2024-09-03,325.5324996948242,21.520510792136452,347.05301048696066,304.01198890268773,368.5735212790971,282.49147811055127,-23.356426695006203,-77.52993579738258,13287142,998193.197496086,473755.96486323717,210.24979330418293,57.655555147159276,305.48333740234375,315.8666687011719,297.0666809082031,324.2833251953125,286.683349609375,334.6666564941406,278.2666931152344,0.06306861386693646,-56.64986847388016,-5.730674849167428,-0.5532945493211877,-5.177380299846241,46.81476027213938,23.078755965802458,294.89000244140624,325.5324996948242,313.6696340942383,264.8474377441406,ORIENTCEM.BO,2024-09-26 11:14:16.348021
19,2024-09-02 00:00:00+05:30,305.6499938964844,305.75,290.6499938964844,292.25,109496,0.0,0.0,2024-09-02,327.94749908447267,22.087138243833245,350.0346373283059,305.86036084063943,372.12177557213914,283.7732225968062,-67.88082066407605,-117.00833759568101,12873742,251317.30451117936,342646.65670502494,209.25313725838143,41.50808800757465,296.21666463216144,301.7833353678385,286.6833292643229,311.31667073567706,281.1166585286458,316.88334147135413,271.58332316080725,0.04768150087122141,-78.50466100486395,-5.838874570300504,0.7410505256403725,-6.579925095940877,41.06133204280377,23.935530507108638,295.2799987792969,327.94749908447267,312.19562561035156,263.9655844116211,ORIENTCEM.BO,2024-09-26 11:14:16.348021
20,2024-08-30 00:00:00+05:30,292.1499938964844,307.70001220703125,281.79998779296875,305.75,296195,0.0,0.0,2024-08-30,330.2999984741211,20.53607138628144,350.8360698604025,309.76392708783965,371.37214124668395,289.2278557015582,-78.11170029974278,-111.25688000564243,12983238,711236.1259396998,365478.9947534863,209.02711635604925,38.86413118924802,298.4166666666667,315.0333455403646,289.1333211263021,324.3166910807292,272.5166422526042,340.9333699544271,263.2332967122396,0.05182108665399242,-65.28369985454346,-4.3919643054480275,2.3860317996255915,-6.777996105073619,45.08348473364413,24.226350018766105,303.05999755859375,330.2999984741211,311.0584698486328,263.22378494262693,ORIENTCEM.BO,2024-09-26 11:14:16.348021
21,2024-08-29 00:00:00+05:30,285.0,289.54998779296875,277.29998779296875,286.20001220703125,137122,0.0,0.0,2024-08-29,332.4949981689453,20.11576202649771,352.610760195443,312.3792361424476,372.72652222194074,292.26347411594986,-165.52444095792478,-171.96439655492975,12687043,308209.77326520893,279039.7119569329,208.3093109195801,26.8136227756343,284.34999593098956,291.4000040690104,279.1500040690104,296.59999593098956,272.09999593098956,303.6500040690104,266.9000040690104,-0.08355726443942885,-89.29642597608509,-3.8024812496074105,4.080530825893996,-7.883012075501407,36.75248112166408,24.53954026208953,308.35,332.4949981689453,309.69113494873045,262.36789138793944,ORIENTCEM.BO,2024-09-26 11:14:16.348021
22,2024-08-28 00:00:00+05:30,299.29998779296875,302.95001220703125,281.45001220703125,282.79998779296875,124566,0.0,0.0,2024-08-28,335.5499969482422,17.133432073842567,352.6834290220848,318.4165648743996,369.8168610959273,301.2831328005571,-259.54835087686735,-158.59267695080902,12549921,276661.3706389645,271747.1966298639,208.04078439968933,34.57759086389012,289.06667073567706,296.6833292643229,275.1833292643229,310.56667073567706,267.56667073567706,318.1833292643229,253.68332926432288,-0.10592206261869846,-98.34257103815617,-1.0647733689644383,6.051283844769348,-7.116057213733787,35.16409006261773,23.36087391133013,316.5899963378906,335.5499969482422,308.7247552490234,261.6243714904785,ORIENTCEM.BO,2024-09-26 11:14:16.348021
23,2024-08-26 00:00:00+05:30,331.6000061035156,331.8999938964844,308.0,309.3999938964844,58972,0.0,0.0,2024-08-26,338.6199981689453,11.879430577670227,350.49942874661554,326.74056759127507,362.37885932428577,314.86113701360483,-208.80723030998405,-35.27478431701394,12674487,143296.5639158403,270518.6531275887,207.8059180101217,40.69151040280913,316.43332926432294,324.86665852864587,300.9666646321615,340.3333231608073,292.53333536783856,348.76665242513025,277.0666707356771,-0.12122897626019655,-97.44991975932801,2.791306145803844,7.830298148202795,-5.038992002398951,43.01128396098708,22.258447157418047,325.1700012207031,338.6199981689453,307.7885461425781,260.7500921630859,ORIENTCEM.BO,2024-09-26 11:14:16.348021
24,2024-08-23 00:00:00+05:30,334.8999938964844,338.0,327.25,331.1499938964844,88447,0.0,0.0,2024-08-23,339.83999786376955,9.7897702015353,349.62976806530486,330.05022766223425,359.41953826684016,320.26045746069894,-37.70042041409785,33.428775168296816,12733459,230026.2911994837,302324.17543052573,207.6545906897356,36.55147015380218,332.1333312988281,337.01666259765625,326.26666259765625,342.8833312988281,321.3833312988281,347.76666259765625,315.51666259765625,-0.07114073876575644,-66.49214659685863,5.0662663454895664,9.090046148802532,-4.023779803312966,51.78568953704913,22.378769491275836,330.5900024414062,339.83999786376955,306.2237707519531,259.6461494445801,ORIENTCEM.BO,2024-09-26 11:14:16.348021
25,2024-08-22 00:00:00+05:30,333.95001220703125,338.79998779296875,327.95001220703125,332.20001220703125,106682,0.0,0.0,2024-08-22,339.3403381347656,10.486846280965763,349.8271844157314,328.8534918537998,360.3140306966971,318.3666455728341,-40.9262397167074,40.252129965639625,12821906,278330.25148441695,320398.6464882862,207.37808230447757,44.24406950438125,332.98333740234375,338.01666259765625,327.16668701171875,343.83331298828125,322.13336181640625,348.86663818359375,316.31671142578125,-0.0555291802578172,-68.62922466269237,5.760097717125348,10.095991099630774,-4.335893382505427,52.263637133437804,23.880933090370032,332.2200012207031,339.3403381347656,304.0637155151367,258.3157469177246,ORIENTCEM.BO,2024-09-26 11:14:16.348021
26,2024-08-21 00:00:00+05:30,328.5,333.1000061035156,325.8500061035156,327.3999938964844,29297,0.0,0.0,2024-08-21,338.9026626586914,10.971982280184418,349.8746449388758,327.93068037850696,360.8466272190602,316.95869809832254,-96.64052746055518,30.751455449101606,12715224,75330.60181753869,330915.7452392535,207.04007124886635,39.33543051017822,328.78333536783856,331.7166646321615,324.4666646321615,336.03333536783856,321.53333536783856,338.9666646321615,317.2166646321615,-0.059390519379247324,-77.46090409508231,6.457727022694087,11.17996444525713,-4.722237422563044,50.317183880212724,25.5558584131518,330.4099975585938,338.9026626586914,301.90257049560546,257.01665634155273,ORIENTCEM.BO,2024-09-26 11:14:16.348021
27,2024-08-20 00:00:00+05:30,338.0,339.1499938964844,322.3999938964844,325.70001220703125,113952,0.0,0.0,2024-08-20,339.2251510620117,10.707704922305108,349.9328559843168,328.51744613970664,360.64056090662194,317.8097412174015,-120.02968970964639,35.517187463230655,12685927,291480.3926079,394812.0310946822,206.95049827356854,46.676364939695375,329.0833333333333,335.76667277018225,319.01667277018225,345.8333333333333,312.3333333333333,352.51667277018225,302.26667277018225,0.009168765726241652,-80.58874493877113,7.725788663851972,12.36052380089789,-4.634735137045919,49.641899045450366,26.877041869220786,333.6299987792969,339.2251510620117,299.80855560302734,255.7361979675293,ORIENTCEM.BO,2024-09-26 11:14:16.348021
