Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-03 00:00:00+05:30,168.5,179.9499969482422,168.5,173.4499969482422,52376,0.0,0.0,2024-10-03,168.9199996948242,7.295627188499989,176.2156268833242,161.62437250632422,183.5112540718242,154.32874531782423,-6.033600812278217,85.80720401844957,6224910,111879.52440382192,157426.1449473668,103.59942823059015,58.48843382312204,173.96666463216147,179.43332926432294,167.98333231608075,185.41666158040366,162.51666768391928,190.88332621256512,156.53333536783856,-0.0020706712645266246,-57.22802960979328,6.428118680739004,6.695975778710447,-0.26785709797144275,57.59314767750411,33.570772399095574,175.55,168.9199996948242,151.9860006713867,145.53100036621095,ORIENTHOT.BO,2024-10-03 11:01:49.845475
2,2024-10-01 00:00:00+05:30,177.10000610351562,183.0,174.85000610351562,175.89999389648438,40414,0.0,0.0,2024-10-01,168.09249954223634,7.683070519770343,175.7755700620067,160.40942902246599,183.45864058177702,152.72635850269566,64.65291062844643,107.20221421825477,6277286,87547.0766072043,168812.800083253,103.51246857967594,53.1861748704029,177.91666666666666,180.9833272298177,172.83333333333331,186.06666056315103,169.76667277018228,189.13332112630206,164.68333943684894,-0.0191247600512863,-49.9255025169052,6.846955627850065,6.762940053203308,0.0840155746467568,60.02848954482762,34.316715861313284,175.28999938964844,168.09249954223634,151.18700073242186,145.29300033569336,ORIENTHOT.BO,2024-10-03 11:01:49.845475
3,2024-09-30 00:00:00+05:30,179.9499969482422,181.9499969482422,175.9499969482422,177.10000610351562,93679,0.0,0.0,2024-09-30,167.2650001525879,7.689161881165529,174.95416203375342,159.57583827142238,182.64332391491897,151.88667639025684,83.49837070513811,114.19462197037227,6317700,204317.1440307595,189129.23095226515,103.44286549796634,61.974918884541346,178.33333333333334,180.7166697184245,174.7166697184245,184.33333333333334,172.33333333333334,186.7166697184245,168.7166697184245,-0.005845875013260351,-46.3487137131765,7.038164510266142,6.741936159541618,0.29622835072452425,61.20558215013756,33.92539171723232,175.72000122070312,167.2650001525879,150.2410009765625,144.99400039672852,ORIENTHOT.BO,2024-10-03 11:01:49.845475
4,2024-09-27 00:00:00+05:30,172.6999969482422,192.64999389648438,168.4499969482422,182.0,160771,0.0,0.0,2024-09-27,166.1974998474121,7.733786934746044,173.93128678215814,158.46371291266607,181.6650737169042,150.72992597792,139.39393044347054,133.22152711294123,6411379,360348.8066465181,185332.25268264156,103.27833021287387,77.87943349559993,181.03333028157553,193.61666361490887,169.41666666666669,205.23332722981772,156.83333333333334,217.81666056315106,145.2166697184245,-0.010051405001743004,-27.806781438294713,7.058147945238687,6.6678790718604874,0.3902688733781998,66.12176226912226,33.28325950728839,175.06000061035155,166.1974998474121,149.3410009765625,144.67900039672853,ORIENTHOT.BO,2024-10-03 11:01:49.845475
5,2024-09-26 00:00:00+05:30,176.64999389648438,176.64999389648438,168.5,169.3000030517578,38122,0.0,0.0,2024-09-26,165.2125,6.815171631234497,172.0276716312345,158.3973283687655,178.842843262469,151.58215673753102,34.32017300322624,95.77981042788349,6250608,79483.43545447417,141578.11419167242,102.97537943012985,73.23315024285888,171.48333231608072,174.46666463216144,166.31667073567706,179.6333262125651,163.33333841959634,182.61665852864581,158.1666768391927,0.06854116056170617,-45.92197996336808,6.494216005584036,6.570311853515937,-0.07609584793190116,58.00327450945258,32.59173251196416,172.25,165.2125,148.39300109863282,144.3570004272461,ORIENTHOT.BO,2024-10-03 11:01:49.845475
6,2024-09-25 00:00:00+05:30,179.39999389648438,180.1999969482422,171.25,172.14999389648438,24373,0.0,0.0,2024-09-25,163.90749969482422,8.323292669483989,172.2307923643082,155.58420702534025,180.5540850337922,147.26091435585624,93.4265565173822,116.7879692199443,6288730,51672.561070580705,157101.78387597195,102.9148011379002,73.82650325311755,174.53333028157553,177.81666056315106,168.86666361490887,183.48332722981772,165.58333333333334,186.76665751139325,159.91666666666669,0.06219870435435805,-35.43861790707237,6.9245722973593615,6.589335815498912,0.3352364818604494,61.05194353650792,33.39210012199476,171.72999877929686,163.90749969482422,147.66000091552735,144.0170004272461,ORIENTHOT.BO,2024-10-03 11:01:49.845475
7,2024-09-24 00:00:00+05:30,177.3000030517578,182.25,174.89999389648438,178.0500030517578,116917,0.0,0.0,2024-09-24,162.6425003051758,8.906773661872691,171.54927396704846,153.7357266433031,180.45604762892117,144.8289529814304,169.88726605327219,145.03057131987228,6313103,256367.8939553581,183459.08957731974,102.87434763539859,75.50490158753152,178.3999989827474,181.90000406901044,174.5499979654948,185.75000508626303,171.04999287923178,189.25001017252606,167.19999186197919,0.07155806531678877,-14.736831397341009,7.089960083221996,6.505526695033799,0.5844333881881969,67.9137408943576,33.70139594555568,171.05,162.6425003051758,146.95400115966797,143.62600051879883,ORIENTHOT.BO,2024-10-03 11:01:49.845475
8,2024-09-23 00:00:00+05:30,167.9499969482422,178.5,167.9499969482422,173.8000030517578,86007,0.0,0.0,2024-09-23,161.05750045776367,8.840967618845527,169.8984680766092,152.21653283891814,178.73943569545472,143.37556522007262,131.9172565599918,130.0645401485468,6196186,184088.88453531056,165231.88848281014,102.66305026744395,70.3347251875985,173.41666666666666,178.88333638509113,168.33333333333331,183.96666971842447,162.86666361490884,189.43333943684894,157.7833302815755,0.08651527102929768,-26.958086408669885,6.613221421296117,6.3594183479867485,0.2538030733093688,65.3054768644994,33.256986179663144,168.1699981689453,161.05750045776367,146.16400115966798,143.18550048828126,ORIENTHOT.BO,2024-10-03 11:01:49.845475
9,2024-09-20 00:00:00+05:30,167.0,172.0,165.0,167.9499969482422,61188,0.0,0.0,2024-09-20,159.49750061035155,9.218765744857693,168.71626635520926,150.27873486549385,177.93503210006693,141.05996912063617,39.625120083766326,111.41993372067192,6110179,126558.18718588636,160517.63946968503,102.51566056285833,70.12589163565113,168.31666564941406,171.63333129882812,164.63333129882812,175.31666564941406,161.31666564941406,178.63333129882812,157.63333129882812,0.06862247409016199,-48.26958642284472,6.321211749265359,6.295967579659406,0.025244169605953104,61.28276369064754,33.15333269916354,165.95999755859376,159.49750061035155,145.4910009765625,142.7915003967285,ORIENTHOT.BO,2024-10-03 11:01:49.845475
10,2024-09-19 00:00:00+05:30,166.14999389648438,171.14999389648438,159.10000610351562,166.6999969482422,57274,0.0,0.0,2024-09-19,158.42250061035156,9.432327816675507,167.85482842702706,148.99017279367607,177.28715624370258,139.55784497700054,6.939709075092473,104.35742741617831,6048991,117580.98502515156,169007.50254063468,102.41906644426919,70.29372738048627,165.6499989827474,172.19999186197919,160.15000406901044,177.69998677571616,153.60001118977866,184.24997965494794,148.10001627604169,0.08403615389889568,-52.82332099103761,6.427711910431782,6.289656537257917,0.13805537317386474,60.37108932565633,33.79090234157754,165.1999969482422,158.42250061035156,144.9710009765625,142.4920004272461,ORIENTHOT.BO,2024-10-03 11:01:49.845475
