Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-12-17 00:00:00+05:30,7635.0,7701.7001953125,7506.4501953125,7541.9501953125,210,0.0,0.0,2024-12-17,7669.557543945312,104.0038782581648,7773.561422203477,7565.553665687147,7877.5653004616415,7461.549787428983,-124.77424929226581,-79.11726633199739,245194,513.1409496243718,1067.3668648617188,6318.479464780504,25.966538833930173,7583.366861979167,7660.283528645834,7465.033528645834,7778.616861979167,7388.116861979167,7855.533528645834,7269.783528645834,-0.45457394252988315,-92.66831444040737,-88.0875316622778,-98.64605518989745,10.558523527619656,39.52376846477843,15.057910604147752,7637.280078125,7669.557543945312,8075.871025390625,8019.002006835937,ORISSAMINE.BO,2024-12-17 11:22:39.148332
2,2024-12-16 00:00:00+05:30,7736.4501953125,7738.2001953125,7570.75,7590.0,497,0.0,0.0,2024-12-16,7664.7275390625,112.16484386010013,7776.8923829226005,7552.5626952023995,7889.0572267827,7440.3978513423,-101.92764906732612,-66.65883361084718,245404,1222.1707435606666,1205.9233436710556,6318.237530072552,30.783832557811763,7632.9833984375,7695.216796875,7527.7666015625,7800.43359375,7465.533203125,7862.6669921875,7360.31640625,-0.4516036454727037,-92.28377115389158,-83.4804094758947,-101.28568607180236,17.805276595907657,41.236119447957286,15.228502617965612,7651.77001953125,7664.7275390625,8110.542021484375,8014.54900390625,ORISSAMINE.BO,2024-12-17 11:22:39.148332
3,2024-12-13 00:00:00+05:30,7595.0498046875,7700.0,7556.5,7683.85009765625,339,0.0,0.0,2024-12-13,7656.7400390625,122.93721116050364,7779.677250223003,7533.802827901996,7902.614461383507,7410.865616741493,-106.40687326985312,-64.79554828440844,245901,843.9414168493331,1201.8614936986528,6317.642072274937,38.837987543940415,7646.783365885417,7737.066731770834,7593.566731770834,7790.283365885417,7503.283365885417,7880.566731770834,7450.066731770834,-0.41715092352682215,-70.66679113164534,-81.04922002503645,-105.73700522077928,24.687785195742833,44.752606101642805,15.844982195692955,7674.52998046875,7656.7400390625,8143.417021484375,8011.565004882813,ORISSAMINE.BO,2024-12-17 11:22:39.148332
4,2024-12-12 00:00:00+05:30,7769.9501953125,7770.0,7625.10009765625,7642.35009765625,234,0.0,0.0,2024-12-12,7644.085034179688,132.643399934474,7776.728434114161,7511.441634245214,7909.371834048636,7378.79823431074,-100.44854172735245,-59.58421872298423,245562,579.3973506727883,1291.3415129109826,6317.205612881639,42.89640145569494,7679.150065104167,7733.200032552084,7588.300130208334,7824.049967447917,7534.250162760417,7878.099934895834,7443.400227864584,-0.5002779695969402,-86.93370512509583,-85.95135496659896,-111.90895151971498,25.95759655311602,42.747895073864974,16.20436986766832,7680.62998046875,7644.085034179688,8164.26302734375,8008.20400390625,ORISSAMINE.BO,2024-12-17 11:22:39.148332
5,2024-12-11 00:00:00+05:30,7749.2998046875,7872.0,7597.75,7728.25,731,0.0,0.0,2024-12-11,7645.937524414063,132.87640772828487,7778.813932142348,7513.061116685778,7911.690339870633,7380.184708957493,-46.246632216703766,-51.341471918823935,245796,1830.342054106592,1469.327553470531,6316.913330804398,55.112772905826404,7732.666666666667,7867.583333333334,7593.333333333334,8006.916666666667,7458.416666666667,8141.833333333334,7319.083333333334,-0.49887271929261534,-51.86794880332946,-86.83815871804563,-118.39835065799397,31.56019193994834,45.95277774831088,17.039705971590475,7703.5599609375,7645.937524414063,8188.658017578125,8006.278002929687,ORISSAMINE.BO,2024-12-17 11:22:39.148332
6,2024-12-10 00:00:00+05:30,7703.7998046875,7734.4501953125,7590.0,7614.39990234375,574,0.0,0.0,2024-12-10,7652.967529296875,140.93539154035193,7793.902920837227,7512.032137756523,7934.838312377578,7371.096746216172,-149.8767138829456,-68.17483436272838,245065,1416.0588187089938,1379.0739283115158,6315.940201740629,45.44507221502327,7646.283365885417,7702.566731770834,7558.116536458334,7790.733561197917,7501.833170572917,7847.016927083334,7413.666341145834,-0.5224748952187122,-57.627516660571565,-95.11764543794925,-126.28839864298105,31.1707532050318,40.45903307247436,17.939298698891257,7717.0,7652.967529296875,8213.256025390625,8003.194501953125,ORISSAMINE.BO,2024-12-17 11:22:39.148332
7,2024-12-09 00:00:00+05:30,7754.9501953125,7780.9501953125,7675.25,7703.7998046875,281,0.0,0.0,2024-12-09,7673.657543945313,163.5371299956963,7837.194673941009,7510.120413949617,8000.731803936706,7346.58328395392,-69.74311556466493,-58.07447560573883,245639,701.3665138886071,1369.8277057121463,6315.23680879541,50.50388387508656,7720.0,7764.75,7659.0498046875,7825.7001953125,7614.2998046875,7870.4501953125,7553.349609375,-0.5287629710492591,-43.93477417082293,-93.06421131110437,-134.081086944239,41.01687563313462,43.69775787843632,17.87129233637656,7754.5900390625,7673.657543945313,8238.55603515625,8001.0155029296875,ORISSAMINE.BO,2024-12-17 11:22:39.148332
8,2024-12-06 00:00:00+05:30,7750.0,7877.0498046875,7696.4501953125,7714.35009765625,906,0.0,0.0,2024-12-06,7700.217553710938,206.2486465115662,7906.466200222504,7493.968907199372,8112.71484673407,7287.720260687805,-2.8582474331394105,-53.45172774092403,245920,2264.4423095663556,1536.943003668031,6314.868472313662,56.80447231280325,7762.61669921875,7828.783203125,7648.18359375,7943.21630859375,7582.01708984375,8009.3828125,7467.583984375,-0.5079335261232019,-42.31886138987794,-97.82966540511734,-144.33530585252265,46.50564044740531,44.084458002518794,18.29439340761815,7778.1400390625,7700.217553710938,8270.20603515625,7993.55900390625,ORISSAMINE.BO,2024-12-17 11:22:39.148332
9,2024-12-05 00:00:00+05:30,7878.0,7878.0,7725.9501953125,7757.0,744,0.0,0.0,2024-12-05,7728.3775390625,243.3845433928628,7971.762082455362,7484.992995669637,8215.146625848225,7241.608452276774,34.93155883328178,-51.82433071390712,246826,1869.8227766078069,1355.0681771934496,6313.6705191945985,58.14430617758715,7786.9833984375,7848.0166015625,7695.966796875,7939.033203125,7634.93359375,8000.06640625,7543.9169921875,-0.42387658560143854,-35.786481435363115,-103.48766706929746,-155.96171596437398,52.47404889507652,45.59925630433651,18.876078688904816,7798.07001953125,7728.3775390625,8302.462041015626,7988.562001953125,ORISSAMINE.BO,2024-12-17 11:22:39.148332
10,2024-12-04 00:00:00+05:30,7848.5498046875,7877.0,7757.0,7795.4501953125,319,0.0,0.0,2024-12-04,7734.292529296875,245.54470575536664,7979.837235052241,7488.747823541508,8225.381940807609,7243.203117786142,66.09081548590386,-50.65364509678793,247570,805.6856025610515,1226.3795273398603,6312.65523358215,53.65521799854541,7809.816731770833,7862.633463541666,7742.633463541666,7929.816731770833,7689.816731770833,7982.633463541666,7622.633463541666,-0.4380344839103319,-29.897340515832685,-113.36399796002934,-169.08022818814308,55.716230228113744,46.949758491047966,19.672515554028898,7780.26005859375,7734.292529296875,8332.208037109374,7983.628002929688,ORISSAMINE.BO,2024-12-17 11:22:39.148332
