Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-04 00:00:00+05:30,84.87000274658203,84.87000274658203,84.87000274658203,84.87000274658203,6353,0.0,0.0,2024-10-04,80.3220001220703,9.425328406078565,89.74732852814887,70.89667171599174,99.17265693422743,61.47134330991318,-112.68647652016135,91.92308965879946,5708470,12822.333822394767,107436.44664881317,49.88778779415318,42.78389068752511,84.87000274658203,84.87000274658203,84.87000274658203,84.87000274658203,84.87000274658203,84.87000274658203,84.87000274658203,,-37.80181295021613,6.410419450450064,6.756951821175766,-0.3465323707257024,62.908253487029725,53.58557070958915,88.39800109863282,80.3220001220703,66.29960021972656,55.51230003356934,OSWALAGRO.BO,2024-10-04 11:03:32.490381
2,2024-10-03 00:00:00+05:30,86.5999984741211,86.5999984741211,86.5999984741211,86.5999984741211,1164,0.0,0.0,2024-10-03,79.2375,10.098307610268776,89.33580761026877,69.13919238973122,99.43411522053755,59.040884779462445,-51.057889322734646,110.27711072814307,5714823,2397.2033306253966,131089.97485541776,49.87492267657031,44.20832037559038,86.5999984741211,86.5999984741211,86.5999984741211,86.5999984741211,86.5999984741211,86.5999984741211,86.5999984741211,,-25.47659917803517,6.978531220265538,6.843584913857191,0.13494630640834693,66.89431024994857,55.209534572601086,89.84600067138672,79.2375,65.45540016174317,55.105400009155275,OSWALAGRO.BO,2024-10-04 11:03:32.490381
3,2024-10-01 00:00:00+05:30,88.36000061035156,88.36000061035156,88.36000061035156,88.36000061035156,6704,0.0,0.0,2024-10-01,78.04900016784669,10.573774634997394,88.62277480284408,67.4752255328493,99.19654943784147,56.9014508978519,15.276901333730708,131.1354300143694,5715987,14087.168961699257,163263.16773661584,49.872447919657674,43.5429105412579,88.36000061035156,88.36000061035156,88.36000061035156,88.36000061035156,88.36000061035156,88.36000061035156,88.36000061035156,,-19.376071520090168,7.4297727520858245,6.809848337255103,0.6199244148307219,71.15336450803721,56.255687011775294,90.58800048828125,78.04900016784669,64.57940017700196,54.698800010681154,OSWALAGRO.BO,2024-10-04 11:03:32.490381
4,2024-09-30 00:00:00+05:30,90.16000366210938,90.16000366210938,90.16000366210938,90.16000366210938,69571,0.0,0.0,2024-09-30,76.90050010681152,10.64212585949102,87.54262596630254,66.2583742473205,98.18475182579357,55.61624838782948,58.00704254279097,154.9666592470168,5722691,149168.17428258967,200557.16743034497,49.85750485236494,42.98518003967468,90.16000366210938,90.16000366210938,90.16000366210938,90.16000366210938,90.16000366210938,90.16000366210938,90.16000366210938,,-13.136892501164244,7.721592794528718,6.654867233547422,1.066725560981296,75.73247695052247,56.62322691505897,90.6240005493164,76.90050010681152,63.66280014038086,54.271199989318845,OSWALAGRO.BO,2024-10-04 11:03:32.490381
5,2024-09-27 00:00:00+05:30,90.2699966430664,93.94999694824219,90.2699966430664,92.0,299862,0.0,0.0,2024-09-27,75.60400009155273,10.520533358853136,86.12453345040586,65.0834667326996,96.645066809259,54.56293337384646,90.3698193636174,182.9788188628979,5792262,656059.5600602548,213404.4157172838,49.69446302165972,79.02806187497976,92.07333119710286,93.87666575113931,90.19666544596353,95.75333150227864,88.39333089192708,97.5566660563151,86.51666514078775,,-6.7590885663005,7.800944021126739,6.3881858433020975,1.4127581778246414,80.65971065221757,56.19327039517878,89.95399932861328,75.60400009155273,62.740000076293946,53.830799942016604,OSWALAGRO.BO,2024-10-04 11:03:32.490381
6,2024-09-26 00:00:00+05:30,92.11000061035156,92.11000061035156,92.11000061035156,92.11000061035156,26695,0.0,0.0,2024-09-26,74.32150001525879,9.965367463486087,84.28686747874488,64.3561325517727,94.25223494223097,54.390765088286614,98.93518209203397,200.9478161224949,6092124,58475.06565769962,102740.62963154106,48.94371039855174,97.95797445352892,92.11000061035156,92.11000061035156,92.11000061035156,92.11000061035156,92.11000061035156,92.11000061035156,92.11000061035156,,-0.0,7.603129754916381,6.034996298845937,1.568133456070444,80.95208496753361,55.67986106512666,88.5759994506836,74.32150001525879,61.791000061035156,53.38069995880127,OSWALAGRO.BO,2024-10-04 11:03:32.490381
7,2024-09-25 00:00:00+05:30,90.30999755859375,90.30999755859375,90.30000305175781,90.30999755859375,17667,0.0,0.0,2024-09-25,72.64799995422364,9.625429817682626,82.27342977190627,63.022570136541006,91.89885958958888,53.39714031885838,98.53979280825727,205.19130215841025,6065429,37943.08575067664,113807.02062500142,48.87540744009297,97.95487123526554,90.30666605631511,90.3133290608724,90.30333455403647,90.31666056315105,90.29667154947917,90.32332356770834,90.29334004720053,,-0.0,7.223835221325814,5.642962934828326,1.5808722864974882,79.84181356943967,54.28865878993823,86.84399871826172,72.64799995422364,60.83460006713867,52.9232999420166,OSWALAGRO.BO,2024-10-04 11:03:32.490381
8,2024-09-24 00:00:00+05:30,88.54000091552734,88.54000091552734,88.54000091552734,88.54000091552734,12373,0.0,0.0,2024-09-24,71.18800010681153,8.999638480227647,80.18763858703917,62.188361626583884,89.18727706726682,53.18872314635624,102.59727108279317,205.59017066479234,6047762,26052.44830450084,132773.0043435826,48.83197184768585,58.54046540430931,88.54000091552734,88.54000091552734,88.54000091552734,88.54000091552734,88.54000091552734,88.54000091552734,88.54000091552734,,-0.0,6.806044259609095,5.247744863203954,1.5582993964051415,78.70862690488444,52.92104038362262,84.6779998779297,71.18800010681153,59.9084001159668,52.484399948120114,OSWALAGRO.BO,2024-10-04 11:03:32.490381
9,2024-09-23 00:00:00+05:30,86.80999755859375,86.80999755859375,86.80999755859375,86.80999755859375,27097,0.0,0.0,2024-09-23,69.89850006103515,8.194118780201027,78.09261884123617,61.70438128083413,86.2867376214372,53.5102625006331,115.84071151359103,202.214621608081,6035389,55940.32215277748,159453.14335335305,48.802798101589765,58.07773350134634,86.80999755859375,86.80999755859375,86.80999755859375,86.80999755859375,86.80999755859375,86.80999755859375,86.80999755859375,,-0.0,6.342341193779731,4.858170014102668,1.4841711796770634,77.56394547362821,51.58316104385102,82.10999908447266,69.89850006103515,59.02700012207031,52.06229995727539,OSWALAGRO.BO,2024-10-04 11:03:32.490381
10,2024-09-20 00:00:00+05:30,85.11000061035156,85.11000061035156,85.11000061035156,85.11000061035156,94321,0.0,0.0,2024-09-20,68.80350036621094,7.220708272504493,76.02420863871544,61.582792093706445,83.24491691121993,54.362083821201956,133.09734552225075,198.69053112857202,6008292,190907.50328703527,185331.34865349694,48.74154539478856,56.88565992650846,85.11000061035156,85.11000061035156,85.11000061035156,85.11000061035156,85.11000061035156,85.11000061035156,85.11000061035156,,-0.0,5.82294379322984,4.487127219183401,1.3358165740464383,76.4065254108119,50.280397657047956,79.16799926757812,68.80350036621094,58.1810001373291,51.65459999084473,OSWALAGRO.BO,2024-10-04 11:03:32.490381
