Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-30 00:00:00+05:30,17.200000762939453,17.90999984741211,17.100000381469727,17.43000030517578,23080,0.0,0.0,2025-01-30,18.211499881744384,0.7671842003857546,18.97868408213014,17.444315681358628,19.745868282515893,16.677131480972875,-90.26317323894986,-108.98855643679688,15549304,9003.007785567837,9678.57884398773,39.13840550845459,43.93760291493332,17.480000178019207,17.859999974568687,17.050000508626304,18.28999964396159,16.670000712076824,18.66999944051107,16.24000104268392,-0.1569675970803145,-76.206875006166,-0.6231692893986036,-0.6326667299280222,0.009497440529418588,36.41078219458857,29.40772028773784,17.568000030517577,18.211499881744384,19.76139991760254,22.257799949645996,OSWALSEEDS.NS,2025-01-30 10:53:55.883437
2,2025-01-29 00:00:00+05:30,18.0,18.0,17.040000915527344,17.440000534057617,18498,0.0,0.0,2025-01-29,18.343499851226806,0.8484555776382303,19.191955428865036,17.495044273588576,20.040411006503266,16.646588695950346,-106.76466702588456,-114.12423322174048,15572384,7219.808784810765,9847.471608592703,39.14235419754773,42.419669907191576,17.49333381652832,17.946666717529297,16.98666763305664,18.453332901000977,16.533334732055664,18.906665802001953,16.026668548583984,-0.12518974438954747,-75.86203948212189,-0.6228747507927643,-0.6350410900603768,0.012166339267612458,36.484405386322656,29.227130930504735,17.8,18.343499851226806,19.831799926757814,22.398099937438964,OSWALSEEDS.NS,2025-01-30 10:53:55.883437
3,2025-01-28 00:00:00+05:30,18.3700008392334,18.3700008392334,16.739999771118164,17.200000762939453,21334,0.0,0.0,2025-01-28,18.46349983215332,0.8829633927169007,19.34646322487022,17.580536439436422,20.229426617587123,16.69757304671952,-125.40786073832362,-124.08550752366979,15553886,8212.118043776596,10504.387314538186,39.14551854487144,36.67240041890904,17.43666712443034,18.133334477742515,16.50333340962728,19.066668192545574,15.806666056315105,19.76333554585775,14.873332341512047,-0.1014678401388245,-84.13789474722695,-0.6140450269252753,-0.6380826748772799,0.02403764795200458,33.48720059886642,29.0326500842537,18.00799980163574,18.46349983215332,19.90139991760254,22.551099948883056,OSWALSEEDS.NS,2025-01-30 10:53:55.883437
4,2025-01-27 00:00:00+05:30,18.989999771118164,18.989999771118164,17.299999237060547,17.559999465942383,27888,0.0,0.0,2025-01-27,18.573499774932863,0.8538292972632062,19.42732907219607,17.719670477669656,20.281158369459277,16.86584118040645,-37.53909927482271,-103.64109854690345,15575220,10959.640148246417,11077.454632228582,39.14920954189448,35.205181176770296,17.9499994913737,18.59999974568685,16.909999211629234,19.640000025431316,16.259998957316082,20.29000027974447,15.219998677571617,-0.11280670829115272,-71.97233089931837,-0.569800251076849,-0.6440920868652811,0.07429183578843213,35.84305034082277,28.82320917290643,18.391999816894533,18.573499774932863,19.997199897766112,22.70959993362427,OSWALSEEDS.NS,2025-01-30 10:53:55.883437
5,2025-01-24 00:00:00+05:30,19.0,19.0,18.049999237060547,18.209999084472656,14556,0.0,0.0,2025-01-24,18.686999797821045,0.862841985657854,19.5498417834789,17.82415781216319,20.412683769136752,16.961315826505338,33.31128446373862,-83.67204504458492,15603108,5932.071778571455,11106.908253224123,39.153957153556284,34.1167433462213,18.419999440511067,18.789999643961586,17.839998881022133,19.37000020345052,17.469998677571613,19.74000040690104,16.88999811808268,-0.09369363920451822,-49.65519736128147,-0.5399746110654853,-0.662665045812389,0.12269043474690378,40.636037538556664,29.232892701072906,18.621999740600586,18.686999797821045,20.079999923706055,22.86519992828369,OSWALSEEDS.NS,2025-01-30 10:53:55.883437
6,2025-01-23 00:00:00+05:30,18.700000762939453,19.110000610351562,18.399999618530273,18.59000015258789,9434,0.0,0.0,2025-01-23,18.780499839782713,0.9085414588144785,19.689041298597193,17.871958380968234,20.597582757411672,16.963416922153755,78.38538448575062,-72.69185532877971,15617664,3924.9099018326497,12400.617371887289,39.15636135981482,29.858142553214634,18.700000127156574,19.000000635782875,18.289999643961586,19.410001118977863,17.989999135335285,19.710001627604164,17.579998652140297,-0.11362718069979866,-41.5872896693747,-0.5576224342233793,-0.693337654499115,0.13571522027573568,43.816770648677945,30.716555840167103,18.543999862670898,18.780499839782713,20.163399925231932,23.024099922180177,OSWALSEEDS.NS,2025-01-30 10:53:55.883437
7,2025-01-22 00:00:00+05:30,19.149999618530273,19.149999618530273,18.360000610351562,18.479999542236328,16762,0.0,0.0,2025-01-22,18.86349983215332,0.9643340947786099,19.82783392693193,17.89916573737471,20.792168021710538,16.9348316425961,79.47531204873361,-78.88473193041114,15608230,6932.377738343571,14519.544239400948,39.157891589278975,26.165952503427846,18.663333257039387,18.96666590372721,18.1766668955485,19.453332265218098,17.873334248860676,19.756664911905922,17.38666788736979,-0.12002761898741282,-47.89157526329456,-0.6091925185471361,-0.7272664595680489,0.11807394102091284,42.609285171142,32.89031824436999,18.455999755859374,18.86349983215332,20.24479991912842,23.203799934387206,OSWALSEEDS.NS,2025-01-30 10:53:55.883437
8,2025-01-21 00:00:00+05:30,19.399999618530273,19.639999389648438,18.510000228881836,19.1200008392334,40939,0.0,0.0,2025-01-21,18.948499870300292,1.0029027757385987,19.95140264603889,17.945597094561695,20.95430542177749,16.942694318823094,123.91132264718208,-57.66345644739855,15624992,17517.799997105853,16416.335864665292,39.16062555299293,31.254343998552514,19.09000015258789,19.670000076293945,18.540000915527344,20.219999313354492,17.96000099182129,20.799999237060547,17.410001754760742,-0.08436890792797534,-32.09166204403298,-0.6551542706611535,-0.7567849448232771,0.10163067416212357,48.206666929622834,35.23129314120388,18.2879997253418,18.948499870300292,20.338799934387207,23.37009994506836,OSWALSEEDS.NS,2025-01-30 10:53:55.883437
9,2025-01-20 00:00:00+05:30,18.709999084472656,18.709999084472656,18.049999237060547,18.709999084472656,44903,0.0,0.0,2025-01-20,19.005499839782715,1.044688476655884,20.0501883164386,17.96081136312683,21.094876793094482,16.916122886470948,44.33917536526686,-95.84213190640847,15584053,18801.978435592213,16140.96983155515,39.167099205709405,29.689488945392227,18.489999135335285,18.929999033610024,18.269999186197914,19.149998982747395,17.829999287923176,19.589998881022133,17.609999338785805,-0.10174833771875352,-43.839564097028855,-0.7671030920771251,-0.782192613363808,0.015089521286682839,43.81619694824826,37.892597877177344,17.905999374389648,19.005499839782715,20.427199935913087,23.51869993209839,OSWALSEEDS.NS,2025-01-30 10:53:55.883437
10,2025-01-17 00:00:00+05:30,18.18000030517578,18.290000915527344,17.700000762939453,17.81999969482422,36995,0.0,0.0,2025-01-17,19.089999866485595,1.087019345641457,20.177019212127053,18.002980520844137,21.264038557768508,16.915961175202682,-32.92446628365963,-135.77152835685143,15539150,14753.842753486806,15475.717680545884,39.17434981060514,21.268442377460147,17.93666712443034,18.173333485921226,17.583333333333336,18.52666727701823,17.34666697184245,18.763333638509117,16.993333180745445,-0.16584728262637388,-69.34098094564057,-0.8584297725563381,-0.7859649936854787,-0.07246477887085945,32.23787455195817,39.14991416330824,17.639999389648438,19.089999866485595,20.52479995727539,23.669699954986573,OSWALSEEDS.NS,2025-01-30 10:53:55.883437
