Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-02-17 00:00:00+05:30,1780.300048828125,1800.9000244140625,1704.8499755859375,1787.75,136424,0.0,0.0,2025-02-17,1824.547509765625,21.47021287173752,1846.0177226373623,1803.0772968938875,1867.4879355091,1781.6070840221498,-189.6111183013641,-119.52764844212206,4098748,263973.4162991386,169029.92350069206,1530.857029626364,38.485837216529575,1764.5,1824.1500244140625,1728.0999755859375,1860.550048828125,1668.449951171875,1920.2000732421875,1632.0499267578125,0.2576196922807236,-49.01596748995322,-4.34325014307683,-0.5957445352269681,-3.7475056078498614,42.99159093208123,18.4383750574315,1807.889990234375,1824.547509765625,1816.577001953125,1794.3308166503907,PATANJALI.BO,2025-02-17 11:06:03.306893
2,2025-02-14 00:00:00+05:30,1827.949951171875,1827.949951171875,1796.25,1807.3499755859375,80274,0.0,0.0,2025-02-14,1826.7500122070312,19.681614493320783,1846.431626700352,1807.0683977137105,1866.1132411936728,1787.3867832203896,-18.950766461012368,-11.118276021036488,4235172,157028.97250147167,145294.05030108042,1529.0449097086591,51.85565211472136,1810.5166422526042,1824.7832845052085,1793.0833333333335,1842.2165934244792,1778.8166910807292,1856.4832356770835,1761.3833821614585,0.19849295692077285,-55.4308675646978,-1.9442829932315817,0.34113186673549734,-2.285414859967079,46.656861438016165,16.598063931850735,1821.0,1826.7500122070312,1817.937001953125,1793.7730029296874,PATANJALI.BO,2025-02-17 11:06:03.306893
3,2025-02-13 00:00:00+05:30,1790.0,1840.0,1780.949951171875,1821.5999755859375,112581,0.0,0.0,2025-02-13,1827.6300109863282,19.1549689499663,1846.7849799362946,1808.4750420363619,1865.9399488862607,1789.3200730863957,-5.897469747706303,-0.37837472965775487,4315446,221963.07921884654,142360.3197509826,1527.8849408836784,58.608717078131605,1814.1833089192708,1847.4166666666665,1788.3666178385415,1873.2333577473958,1755.1332600911458,1906.4667154947915,1729.3165690104165,0.1760203004879788,-42.63912889592138,-0.7737198743443514,0.9124855817272671,-1.6862054560716184,49.50628466235804,16.435783996174045,1828.6300048828125,1827.6300109863282,1819.0860034179686,1792.9310803222656,PATANJALI.BO,2025-02-17 11:06:03.306893
4,2025-02-12 00:00:00+05:30,1824.449951171875,1824.449951171875,1757.699951171875,1793.75,47736,0.0,0.0,2025-02-12,1829.205010986328,19.913086339580847,1849.1180973259088,1809.2919246467472,1869.0311836654898,1789.3788383071662,-112.25401112037916,-45.67533511591348,4202865,92676.70106443498,122459.62988401661,1526.1579594769214,46.33894234507272,1791.9666341145833,1826.2333170572915,1759.4833170572915,1858.7166341145833,1725.2166341145833,1892.9833170572915,1692.7333170572915,0.16250677933942886,-51.609572319135275,-0.6667304285817863,1.3340369457451717,-2.000767374326958,43.21237025200923,16.261020988522223,1829.160009765625,1829.205010986328,1820.0060034179687,1792.1203869628907,PATANJALI.BO,2025-02-17 11:06:03.306893
5,2025-02-11 00:00:00+05:30,1867.449951171875,1867.449951171875,1805.550048828125,1829.0,32310,0.0,0.0,2025-02-11,1832.2075134277343,18.780794792847217,1850.9883082205815,1813.426718634887,1869.7691030134288,1794.6459238420398,62.329590836790665,42.971229630015245,4250601,63960.71217054747,129905.36208891202,1525.4891541916425,46.92922371752843,1834.0,1862.449951171875,1800.550048828125,1895.89990234375,1772.10009765625,1924.349853515625,1738.650146484375,0.16137245224325747,-27.515371587607813,2.223151085117024,1.8342287893269111,0.38892229579011306,50.629510127019664,15.48784921687685,1831.12001953125,1832.2075134277343,1821.2770043945313,1792.196494140625,PATANJALI.BO,2025-02-17 11:06:03.306893
6,2025-02-10 00:00:00+05:30,1845.5,1864.550048828125,1816.050048828125,1853.300048828125,22046,0.0,0.0,2025-02-10,1832.6650146484376,18.809972096378573,1851.474986744816,1813.855042552059,1870.2849588411948,1795.0450704556804,104.58760549149184,67.44005696405515,4282911,44221.97833924911,146391.52456850314,1524.9748418316085,50.31581407963911,1844.6333821614583,1873.2167154947915,1824.7167154947915,1893.1333821614583,1796.1333821614583,1921.7167154947915,1776.2167154947915,0.16501078874132533,-28.677053729646595,2.417800127881037,1.7369982153793828,0.6808019125016542,56.87897143837355,15.925237308496975,1825.92001953125,1832.6650146484376,1822.0080053710938,1792.3586572265624,PATANJALI.BO,2025-02-17 11:06:03.306893
7,2025-02-07 00:00:00+05:30,1829.949951171875,1860.0,1782.0,1845.5,136832,0.0,0.0,2025-02-07,1831.0775146484375,18.30993497883532,1849.3874496272729,1812.7675796696021,1867.6973846061082,1794.4576446907668,51.70563512854038,35.05204974197056,4260865,273315.55662380025,171933.9111258166,1524.594781752252,51.39917811180212,1829.1666666666667,1876.3333333333335,1798.3333333333335,1907.1666666666667,1751.1666666666667,1954.3333333333335,1720.3333333333335,0.18478180235558023,-32.94988130663011,0.23718992489420998,1.5667977372539692,-1.3296078123597592,55.2319049969492,16.728191371845973,1815.97001953125,1831.0775146484375,1822.1360034179688,1792.2618908691406,PATANJALI.BO,2025-02-17 11:06:03.306893
8,2025-02-06 00:00:00+05:30,1807.949951171875,1834.0,1772.800048828125,1824.25,68397,0.0,0.0,2025-02-06,1827.6350158691407,21.62740502262742,1849.2624208917682,1806.0076108465132,1870.8898259143955,1784.380205823886,-28.336778838767522,-4.263830842303531,4124033,135046.7184227895,146588.4997513207,1522.2725038063638,47.704327141021636,1810.3500162760417,1847.8999837239585,1786.7000325520835,1871.5499674479167,1749.1500651041667,1909.0999348958335,1725.5000813802085,0.12733654843524256,-44.590524591260156,-1.7900590856277176,1.899199690343909,-3.6892587759716267,50.44336078433496,17.433646854666858,1810.710009765625,1827.6350158691407,1821.4230029296875,1792.3287451171875,PATANJALI.BO,2025-02-17 11:06:03.306893
9,2025-02-05 00:00:00+05:30,1814.800048828125,1816.199951171875,1779.4000244140625,1803.550048828125,38974,0.0,0.0,2025-02-05,1826.9475158691407,21.95671054795165,1848.9042264170923,1804.990805321189,1870.860936965044,1783.0340947732375,-86.27311000099272,-27.828474906974066,4055636,76079.17713139666,149473.94508345347,1521.176189183636,39.82616894416553,1799.7166748046875,1820.0333251953125,1783.2333984375,1836.5166015625,1762.916748046875,1856.833251953125,1746.4334716796875,0.08475104247181137,-55.9298538901334,-2.2656269993169644,2.8215143843368153,-5.08714138365378,45.13504646592519,17.231546602005835,1809.5400146484376,1826.9475158691407,1820.7910034179688,1793.2975415039064,PATANJALI.BO,2025-02-17 11:06:03.306893
10,2025-02-04 00:00:00+05:30,1810.0,1826.050048828125,1785.0,1803.0,79443,0.0,0.0,2025-02-04,1829.8825134277345,22.578967078303087,1852.4614805060376,1807.3035463494314,1875.0404475843407,1784.7245792711283,-82.0659471145646,-19.161678381338938,4016662,155029.37279636634,167822.63707146765,1520.5908300460305,40.07251118680715,1804.683349609375,1824.36669921875,1783.316650390625,1845.7333984375,1763.63330078125,1865.416748046875,1742.2666015625,0.08573218708823369,-56.2311678758902,-0.801538803714493,4.09329973025026,-4.894838533964753,44.98966577493274,16.276907581689816,1817.1400146484375,1829.8825134277345,1819.7790014648438,1794.3090661621093,PATANJALI.BO,2025-02-17 11:06:03.306893
11,2025-02-03 00:00:00+05:30,1806.75,1839.0,1766.4000244140625,1803.550048828125,93048,0.0,0.0,2025-02-03,1832.4875122070312,22.318172709633696,1854.8056849166649,1810.1693394973975,1877.1238576262986,1787.8511667877638,-104.8846372591538,-24.670553719397443,4096105,181634.3016811771,171020.95314024296,1519.3924450496688,38.44055943101043,1802.9833577473958,1839.566691080729,1766.9667154947915,1875.5833333333333,1730.3833821614583,1912.1666666666665,1694.366739908854,0.07539804485262241,-55.9298538901334,1.139253752572131,5.317009363741448,-4.177755611169317,45.100636827111266,15.378016274753655,1826.3300048828125,1832.4875122070312,1818.8110009765626,1795.5530834960937,PATANJALI.BO,2025-02-17 11:06:03.306893
12,2025-02-01 00:00:00+05:30,1823.949951171875,1843.5999755859375,1804.0,1819.199951171875,81453,0.0,0.0,2025-02-01,1835.5950073242188,22.403564831428422,1857.9985721556473,1813.1914424927904,1880.4021369870757,1790.787877661362,-42.92547981582126,13.25596245972151,4189153,160379.97720353497,168367.6160050094,1517.9730864113242,44.172914184065434,1822.2666422526042,1840.5332845052085,1800.933308919271,1861.8666178385417,1782.6666666666667,1880.133260091146,1761.3333333333335,0.07864258517016055,-47.35691597846802,3.5526234475848923,6.3614482665337775,-2.808824818948885,48.24487233233577,14.40997948266856,1832.0800048828125,1835.5950073242188,1817.9439990234375,1796.67611328125,PATANJALI.BO,2025-02-17 11:06:03.306893
13,2025-01-31 00:00:00+05:30,1846.8499755859375,1854.6500244140625,1803.4000244140625,1818.4000244140625,59826,0.0,0.0,2025-01-31,1837.3800109863282,22.450689454997306,1859.8307004413255,1814.929321531331,1882.281389896323,1792.4786320763335,-34.31519642117199,16.73691043159915,4107700,117744.87756759503,170364.52570537798,1516.6501781252905,51.46743688790039,1825.4833577473958,1847.566691080729,1796.316691080729,1876.7333577473958,1774.2333577473958,1898.816691080729,1745.066691080729,0.07427748081654469,-47.79511183924571,5.047362092230742,7.063654471270999,-2.016292379040257,48.07303548708716,14.255988944721313,1832.27001953125,1837.3800109863282,1817.37,1797.6132739257812,PATANJALI.BO,2025-02-17 11:06:03.306893
14,2025-01-30 00:00:00+05:30,1855.050048828125,1863.949951171875,1815.0999755859375,1841.550048828125,104429,0.0,0.0,2025-01-30,1839.5375122070313,22.60355152780583,1862.1410637348372,1816.9339606792255,1884.744615262643,1794.3304091514196,25.351939143222104,43.641868855910595,4167526,208145.61830592834,183519.4377398237,1515.6736851431133,51.05940538353624,1840.1999918619792,1865.300008138021,1816.4500325520835,1889.0499674479167,1791.3500162760417,1914.1499837239585,1767.600056966146,0.11651776023873672,-35.11364472232438,6.963385990808547,7.567727566031063,-0.6043415752225156,52.78199590974938,14.090152980778125,1832.4000244140625,1839.5375122070313,1816.0789990234375,1798.6450500488281,PATANJALI.BO,2025-02-17 11:06:03.306893
