Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-09-23 00:00:00+05:30,313.0,315.1000061035156,309.6499938964844,312.04998779296875,127787,0.0,0.0,2025-09-23,320.27742156982424,6.021335624182385,326.2987571940066,314.25608594564187,332.32009281818904,308.23475032145944,-168.790554815995,-92.85643767288401,17235174,156243.6384161789,95300.36087605005,436.54747130771415,26.383714961597917,312.26666259765625,314.8833312988281,309.4333190917969,317.7166748046875,306.816650390625,320.3333435058594,303.9833068847656,-0.2755881297209839,-90.9512127341564,-6.316987180138597,-7.090434035111192,0.7734468549725957,38.809301388075625,19.15176828628503,318.0799987792969,320.27742156982424,343.4233825683594,375.6186492919922,PPL.NS,2025-09-23 11:26:17.970160
2,2025-09-22 00:00:00+05:30,319.1000061035156,322.1000061035156,312.0,313.04998779296875,76660,0.0,0.0,2025-09-22,320.977294921875,5.824988522331748,326.80228344420675,315.15230639954325,332.6272719665385,309.3273178772115,-137.89952111293886,-80.98188331798224,17362961,94031.63885573798,80064.54149101782,436.75658670911304,35.19474280660502,315.71666463216144,319.4333292643229,309.33332316080725,325.81667073567706,305.6166585286458,329.5333353678385,299.23331705729163,-0.27552010132588606,-95.65632848819165,-6.096678275652437,-7.283795748854341,1.187117473201904,39.35091350955006,19.085022812567523,320.27000122070314,320.977294921875,344.8876049804687,376.59496124267577,PPL.NS,2025-09-23 11:26:17.970160
3,2025-09-19 00:00:00+05:30,322.0,324.04998779296875,318.1000061035156,319.0,50357,0.0,0.0,2025-09-19,321.584977722168,5.583403947691702,327.1683816698597,316.0015737744763,332.7517856175514,310.4181698267846,-59.55155688422226,-65.22710885357937,17439621,62942.216378124234,76572.76714983779,436.8813647864618,43.47072225907113,320.3833312988281,322.6666564941406,316.7166748046875,326.33331298828125,314.433349609375,328.61663818359375,310.7666931152344,-0.27186069836950144,-73.14737629035095,-5.820727052853385,-7.580575117154816,1.7598480643014307,42.63857844599671,19.293827379126657,322.8000061035156,321.584977722168,346.3586297607422,377.5672290039063,PPL.NS,2025-09-23 11:26:17.970160
4,2025-09-18 00:00:00+05:30,325.0,329.29998779296875,320.29998779296875,321.95001220703125,69570,0.0,0.0,2025-09-18,322.2426010131836,6.020377327925795,328.26297834110943,316.2222236852578,334.2833556690352,310.20184635733204,15.282025693840275,-54.99567068518752,17489978,87761.07786870589,79980.40484276618,436.95952207084576,48.023143102771016,323.84999593098956,327.4000040690104,318.4000040690104,332.84999593098956,314.84999593098956,336.4000040690104,309.4000040690104,-0.28353106851774557,-53.76211983925424,-5.9652190826463425,-8.020537133230173,2.05531805058383,44.344229599227155,20.31350212613517,322.90907592773436,322.2426010131836,347.68682983398435,378.535090637207,PPL.NS,2025-09-23 11:26:17.970160
5,2025-09-17 00:00:00+05:30,323.0,330.20001220703125,322.0,324.3500061035156,42271,0.0,0.0,2025-09-17,323.24162139892576,7.455897315445163,330.6975187143709,315.7857240834806,338.15341602981607,308.32982676803545,55.52727637515442,-51.83275010014195,17559548,53721.47541970772,78035.23658628124,437.0649651792926,50.147378651795144,325.5166727701823,329.0333455403646,320.83333333333337,333.71668497721356,317.31666056315106,337.23335774739587,312.6333211263021,-0.08158236853303542,-44.357268447402625,-6.350362064169985,-8.53436664587613,2.1840045817061444,45.72606353135419,21.72358216343358,321.921875,323.24162139892576,348.9669488525391,379.4516131591797,PPL.NS,2025-09-23 11:26:17.970160
6,2025-09-16 00:00:00+05:30,327.0,332.5,321.5,323.0,67875,2.4,0.0,2025-09-16,323.26196746826173,7.459635406065254,330.721602874327,315.80233206219646,338.1812382803922,308.34269665613124,40.01360068502366,-54.01107491073379,17517277,85902.11647724612,84113.67687792462,437.127789604125,49.087304891917256,325.6666666666667,329.83333333333337,318.83333333333337,336.6666666666667,314.6666666666667,340.83333333333337,307.83333333333337,-0.04496817182710334,-47.99234248515044,-6.983607218741554,-9.080367791302665,2.096760572561111,44.82806674116598,23.306147716506207,322.2514343261719,323.26196746826173,350.24274658203126,380.41312744140623,PPL.NS,2025-09-23 11:26:17.970160
7,2025-09-15 00:00:00+05:30,322.4241329506028,326.4941482298547,320.53803717563653,325.70001220703125,53599,0.0,0.0,2025-09-15,322.88573303222654,7.660594274290593,330.5463273065171,315.22513875793595,338.2069215808077,307.56454448364536,10.94344819255311,-61.20350843885484,17585152,68401.55286039396,83666.56697809423,437.23002341501933,42.27082974352059,324.2440658708408,327.9500945660451,321.9939835118269,330.200176925059,318.28795481662263,333.9062056202633,316.0378724576087,0.06334301353835636,-38.155425722185065,-7.555585531918894,-9.604557934442942,2.0489724025240488,46.24919391030819,25.010449081353652,320.7167175292969,322.88573303222654,351.5356176757812,381.57526306152346,PPL.NS,2025-09-23 11:26:17.970160
8,2025-09-12 00:00:00+05:30,315.6738830296002,322.6226791969184,314.6811978628404,319.54534912109375,41709,0.0,0.0,2025-09-12,322.4911392211914,7.711089509487483,330.2022287306789,314.78004971170395,337.9133182401664,307.06896020221643,-67.12947138615873,-80.28506123851622,17531553,52222.03333867618,87482.8205075193,437.30897285472867,34.55533329496906,318.9497420602842,323.21828625772804,315.27680492365005,326.8912233943622,311.00826072620623,331.15976759180603,307.33532358957206,-0.08249006763984762,-60.57862378136409,-8.43932282399885,-10.116801035073953,1.677478211075103,42.38608465480065,26.202677807373547,319.75380859375,322.4911392211914,352.82511535644534,382.68210693359373,PPL.NS,2025-09-23 11:26:17.970160
9,2025-09-11 00:00:00+05:30,325.20366002633114,330.26636033194666,314.48264226837836,317.0140075683594,100218,0.0,0.0,2025-09-11,323.71958618164064,9.056717153645971,332.7763033352866,314.66286902799465,341.83302048893256,305.6061518743487,-22.169479375661137,-79.24307673578521,17489844,124484.61576412864,96298.01729973007,437.3738782580785,33.050925023669606,320.5876700562281,326.6926978440778,310.9089797805095,336.3713881197964,304.8039519926598,342.4764159076461,295.1252617169412,-0.09947265683691214,-69.80102510534276,-8.836764767910381,-10.536170587842728,1.6994058199323465,40.75967415276825,26.90522565715595,321.85830078125,323.71958618164064,354.2158673095703,383.74576904296873,PPL.NS,2025-09-23 11:26:17.970160
10,2025-09-10 00:00:00+05:30,316.368774792547,327.63572720080657,316.31912235759626,325.997802734375,68198,0.0,0.0,2025-09-10,325.280583190918,10.426972341301644,335.7075555322196,314.85361084961636,346.1345278735213,304.4266385083147,19.85729632335548,-75.24459878740996,17590062,87111.96508448356,89251.36768363044,437.5334819286453,30.321398956993264,323.3175507642593,330.31597917092233,318.999374327712,334.6341556074696,312.000945921049,341.63258401413265,307.6827694845017,-0.08206420489391365,-56.28138657552922,-8.962421728514073,-10.961022042825814,1.9986003143117408,44.94102792635065,27.661815649229307,322.6822265625,325.280583190918,355.77934631347654,384.86055419921877,PPL.NS,2025-09-23 11:26:17.970160
