Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-11-03 00:00:00+05:30,665.0,669.25,648.2000122070312,658.5,522480,0.0,0.0,2025-11-03,634.7550079345704,17.52964033067567,652.284648265246,617.2253676038947,669.8142885959217,599.6957272732191,196.1574914066143,114.0864929882996,98003916,1423647.6622865952,2524585.8065921436,522.2624198688173,53.5496565877314,658.6500040690104,669.0999959309895,648.0500081380208,679.6999918619791,637.6000162760416,690.1499837239583,627.000020345052,0.000817149894832525,-28.716220163736452,12.845490215353834,13.039644182368269,-0.19415396701443477,60.91029316724138,25.529025513352124,638.7800048828125,634.7550079345704,587.6946612548828,557.9044915771484,PREMEXPLN.NS,2025-11-03 11:32:26.633402
2,2025-10-31 00:00:00+05:30,620.0,665.0,619.2000122070312,660.1500244140625,2143883,0.0,0.0,2025-10-31,632.1100067138672,17.747865915069234,649.8578726289364,614.3621407987979,667.6057385440056,596.6142748837287,267.9712103674894,95.467090623198,98526396,5856265.9825271955,2799820.3426685305,522.000506157398,45.08343172655503,648.1166788736979,677.0333455403645,631.2333577473958,693.9166666666666,602.3166910807291,722.8333333333333,585.433369954427,0.02450154306163674,-26.858084306883157,11.4036191780541,13.088182674121876,-1.684563496067776,61.41641397519072,24.86218508331978,628.0200073242188,632.1100067138672,584.6901214599609,557.5712396240234,PREMEXPLN.NS,2025-11-03 11:32:26.633402
3,2025-10-30 00:00:00+05:30,621.0,627.0,615.0,623.2000122070312,328548,0.0,0.0,2025-10-30,627.7150054931641,21.02054789561316,648.7355533887772,606.6944575975509,669.7561012843904,585.6739097019378,-14.141889724309172,44.23004772817665,96382513,847233.9498803276,2035708.9327038643,520.9020528496585,49.22119334779728,621.7333374023438,628.4666748046875,616.4666748046875,633.7333374023438,609.7333374023438,640.4666748046875,604.4666748046875,-0.039811221919941825,-68.46846413393645,9.222302806519224,13.50932354813882,-4.287020741619596,53.35717207242546,24.270881140026574,620.2300048828125,627.7150054931641,581.4797259521484,557.1160760498046,PREMEXPLN.NS,2025-11-03 11:32:26.633402
4,2025-10-29 00:00:00+05:30,632.7000122070312,635.5499877929688,617.9500122070312,622.0999755859375,485755,0.0,0.0,2025-10-29,624.7875061035156,25.319855806741398,650.107361910257,599.4676502967742,675.4272177169984,574.1477944900329,16.43958776955946,53.72394622954055,96053965,1250416.0316608862,2332827.6784097482,520.777249437331,47.943890805920304,625.1999918619791,632.449971516927,614.8499959309895,642.7999674479166,607.6000162760416,650.0499471028645,597.250020345052,-0.04595455542009186,-69.70724428293647,9.92884133901157,14.581078733543718,-4.652237394532149,53.08628706595531,24.997049386304106,619.2700073242188,624.7875061035156,579.2611187744141,556.8125952148438,PREMEXPLN.NS,2025-11-03 11:32:26.633402
5,2025-10-28 00:00:00+05:30,604.6500244140625,646.6500244140625,595.2000122070312,629.9500122070312,2233407,0.0,0.0,2025-10-28,622.0300079345703,28.43893163690037,650.4689395714707,593.5910762976699,678.907871208371,565.1521446607696,-13.908693662303062,53.82500601203177,96539720,5821716.207004488,2603430.5900969636,520.5941576449395,43.07719076704882,623.933349609375,652.6666870117188,601.2166748046875,675.3833618164062,572.4833374023438,704.11669921875,549.7666625976562,-0.061051684859415804,-60.86711173765327,10.79132471315836,15.744138082176754,-4.9528133690183935,55.21109023370824,25.608581998433348,621.360009765625,622.0300079345703,577.4501873779296,556.6674908447266,PREMEXPLN.NS,2025-11-03 11:32:26.633402
6,2025-10-27 00:00:00+05:30,622.7000122070312,623.6500244140625,597.0,604.7000122070312,486799,0.0,0.0,2025-10-27,619.9700073242187,29.313769200868418,649.2837765250871,590.6562381233504,678.5975457259556,561.3424689224819,-138.5206579093581,29.40776790857863,94306313,1218054.5097465042,1798859.1858700824,519.6779836353437,44.42548559408666,608.4500122070312,619.9000244140625,593.25,635.1000366210938,581.7999877929688,646.550048828125,566.5999755859375,-0.11647261279943709,-91.14941125628592,10.958950203539416,16.98234142443135,-6.023391220891934,49.12962329683358,26.267155580726378,618.1200073242187,619.9700073242187,575.0885864257813,556.3249865722656,PREMEXPLN.NS,2025-11-03 11:32:26.633402
7,2025-10-24 00:00:00+05:30,620.0,635.5,616.1500244140625,621.2000122070312,456680,0.0,0.0,2025-10-24,620.5325073242187,29.112579769014246,649.645087093233,591.4199275552045,678.7576668622472,562.3073477861902,-57.13150297834202,58.32876154665996,94793112,1173871.3880131538,1944060.3549009766,519.5224433205847,63.81090707871542,624.2833455403646,632.4166666666667,613.0666910807292,643.6333211263021,604.9333699544271,651.7666422526042,593.7167154947917,-0.09448712144905008,-80.66796080577407,13.494259351018968,18.488189229654335,-4.993929878635367,53.54086794419705,27.927822424288323,620.660009765625,620.5325073242187,571.5264184570312,556.067622680664,PREMEXPLN.NS,2025-11-03 11:32:26.633402
8,2025-10-23 00:00:00+05:30,636.0,638.5499877929688,615.0,618.4000244140625,355612,0.0,0.0,2025-10-23,619.6775054931641,29.34214293583821,649.0196484290022,590.3353625573259,678.3617913648404,560.9932196214877,-68.81634475396815,60.528635618421546,94336432,909961.4099961045,2136607.5966229322,519.3476418966569,64.62884638967849,623.9833374023438,632.9666748046875,609.4166870117188,647.5333251953125,600.433349609375,656.5166625976562,585.86669921875,-0.07889435614954052,-58.362954926307125,14.910764860276572,19.736671699313174,-4.825906839036602,52.874112366623116,28.667041654339727,621.910009765625,619.6775054931641,567.7551489257812,555.573818359375,PREMEXPLN.NS,2025-11-03 11:32:26.633402
9,2025-10-21 00:00:00+05:30,620.4500122070312,638.0,617.3499755859375,632.5499877929688,311643,0.0,0.0,2025-10-21,618.1750030517578,30.16873389326329,648.3437369450211,588.0062691584945,678.5124708382843,557.8375352652313,-51.72745197796381,71.715097393592,94692044,815697.8119478041,2443269.143279639,519.2148624254896,66.27427047129966,629.2999877929688,641.25,620.5999755859375,649.9500122070312,608.6499633789062,661.9000244140625,599.949951171875,-0.06873518357349526,-43.23530437565651,16.774156850068948,20.943148409072325,-4.168991559003377,56.69207471521394,29.463123902087393,625.710009765625,618.1750030517578,564.0268902587891,555.1649664306641,PREMEXPLN.NS,2025-11-03 11:32:26.633402
10,2025-10-20 00:00:00+05:30,620.0,623.75,611.1500244140625,613.75,278510,0.0,0.0,2025-10-20,616.3050048828125,30.38911611056553,646.694120993378,585.915888772247,677.0832371039435,555.5267726616814,-134.89486301506238,54.925186563982926,94380401,707309.2988221068,2850161.9761125976,519.0815649281191,64.62787671193888,616.2166748046875,621.2833251953125,608.683349609375,628.816650390625,603.61669921875,633.88330078125,596.0833740234375,-0.09156080777731578,-54.14258188824663,17.512152370137073,21.98539629882317,-4.473243928686095,52.456670440391676,30.193209651889017,624.2400146484375,616.3050048828125,560.0595947265625,554.5801434326172,PREMEXPLN.NS,2025-11-03 11:32:26.633402
11,2025-10-17 00:00:00+05:30,624.7999877929688,636.5,613.0,617.4000244140625,490324,0.0,0.0,2025-10-17,616.7113830566407,30.40748840990665,647.1188714665474,586.303894646734,677.526359876454,555.8964062368274,-141.16985610749637,67.2349612957872,94658911,1252641.6934989411,3385875.14543522,518.9819549591156,63.07898171481333,622.3000081380209,631.6000162760417,608.1000162760417,645.8000081380209,598.8000081380209,655.1000162760417,584.6000162760417,-0.05710212378351516,-51.329460952552985,20.043188578165996,23.103707280994694,-3.0605187028286984,53.398134859744445,31.505432102400164,635.010009765625,616.7113830566407,556.5792065429688,554.1263684082031,PREMEXPLN.NS,2025-11-03 11:32:26.633402
12,2025-10-16 00:00:00+05:30,639.9000244140625,642.75,623.5499877929688,627.4500122070312,567860,0.0,0.0,2025-10-16,616.5231079101562,30.41465676469817,646.9377646748544,586.108451145458,677.3524214395526,555.6937943807599,-49.797264445045606,84.25903981671686,95149235,1474339.4263046356,3919183.5084192897,518.7993048022787,62.15755675233562,631.25,638.9500122070312,619.75,650.4500122070312,612.0499877929688,658.1500244140625,600.5499877929688,-0.033026361382430175,-43.583805620785164,22.620525128300415,23.868836956701866,-1.2483118284014516,55.9662712018518,32.82802535285483,643.0700073242188,616.5231079101562,553.1277319335937,553.5531628417968,PREMEXPLN.NS,2025-11-03 11:32:26.633402
