Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-02-17 00:00:00+05:30,776.6500244140625,776.6500244140625,714.5,719.5499877929688,33836,0.0,0.0,2025-02-17,846.8100036621094,63.831237199243844,910.6412408613533,782.9787664628655,974.472478060597,719.1475292636217,-262.63955432590376,-152.6618641575429,2447634,27108.6778391631,10840.361696448144,1074.9631324052773,26.520363215313893,736.9000040690104,759.3000081380208,697.1499837239583,799.0500284830729,674.7499796549479,821.4500325520833,634.9999593098958,-0.3651970178101603,-97.06310704596609,-49.179004084623216,-45.463635360811715,-3.715368723811501,24.681632662829585,37.73837553758144,793.6700073242188,846.8100036621094,956.3499987792969,1030.5574975585937,PUNJABCHEM.NS,2025-02-17 10:58:54.209634
2,2025-02-14 00:00:00+05:30,811.2999877929688,821.0,772.2000122070312,783.75,6675,0.0,0.0,2025-02-14,859.807504272461,63.01500784155437,922.8225121140154,796.7924964309066,985.8375199555697,733.7774885893522,-224.96300295918147,-120.46341066063826,2481470,5825.016687387439,6773.282660769405,1076.1140828974417,30.97512387135228,792.3166707356771,812.433329264323,763.6333414713542,841.1166585286459,743.5166829427084,861.2333170572917,714.8333536783855,-0.27325614028467266,-90.50946044826982,-44.02174729949013,-44.53479317985883,0.5130458803687006,30.92164332992556,35.810852604176276,812.5500122070313,859.807504272461,963.2709985351562,1035.7104974365234,PUNJABCHEM.NS,2025-02-17 10:58:54.209634
3,2025-02-13 00:00:00+05:30,827.7999877929688,837.6500244140625,800.0,811.6500244140625,7152,0.0,0.0,2025-02-13,870.0600036621094,66.5697003250972,936.6297039872065,803.4903033370122,1003.1994043123037,736.920603011915,-79.46266814981215,-109.52525085043072,2488145,6463.453992760717,7010.349154114896,1076.300977588378,27.98623586660088,816.433349609375,832.86669921875,795.2166748046875,854.0833740234375,778.7833251953125,870.5167236328125,757.566650390625,-0.26013169941227515,-89.93447924867631,-43.074628113163726,-44.663054649951,1.5884265367872743,34.434763847074365,34.65058058692723,824.3800170898437,870.0600036621094,967.937998046875,1040.3374969482422,PUNJABCHEM.NS,2025-02-17 10:58:54.209634
4,2025-02-12 00:00:00+05:30,828.5999755859375,840.0,797.0499877929688,823.4500122070312,5234,0.0,0.0,2025-02-12,879.3725036621094,70.85785145040869,950.230355112518,808.5146522117006,1021.0882065629268,737.656800761292,-57.215544523926546,-114.57334115364955,2495297,4798.873573824721,7147.07294445344,1076.4823704574244,28.114981783634178,820.1666666666666,843.2833455403645,800.3333333333333,863.1166788736979,777.2166544596354,886.2333577473958,757.383321126302,-0.21634278984951633,-84.81011146818358,-43.957112345491964,-45.06016128414782,1.1030489386558529,36.042979510441306,34.03198172301415,829.760009765625,879.3725036621094,972.3639965820313,1044.4829962158203,PUNJABCHEM.NS,2025-02-17 10:58:54.209634
5,2025-02-11 00:00:00+05:30,818.1500244140625,845.0,803.5499877929688,829.9500122070312,13421,0.0,0.0,2025-02-11,887.4675018310547,73.33742734027587,960.8049291713306,814.1300744907788,1034.1423565116065,740.792647150503,-22.913746894660765,-118.43391363538868,2500531,12402.383664410294,7734.122787110619,1076.6093538475996,28.14059869752458,826.1666666666666,848.7833455403645,807.3333333333333,867.6166788736979,784.7166544596354,890.2333577473958,765.883321126302,-0.2279531978394342,-82.48700053674294,-45.58306273853066,-45.33592351881178,-0.24713921971887487,36.925074228795545,33.365798331107754,828.2500122070312,887.4675018310547,976.9099963378907,1048.3379956054687,PUNJABCHEM.NS,2025-02-17 10:58:54.209634
6,2025-02-10 00:00:00+05:30,847.8499755859375,847.8499755859375,807.0,813.9500122070312,3850,0.0,0.0,2025-02-10,894.4950012207031,74.26396941600728,968.7589706367104,820.2310318046958,1043.0229400527178,745.9670623886885,-54.72359744982412,-130.9587124628906,2487110,3489.207630108277,6567.0575677857,1076.9271720776103,21.682440373151238,822.9333292643229,838.8666585286458,798.0166829427083,863.7833048502604,782.0833536783854,879.7166341145833,757.1667073567708,-0.27443964213918376,-91.942709898694,-47.61427100327671,-45.27413871388206,-2.340132289394653,33.187642432044356,32.80198537936922,824.1900146484375,894.4950012207031,981.3039965820312,1052.310494995117,PUNJABCHEM.NS,2025-02-17 10:58:54.209634
7,2025-02-07 00:00:00+05:30,833.25,855.0,827.0,842.9000244140625,6541,0.0,0.0,2025-02-07,903.0375,74.3376420734375,977.3751420734375,828.6998579265626,1051.712784146875,754.362215853125,13.903252531343556,-124.1472418388738,2490960,6138.871822107766,7336.520052205055,1077.0244100008322,20.57079230562333,841.6333414713541,856.2666829427083,828.2666829427083,869.6333414713541,813.6333414713541,884.2666829427083,800.2666829427083,-0.2416736077980794,-75.72867550307811,-47.91764717551541,-44.68910564153339,-3.2285415339820247,36.856909717827,32.27452029491266,824.3700073242187,903.0375,985.9719958496094,1056.3534948730469,PUNJABCHEM.NS,2025-02-17 10:58:54.209634
8,2025-02-06 00:00:00+05:30,817.0,845.75,817.0,838.5499877929688,8033,0.0,0.0,2025-02-06,909.0799987792968,74.10336713998227,983.1833659192791,834.9766316393145,1057.2867330592615,760.8732644993323,-34.737090864512766,-142.3056281485529,2484419,7500.238502828402,7635.932109729377,1077.1715804535384,18.433028020266775,833.7666625976562,850.5333251953125,821.7833251953125,862.5166625976562,805.0166625976562,879.2833251953125,793.0333251953125,-0.2774739668427672,-81.60131792106831,-50.43117321679358,-43.88197025803788,-6.5492029587557,35.867590352879816,32.18843882447387,819.7800048828125,909.0799987792968,990.0989953613281,1060.0349951171875,PUNJABCHEM.NS,2025-02-17 10:58:54.209634
9,2025-02-05 00:00:00+05:30,813.9000244140625,826.6500244140625,809.6500244140625,815.9000244140625,6495,0.0,0.0,2025-02-05,917.0324981689453,74.66815368557756,991.7006518545228,842.3643444833677,1066.3688055401003,767.6961907977901,-73.78211750212577,-171.89184464737423,2476386,5900.4407203242845,7669.85551145462,1077.3559345236777,12.422800462449132,817.4000244140625,825.1500244140625,808.1500244140625,834.4000244140625,800.4000244140625,842.1500244140625,791.1500244140625,-0.3228108359418648,-92.30040250910122,-52.45672684155272,-42.24466951834896,-10.212057323203766,30.61111212220662,31.616807549340074,816.5000122070312,917.0324981689453,994.10599609375,1063.8294952392578,PUNJABCHEM.NS,2025-02-17 10:58:54.209634
10,2025-02-04 00:00:00+05:30,829.0,841.0,808.0,809.6500244140625,8218,0.0,0.0,2025-02-04,927.3374969482422,74.19670496212404,1001.5342019103663,853.1407919861182,1075.7309068724903,778.9440870239941,-77.61947965942626,-186.58894112653775,2469891,7408.5261851646965,8112.209209237203,1077.5193579131271,18.891525507748,819.5500081380209,831.1000162760417,798.1000162760417,852.5500081380209,786.5500081380209,864.1000162760417,765.1000162760417,-0.3015568357745382,-95.25269331666519,-52.024572182275506,-39.69165518754801,-12.332916994727498,29.12260055348402,29.945591716813073,822.360009765625,927.3374969482422,998.4449951171875,1068.2574945068359,PUNJABCHEM.NS,2025-02-17 10:58:54.209634
