Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-07-21 00:00:00+05:30,310.3999938964844,312.95001220703125,308.79998779296875,310.0,16206,0.0,0.0,2025-07-21,307.025,5.272058789666733,312.2970587896667,301.75294121033323,317.56911757933347,296.4808824206665,35.99443092118903,-0.8845753091728732,2471500,11905.1983435023,12065.483577059826,553.7770421603672,54.060272781107855,310.5833333333333,312.3666788736979,308.2166544596354,314.7333577473958,306.4333089192708,316.5167032877604,304.0666300455729,-0.10355165508956364,-50.692521243968336,-1.7363846056042576,-3.876016491570242,2.1396318859659846,47.584092452328306,16.291435286011094,312.0299987792969,307.025,318.1009997558594,422.69299957275393,QUESS.BO,2025-07-21 14:50:37.421269
2,2025-07-18 00:00:00+05:30,317.20001220703125,317.3500061035156,310.70001220703125,313.3500061035156,12608,0.0,0.0,2025-07-18,306.55249938964846,5.412983880390052,311.96548327003853,301.1395155092584,317.37846715042855,295.7265316288684,120.66284846230764,27.340785168667853,2487706,9362.137483757295,12105.554885449208,554.0794096017567,56.559068473966576,313.8000081380208,316.9000040690104,310.250010172526,320.4500020345052,307.15001424153644,323.54999796549475,303.60001627604163,-0.05309771641899081,-29.145676240601272,-1.8984234581540136,-4.410924463061738,2.5125010049077243,50.555291206589345,16.391617099756274,311.10999755859376,306.55249938964846,318.995,425.7234994506836,QUESS.BO,2025-07-21 14:50:37.421269
3,2025-07-17 00:00:00+05:30,312.25,319.1499938964844,310.70001220703125,317.70001220703125,23915,0.0,0.0,2025-07-17,305.8199996948242,5.435903240045595,311.2559029348698,300.3840964547786,316.6918061749154,294.948193214733,186.63133817213028,40.27313732651638,2500314,18004.734581848916,12791.409235872185,554.3119299738444,58.12505196079093,315.8500061035156,321.0,312.5500183105469,324.29998779296875,307.4000244140625,329.4499816894531,304.10003662109375,-0.07265182558233288,-7.286342382794828,-2.407043143838166,-5.039049714288669,2.6320065704505033,54.67143105892979,16.137480873703463,310.47999877929686,305.8199996948242,319.3120001220703,428.69749938964844,QUESS.BO,2025-07-21 14:50:37.421269
4,2025-07-16 00:00:00+05:30,303.04998779296875,313.1000061035156,303.04998779296875,312.04998779296875,12360,0.0,0.0,2025-07-16,305.0824996948242,4.688484451333421,309.7709841461576,300.3940152434908,314.459468597491,295.7055307921574,37.94871589380434,-24.121141756810317,2476399,9139.906385199381,11488.077899378,554.7462292279733,57.5493151130127,309.3999938964844,315.75,305.6999816894531,319.45001220703125,299.3499755859375,325.8000183105469,295.64996337890625,-0.12900362834986162,-29.476627562678754,-3.4501698100401086,-5.697051356901294,2.246881546861186,49.73562231098812,15.863795707185055,308.0299987792969,305.0824996948242,319.6659997558594,431.4734991455078,QUESS.BO,2025-07-21 14:50:37.421269
5,2025-07-15 00:00:00+05:30,312.79998779296875,312.79998779296875,304.0,307.04998779296875,11089,0.0,0.0,2025-07-15,304.83000030517576,4.421905047569034,309.2519053527448,300.4080952576067,313.6738104003138,295.9861902100377,-8.913097008210803,-39.8685745195158,2464039,8068.64438221523,12075.120777922653,554.9766787373696,58.6984161761253,307.9499918619792,311.89998372395837,303.0999959309896,316.74997965494794,299.15000406901044,320.6999715169271,294.30000813802087,-0.1640504392787902,-50.735339216445986,-4.1769709432614945,-6.258771743616591,2.0818008003550963,44.79600010108515,16.351073900863625,307.0799987792969,304.83000030517576,320.2670001220703,434.2939990234375,QUESS.BO,2025-07-21 14:50:37.421269
6,2025-07-14 00:00:00+05:30,310.25,310.5,303.75,305.3999938964844,33032,0.0,0.0,2025-07-14,304.8475006103516,4.431834823449175,309.2793354338007,300.4156657869024,313.71117025724993,295.9838309634532,-24.17221403763878,-53.37002426969919,2452950,23905.78452975071,13076.73987684951,555.1880666087,52.97384882466803,306.5499979654948,309.3499959309896,302.5999959309896,313.2999979654948,299.7999979654948,316.0999959309896,295.8499959309896,-0.17156466207121282,-53.571443168488415,-4.551784955593973,-6.779221943705364,2.227436988111391,43.08199402129573,16.717387096622783,306.52000122070314,304.8475006103516,321.0010003662109,437.3159991455078,QUESS.BO,2025-07-21 14:50:37.421269
7,2025-07-11 00:00:00+05:30,313.8999938964844,313.8999938964844,305.20001220703125,310.20001220703125,18138,0.0,0.0,2025-07-11,305.1625015258789,4.689569573785665,309.85207109966456,300.47293195209323,314.5416406734502,295.7833623783076,51.03582120884221,-35.71140655584134,2485982,13333.074782205753,10369.47871362421,555.824093368988,63.58466894340646,309.7666727701823,314.33333333333337,305.63335164388025,318.46665445963544,301.0666910807292,323.0333150227865,296.9333699544271,-0.10848643452002545,-32.14278415755794,-4.800194633765955,-7.336081190733212,2.5358865569672577,47.02614766746745,17.412095122493884,306.4600036621094,305.1625015258789,321.8110003662109,440.37699920654296,QUESS.BO,2025-07-21 14:50:37.421269
8,2025-07-10 00:00:00+05:30,307.0,308.1000061035156,303.3500061035156,305.45001220703125,3155,0.0,0.0,2025-07-10,305.26500091552737,4.825890652569134,310.0908915680965,300.43911026295825,314.91678222066565,295.6132196103891,-28.693907459705226,-62.478519666001866,2467844,2283.697714476309,9628.579696478824,556.1679970324562,56.150018419732,305.6333414713542,307.91667683919275,303.16667683919275,310.3833414713542,300.8833414713542,312.66667683919275,298.41667683919275,-0.10616314532475993,-51.06831113852767,-5.518233151801212,-7.970052829975026,2.4518196781738144,42.16038268784564,17.940496187265012,306.4200012207031,305.26500091552737,322.3779998779297,443.48399932861327,QUESS.BO,2025-07-21 14:50:37.421269
9,2025-07-09 00:00:00+05:30,304.75,312.45001220703125,301.29998779296875,307.29998779296875,13851,0.0,0.0,2025-07-09,305.4449996948242,4.899726611567668,310.34472630639186,300.5452730832566,315.24445291795956,295.6455464716889,12.34441690965763,-56.49633443217489,2470999,10086.553098672486,11464.800191979451,556.2290725415737,50.41750870420109,307.01666259765625,312.73333740234375,301.58331298828125,318.16668701171875,295.86663818359375,323.88336181640625,290.43328857421875,-0.1523896188243089,-43.162430504022716,-5.886127418803937,-8.58300774951848,2.696880330714542,43.609018852018316,19.261679132331505,308.25999755859374,305.4449996948242,322.8559997558594,446.54049896240235,QUESS.BO,2025-07-21 14:50:37.421269
10,2025-07-08 00:00:00+05:30,301.1000061035156,306.8500061035156,301.1000061035156,304.25,7647,0.0,0.0,2025-07-08,305.88500061035154,5.4403717999188235,311.32537241027035,300.44462881043273,316.7657442101892,295.00425701051387,-28.04982831629692,-71.15128302571877,2457148,5513.41627547202,11809.361965306192,556.4955765363588,43.847121213146146,304.06667073567706,307.0333353678385,301.2833353678385,309.81667073567706,298.31667073567706,312.7833353678385,295.5333353678385,-0.17642708681944458,-56.19656977115723,-6.450154380190611,-9.257227832197115,2.807073452006504,40.47807579863731,20.684491534710805,309.05999755859375,305.88500061035154,323.3059997558594,449.73599884033206,QUESS.BO,2025-07-21 14:50:37.421269
