Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-06 00:00:00+05:30,15.930000305175781,16.299999237060547,15.529999732971191,15.640000343322754,18806,0.0,0.0,2024-09-06,15.591500186920166,0.44161523720524976,16.033115424125416,15.149884949714917,16.474730661330668,14.708269712509667,-34.42357560320546,27.17420174462633,5740332,11836.049977522422,29362.15739207842,18.084888562641975,38.751395733800685,15.823333104451498,16.116666475931805,15.346666971842449,16.593332608540855,15.053333600362143,16.88666598002116,14.576667467753094,-0.4129144061061674,-74.16268313739663,0.07803635535300124,0.03434383059421224,0.043692524758789,48.53462226294676,15.546499629387142,15.920000267028808,15.591500186920166,15.717000122070312,16.305000133514405,RADIOCITY.BO,2024-09-06 11:10:34.149520
2,2024-09-05 00:00:00+05:30,15.550000190734863,16.3700008392334,15.550000190734863,16.170000076293945,37196,0.0,0.0,2024-09-05,15.59000015258789,0.4414927608666443,16.031492913454535,15.148507391721246,16.47298567432118,14.707014630854601,18.497477456891914,61.52971230438698,5759138,24203.594108848676,33743.68424571742,18.085704601399247,40.802887401574566,16.03000036875407,16.510000546773277,15.689999898274742,16.850001017252605,15.209999720255535,17.330001195271812,14.869999249776207,-0.4288635536214962,-47.887342862016766,0.10207517904555452,0.02342069940451499,0.07865447964103953,56.71460676661701,15.26584161441177,16.01400032043457,15.59000015258789,15.73800012588501,16.32560013771057,RADIOCITY.BO,2024-09-06 11:10:34.149520
3,2024-09-04 00:00:00+05:30,15.579999923706055,16.09000015258789,15.579999923706055,15.850000381469727,39543,0.0,0.0,2024-09-04,15.571500158309936,0.42328641596145505,15.99478657427139,15.148213742348482,16.418072990232847,14.724927326387027,-2.8415019988603913,29.10709425676437,5721942,25221.591769142135,36128.706779934604,18.086970115272088,35.344797182552,15.84000015258789,16.100000381469727,15.59000015258789,16.350000381469727,15.329999923706055,16.610000610351562,15.079999923706055,-0.4101333856328849,-56.06694393712613,0.07910862084346881,0.0037570794942551073,0.07535154134921371,52.19772390104107,14.905632648791517,16.01600036621094,15.571500158309936,15.756400127410888,16.34470013618469,RADIOCITY.BO,2024-09-06 11:10:34.149520
4,2024-09-03 00:00:00+05:30,16.139999389648438,16.190000534057617,15.859999656677246,15.920000076293945,62425,0.0,0.0,2024-09-03,15.554500150680543,0.41831090619827305,15.972811056878816,15.136189244482269,16.39112196307709,14.717878338283997,26.754090763416034,51.37206619283462,5761485,39992.19273669361,38855.485532632716,18.088542203709846,33.46960187808537,15.990000089009603,16.12000052134196,15.78999964396159,16.320000966389976,15.659999211629232,16.450001398722332,15.459998766581219,-0.43315783875696684,-53.138086833829654,0.08002097277434395,-0.015080805843048318,0.09510177861739226,53.3280840026243,15.069068530045516,16.14600028991699,15.554500150680543,15.768600101470946,16.370500135421754,RADIOCITY.BO,2024-09-06 11:10:34.149520
5,2024-09-02 00:00:00+05:30,16.0,16.299999237060547,15.899999618530273,16.020000457763672,45411,0.0,0.0,2024-09-02,15.583000135421752,0.4616914344505179,16.04469156987227,15.121308700971234,16.50638300432279,14.659617266520716,47.287885902153,64.04521484787487,5823910,29275.019300602442,38571.30873161749,18.090950754220618,32.42147073345075,16.073333104451496,16.24666659037272,15.846666971842446,16.47333272298177,15.673333485921223,16.646666208902992,15.446667353312172,-0.3153200343457229,-48.95397105539011,0.07308271139596734,-0.03885625049739638,0.11193896189336372,54.90532103624308,14.458378294938406,16.066000366210936,15.583000135421752,15.774400081634521,16.39500014305115,RADIOCITY.BO,2024-09-06 11:10:34.149520
6,2024-08-30 00:00:00+05:30,16.5,16.549999237060547,15.899999618530273,16.110000610351562,58193,0.0,0.0,2024-08-30,15.577500104904175,0.45684128047965383,16.03434138538383,15.12065882442452,16.491182665863484,14.663817543944868,77.76979283629572,81.52096564855499,5869321,37725.92559866751,40895.38108937126,18.092625354349728,39.36651712991577,16.18666648864746,16.47333335876465,15.823333740234375,16.836666107177734,15.536666870117188,17.123332977294922,15.173334121704102,-0.3314158774636144,-45.18827483533159,0.05324379810169333,-0.06684099097073731,0.12008478907243064,56.29681930360987,13.68550487412008,15.908000183105468,15.577500104904175,15.780200061798096,16.417500143051146,RADIOCITY.BO,2024-09-06 11:10:34.149520
7,2024-08-29 00:00:00+05:30,16.950000762939453,16.979999542236328,16.059999465942383,16.18000030517578,73499,0.0,0.0,2024-08-29,15.590000104904174,0.4752284995097351,16.06522860441391,15.11477160539444,16.540457103923643,14.639543105884703,145.3629763559662,116.54085608562141,5927514,47855.68708952177,41687.74496204719,18.094681916813453,40.04835701010846,16.406666437784832,16.75333340962728,15.833333333333336,17.326666514078777,15.486666361490887,17.673333485921226,14.91333325703939,-0.3518035133767326,-42.25941773203511,0.01817360168822013,-0.09686218823884496,0.11503578992706509,57.34647239647787,12.853179651700344,15.76200008392334,15.590000104904174,15.788200054168701,16.43550013542175,RADIOCITY.BO,2024-09-06 11:10:34.149520
8,2024-08-28 00:00:00+05:30,17.190000534057617,17.190000534057617,16.299999237060547,16.5,122914,0.0,0.0,2024-08-28,15.608500051498414,0.5056342314944089,16.114134282992822,15.102865820004006,16.61976851448723,14.597231588509596,318.37610620536447,162.43856799099996,6001013,81612.91625219872,40145.75943017854,18.097193675916454,48.72317886169912,16.663333257039387,17.026667277018227,16.136665980021156,17.553334554036457,15.773331960042317,17.916668574015297,15.246664683024086,-0.2556266009279675,-28.87031108532511,-0.0338961439933545,-0.12562113572061123,0.09172499172725673,62.2753170887646,11.537015510675296,15.56200008392334,15.608500051498414,15.79760004043579,16.44560013771057,RADIOCITY.BO,2024-09-06 11:10:34.149520
9,2024-08-26 00:00:00+05:30,15.229999542236328,15.6899995803833,15.229999542236328,15.520000457763672,22795,0.0,0.0,2024-08-26,15.57950005531311,0.46696633806405957,16.04646639337717,15.11253371724905,16.513432731441227,14.64556737918499,124.14601718816687,-33.70443235606803,5878099,14236.55553335642,29778.970224673496,18.100705338123127,33.81374346972926,15.479999860127768,15.730000178019207,15.270000139872234,15.93999989827474,15.019999821980795,16.19000021616618,14.810000101725262,-0.20296524842442404,-59.5505407280608,-0.13156274069724994,-0.1485523836524254,0.016989642955175466,50.07214453801917,9.469546520691638,15.314000129699707,15.57950005531311,15.802600040435792,16.44220013618469,RADIOCITY.BO,2024-09-06 11:10:34.149520
10,2024-08-23 00:00:00+05:30,15.5,15.5,15.100000381469727,15.229999542236328,80220,0.0,0.0,2024-08-23,15.580500030517578,0.4668536180522369,16.047353648569814,15.113646412465341,16.51420726662205,14.646792794413106,-27.652424163979106,-69.55116447599518,5855304,49165.01185204151,33664.57389750276,18.10175804839021,30.443258061206535,15.276666641235352,15.453332901000977,15.053333282470703,15.676666259765625,14.876667022705078,15.85333251953125,14.65333366394043,-0.20133885532106235,-75.8427294377339,-0.1580970991252144,-0.15279979439121924,-0.005297304733995173,45.20129531985081,10.114378981737644,15.260000038146973,15.580500030517578,15.830200023651123,16.449700136184692,RADIOCITY.BO,2024-09-06 11:10:34.149520
