Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-29 00:00:00+05:30,413.45001220703125,415.45001220703125,406.3500061035156,412.70001220703125,628032,0.0,0.0,2023-12-29,411.9300003051758,18.419984079167858,430.34998438434366,393.5100162260079,448.7699684635115,375.0900321468401,-47.567287433761116,67.23421017697547,65886473,2759587.7527876236,3294600.948056618,166.6175605151029,55.35643986983706,411.50001017252606,416.6500142415365,407.55000813802087,420.6000162760417,402.40000406901044,425.7500203450521,398.45000203450525,0.21875802784308443,-64.03038111929658,16.538987516778775,21.463065710577236,-4.9240781937984615,59.82827645406239,44.94801460664018,411.8,411.9300003051758,350.56411010742187,299.78659576416015,RECLTD.BO,2023-12-29 11:09:41.587466
2,2023-12-28 00:00:00+05:30,412.04998779296875,416.75,407.0,410.29998779296875,529502,0.0,0.0,2023-12-28,408.72249908447264,23.234833471095644,431.9573325555683,385.487665613377,455.1921660266639,362.25283214228136,-56.35907995125797,70.53477415756973,65258441,2313114.1386104026,3428354.2468738663,166.10001828714016,56.469955249384775,411.34999593098956,415.69999186197913,405.94999186197913,421.09999593098956,401.59999593098956,425.44999186197913,396.19999186197913,0.21708405007254128,-67.68060836501901,17.853552194023507,22.694085259026853,-4.840533065003346,58.934405430462014,46.828644325789575,411.63999633789064,408.72249908447264,348.13089965820313,297.55649642944337,RECLTD.BO,2023-12-29 11:09:41.587466
3,2023-12-27 00:00:00+05:30,420.95001220703125,421.79998779296875,408.1499938964844,410.5,249842,0.0,0.0,2023-12-27,405.3375,27.527807446590785,432.86530744659075,377.8096925534092,460.3931148931815,350.28188510681844,-55.76685703481259,77.60365361022701,65787943,1091959.5818485396,3707164.273939732,165.6662404629126,56.39857623228687,413.4833272298177,418.816660563151,405.16666666666663,427.13332112630206,399.8333333333333,432.4666544596354,391.51667277018225,0.22467582584053936,-67.37640728968631,19.502451008031983,23.904218525277685,-4.401767517245702,59.03605505842802,48.78509236199822,410.4700012207031,405.3375,345.7229364013672,295.14640838623046,RECLTD.BO,2023-12-29 11:09:41.587466
4,2023-12-26 00:00:00+05:30,407.04998779296875,422.5,405.75,418.8999938964844,856376,0.0,0.0,2023-12-26,401.7725006103516,31.196453025326083,432.9689536356777,370.5760475850255,464.1654066610038,339.3795945596994,-38.57693409407033,85.40542232935188,66037785,3819467.2981098243,4360965.44696253,165.4608619335132,60.319147282819905,415.71666463216144,425.6833292643229,408.9333292643229,432.46666463216144,398.96666463216144,442.4333292643229,392.1833292643229,0.24039704143628762,-54.600751173360266,21.298351302425658,25.00466040458911,-3.706309102163452,63.29362155877805,50.77668501909679,415.47999877929686,401.7725006103516,343.24766052246093,292.73139221191406,RECLTD.BO,2023-12-29 11:09:41.587466
5,2023-12-22 00:00:00+05:30,417.75,419.0,399.0,406.6000061035156,516735,0.0,0.0,2023-12-22,397.7300003051758,33.97485632595326,431.7048566311291,363.7551439792225,465.6797129570823,329.7802876532693,-70.3248920726953,79.73904473435775,65181409,2236985.730181557,4496339.984175706,164.73004773704588,59.92671712960053,408.2000020345052,417.4000040690104,397.4000040690104,428.2000020345052,388.2000020345052,437.4000040690104,377.4000040690104,0.21521690923910664,-70.31362548892686,22.447673472830047,25.931237680129968,-3.4835642072999207,59.302927618518524,52.921477111356786,418.7900024414063,397.7300003051758,340.63703002929685,290.12208557128906,RECLTD.BO,2023-12-29 11:09:41.587466
6,2023-12-21 00:00:00+05:30,394.25,415.20001220703125,389.04998779296875,411.8999938964844,1662726,0.0,0.0,2023-12-21,394.4600006103516,36.15364215214727,430.61364276249884,358.30635845820433,466.7672849146461,322.1527163060571,-79.01921847074381,80.90769077966806,65698144,7291895.358131869,5061178.547674243,164.3084726559391,60.65448911026024,405.3833312988281,421.7166748046875,395.566650390625,431.5333557128906,379.2333068847656,447.86669921875,369.4166259765625,0.2357711256931657,-54.71938422996242,24.79040029980939,26.802128731954944,-2.011728432145553,61.99994835904342,55.429964904792165,423.8,394.4600006103516,338.2585498046875,287.6343147277832,RECLTD.BO,2023-12-29 11:09:41.587466
7,2023-12-20 00:00:00+05:30,436.29998779296875,439.0,401.0,404.45001220703125,1490539,0.0,0.0,2023-12-20,390.72750091552734,38.0614673922837,428.78896830781105,352.66603352324364,466.85043570009475,314.60456613095994,-27.858857117532118,100.58741448217837,64035418,6418538.506718161,4503499.345059836,162.91202657541302,72.27279630065424,414.81667073567706,428.63334147135413,390.63334147135413,452.81667073567706,376.81667073567706,466.63334147135413,352.63334147135413,0.17354082424078385,-48.71793660373971,26.892219935046512,27.30506083999133,-0.41284090494481873,59.60185964046659,58.345695843712946,429.8400024414062,390.72750091552734,335.56929382324216,285.09940017700194,RECLTD.BO,2023-12-29 11:09:41.587466
8,2023-12-19 00:00:00+05:30,437.45001220703125,439.25,425.29998779296875,435.54998779296875,604912,0.0,0.0,2023-12-19,387.45250091552737,39.60523571304854,427.0577366285759,347.8472652024788,466.6629723416245,308.24202948943025,57.6624947699599,136.31019097594518,65525957,2805163.376062313,4024739.554645255,161.68459332982084,81.00710368949274,433.3666585286458,441.4333292643229,427.48331705729163,447.31667073567706,419.41664632161456,455.38334147135413,413.5333048502604,0.23649614914877104,-16.60198623537255,29.909438423287952,27.408271066227535,2.5011673570604174,78.90364949630904,60.45797157721727,437.9099975585938,387.45250091552737,333.1309307861328,282.628249206543,RECLTD.BO,2023-12-29 11:09:41.587466
9,2023-12-18 00:00:00+05:30,434.95001220703125,441.45001220703125,423.6499938964844,435.45001220703125,381909,0.0,0.0,2023-12-18,383.01500091552737,38.89821378397367,421.91321469950105,344.1167871315537,460.8114284834747,305.21857334758005,73.08213325640986,148.08836855761294,64921045,1770623.2163115651,4329633.59929099,161.11862119901397,85.53604785864978,433.5166727701823,443.38335164388025,425.58333333333337,451.3166910807292,415.71665445963544,461.1833699544271,407.7833150227865,0.24540403717056353,-16.688209264027495,30.256342703962446,26.78297922696243,3.4733634770000172,78.8832311687866,59.98078094979284,432.4599975585937,383.01500091552737,329.9459216308594,279.8373143005371,RECLTD.BO,2023-12-29 11:09:41.587466
10,2023-12-15 00:00:00+05:30,444.8999938964844,444.8999938964844,423.6499938964844,431.6499938964844,909304,0.0,0.0,2023-12-15,378.2375,37.975984653216436,416.2134846532164,340.2615153467836,454.1894693064329,302.2855306935671,96.20440837319417,159.22068755935797,64539136,4178965.5881919796,4969386.195035846,160.76022111714752,82.68399344311274,433.3999938964844,443.1499938964844,421.8999938964844,454.6499938964844,412.1499938964844,464.3999938964844,400.6499938964844,0.255224439161395,-18.8287900318331,30.251901951259867,25.914638357712423,4.337263593547444,78.13655847002735,59.46688335102806,427.0199951171875,378.2375,326.83908508300783,277.11472473144534,RECLTD.BO,2023-12-29 11:09:41.587466
11,2023-12-14 00:00:00+05:30,447.6000061035156,454.79998779296875,434.0,442.1000061035156,1483086,0.0,0.0,2023-12-14,373.1675003051758,37.23124078056157,410.39874108573736,335.93625952461423,447.6299818662989,298.70501874405267,170.9870427082349,188.13911585004902,65448440,6980954.549550569,5166991.346746813,159.91496674372524,88.22236736153653,443.6333312988281,453.26666259765625,432.4666748046875,464.4333190917969,422.8333435058594,474.066650390625,411.66668701171875,0.2696558538487489,-10.329388841659789,30.16209851889505,24.83032245932556,5.3317760595694885,85.8919411969319,58.91345516774292,421.85999755859376,373.1675003051758,323.9823583984375,274.4159829711914,RECLTD.BO,2023-12-29 11:09:41.587466
12,2023-12-13 00:00:00+05:30,410.0,446.8500061035156,409.6499938964844,444.79998779296875,2534086,0.0,0.0,2023-12-13,367.6875,34.51825426280509,402.2057542628051,333.1692457371949,436.7240085256102,298.6509914743898,156.01921453245268,185.42206841210538,66931526,12000907.008278843,4713500.546045873,158.47151621468134,86.8458587740831,433.76666259765625,457.8833312988281,420.6833190917969,470.9666748046875,396.566650390625,495.0833435058594,383.4833068847656,0.2753293625692961,-1.782624617866848,28.560953550721933,23.49737844443319,5.063575106288745,87.98716822221397,56.99963402757911,412.3999938964844,367.6875,320.82957641601564,271.6015168762207,RECLTD.BO,2023-12-29 11:09:41.587466
13,2023-12-12 00:00:00+05:30,412.25,412.25,403.5,408.29998779296875,381499,0.0,0.0,2023-12-12,362.1275009155273,30.119094607746096,392.2465955232734,332.00840630778123,422.3656901310195,301.88931170003514,77.38144756193384,152.74965496136315,64397440,1658443.6703895612,2891648.9304876314,155.94687313753082,80.36753602329955,408.01666259765625,412.5333251953125,403.7833251953125,416.76666259765625,399.26666259765625,421.2833251953125,395.0333251953125,0.13046828301484176,-4.912950879221361,25.812353787952304,22.231484667861,3.580869120091304,82.68513937880343,55.037230711156994,403.5799987792969,362.1275009155273,317.4941912841797,268.7824993896484,RECLTD.BO,2023-12-29 11:09:41.587466
14,2023-12-11 00:00:00+05:30,407.95001220703125,412.25,404.20001220703125,408.25,635099,0.0,0.0,2023-12-11,357.82750091552737,29.308315325263877,387.13581624079126,328.5191855902635,416.44413156605515,299.2108702649996,85.11397028846793,164.5660360690132,64015941,2760549.739360906,3199950.2455121484,155.6114499746148,76.1970008364562,408.23333740234375,412.26666259765625,404.2166748046875,416.2833251953125,400.183349609375,420.316650390625,396.16668701171875,0.15278411029666325,-4.9751247557929315,25.496913882770684,21.33626738783817,4.160646494932514,82.67541298077936,53.55621379601235,400.36000366210936,357.82750091552737,314.95014038085935,266.2708966064453,RECLTD.BO,2023-12-29 11:09:41.587466
15,2023-12-08 00:00:00+05:30,395.1499938964844,409.0,394.8999938964844,405.8500061035156,985508,0.0,0.0,2023-12-08,353.1417175292969,28.29665064336747,381.43836817266435,324.84506688592944,409.7350188160318,296.548416242562,87.13450360887646,168.39022265088198,63380842,4258470.717094222,3309800.3720499584,155.05118422263834,75.76473874649756,403.25,411.6000061035156,397.5,417.3500061035156,389.1499938964844,425.70001220703125,383.3999938964844,0.17190436348613328,-4.082947693697635,24.71166137949308,20.29610576410504,4.41555561538804,82.23051079884046,51.841831549044585,396.6800048828125,353.1417175292969,312.07370910644534,263.7124565124512,RECLTD.BO,2023-12-29 11:09:41.587466
16,2023-12-07 00:00:00+05:30,402.0,403.3500061035156,393.54998779296875,394.79998779296875,566071,0.0,0.0,2023-12-07,348.200016784668,27.216789645950705,375.4168064306187,320.98322713871727,402.6335960765694,293.76643749276656,89.67409613412177,169.9807233180062,62395334,2379446.7564584203,3072632.785788893,154.1851486013011,73.68856839383233,397.2333272298177,400.91666666666663,391.11664835611975,407.03334554036456,387.4333089192708,410.7166849772135,381.3166300455729,0.14375244629365191,-16.977507661776528,23.56824414344311,19.19221686025803,4.376027283185081,80.03896214850165,50.069793817713474,390.2600036621094,348.200016784668,309.3066119384766,261.1780163574219,RECLTD.BO,2023-12-29 11:09:41.587466
17,2023-12-06 00:00:00+05:30,392.20001220703125,408.0,392.1499938964844,400.70001220703125,984698,0.0,0.0,2023-12-06,343.70447235107423,26.531410411261103,370.23588276233534,317.1730619398131,396.76729317359644,290.641651528552,123.46272650126865,191.80814223118924,62961405,4200977.599551873,3245929.2931215107,153.70695288677098,76.88705550987355,400.28333536783856,408.41667683919275,392.5666707356771,416.1333414713542,384.43332926432294,424.26668294270837,376.7166646321615,0.18308283532534755,-9.228808128554999,22.835488362062677,18.098210039461758,4.737278322600918,85.25193505646963,48.29463063625774,381.0100036621094,343.70447235107423,306.7674401855469,258.78189315795896,RECLTD.BO,2023-12-29 11:09:41.587466
18,2023-12-05 00:00:00+05:30,392.1000061035156,395.0,386.25,392.20001220703125,763211,0.0,0.0,2023-12-05,338.7136001586914,24.56082334359779,363.2744235022892,314.1527768150936,387.835246845887,289.5919534714958,144.0449748137108,189.50888103848402,61976707,3186986.165899234,3007167.21651392,152.8501041046748,65.03907103515849,391.15000406901044,396.05000813802087,387.30000813802087,399.90000406901044,382.40000406901044,404.80000813802087,378.55000813802087,0.18809271421891005,-4.135874871641376,20.97028365630331,16.913890458811526,4.056393197491783,83.84429305563609,46.382916440843886,369.39000244140624,338.7136001586914,303.8807598876953,256.37361877441407,RECLTD.BO,2023-12-29 11:09:41.587466
19,2023-12-04 00:00:00+05:30,386.0,394.75,376.3999938964844,389.8500061035156,822836,0.0,0.0,2023-12-04,334.13289031982424,22.518671159461675,356.65156147928593,311.61421916036255,379.1702326387476,289.09554800090086,216.56037551446414,198.77640317117644,61213496,3415378.057903882,2962212.4791675913,152.2048012666035,65.3822726074078,387.0,397.6000061035156,379.25,405.3500061035156,368.6499938964844,415.95001220703125,360.8999938964844,0.1823547825184071,-6.980047071834541,19.101646060955204,15.89979215943858,3.2018539015166247,83.43848420791173,44.65132425341735,358.7900024414063,334.13289031982424,301.0710894775391,254.01179153442382,RECLTD.BO,2023-12-29 11:09:41.587466
20,2023-12-01 00:00:00+05:30,355.0,382.75,351.45001220703125,373.75,1959065,0.0,0.0,2023-12-01,329.6053771972656,19.646486332404137,349.2518635296698,309.9588908648615,368.8983498620739,290.3124045324573,289.2693429156922,173.46961695642327,60390660,7795751.758790221,2848921.0844835183,151.51202623433338,63.31945740852559,369.31667073567706,387.1833292643229,355.88334147135413,400.6166585286458,338.0166829427083,418.48331705729163,324.5833536783854,0.22537354291980882,-13.060864486364814,16.651244800424706,15.099328684059422,1.551916116365284,80.28867115298688,42.79331970269122,348.42999877929685,329.6053771972656,298.23224670410156,251.6070947265625,RECLTD.BO,2023-12-29 11:09:41.587466
21,2023-11-30 00:00:00+05:30,342.8999938964844,352.0,338.8500061035156,348.54998779296875,311400,0.0,0.0,2023-11-30,324.908447265625,19.765964060919046,344.67441132654403,305.14248320470597,364.44037538746306,285.37651914378694,144.0131454245964,125.33300735170032,58431595,1155610.912867676,1612213.415906842,149.95877471472474,58.513842651320964,346.46666463216144,354.08332316080725,340.9333292643229,359.6166585286458,333.31667073567706,367.23331705729163,327.7833353678385,0.18581439536110606,-7.780633880503367,14.847303714933787,14.7113496549681,0.13595405996568743,72.75847970126287,41.139660906611894,341.9200012207031,324.908447265625,295.60460693359374,249.35851791381836,RECLTD.BO,2023-12-29 11:09:41.587466
