Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-08 00:00:00+05:30,216.0,218.6999969482422,207.1999969482422,208.14999389648438,380972,0.0,0.0,2024-08-08,195.0874984741211,11.73329398845963,206.82079246258073,183.35420448566148,218.55408645104038,171.62091049720183,70.70606180719253,97.56934867847855,31358633,674887.8253168636,934708.4930287268,179.83805554882977,65.18368326083129,211.3499959309896,215.499994913737,203.999994913737,222.8499959309896,199.8499959309896,226.999994913737,192.499994913737,-0.10801812097796755,-30.2452465617834,4.04862734353901,2.5933986049174287,1.4552287386215816,56.41987229969498,16.496121914126498,204.79999694824218,195.0874984741211,191.8879998779297,201.40899932861328,RELINFRA.BO,2024-08-08 10:59:46.982688
2,2024-08-07 00:00:00+05:30,194.4499969482422,216.3000030517578,193.10000610351562,213.89999389648438,432401,0.0,0.0,2024-08-07,194.14499893188477,11.3805785104901,205.52557744237487,182.76442042139468,216.90615595286496,171.38384191090458,55.21379849132236,76.41476676462288,31739605,787153.7979645426,999663.6599566925,179.77255951095717,60.707039228992016,207.76666768391928,222.43332926432294,199.23333231608075,230.96666463216147,184.5666707356771,245.63332621256512,176.03333536783856,-0.08408232935797251,-19.80019718622956,3.7340898003943437,2.2295914202620333,1.5044983801323104,60.15079010483827,16.26773470988818,206.00999755859374,194.14499893188477,191.10299987792968,201.5534994506836,RELINFRA.BO,2024-08-08 10:59:46.982688
3,2024-08-06 00:00:00+05:30,200.0,205.1999969482422,190.1999969482422,191.85000610351562,555371,0.0,0.0,2024-08-06,193.27499923706054,10.415024552197732,203.69002378925828,182.8599746848628,214.105048341456,172.44495013266507,-27.629189286115103,-9.163383932807545,31307204,906790.8914018349,1052791.12545473,179.6827164566978,56.32424823484138,195.75,201.3000030517578,186.3000030517578,210.75,180.75,216.3000030517578,171.3000030517578,-0.13911158718379676,-59.85466870412836,2.708521433786416,1.8534668252289557,0.8550546085574602,47.877356339674165,16.217776785208486,204.65999755859374,193.27499923706054,190.22299987792968,201.6254995727539,RELINFRA.BO,2024-08-08 10:59:46.982688
4,2024-08-05 00:00:00+05:30,209.9499969482422,212.85000610351562,193.89999389648438,195.4499969482422,627681,0.0,0.0,2024-08-05,193.66249923706056,10.503017043900433,204.165516280961,183.15948219316013,214.66853332486141,172.6564651492597,23.329582531394628,31.160100790097513,31862575,1044087.2300805926,1089291.1839679535,179.64143622090359,58.85138460872034,200.73333231608072,207.56667073567706,188.61665852864581,219.68334452311197,181.78332010904947,226.51668294270831,169.66664632161456,-0.09114501586035434,-53.3151761607004,3.5260346495764736,1.6397031730895903,1.8863314764868833,50.222412017879385,17.168891610467643,206.54999694824218,193.66249923706056,189.81699981689454,201.89099945068358,RELINFRA.BO,2024-08-08 10:59:46.982688
5,2024-08-02 00:00:00+05:30,209.60000610351562,219.5,209.60000610351562,214.64999389648438,685879,0.0,0.0,2024-08-02,193.84249954223634,10.565923429774818,204.40842297201115,183.27657611246153,214.97434640178597,172.7106526826867,111.25535514516946,123.79635859081776,32490256,1252969.5588402282,1100592.1724397938,179.5805856125817,66.88022660523026,214.58333333333334,219.56666056315106,209.66666666666669,224.48332722981772,204.68333943684897,229.46665445963544,199.7666727701823,0.002134294861790758,-18.4377994415921,4.1647299767576555,1.1681203039678694,2.996609672789786,66.30633891023007,17.78447289223652,207.33999633789062,193.84249954223634,189.22699981689453,202.202999420166,RELINFRA.BO,2024-08-08 10:59:46.982688
6,2024-08-01 00:00:00+05:30,208.89999389648438,224.8000030517578,207.60000610351562,214.1999969482422,1416645,0.0,0.0,2024-08-01,192.45,9.456270146441735,201.90627014644173,182.99372985355825,211.36254029288347,173.5374597071165,153.38901178496872,134.0194653636726,31804377,2582513.6568233413,1062497.825839685,179.4324566099411,72.6100090167505,215.53333536783853,223.46666463216144,206.26666768391925,232.73333231608072,198.33333841959634,240.66666158040363,189.06667073567706,-0.009595599350668838,-19.255232544763963,3.0284427798861486,0.41896788577042277,2.609474894115726,66.06985212483573,16.327341519267854,202.39999694824218,192.45,188.28399993896485,202.34749954223633,RELINFRA.BO,2024-08-08 10:59:46.982688
7,2024-07-31 00:00:00+05:30,203.0,209.75,199.39999389648438,207.14999389648438,684435,0.0,0.0,2024-07-31,191.0099998474121,8.059541800314262,199.06954164772637,182.95045804709784,207.12908344804063,174.89091624678358,141.89247226510562,80.04795174454388,30387732,1206644.3070003432,682493.868093771,179.12646843222714,64.4781874688422,205.4333292643229,211.46666463216144,201.11665852864581,215.78333536783853,195.08332316080728,221.81667073567706,190.7666524251302,0.01157965378596085,-6.5000152587890625,1.5720832230383621,-0.23340083775850878,1.805484060796871,62.21141700906812,14.75812311760929,197.88999633789064,191.0099998474121,187.3579998779297,202.43749954223634,RELINFRA.BO,2024-08-08 10:59:46.982688
8,2024-07-30 00:00:00+05:30,200.89999389648438,205.6999969482422,196.25,201.3000030517578,438789,0.0,0.0,2024-07-30,190.0275001525879,7.1328839838249065,197.1603841364128,182.89461616876298,204.2932681202377,175.76173218493807,140.57159917820965,58.14082484705706,29703297,751729.5918219386,551456.258367128,179.00680120697524,55.49415876284042,201.08333333333334,205.91666666666669,196.4666697184245,210.53333028157553,191.63333638509116,215.36666361490887,187.0166727701823,-0.08798427695612533,-12.239205201655844,0.3780007087921149,-0.6847718529577265,1.0627725617498414,58.582368489268696,14.351678703667355,193.3499969482422,190.0275001525879,186.61899993896483,202.57399963378907,RELINFRA.BO,2024-08-08 10:59:46.982688
9,2024-07-29 00:00:00+05:30,190.39999389648438,200.5500030517578,190.39999389648438,199.39999389648438,339585,0.0,0.0,2024-07-29,189.4199996948242,6.621345880445925,196.04134557527013,182.7986538143783,202.66269145571607,176.17730793393235,116.34919372473703,36.10555833128352,29264508,576282.9525730865,501387.9250034252,178.94560295857016,48.226126240846966,196.78333028157553,203.16666666666669,193.01665751139325,206.93333943684897,186.6333211263021,213.31667582194012,182.8666483561198,-0.12629830005584752,-7.488327384548585,-0.5803785741150875,-0.9504649933951868,0.3700864192800992,57.34700503135356,14.347853366445841,188.1199951171875,189.4199996948242,186.05199981689452,202.67999954223632,RELINFRA.BO,2024-08-08 10:59:46.982688
10,2024-07-26 00:00:00+05:30,193.6999969482422,195.9499969482422,188.75,189.9499969482422,181137,0.0,0.0,2024-07-26,189.45,6.67012319750346,196.12012319750346,182.77987680249652,202.7902463950069,176.10975360499307,65.91478761435154,9.70884981736861,28924923,292825.29869969154,482664.16811100993,178.9020548287875,46.61178193533143,191.54999796549478,194.34999593098956,187.14999898274738,198.74999491373697,184.3500010172526,201.54999287923175,179.9500020345052,-0.19461044862994983,-39.520956168891985,-1.6114787456646127,-1.0429865982152116,-0.5684921474494011,50.53270634298854,14.942028415644803,183.79999694824218,189.45,185.495,202.89149963378907,RELINFRA.BO,2024-08-08 10:59:46.982688
