Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-11-27 00:00:00+05:30,176.25999450683594,182.8000030517578,175.0800018310547,180.1999969482422,55324,0.0,0.0,2024-11-27,185.33500061035156,12.569930120774906,197.90493073112646,172.76507048957666,210.47486085190138,160.19514036880173,60.185859671953736,-80.65357486638882,12627246,51376.486030288586,44249.10322621449,204.48507226743786,44.68392366018769,179.36000061035156,183.63999938964844,175.9199981689453,187.0800018310547,171.63999938964844,191.36000061035156,168.1999969482422,-0.12415418465848024,-62.08278209510321,-6.815490926267586,-6.541754600897691,-0.273736325369895,44.86928745518008,34.51472639642634,172.51600036621093,185.33500061035156,197.6229998779297,211.8491993713379,RSWM.NS,2024-11-27 11:00:29.939821
2,2024-11-26 00:00:00+05:30,171.8000030517578,179.5,171.00999450683594,175.25999450683594,64330,0.0,0.0,2024-11-26,185.67200088500977,12.515245663100881,198.18724654811064,173.1567552219089,210.70249221121153,160.641509558808,-15.972885256517998,-110.04877852373964,12571922,58102.17497995015,42467.257525195964,204.50477484004324,37.04771960267812,175.25666300455728,179.50333150227863,171.01332600911456,183.74666849772134,166.76665751139322,187.9933369954427,162.5233205159505,-0.1086719994085643,-75.27371091743018,-7.576974817174261,-6.473320519555217,-1.1036542976190438,39.96110449436135,35.69692767400975,171.26600036621093,185.67200088500977,198.3616000366211,212.26829940795898,RSWM.NS,2024-11-27 11:00:29.939821
3,2024-11-25 00:00:00+05:30,170.4499969482422,173.89999389648438,169.75,170.8800048828125,46222,0.0,0.0,2024-11-25,185.97700119018555,12.32096858798024,198.2979697781658,173.6560326022053,210.61893836614604,161.33506401422505,-54.37220699129145,-140.1253116491503,12507592,40703.900292027036,38558.52816150741,204.53238962841021,38.13271426175325,171.50999959309897,173.26999918619794,169.12000528971356,175.65999348958334,167.3600056966146,177.4199930826823,164.97001139322919,-0.11711521008321421,-87.48716696714743,-7.950586909527317,-6.197406945150455,-1.7531799643768622,35.21232491741229,36.28734036201682,169.9080017089844,185.97700119018555,199.15580017089843,212.7018994140625,RSWM.NS,2024-11-27 11:00:29.939821
4,2024-11-22 00:00:00+05:30,167.99000549316406,169.99000549316406,166.60000610351562,168.25,35926,0.0,0.0,2024-11-22,186.642000579834,11.811645748126091,198.4536463279601,174.8303548317079,210.26529207608618,163.0187090835818,-80.82182405417262,-171.31312165260155,12461370,31150.13859284332,38022.18512887751,204.5552371521558,37.23484020500343,168.2800038655599,169.96000162760419,166.57000223795575,171.67000325520834,164.89000447591147,173.35000101725262,163.1800028483073,-0.12145902646657523,-94.23076923076923,-7.8770975510144865,-5.759111954056239,-2.1179855969582473,32.22332047716277,35.6134841383663,170.44200134277344,186.642000579834,199.96399993896483,213.19989929199218,RSWM.NS,2024-11-27 11:00:29.939821
5,2024-11-21 00:00:00+05:30,174.0,174.0,167.39999389648438,167.99000549316406,32469,0.0,0.0,2024-11-21,187.47100067138672,11.007311831606739,198.47831250299345,176.46368883978,209.4856243346002,165.45637700817323,-87.38929869132922,-176.83835487075598,12425444,28109.194607885252,39740.19676288605,204.57440537889198,41.98029421178887,169.79666646321616,172.19333902994794,165.5933329264323,176.39667256673178,163.19666035970053,178.79334513346356,158.99332682291669,-0.14915714258578525,-94.89742181239984,-7.404643307323113,-5.229615554816676,-2.1750277525064368,31.93505637008961,33.83496672355007,172.17400207519532,187.47100067138672,200.85899993896484,213.61199935913086,RSWM.NS,2024-11-27 11:00:29.939821
6,2024-11-19 00:00:00+05:30,169.6999969482422,176.67999267578125,169.69000244140625,173.9499969482422,31362,0.0,0.0,2024-11-19,188.43200073242187,10.010904275291946,198.44290500771382,178.42109645712992,208.45380928300577,168.41019218183797,-89.31909135755524,-167.4440814526319,12457913,28114.10229758226,42647.947301636246,204.59187067385096,47.36085811021917,173.43999735514322,177.1899922688802,170.2000020345052,180.42998758951822,166.45000712076822,184.1799825032552,163.2100118001302,-0.19299059965488222,-79.61539244040465,-6.661961622570431,-4.685858616690067,-1.976103005880364,35.11396770952199,31.97758530429301,175.85800170898438,188.43200073242187,201.8067999267578,214.06059936523437,RSWM.NS,2024-11-27 11:00:29.939821
7,2024-11-18 00:00:00+05:30,176.25,176.25,166.0,168.47000122070312,68861,0.0,0.0,2024-11-18,189.57700119018554,9.567103019776496,199.14410420996205,180.00989817040903,208.71120722973853,170.44279515063255,-139.50118388388506,-202.59348193975143,12426551,59784.960832279685,46281.408552649744,204.60600680134317,47.08548036310349,170.24000040690103,174.48000081380206,164.23000081380206,180.49000040690103,159.99000040690103,184.73000081380206,153.98000081380206,-0.2621775142714717,-93.66666353665866,-6.197134053992158,-4.1918328652199754,-2.005301188772183,29.08719203851932,30.14216087225941,180.21200256347657,189.57700119018554,202.65619995117189,214.42589935302735,RSWM.NS,2024-11-27 11:00:29.939821
8,2024-11-14 00:00:00+05:30,179.89999389648438,179.89999389648438,171.0,173.5500030517578,43911,0.0,0.0,2024-11-14,191.34300079345704,8.68510021231754,200.02810100577457,182.6579005811395,208.7132012180921,173.97280036882196,-171.09179130519107,-184.64965060100508,12495412,39272.99280347846,42905.52048274226,204.6426476051511,56.28740312058496,174.81666564941406,178.63333129882812,169.73333740234375,183.71665954589844,165.9166717529297,187.5333251953125,160.83334350585938,-0.20267064596773016,-92.49999102424172,-4.968421389933695,-3.690507568026929,-1.2779138219067665,31.614882253205067,28.05800547919364,186.02200317382812,191.34300079345704,203.76440002441407,214.77479934692383,RSWM.NS,2024-11-27 11:00:29.939821
9,2024-11-13 00:00:00+05:30,185.85000610351562,185.85000610351562,175.0,176.91000366210938,73670,0.0,0.0,2024-11-13,192.71800079345704,7.85731631052274,200.57531710397978,184.8606844829343,208.4326334145025,177.00336817241157,-219.12179960443234,-162.3718661785266,12539323,67164.39485421746,43813.65240255821,204.66276461417988,55.53550423158537,179.25333658854166,183.50667317708331,172.6566670735677,190.10334269205728,168.40333048502603,194.35667928059894,161.80666097005206,-0.22345770840123916,-91.52816586287476,-3.82032094143338,-3.371029112550237,-0.4492918288831427,33.397364127812395,26.166359309880963,191.28800354003906,192.71800079345704,204.59079986572266,215.0427993774414,RSWM.NS,2024-11-27 11:00:29.939821
10,2024-11-12 00:00:00+05:30,195.72000122070312,197.88999938964844,185.63999938964844,186.41000366210938,50163,0.0,0.0,2024-11-12,194.2120002746582,7.527138559139426,201.73913883379763,186.6848617155188,209.26627739293707,179.15772315637935,-123.75865635688737,-92.58011012798596,12612993,48189.09401644757,37975.9667896434,204.69292250477295,58.92136811693191,189.9800008138021,194.32000223795575,182.07000223795575,202.2300008138021,177.7300008138021,206.57000223795575,169.82000223795575,-0.18106056704513676,-60.5734599512753,-2.6234299585178746,-3.258706155329451,0.6352761968115765,39.199905070773866,24.444541400073867,196.33600158691405,194.2120002746582,205.3599996948242,215.26079940795898,RSWM.NS,2024-11-27 11:00:29.939821
