Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-13 00:00:00+05:30,9.15999984741211,9.199999809265137,9.15999984741211,9.180000305175781,7999,0.0,0.0,2024-08-13,9.494000053405761,0.8690551970833159,10.363055250489078,8.624944856322445,11.232110447572394,7.75588965923913,127.20975998906908,-61.2387994866066,218309,11297.049606323279,5403.565241903034,7.478743872578702,32.58776213632824,9.179999987284342,9.200000127156574,9.160000165303547,9.21999994913737,9.140000025431315,9.240000089009602,9.12000020345052,,-46.61653542290797,-0.2925390765943714,-0.2760734517882968,-0.016465624806074608,45.651050791994216,23.57884097628344,8.920000076293945,9.494000053405761,9.634800090789795,8.959900059700011,SABEVENTS.NS,2024-08-13 10:56:33.968926
2,2024-08-12 00:00:00+05:30,9.109999656677246,9.109999656677246,8.949999809265137,9.109999656677246,3015,0.0,0.0,2024-08-12,9.625000047683717,1.0059220069544412,10.630922054638157,8.619078040729276,11.6368440615926,7.613156033774834,82.1387226919714,-76.30452088348956,210310,4225.638302289536,3930.194150797972,7.472098144915477,17.84217896236622,9.056666374206543,9.16333293914795,9.00333309173584,9.216666221618652,8.896666526794434,9.323332786560059,8.84333324432373,,-58.16996723224342,-0.32637033993366416,-0.27195704558677813,-0.05441329434688602,44.24422560612984,24.394109030752205,8.804000091552734,9.625000047683717,9.64620008468628,8.933100056648254,SABEVENTS.NS,2024-08-13 10:56:33.968926
3,2024-08-09 00:00:00+05:30,8.9399995803833,8.9399995803833,8.9399995803833,8.9399995803833,2294,0.0,0.0,2024-08-09,9.731500053405762,1.05983753166552,10.791337585071282,8.671662521740242,11.851175116736801,7.611824990074722,25.575083612009458,-90.09837222746442,207295,3155.1321595999007,3856.3331129250805,7.46968295054516,10.453300934114992,8.9399995803833,8.9399995803833,8.9399995803833,8.9399995803833,8.9399995803833,8.9399995803833,8.9399995803833,,-72.98854165639,-0.3578456004942119,-0.25835372200005663,-0.09949187849415525,40.78780706194559,24.974803359514517,8.67800006866455,9.731500053405762,9.660000095367431,8.910500059127807,SABEVENTS.NS,2024-08-13 10:56:33.968926
4,2024-08-08 00:00:00+05:30,8.770000457763672,8.770000457763672,8.670000076293945,8.770000457763672,230,0.0,0.0,2024-08-08,9.820000076293946,1.0641576955095067,10.884157771803451,8.75584238078444,11.948315467312959,7.691684685274932,-38.49385380871267,-113.34605685511546,205001,310.3230931208693,4031.633351256375,7.468031487738942,4.134015659715018,8.736666997273764,8.803333918253582,8.703333536783855,8.83666737874349,8.636666615804037,8.903334299723308,8.603333155314129,,-86.17510690381074,-0.3759791371754453,-0.23348075237651783,-0.14249838479892746,37.17111844090622,25.026479049384417,8.620000076293945,9.820000076293946,9.681200103759766,8.893100061416625,SABEVENTS.NS,2024-08-13 10:56:33.968926
5,2024-08-07 00:00:00+05:30,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,1137,0.0,0.0,2024-08-07,9.89150004386902,1.0376049371968348,10.929104981065855,8.853895106672184,11.966709918262689,7.81629016947535,-73.22099907033402,-130.2285700154771,204771,1504.3385282663244,4961.960915790251,7.467884851303672,3.4146354970500994,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,,-94.00921152671387,-0.3767565677112241,-0.19785615617678595,-0.17890041153443817,33.39337261303572,24.47971782432192,8.631999969482422,9.89150004386902,9.709800090789795,8.878900055885316,SABEVENTS.NS,2024-08-13 10:56:33.968926
6,2024-08-06 00:00:00+05:30,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,1180,0.0,0.0,2024-08-06,9.947500038146973,0.9935205058807648,10.941020544027738,8.953979532266208,11.934541049908503,7.960459026385443,-85.24092151757576,-133.4460722699009,205908,1561.2308384822013,5826.366512671232,7.467254175011468,3.2799183049496747,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,,-94.56066327866131,-0.3553010497816995,-0.1531310532931764,-0.20216999648852313,33.39337261303572,23.25932116504992,8.715999984741211,9.947500038146973,9.745800075531006,8.867900052070617,SABEVENTS.NS,2024-08-13 10:56:33.968926
7,2024-08-05 00:00:00+05:30,8.479999542236328,8.600000381469727,8.470000267028809,8.479999542236328,4169,0.0,0.0,2024-08-05,9.980500030517579,0.9566855499882738,10.937185580505853,9.023814480529305,11.893871130494126,8.067128930541031,-112.15685736171353,-147.9759148877312,204728,5438.941244858977,6892.650431218489,7.466598903820161,0.0,8.516666730244955,8.563333193461101,8.433333079020183,8.646666844685873,8.386666615804037,8.69333330790202,8.303332964579266,,-99.67639887657788,-0.322448135920693,-0.10258855417104559,-0.2198595817496474,30.863227287591457,21.945047839680072,8.83799991607666,9.980500030517579,9.785800075531006,8.858400049209594,SABEVENTS.NS,2024-08-13 10:56:33.968926
8,2024-08-02 00:00:00+05:30,8.649999618530273,8.649999618530273,8.649999618530273,8.649999618530273,12053,0.0,0.0,2024-08-02,10.020000076293945,0.9064621931557951,10.92646226944974,9.11353788313815,11.832924462605535,8.207075689982355,-116.00356906855322,-138.78762815005138,208897,16039.760831099336,7256.077727808366,7.464523474064216,28.585599304493,8.649999618530273,8.649999618530273,8.649999618530273,8.649999618530273,8.649999618530273,8.649999618530273,8.649999618530273,,-100.0,-0.263682608463224,-0.047623658733633736,-0.21605894972959028,32.48658833179573,20.529676566204852,9.021999931335449,10.020000076293945,9.832200088500976,8.850100054740906,SABEVENTS.NS,2024-08-13 10:56:33.968926
9,2024-08-01 00:00:00+05:30,8.829999923706055,8.829999923706055,8.829999923706055,8.829999923706055,3240,0.0,0.0,2024-08-01,10.071500110626221,0.8521630052914171,10.923663115917638,9.219337105334805,11.775826121209056,8.367174100043387,-117.97580852689246,-121.76360582890496,220950,4401.4153465858,5060.156951985622,7.457462542257704,59.379684350036,8.829999923706055,8.829999923706055,8.829999923706055,8.829999923706055,8.829999923706055,8.829999923706055,8.829999923706055,,-100.0,-0.20119216630097192,0.006391078698763833,-0.20758324499973574,34.25823738979031,19.260599568066272,9.21200008392334,10.071500110626221,9.87920009613037,8.841600060462952,SABEVENTS.NS,2024-08-13 10:56:33.968926
10,2024-07-31 00:00:00+05:30,9.020000457763672,9.020000457763672,9.020000457763672,9.020000457763672,1579,0.0,0.0,2024-07-31,10.117000102996826,0.8053968861118735,10.9223969891087,9.311603216884953,11.727793875220573,8.506206330773079,-117.59615180640587,-101.81590799428317,224190,2191.16626504752,5224.842353335577,7.455261445468364,69.55394328074453,9.020000457763672,9.020000457763672,9.020000457763672,9.020000457763672,9.020000457763672,9.020000457763672,9.020000457763672,,-100.0,-0.13586440046205261,0.05828688994869777,-0.19415129041075038,36.192844228574266,18.157638692810448,9.406000137329102,10.117000102996826,9.926600093841552,8.83130006313324,SABEVENTS.NS,2024-08-13 10:56:33.968926
