Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-08 00:00:00+05:30,850.0,850.0,805.4500122070312,818.0499877929688,32554,0.0,0.0,2023-12-08,788.5349975585938,26.11760172563521,814.6525992842289,762.4173958329586,840.7702010098642,736.2997941073234,105.17650745520514,112.70873513742129,2485115,121770.49195981344,146794.9908737102,408.4708436665413,58.10093230951666,824.5,843.5499877929688,799.0,869.0499877929688,779.9500122070312,888.0999755859375,754.4500122070312,0.07244098871742526,-32.25645244279301,22.857450768196372,21.393640896527504,1.4638098716688681,60.1225824469102,20.121717886564205,818.62998046875,788.5349975585938,733.2420007324218,685.4963549804687,SANGHVIMOV.BO,2023-12-08 11:07:39.285693
2,2023-12-07 00:00:00+05:30,811.0999755859375,849.5,800.75,847.7999877929688,95327,0.0,0.0,2023-12-07,785.1299987792969,26.50346490792234,811.6334636872192,758.6265338713746,838.1369285951416,732.1230689634522,173.79643821821762,129.11244629826095,2517669,369544.88094613346,153051.11560218438,407.40560538851844,56.75096845514521,832.6833292643229,864.6166585286458,815.8666585286458,881.4333292643229,783.9333292643229,913.3666585286458,767.1166585286458,0.09887178576940175,-1.7250252842269158,23.161766249847574,21.027688428610286,2.1340778212372875,69.29134939373185,19.462259915150753,809.5599853515625,785.1299987792969,730.2380004882813,681.771845703125,SANGHVIMOV.BO,2023-12-08 11:07:39.285693
3,2023-12-06 00:00:00+05:30,825.0,825.0999755859375,793.0499877929688,811.0999755859375,12657,0.0,0.0,2023-12-06,780.5524993896485,22.75001004471467,803.3025094343632,757.8024893449337,826.0525194790778,735.0524793002191,108.58809298057945,103.56552234757288,2422342,46942.155462576375,98927.67426619711,404.0258718313371,52.18135765100175,809.7499796549479,826.449971516927,794.3999837239583,841.7999674479166,777.6999918619791,858.4999593098958,762.3499959309895,-0.053089380077112475,-21.93384437577383,20.270522188479163,20.49416897330096,-0.22364678482179912,62.79138055174087,18.767664693753346,797.0799926757812,780.5524993896485,726.6720007324219,677.8650607299804,SANGHVIMOV.BO,2023-12-08 11:07:39.285693
4,2023-12-05 00:00:00+05:30,809.9500122070312,828.0,792.0,814.8499755859375,49961,0.0,0.0,2023-12-05,778.8649993896485,21.58685140178018,800.4518507914287,757.2781479878682,822.0387021932088,735.6912965860881,167.3969470374083,112.1792019692917,2434999,186151.5420953653,111924.05396710229,403.61065803469603,62.96843224772877,811.6166585286459,831.2333170572917,795.2333170572917,847.6166585286459,775.6166585286459,867.2333170572917,759.2333170572917,0.035844390376359954,-17.066874104375284,19.876119672897175,20.550080669506407,-0.6739609966092317,64.07827181397082,18.832851002231692,790.5,778.8649993896485,723.8890014648438,674.4360299682617,SANGHVIMOV.BO,2023-12-08 11:07:39.285693
5,2023-12-04 00:00:00+05:30,795.0999755859375,816.75,783.2999877929688,801.3499755859375,25296,0.0,0.0,2023-12-04,776.1274993896484,20.210966794910586,796.338466184559,755.9165325947378,816.5494329794695,735.7055657998272,132.37929364936554,101.09892846681285,2385038,92689.7988315228,93367.18193503653,401.94822036263986,60.65552341391069,800.4666544596354,817.633321126302,784.1833089192708,833.9166666666666,767.0166422526041,851.0833333333333,750.7332967122395,0.059208586448129166,-33.20875316394081,18.70069342684303,20.718570918658713,-2.017877491815682,61.43623368900011,18.903051642131448,785.2,776.1274993896484,721.282001953125,670.8855642700196,SANGHVIMOV.BO,2023-12-08 11:07:39.285693
6,2023-12-01 00:00:00+05:30,784.6500244140625,797.5499877929688,751.5,772.7000122070312,23979,0.0,0.0,2023-12-01,772.7800018310547,21.327119455586843,794.1071212866416,751.4528823754679,815.4342407422284,730.125762919881,-139.04368620734218,66.63557246645462,2359742,84722.71132608762,93536.52771091496,401.1290556080805,53.113148488402764,773.9166666666666,796.3333333333333,750.2833455403645,819.9666544596354,727.8666788736979,842.383321126302,704.2333577473958,0.05450505007895483,-53.79376883228689,18.241993256866863,21.223040291612634,-2.981047034745771,54.89934866510775,19.372913628203857,783.2200073242187,772.7800018310547,719.1760021972656,667.5103277587891,SANGHVIMOV.BO,2023-12-08 11:07:39.285693
7,2023-11-30 00:00:00+05:30,778.2000122070312,800.7999877929688,778.2000122070312,785.4000244140625,11473,0.0,0.0,2023-11-30,770.7675018310547,23.15573476873314,793.9232365997879,747.6117670623215,817.078971368521,724.4560322935884,-16.159208166080305,90.7589465608547,2383721,41202.708239118445,95739.98180712179,400.4052408381545,60.80700474293395,788.1333414713541,798.066670735677,775.4666951497395,810.7333170572916,765.5333658854166,820.6666463216145,752.866719563802,0.0341399608052033,-41.439669887637116,20.19991150448891,21.968302050299076,-1.768390545810167,59.01713632339351,20.615651686508368,786.460009765625,770.7675018310547,717.717001953125,664.4841693115235,SANGHVIMOV.BO,2023-12-08 11:07:39.285693
8,2023-11-29 00:00:00+05:30,789.0499877929688,797.75,771.4000244140625,778.2000122070312,15815,0.0,0.0,2023-11-29,768.0875,24.43927085418,792.52677085418,743.64822914582,816.96604170836,719.20895829164,-85.19151632941563,87.45170581987857,2372248,56275.36085390224,109374.30019912262,400.04607798138056,55.28232583419628,782.4500122070312,793.5,767.1500244140625,808.7999877929688,756.1000366210938,819.8499755859375,740.800048828125,0.09296408159401323,-48.09270271719942,21.149822126820254,22.410399686751614,-1.2605775599313596,57.332371230643076,20.6418842692956,783.5700073242188,768.0875,716.0100012207031,661.2624725341797,SANGHVIMOV.BO,2023-12-08 11:07:39.285693
9,2023-11-28 00:00:00+05:30,798.9500122070312,828.0,784.0999755859375,788.3499755859375,34495,0.0,0.0,2023-11-28,762.9600006103516,31.84244124760965,794.8024418579612,731.117559362742,826.6448831055709,699.2751181151323,97.58048153348597,119.55020953884484,2388063,124346.357166898,122649.0350354277,399.5591595163455,49.92197598370643,800.1499837239584,816.1999918619792,772.2999674479167,844.0500081380209,756.2499593098959,860.1000162760417,728.3999430338542,0.10337583669347086,-38.29070892150778,22.754635836000148,22.72554407673445,0.029091759265696737,60.59305566958295,20.77955391351821,785.6,762.9600006103516,713.0880004882813,658.2771685791016,SANGHVIMOV.BO,2023-12-08 11:07:39.285693
10,2023-11-24 00:00:00+05:30,787.9000244140625,795.3499755859375,774.7999877929688,791.4500122070312,26770,0.0,0.0,2023-11-24,756.6875030517579,38.282429474019125,794.969932525777,718.4050735777387,833.2523619997961,680.1226441037196,27.486759649184975,108.00232624646279,2422558,96879.01628075565,122224.70450256013,398.4641648486803,52.714760316823686,787.1999918619791,799.5999959309895,779.0500081380208,807.7499796549479,766.6500040690104,820.1499837239583,758.500020345052,0.12915882953600127,-26.007720560728135,23.46489887580026,22.718271136918027,0.746627738882232,61.58641124219063,20.250379580971916,784.4900024414062,756.6875030517579,710.1260009765625,655.1387130737305,SANGHVIMOV.BO,2023-12-08 11:07:39.285693
