Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-11-03 00:00:00+05:30,531.0,549.0,527.0999755859375,546.1500244140625,974619,0.0,0.0,2025-11-03,548.9975006103516,16.154652940952726,565.1521535513043,532.8428476693989,581.306806492257,516.6881947284462,-6.1544377492443365,-87.28647051334748,161137470,2481634.358437835,2019997.42201736,426.82642132816414,57.32036345103236,540.75,554.4000244140625,532.5,562.6500244140625,518.8499755859375,576.300048828125,510.5999755859375,-0.1778436126506945,-48.94097962847028,-6.693593363923469,-7.014907845239554,0.32131448131608487,48.35842162827126,13.102711054073371,542.9099975585938,548.9975006103516,569.2910034179688,519.2646405029296,SARDAEN.NS,2025-11-03 11:36:41.471787
2,2025-10-31 00:00:00+05:30,537.9000244140625,539.9000244140625,527.6500244140625,529.5,395314,0.0,0.0,2025-10-31,550.5649993896484,17.341199381085364,567.9061987707338,533.223800008563,585.2473981518191,515.8826006274777,-78.51675427728254,-122.99778271063168,160162851,975886.0768592971,1904588.1879122416,426.5692156534171,50.63656141254632,532.3500162760416,537.0500081380208,524.8000081380208,544.6000162760416,520.1000162760416,549.3000081380208,512.5500081380208,-0.141240334726672,-74.13013328014685,-7.5145742278150465,-7.095236465568575,-0.4193377622464718,42.017743301418925,13.3872844805363,541.9999877929688,550.5649993896484,570.3289819335937,518.328282775879,SARDAEN.NS,2025-11-03 11:36:41.471787
3,2025-10-30 00:00:00+05:30,562.9000244140625,562.9000244140625,532.75,535.3499755859375,854664,0.0,0.0,2025-10-30,551.6274993896484,16.61855118211113,568.2460505717595,535.0089482075373,584.8646017538706,518.3903970254262,15.660867141862507,-89.78151529973734,160558165,2133163.5817464762,2136763.7156754774,426.4791443055561,50.91783673040189,543.6666666666666,554.5833333333333,524.4333089192708,573.8166910807291,513.5166422526041,584.7333577473958,494.28328450520826,-0.08891181940709958,-65.27994001747028,-6.812046198718463,-6.990402025006956,0.17835582628849345,43.771143498582305,14.184123807154874,543.939990234375,551.6274993896484,571.5204113769531,517.5170291137696,SARDAEN.NS,2025-11-03 11:36:41.471787
4,2025-10-29 00:00:00+05:30,548.9000244140625,578.5,547.1500244140625,558.8499755859375,2057053,0.0,0.0,2025-10-29,551.8300018310547,16.433409235263436,568.2634110663181,535.3965925957913,584.6968203015815,518.9631833605279,182.54432165843338,-27.72244038401604,161412829,5359591.38147189,2137663.7491577277,426.2727828665425,58.51286953462117,561.5,575.8499755859375,544.5,592.8499755859375,530.1500244140625,607.199951171875,513.1500244140625,-0.0688534708889759,-29.727733240256995,-6.385518572221599,-7.034990981579079,0.6494724093574797,51.84063025601001,14.741014670585631,543.8799926757813,551.8300018310547,572.4093078613281,516.5121151733398,SARDAEN.NS,2025-11-03 11:36:41.471787
5,2025-10-28 00:00:00+05:30,541.0,554.5999755859375,539.9500122070312,544.7000122070312,445836,0.0,0.0,2025-10-28,551.5675018310546,16.357127037267624,567.9246288683223,535.210374793787,584.2817559055899,518.8532477565194,59.36600419856457,-86.15778893643154,159355776,1132200.8613831184,1332181.841079187,425.6651773107212,43.26982268636671,546.4166666666666,552.883321126302,538.2333577473958,561.0666300455729,531.7667032877604,567.5332845052083,523.5833943684895,-0.0812363178245838,-49.68845426923179,-8.057077617506366,-7.197359083918449,-0.8597185335879169,46.3060133486263,14.430152708224512,541.2,551.5675018310546,572.2875622558594,515.3360409545899,SARDAEN.NS,2025-11-03 11:36:41.471787
6,2025-10-27 00:00:00+05:30,539.2000122070312,549.25,537.4500122070312,541.5999755859375,359890,0.0,0.0,2025-10-27,552.6525024414062,16.595581655658616,569.2480840970649,536.0569207857476,585.8436657527235,519.461339130089,3.4980844512300586,-104.20012090010026,158909940,908739.4413767887,1382177.086003204,425.54682186511434,37.202664463703705,542.7666625976562,548.0833129882812,536.2833251953125,554.566650390625,530.9666748046875,559.88330078125,524.4833374023438,-0.10039408549450303,-61.324567984271525,-8.681545795478655,-6.982429450521469,-1.6991163449571864,45.02064687775521,15.380362472836827,537.5099975585938,552.6525024414062,572.5256225585938,514.2635614013672,SARDAEN.NS,2025-11-03 11:36:41.471787
7,2025-10-24 00:00:00+05:30,534.0,545.7000122070312,529.1500244140625,539.2000122070312,527072,0.0,0.0,2025-10-24,554.7575042724609,17.74975483579225,572.5072591082532,537.0077494366686,590.2570139440454,519.2579946008764,-51.257300595844775,-128.21351523325472,158550050,1324984.5103521892,1500536.497159808,425.4536007108557,38.563142579065115,538.0166829427084,546.8833414713542,530.3333536783855,554.5666707356771,521.4666951497396,563.433329264323,513.7833658854167,-0.12150735790535266,-64.50332742653146,-9.044209086479668,-6.557650364282171,-2.486558722197497,44.057916178494196,16.38685538429452,534.8,554.7575042724609,572.6980029296875,513.1911599731445,SARDAEN.NS,2025-11-03 11:36:41.471787
8,2025-10-23 00:00:00+05:30,550.9500122070312,562.5,533.0,535.0499877929688,841403,0.0,0.0,2025-10-23,556.8050048828125,18.216420415992836,575.0214252988053,538.5885844668196,593.2378457147981,520.3721640508268,-29.19947053379546,-115.53956213984307,158022978,2098888.543305445,1544424.4938617125,425.31963100384814,51.61158854144591,543.5166625976562,554.0333251953125,524.5333251953125,573.0166625976562,514.0166625976562,583.5333251953125,495.0333251953125,-0.15609443856517594,-70.00004850475993,-9.135134496179944,-5.936010683732796,-3.199123812447148,42.439531774218004,17.248102437841276,535.8400024414062,556.8050048828125,573.019130859375,512.127795715332,SARDAEN.NS,2025-11-03 11:36:41.471787
9,2025-10-21 00:00:00+05:30,528.0499877929688,549.9000244140625,528.0499877929688,545.4500122070312,313767,0.0,0.0,2025-10-21,559.3100067138672,18.509713186733553,577.8197199006007,540.8002935271337,596.3294330873343,522.2905803404001,-50.99716364686049,-131.58211397056428,158864381,797908.6688863622,1405808.4815007793,425.1129278360613,49.5548675769382,541.1333414713541,554.2166951497395,532.3666585286458,562.9833780924479,519.2833048502604,576.0667317708333,510.516621907552,-0.10662880439326201,-56.22518173116722,-8.704420919393328,-5.136229730621009,-3.5681911887723192,45.502775041676486,18.389520216292627,538.610009765625,559.3100067138672,572.9903454589844,511.1373529052734,SARDAEN.NS,2025-11-03 11:36:41.471787
10,2025-10-20 00:00:00+05:30,529.0999755859375,530.7999877929688,512.4000244140625,526.25,993894,0.0,0.0,2025-10-20,561.2825073242187,19.049125615874104,580.3316329400928,542.2333817083446,599.380758555967,523.1842560924705,-150.07557518229547,-212.06829673067332,158550614,2438502.134156218,1557783.4346543835,425.0283360454318,43.78309927912974,523.1500040690104,533.8999837239583,515.500020345052,541.5499674479166,504.75004069010413,552.2999471028645,497.10005696614576,-0.1633049717206313,-81.65566147557946,-9.045336685053144,-4.244181933427929,-4.801154751625215,37.80733867627036,18.847803054795808,537.8400024414062,561.2825073242187,573.1844775390625,510.04390716552734,SARDAEN.NS,2025-11-03 11:36:41.471787
