Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-11-25 00:00:00+05:30,43.599998474121094,44.0,40.0099983215332,43.790000915527344,17771,0.0,0.0,2024-11-25,44.27750034332276,1.2130466330074539,45.49054697633021,43.064453710315306,46.703593609337666,41.85140707730785,-78.03700212368506,-91.93669696461305,-965989,1514.1396785420507,1062.75332452892,83.22707920579218,32.10363400444659,42.59999974568685,45.1900011698405,41.1999994913737,46.59000142415365,38.609998067220054,49.180002848307296,37.209997812906906,-0.06868057775326904,-42.986395399349256,-1.8819165214127835,-2.0736568480714257,0.19174032665864216,39.714488802225816,40.61957787695314,42.67400131225586,44.27750034332276,50.24400016784668,55.924700050354005,SELMC.NS,2024-11-25 11:01:17.182677
2,2024-11-22 00:00:00+05:30,43.20000076293945,43.20000076293945,40.4900016784668,41.400001525878906,13553,0.0,0.0,2024-11-22,44.399000358581546,1.2814171726221784,45.68041753120372,43.11758318595937,46.9618347038259,41.83616601333719,-165.78342418434897,-108.4837596227364,-983760,1091.7291708404814,949.9067360256373,83.29776543774923,25.601598204970514,41.696667989095054,42.90333429972331,40.193335215250656,44.40666707356771,38.9866689046224,45.61333338419597,37.483336130778,-0.15979551726542676,-85.20324900678273,-2.052811683218941,-2.121591929736086,0.06878024651714476,22.530936340883088,41.30758710292266,42.572000885009764,44.399000358581546,50.52660011291504,56.09300003051758,SELMC.NS,2024-11-25 11:01:17.182677
3,2024-11-21 00:00:00+05:30,44.40999984741211,44.970001220703125,41.099998474121094,41.7400016784668,13081,0.0,0.0,2024-11-21,44.65200023651123,1.1510204264604582,45.80302066297168,43.50097981005077,46.954041089432145,42.34995938359031,-146.10052937675405,-97.58551773553724,-970207,1062.361998225,914.4511273219263,83.3551161191161,32.41193337697257,42.60333379109701,44.10666910807292,40.23666636149089,46.47333653767904,38.733331044514976,47.97667185465495,36.36666361490886,-0.14072395138569277,-88.44759749855055,-2.0051273416535906,-2.1387869913653716,0.13365964971178101,23.412479855331043,41.210031748927946,43.01600036621094,44.65200023651123,50.860600051879885,56.2821000289917,SELMC.NS,2024-11-25 11:01:17.182677
4,2024-11-19 00:00:00+05:30,42.970001220703125,44.84000015258789,42.529998779296875,43.470001220703125,15647,0.0,0.0,2024-11-19,44.896500205993654,1.010712604439682,45.907212810433336,43.88578760155397,46.91792541487302,42.87507499711429,-92.82116380914911,-85.73351537695517,-957126,1323.4265841915224,877.4734095961578,83.4101688017503,44.81869874717904,43.61333338419596,44.69666798909505,42.38666661580403,45.92333475748698,41.303332010904946,47.00666936238606,40.076665242513016,-0.14581525937808287,-61.6731234507429,-1.9471810808641266,-2.172201903793317,0.22502082292919035,28.72209631694352,41.37999695773334,43.636000061035155,44.896500205993654,51.1916000366211,56.46080001831055,SELMC.NS,2024-11-25 11:01:17.182677
5,2024-11-18 00:00:00+05:30,45.22999954223633,46.63999938964844,42.08000183105469,42.970001220703125,12033,0.0,0.0,2024-11-18,45.16150016784668,1.2767941897473347,46.43829435759402,43.88470597809935,47.71508854734135,42.60791178835201,-90.3534109064197,-84.86023999085727,-972773,1006.0473050060715,765.9851159473168,83.47347047452746,54.20627086777107,43.89666748046875,45.71333312988281,41.15333557128906,48.4566650390625,39.336669921875,50.27333068847656,36.59333801269531,-0.07784269282990712,-71.40075106499829,-2.013868306727204,-2.2284571095256145,0.21458880279841042,24.102744681679056,42.298699088275626,43.89000015258789,45.16150016784668,51.48300003051758,56.64080001831055,SELMC.NS,2024-11-25 11:01:17.182677
6,2024-11-14 00:00:00+05:30,44.90999984741211,44.90999984741211,41.5,43.279998779296875,15237,0.0,0.0,2024-11-14,45.38700008392334,1.26760512129602,46.65460520521936,44.11939496262732,47.92221032651538,42.851789841331296,-215.7526784133649,-97.61355579618721,-960740,1283.115722807887,705.969568682628,83.52289813122857,42.903553886025904,43.22999954223633,44.959999084472656,41.54999923706055,46.63999938964844,39.81999969482422,48.369998931884766,38.13999938964844,-0.10077188277973848,-64.4000244140625,-2.019492583677234,-2.282104310225217,0.2626117265479828,25.036887878205476,43.28807061347501,44.37200012207031,45.38700008392334,51.814199981689455,56.8320000076294,SELMC.NS,2024-11-25 11:01:17.182677
7,2024-11-13 00:00:00+05:30,44.54999923706055,45.4900016784668,43.099998474121094,43.619998931884766,5858,0.0,0.0,2024-11-13,45.66800022125244,1.3926902254475997,47.06069044670004,44.27530999580484,48.45338067214764,42.882619770357245,-228.66313675758397,-89.65148399670166,-945503,497.1805577855485,561.6830301513132,83.58518037229098,43.488395038505736,44.06999969482422,45.040000915527344,42.64999771118164,46.46000289916992,41.679996490478516,47.43000411987305,40.25999450683594,-0.19278575764191266,-64.14253878628102,-2.026625052608445,-2.3477572418622126,0.32113218925376774,26.06573160455777,42.40680729859482,44.78200073242188,45.66800022125244,52.14400001525879,57.0371000289917,SELMC.NS,2024-11-25 11:01:17.182677
8,2024-11-12 00:00:00+05:30,45.900001525878906,45.900001525878906,43.11000061035156,44.84000015258789,3238,0.0,0.0,2024-11-12,45.96100025177002,1.5470206408542713,47.50802089262429,44.413979610915746,49.05504153347856,42.866958970061475,-206.69841933292642,-85.39943118144325,-939645,282.502027523239,577.8086482427543,83.60897424556744,43.961794164470085,44.61666742960612,46.12333424886067,43.33333333333333,47.40666834513346,41.826666514078774,48.913335164388016,40.543332417805985,-0.2133840504886761,-44.291322618142935,-2.038535197516019,-2.4280402891756543,0.3895050916596352,30.200811577589192,42.16024620941241,45.13600082397461,45.96100025177002,52.485600051879885,57.24250007629394,SELMC.NS,2024-11-25 11:01:17.182677
9,2024-11-11 00:00:00+05:30,44.0099983215332,45.88999938964844,44.0099983215332,44.7400016784668,6559,0.0,0.0,2024-11-11,46.221000289916994,1.7696533885599615,47.99065367847695,44.451346901357034,49.76030706703692,42.68169351279707,-136.30528525165943,-85.045300247502,-942883,570.9692850262169,651.6353034226331,83.62173681404737,39.755161050162485,44.87999979654948,45.75000127156575,43.870000203450516,46.76000086466471,42.99999872843424,47.630002339680985,41.98999913533528,-0.2377171738222339,-60.71938047127698,-2.143048530572763,-2.5254165620905633,0.3823680315178004,29.347719985475777,41.89962535765792,45.12800064086914,46.221000289916994,52.820600051879886,57.44190006256103,SELMC.NS,2024-11-25 11:01:17.182677
10,2024-11-08 00:00:00+05:30,45.5,45.5,44.11000061035156,45.380001068115234,4798,0.0,0.0,2024-11-08,46.48750019073486,1.9290410050801885,48.41654119581505,44.55845918565468,50.34558220089524,42.62941818057449,-35.208474730931215,-87.12381729773722,-936324,423.6467359730484,671.8018080217372,83.64768158836794,38.008704750484696,44.9966672261556,45.88333384195964,44.4933344523112,46.38666661580404,43.606667836507164,47.27333323160808,43.103335062662765,-0.2486759606010296,-57.82225233238372,-2.234538500738438,-2.621008569970013,0.38647006923157523,31.646322222668545,42.07397671130496,45.17600021362305,46.48750019073486,53.186600036621094,57.6468000793457,SELMC.NS,2024-11-25 11:01:17.182677
