Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-08-25 00:00:00+05:30,3.190000057220459,3.2300000190734863,3.109999895095825,3.2100000381469727,343487,0.0,0.0,2025-08-25,3.5419999718666078,0.2569578873487486,3.7989578592153563,3.285042084517859,4.055915746564105,3.0280841971691106,-102.13416120790512,-167.67220271127533,239631271,400943.01203745184,540503.7619680515,4.359330666073116,46.862940397947916,3.1833333174387612,3.2566667397816973,3.136666615804036,3.3033334414164224,3.0633331934611,3.3766668637593584,3.016666491826375,0.15238003239171868,-85.71426802088423,-0.16181009084459053,-0.12806689274169158,-0.03374319810289894,27.051518956967115,25.049288727726477,3.2300000190734863,3.5419999718666078,3.8391999912261965,3.5115999937057496,SHAH.NS,2025-08-25 11:33:39.722816
2,2025-08-22 00:00:00+05:30,3.25,3.2799999713897705,3.109999895095825,3.190000057220459,372404,0.0,0.0,2025-08-22,3.572499966621399,0.2516236528165759,3.824123619437975,3.320876313804823,4.075747272254551,3.0692526609882473,-102.83690059547631,-184.3137346389151,239287784,431988.6477487751,575393.9494507015,4.359763594439693,41.85802487438649,3.193333307902018,3.276666720708211,3.1066666444142657,3.3633333841959634,3.0233332316080728,3.4466667970021563,2.9366665681203203,0.149048288805204,-88.31166820555026,-0.16022265650468803,-0.11963109321596682,-0.04059156328872121,25.118011389958937,23.664048564391408,3.259999990463257,3.572499966621399,3.8651999950408937,3.5081999921798706,SHAH.NS,2025-08-25 11:33:39.722816
3,2025-08-21 00:00:00+05:30,3.259999990463257,3.259999990463257,3.0999999046325684,3.2100000381469727,237559,0.0,0.0,2025-08-21,3.6019999623298644,0.2386717484691967,3.840671710799061,3.363328213860668,4.079343459268258,3.124656465391471,-111.33881116291442,-208.3415608414677,239660188,277296.14511351235,611245.274876183,4.360241509341532,41.275333972320155,3.189999977747599,3.28000005086263,3.1199999650319414,3.3500000635782876,3.0299998919169107,3.4400001366933184,2.959999879201253,0.1621415545170284,-85.89742257358726,-0.15379294841000934,-0.1094832023937865,-0.04430974601622284,25.751812119207003,22.17225146541518,3.281999969482422,3.6019999623298644,3.8765999937057494,3.5048999905586244,SHAH.NS,2025-08-25 11:33:39.722816
4,2025-08-20 00:00:00+05:30,3.3299999237060547,3.390000104904175,3.200000047683716,3.2200000286102295,716442,0.0,0.0,2025-08-20,3.6309999585151673,0.22327466334161072,3.854274621856778,3.407725295173557,4.077549285198389,3.184450631831946,-89.64472566904968,-202.5268403906105,239897747,838888.4583627554,694732.5573168506,4.360541364736346,34.4836852213585,3.2700000603993735,3.340000073115031,3.1500000158945722,3.4600001176198325,3.0800000031789145,3.53000013033549,2.9599999586741133,0.15985950833271975,-97.05882662307815,-0.14520047255564617,-0.09840576588973078,-0.046794706665915384,26.057078177134358,20.326274053354112,3.3039999485015867,3.6309999585151673,3.8751999950408935,3.5027999901771545,SHAH.NS,2025-08-25 11:33:39.722816
5,2025-08-19 00:00:00+05:30,3.2899999618530273,3.390000104904175,3.2799999713897705,3.319999933242798,265281,0.0,0.0,2025-08-19,3.66349995136261,0.20701575868814392,3.870515710050754,3.456484192674466,4.077531468738898,3.249468433986322,-80.33472906304029,-202.21329356848108,240614189,320266.5099238492,658693.5820553744,4.361438762535554,49.69090518352943,3.3300000031789145,3.3800000349680586,3.2699999014536543,3.440000136693319,3.2199998696645102,3.490000168482463,3.15999976793925,0.1968486877746919,-82.8571603736087,-0.13298434006718862,-0.08670708922325193,-0.04627725084393669,29.28006121819037,18.803586013599464,3.3579999446868896,3.66349995136261,3.8727999925613403,3.5018999910354616,SHAH.NS,2025-08-25 11:33:39.722816
6,2025-08-18 00:00:00+05:30,3.299999952316284,3.380000114440918,3.200000047683716,3.359999895095825,246410,0.0,0.0,2025-08-18,3.690999948978424,0.19517602386681904,3.886175972845243,3.495823925111605,4.081351996712062,3.300647901244786,-101.9372109532662,-232.78348799640665,240879470,301068.2087820235,743300.3500882556,4.361742263021082,43.56422057325689,3.31333335240682,3.426666657129924,3.2466665903727217,3.493333419164022,3.1333332856496177,3.606666723887126,3.0666665236155195,0.17597454211696179,-77.14288049814493,-0.1251775498364287,-0.07513777651226775,-0.05003977332416096,30.690014442839484,17.583264876742405,3.3919999599456787,3.690999948978424,3.8679999923706054,3.501699991226196,SHAH.NS,2025-08-25 11:33:39.722816
7,2025-08-14 00:00:00+05:30,3.2899999618530273,3.4000000953674316,3.25,3.299999952316284,582023,0.0,0.0,2025-08-14,3.7219999551773073,0.18897506417442095,3.9109750193517283,3.5330248910028863,4.099950083526149,3.3440498268284653,-124.36163294729937,-258.8185002178498,240633060,698427.5899079951,853858.3854148136,4.362013501578449,45.68067309725627,3.3166666825612388,3.3833333651224775,3.233333269755046,3.4666667779286704,3.166666587193807,3.533333460489909,3.0833331743876142,0.1783942916011822,-92.75363070001762,-0.1172252532865663,-0.0626278331812275,-0.0545974201053388,25.707060874940524,16.158395197195645,3.427999973297119,3.7219999551773073,3.8617999935150147,3.5003999924659728,SHAH.NS,2025-08-25 11:33:39.722816
8,2025-08-13 00:00:00+05:30,3.3299999237060547,3.490000009536743,3.309999942779541,3.319999933242798,546120,0.0,0.0,2025-08-13,3.7524999618530273,0.16498404408997933,3.9174840059430065,3.587515917763048,4.082468050032986,3.4225318736730688,-139.76948226066693,-253.2938123971265,241215083,659315.7685609317,892716.0842915182,4.362693151237106,50.5329202829973,3.373333295186361,3.4366666475931806,3.2566665808359785,3.553333361943563,3.1933332284291587,3.616666714350383,3.0766665140787763,0.18947845196390123,-98.41270021480375,-0.09935867844085422,-0.048978478154892785,-0.050380200285961435,26.292135076645664,14.880447575618806,3.5059999942779543,3.7524999618530273,3.85699999332428,3.5002999925613403,SHAH.NS,2025-08-25 11:33:39.722816
9,2025-08-12 00:00:00+05:30,3.4800000190734863,3.640000104904175,3.440000057220459,3.490000009536743,449854,0.0,0.0,2025-08-12,3.7829999685287476,0.13436399220619774,3.9173639607349453,3.64863597632255,4.051727952941143,3.5142719841163523,-111.37818262583188,-189.10605712064546,241761203,570905.6233782351,951066.1632241647,4.363319650255507,50.30558967355186,3.5233333905537925,3.606666723887126,3.40666667620341,3.7233334382375083,3.3233333428700766,3.8066667715708418,3.2066666285196943,0.2141897319722638,-88.23530511735103,-0.07694830909416961,-0.036383428083402426,-0.04056488101076718,32.04934270502537,13.8235328451544,3.598000001907349,3.7829999685287476,3.85239999294281,3.4993999934196474,SHAH.NS,2025-08-25 11:33:39.722816
10,2025-08-11 00:00:00+05:30,3.430000066757202,3.5199999809265137,3.430000066757202,3.490000009536743,395487,0.0,0.0,2025-08-11,3.8074999690055846,0.12225405151141579,3.9297540205170005,3.6852459174941687,4.052008072028416,3.562991865982753,-189.942735317811,-202.02236917357695,242211057,501908.95773514983,1046106.2981856471,4.363752099934253,47.08523294380391,3.4800000190734863,3.5299999713897705,3.440000057220459,3.569999933242798,3.390000104904175,3.619999885559082,3.3500001430511475,0.24877389282369577,-88.23530511735103,-0.06383279359449778,-0.02624220783071063,-0.037590585763787154,32.04934270502538,13.464235994248678,3.6679999828338623,3.8074999690055846,3.843999991416931,3.495199992656708,SHAH.NS,2025-08-25 11:33:39.722816
