Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-23 00:00:00+05:30,749.9000244140625,764.7000122070312,747.2000122070312,754.6500244140625,11245,0.0,0.0,2024-08-23,765.1999938964843,12.022053893758061,777.2220477902424,753.1779400027262,789.2441016840005,741.1558861089682,-56.964678079325125,18.95105550103664,1882890,23866.997315815555,45439.02488166427,577.4753021121608,31.331259938141145,755.5166829427084,763.8333536783855,746.3333536783855,773.0166829427084,738.0166829427084,781.3333536783855,728.8333536783855,-0.15531002121379534,-73.0861958220665,-0.08132775287344884,1.934809431357334,-2.016137184230783,47.72782328038299,21.7991755764576,755.2599975585938,765.1999938964843,754.2959997558594,742.19,SILVERTUC.NS,2024-08-23 10:56:17.784044
2,2024-08-22 00:00:00+05:30,747.0,761.9500122070312,737.9500122070312,751.5999755859375,22503,0.0,0.0,2024-08-22,765.5149932861328,11.811773369765024,777.3267666558978,753.7032199163679,789.1385400256629,741.8914465466028,-114.38624122877815,-1.2063606486230276,1871645,47568.54980864455,50832.031773126444,577.2760213693382,33.533774445359484,750.5,763.0499877929688,739.0499877929688,774.5,726.5,787.0499877929688,715.0499877929688,-0.1292326341947586,-78.001666294521,0.26030215443881843,2.43884372741503,-2.1785415729762114,45.69434112875313,22.48515687940614,756.4499877929687,765.5149932861328,754.9349987792968,741.0489996337891,SILVERTUC.NS,2024-08-23 10:56:17.784044
3,2024-08-21 00:00:00+05:30,751.0,765.9500122070312,740.5,749.3499755859375,24921,0.0,0.0,2024-08-21,765.4324951171875,11.91934873722812,777.3518438544156,753.5131463799594,789.2711925916437,741.5937976427313,-128.78880031248121,5.13549183237105,1849142,52522.19850433074,51647.90226424691,576.8827609567372,39.36321255758971,751.9333292643229,763.3666585286458,737.9166463216145,777.3833414713541,726.4833170572916,788.816670735677,712.4666341145833,-0.13409371641995452,-85.12609145220588,0.9941315846853058,2.9834791206590827,-1.989347535973777,44.20757375268483,23.431707871435435,759.4299926757812,765.4324951171875,755.3679992675782,739.9534997558594,SILVERTUC.NS,2024-08-23 10:56:17.784044
4,2024-08-20 00:00:00+05:30,769.25,769.25,750.0499877929688,754.2999877929688,21221,0.0,0.0,2024-08-20,765.0449951171875,12.577517619291031,777.6225127364785,752.4674774978964,790.2000303557695,739.8899598786054,-74.17450489191815,29.25030446958066,1874063,45019.7086529132,51429.32820422595,576.4508033551931,37.806810672390824,757.8666585286459,765.683329264323,746.4833170572917,777.0666707356771,738.6666463216146,784.8833414713542,727.2833048502605,-0.1510109564338717,-84.70806648135515,2.140183937278266,3.480816004652527,-1.340632067374261,46.826527868702385,24.218574617703872,763.0099975585938,765.0449951171875,755.915,738.9515002441407,SILVERTUC.NS,2024-08-23 10:56:17.784044
5,2024-08-19 00:00:00+05:30,764.5999755859375,771.7000122070312,754.1500244140625,766.4000244140625,19652,0.0,0.0,2024-08-19,764.5449951171875,13.210014515096878,777.7550096322843,751.3349806020906,790.9650241473812,738.1249660869937,12.293312024105647,51.412431793015,1895284,42359.90714419782,53031.733092054135,576.0706891938729,43.717864330774624,764.0833536783854,774.0166829427083,756.4666951497395,781.6333414713541,746.5333658854166,791.566670735677,738.9167073567708,-0.09664505563853985,-62.27982944099955,3.0875500056288274,3.815974021496092,-0.7284240158672648,54.10159038110853,24.147657282227534,764.5599975585938,764.5449951171875,756.4640002441406,737.8015002441406,SILVERTUC.NS,2024-08-23 10:56:17.784044
6,2024-08-16 00:00:00+05:30,770.5,774.9000244140625,752.4000244140625,760.5999755859375,25570,0.0,0.0,2024-08-16,763.2199951171875,14.298336549473118,777.5183316666606,748.9216585677144,791.8166682161337,734.6233220182413,-30.271550841934516,43.038580443268046,1875632,54699.0481801352,55699.68957901821,575.6932306618882,44.51581313206068,762.6333414713541,772.8666585286458,750.3666585286458,785.1333414713541,740.1333414713541,795.3666585286458,727.8666585286458,-0.10823780631869352,-65.74021077228096,3.0620143197634206,3.998080025462908,-0.9360657056994874,50.69184908638118,23.6488243380281,762.5499877929688,763.2199951171875,756.6540002441407,736.4890002441406,SILVERTUC.NS,2024-08-23 10:56:17.784044
7,2024-08-14 00:00:00+05:30,765.7000122070312,775.0999755859375,757.25,766.5,23677,0.0,0.0,2024-08-14,762.3224975585938,15.01675430729509,777.3392518658889,747.3057432512987,792.356006173184,732.2889889440036,-11.134794251260791,54.845602182901196,1901202,51042.45650841096,55949.84992873896,575.2148624145262,51.300609523005335,766.2833251953125,775.316650390625,757.4666748046875,784.13330078125,748.433349609375,793.1666259765625,739.61669921875,-0.08263580853310358,-58.610271903323266,3.554143677451634,4.23209645188778,-0.6779527744361458,54.51744050707393,23.111619628890242,760.7999877929688,762.3224975585938,756.4450012207031,735.3745007324219,SILVERTUC.NS,2024-08-23 10:56:17.784044
8,2024-08-13 00:00:00+05:30,762.0499877929688,800.0,756.0,767.25,29252,0.0,0.0,2024-08-13,761.0949981689453,15.647442747698584,776.7424409166439,745.4475554212466,792.3898836643424,729.8001126735481,38.08961900065797,83.64577362535259,1924879,63122.64605973852,57176.69828382095,574.7555286313703,57.75518966563799,774.4166666666666,792.8333333333333,748.8333333333333,818.4166666666666,730.4166666666666,836.8333333333333,704.8333333333333,-0.07697528834314822,-57.70392749244713,3.5493047131454887,4.401584645496817,-0.8522799323513279,55.00745232118105,22.062211302568464,759.3999877929688,761.0949981689453,756.8130017089844,734.1515008544922,SILVERTUC.NS,2024-08-23 10:56:17.784044
9,2024-08-12 00:00:00+05:30,755.1500244140625,766.7999877929688,751.2000122070312,762.0499877929688,24025,0.0,0.0,2024-08-12,759.9849975585937,15.971888313423326,775.956885872017,744.0131092451704,791.9287741854404,728.041220931747,-61.83401004762958,27.937927299533516,1895627,51491.9798780155,55690.21133984156,574.1827528382462,57.196419364153975,760.0166625976562,768.8333129882812,753.2333374023438,775.6166381835938,744.4166870117188,784.4332885742188,737.6333618164062,-0.04914675064744847,-63.98793015955438,3.4154683919783793,4.614654628584648,-1.1991862366062689,52.24396989727568,20.932079258837316,758.139990234375,759.9849975585937,757.0260021972656,732.9145007324219,SILVERTUC.NS,2024-08-23 10:56:17.784044
10,2024-08-09 00:00:00+05:30,755.7999877929688,765.0,752.5,756.3499755859375,22202,0.0,0.0,2024-08-09,758.9199981689453,16.527424707922563,775.4474228768679,742.3925734610227,791.9748475847905,725.8651487531001,-88.09365679399312,17.047076363515142,1871602,47228.878139333865,56739.76920529807,573.7225090681912,57.678776988076685,757.9499918619791,763.3999837239583,750.8999837239583,770.4499918619791,745.4499918619791,775.8999837239583,738.3999837239583,-0.08084363087111633,-70.87616243391238,3.704490237661844,4.914451187736215,-1.2099609500743709,49.05927312669912,21.575112055427606,758.3199951171875,758.9199981689453,757.3910021972656,731.7060009765624,SILVERTUC.NS,2024-08-23 10:56:17.784044
