Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-23 00:00:00+05:30,310.70001220703125,319.3999938964844,309.54998779296875,311.29998779296875,52511,0.0,0.0,2025-01-23,321.0925018310547,12.286315463759248,333.3788172948139,308.8061863672954,345.6651327585732,296.5198709035362,-16.69134003867203,-104.50138214213858,9887457,51799.62513976248,107825.2207382742,350.64867756280535,38.1158093910368,313.4166564941406,317.2833251953125,307.4333190917969,323.26666259765625,303.566650390625,327.1333312988281,297.58331298828125,-0.28016934417230516,-59.5336212338642,-4.9074088417976895,-4.850012777456034,-0.05739606434165534,41.75662251210246,17.228998415319293,314.8299987792969,321.0925018310547,329.075,333.03450103759764,SIRCA.NS,2025-01-23 10:58:53.020119
2,2025-01-22 00:00:00+05:30,312.70001220703125,318.70001220703125,308.04998779296875,313.6000061035156,108222,0.0,0.0,2025-01-22,322.4375030517578,12.625601434823524,335.0631044865813,309.8119016169343,347.68870592140485,297.18630018211076,-19.32007268886974,-109.16470984242922,9939968,107544.65790928857,121831.61963790213,350.67676846784184,38.5881055419486,313.4500020345052,318.85001627604163,308.19999186197913,324.1000264485677,302.7999776204427,329.50004069010413,297.54996744791663,-0.1527314054858757,-58.666622277462125,-4.828327953865937,-4.83566376137062,0.00733580750468299,43.20890496367037,17.12112437619971,316.99000244140626,322.4375030517578,329.8490002441406,333.1380010986328,SIRCA.NS,2025-01-23 10:58:53.020119
3,2025-01-21 00:00:00+05:30,314.0,318.3999938964844,310.0,313.8999938964844,117622,0.0,0.0,2025-01-21,323.332502746582,12.60057941395705,335.9330821605391,310.73192333262494,348.53366157449614,298.1313439186679,-13.120137587995652,-112.2670588769697,10048190,116997.63723983335,125403.36007005551,350.73139982295737,40.14913497554646,314.09999593098956,318.19999186197913,309.79999796549475,322.49998982747394,305.7000020345052,326.5999857584635,301.4000040690104,-0.14994505729158314,-62.405207096209345,-4.880440924084894,-4.8374977132467905,-0.042943210838103596,43.39169016369099,16.898953061870042,318.2900024414063,323.332502746582,330.8290002441406,333.30250091552733,SIRCA.NS,2025-01-23 10:58:53.020119
4,2025-01-20 00:00:00+05:30,321.5,324.20001220703125,311.0,313.8500061035156,118983,0.0,0.0,2025-01-20,323.8000030517578,12.404118336836344,336.20412138859416,311.39588471492146,348.6082397254305,298.9917663780851,9.655542061834765,-100.40595093537729,9930568,118332.56559243314,127504.79077761104,350.7904780602548,45.5566376047121,316.3500061035156,321.70001220703125,308.5,329.5500183105469,303.1499938964844,334.9000244140625,295.29998779296875,-0.16051495808531713,-65.6063379465621,-4.902759495504881,-4.826761910537264,-0.07599758496761755,43.354605320970094,16.850307151271295,317.8000061035156,323.8000030517578,331.96800048828123,333.5365008544922,SIRCA.NS,2025-01-23 10:58:53.020119
5,2025-01-17 00:00:00+05:30,321.3999938964844,327.5,319.0,321.5,190637,0.0,0.0,2025-01-17,324.36500244140626,12.18242140042969,336.54742384183595,312.1825810409766,348.72984524226564,300.0001596405469,78.79879391109851,-55.313882954322644,10049551,194216.17498587669,129797.84707390549,350.8505142713245,52.758862135249,322.6666666666667,326.33333333333337,317.83333333333337,331.1666666666667,314.1666666666667,334.83333333333337,309.33333333333337,-0.1402650040719636,-50.39760810226237,-4.852126755128836,-4.8077625142953595,-0.044364240833476565,47.803845322420905,16.8929009955926,314.9600036621094,324.36500244140626,333.26100036621096,333.80050079345705,SIRCA.NS,2025-01-23 10:58:53.020119
6,2025-01-16 00:00:00+05:30,320.1000061035156,327.0,318.5,322.1000061035156,113941,0.0,0.0,2025-01-16,324.65750274658205,12.180241358939263,336.8377441055213,312.4772613876428,349.0179854644606,300.2970200287035,53.10001627604212,-56.07657409135628,10240188,116296.858684647,113693.26509591268,350.92714115941584,44.07425955191641,322.53333536783856,326.5666707356771,318.0666707356771,331.03333536783856,314.03333536783856,335.0666707356771,309.5666707356771,-0.10020854438463163,-49.20475345992158,-5.467192921950755,-4.79667145408699,-0.6705214678637645,48.16382392614068,17.744534807958406,311.6600036621094,324.65750274658205,334.1720001220703,333.95600067138673,SIRCA.NS,2025-01-23 10:58:53.020119
7,2025-01-15 00:00:00+05:30,313.1000061035156,333.0,312.8999938964844,320.1000061035156,156999,0.0,0.0,2025-01-15,324.95250244140624,12.186485858673112,337.13898830007935,312.76601658273313,349.32547415875246,300.57953072406,27.652997164144022,-62.97613458266215,10126247,159250.1290487575,113042.36669872909,350.97219356591535,42.62058037105205,322.0,331.1000061035156,311.0,342.1000061035156,301.8999938964844,351.20001220703125,290.8999938964844,-0.12723740267464428,-53.180895153652614,-6.230919252971262,-4.629041087121049,-1.6018781658502128,46.92678515110284,18.602126407610413,310.55,324.95250244140624,334.8670001220703,334.10450073242185,SIRCA.NS,2025-01-23 10:58:53.020119
8,2025-01-14 00:00:00+05:30,304.1000061035156,319.3999938964844,304.04998779296875,311.45001220703125,55686,0.0,0.0,2025-01-14,325.6300018310547,12.27881753807104,337.90881936912575,313.35118429298365,350.1876369071968,301.0723667549126,-58.574506272340614,-145.79032909665605,9969248,54958.08603385874,101490.42611122198,351.0388185334223,50.826166755774885,311.6333312988281,319.2166748046875,303.8666687011719,326.98333740234375,296.2833251953125,334.5666809082031,288.51666259765625,-0.17465692044919953,-70.37769584481786,-6.917342824460036,-4.228571545658496,-2.68877127880154,41.301009382900354,19.525686591851038,309.1700012207031,325.6300018310547,335.28900024414065,334.2990005493164,SIRCA.NS,2025-01-23 10:58:53.020119
9,2025-01-13 00:00:00+05:30,300.3999938964844,312.1000061035156,296.54998779296875,299.6499938964844,106750,0.0,0.0,2025-01-13,327.0025009155273,12.143794931597439,339.14629584712475,314.8587059839299,351.2900907787222,302.71491105233247,-117.45513646497022,-228.327213089178,9913562,101362.98261173324,113123.5111305628,351.06914513258346,51.297102545384924,302.76666259765625,308.98333740234375,293.4333190917969,318.3166809082031,287.2166442871094,324.5333557128906,277.88330078125,-0.20138573809731752,-93.83696824049541,-6.839471440205386,-3.5563787259581106,-3.283092714247276,32.196892183722426,18.821986440634806,310.67999877929685,327.0025009155273,335.9109997558594,334.5600003051758,SIRCA.NS,2025-01-23 10:58:53.020119
10,2025-01-10 00:00:00+05:30,316.6499938964844,318.20001220703125,299.95001220703125,305.0,184796,0.0,0.0,2025-01-10,329.33250122070314,11.039860563122813,340.37236178382597,318.2926406575803,351.41222234694874,307.25278009445753,-117.37463662790718,-212.0931973214928,10020312,178603.36217258993,116063.64326027018,351.1447650671269,50.9865598051461,307.7166748046875,315.48333740234375,297.23333740234375,325.9666748046875,289.4666748046875,333.73333740234375,278.98333740234375,-0.14298689124048822,-89.23243400816882,-5.4740211003831405,-2.7356055473962915,-2.738415552986849,34.44612644053376,16.924736083943518,314.22999877929686,329.33250122070314,336.6879998779297,334.86831451416015,SIRCA.NS,2025-01-23 10:58:53.020119
