Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-02-14 00:00:00+05:30,916.9500122070312,917.0,864.2999877929688,870.75,70752,0.0,0.0,2025-02-14,968.5049987792969,42.03907465565117,1010.544073434948,926.4659241236458,1052.5831480905993,884.4268494679945,-138.32453500571282,-138.66553262766485,28649133,139929.99975614884,141426.49817589432,749.3399702974214,49.38989540935807,884.0166625976562,903.7333374023438,851.0333251953125,936.7166748046875,831.316650390625,956.433349609375,798.3333129882812,-0.06706220983930251,-96.45408823222489,-39.3152765111015,-35.78641805783422,-3.528858453267283,28.947371098329214,25.63220194597744,925.3300048828125,968.5049987792969,1083.4460083007812,1093.6875048828124,SJS.NS,2025-02-14 10:57:39.603730
2,2025-02-13 00:00:00+05:30,927.25,929.4000244140625,903.0,908.25,33431,0.0,0.0,2025-02-13,976.4649963378906,37.36773398879843,1013.8327303266891,939.0972623490921,1051.2004643154876,901.7295283602938,-140.91948535391523,-117.49141853450494,28719885,68965.74046144391,141800.62278083066,749.240209642542,46.35405612017415,913.5500081380209,924.1000162760417,897.6999918619792,939.9500325520834,887.1499837239584,950.5000406901042,871.2999674479167,-0.07396706290262482,-92.12020527384723,-34.671957013329575,-34.90420344451739,0.23224643118781785,32.78684845450147,24.74849806321673,952.2800048828125,976.4649963378906,1091.6560083007812,1094.7720050048829,SJS.NS,2025-02-14 10:57:39.603730
3,2025-02-12 00:00:00+05:30,935.0,949.8499755859375,901.0,927.25,102725,0.0,0.0,2025-02-12,983.6299987792969,37.337956917064126,1020.9679556963611,946.2920418622327,1058.305912613425,908.9540849451687,-121.43099681501354,-110.37013248421668,28753316,216347.37057858022,160009.34336067733,749.1784495572931,44.936691725434436,926.0333251953125,951.066650390625,902.2166748046875,974.88330078125,877.183349609375,999.9166259765625,853.36669921875,-0.080710901916083,-79.4323870808391,-31.894950125828927,-34.96226505231434,3.067314926485416,34.96899430215616,24.46427990126156,973.25,983.6299987792969,1098.6660083007812,1095.7340051269532,SJS.NS,2025-02-14 10:57:39.603730
4,2025-02-11 00:00:00+05:30,973.0,985.7999877929688,922.0999755859375,939.4000244140625,77491,0.0,0.0,2025-02-11,989.2549987792969,36.8683827480864,1026.1233815273833,952.3866160312105,1062.9917642754697,915.5182332831241,-81.51716540762409,-95.57315482000486,28856041,165340.96265274368,145924.8365562016,748.9656729056347,50.45001594081006,949.0999959309896,976.1000162760417,912.4000040690105,1012.8000081380209,885.3999837239584,1039.800028483073,848.6999918619792,-0.06797209488024565,-71.31884493314253,-29.727495093713173,-35.729093783935696,6.001598690222522,36.407849609020225,24.158198803771374,990.2800048828125,989.2549987792969,1105.5120092773439,1096.3580053710937,SJS.NS,2025-02-14 10:57:39.603730
5,2025-02-10 00:00:00+05:30,1005.5,1013.0499877929688,978.5,981.0,23573,0.0,0.0,2025-02-10,992.5099975585938,35.06480206622345,1027.5747996248172,957.4451954923703,1062.6396016910408,922.3803934261468,25.06371806544812,-67.00319681071932,28933532,52524.56845783925,141070.80503206607,748.7938656601759,56.91255651344767,990.8499959309896,1003.1999918619792,968.6500040690105,1025.3999837239585,956.3000081380209,1037.749979654948,934.1000162760417,-0.08225575916753278,-43.53921719272404,-27.69867256922703,-37.229493456491326,9.530820887264298,41.88747009604875,24.210427494238292,1001.8300048828125,992.5099975585938,1111.7090087890624,1097.2050048828125,SJS.NS,2025-02-14 10:57:39.603730
6,2025-02-07 00:00:00+05:30,1021.7000122070312,1027.25,1000.0,1005.5,31946,0.0,0.0,2025-02-07,993.9974975585938,35.18165719383718,1029.179154752431,958.8158403647566,1064.360811946268,923.6341831709194,74.93522914531887,-54.75024821578046,28957105,72958.71757279111,163207.36417562276,748.7301196994903,52.64318440259236,1010.9166666666666,1021.8333333333333,994.5833333333333,1038.1666666666665,983.6666666666666,1049.0833333333333,967.3333333333333,-0.10463856944867096,-27.178609522792513,-28.778455378625267,-39.6121986783074,10.833743299682133,45.64438051537175,25.491031398089543,1002.7300048828125,993.9974975585938,1117.0840087890624,1097.509005126953,SJS.NS,2025-02-14 10:57:39.603730
7,2025-02-06 00:00:00+05:30,1001.0,1034.0,1001.0,1013.0999755859375,30339,0.0,0.0,2025-02-06,995.7474975585938,36.62480912548596,1032.3723066840796,959.1226884331078,1068.9971158095657,922.4978793076218,95.61924750836232,-53.77257256339155,28989051,69812.34017310638,185769.52582633068,748.6345574656079,51.57754370487197,1016.0333251953125,1031.066650390625,998.066650390625,1049.0333251953125,983.0333251953125,1064.066650390625,965.066650390625,-0.14398720079089214,-22.1034985488096,-32.13774616673936,-42.32063450322793,10.182888336488567,46.85487929781323,27.435296413664634,999.2,995.7474975585938,1121.8370092773437,1097.4525048828125,SJS.NS,2025-02-14 10:57:39.603730
8,2025-02-05 00:00:00+05:30,1027.699951171875,1029.0,991.1500244140625,1012.4000244140625,65662,0.0,0.0,2025-02-05,999.6,42.17760025857741,1041.7776002585774,957.4223997414226,1083.955200517155,915.2447994828452,88.65891670590116,-60.736129925532225,28958712,150988.8519954086,214758.82223963673,748.541049327711,47.3167292132756,1010.8500162760416,1030.5500081380208,992.7000325520833,1048.699991861979,973.0000406901041,1068.3999837239583,954.8500569661458,-0.15573871698143624,-35.90379453855017,-36.70020323851941,-44.86635658735007,8.166153348830662,46.73406276252137,29.535848005144548,979.4400024414062,999.6,1126.4720092773437,1097.1605053710937,SJS.NS,2025-02-14 10:57:39.603730
9,2025-02-04 00:00:00+05:30,995.3499755859375,1009.9000244140625,982.7999877929688,997.1500244140625,28594,0.0,0.0,2025-02-04,1005.5724975585938,51.51026989252116,1057.082767451115,954.0622276660727,1108.593037343636,902.5519577735515,61.811050565532874,-74.58737617927551,28893050,64761.074583538386,230701.31480069374,748.3389812560806,46.734167390422435,996.6166788736979,1010.433369954427,983.3333333333333,1023.7167154947916,969.5166422526041,1037.5334065755208,956.2332967122395,-0.16538326051708363,-48.332462222550696,-41.91653258260612,-46.90789492455773,4.991362341951607,44.16635198463082,31.692833481673453,966.2699951171875,1005.5724975585938,1129.9570092773438,1096.6520050048828,SJS.NS,2025-02-14 10:57:39.603730
10,2025-02-03 00:00:00+05:30,1036.0,1046.199951171875,972.5499877929688,985.5,96812,0.0,0.0,2025-02-03,1012.8974975585937,59.97113474623023,1072.868632304824,952.9263628123635,1132.8397670510542,892.9552280661333,79.74590818640448,-75.29311314797086,28864456,216702.76370013834,272186.37485498254,748.2559768508106,50.911737457653565,1001.4166463216146,1030.2833048502605,956.6333414713542,1075.066609700521,927.7666829427084,1103.9332682291667,882.983378092448,-0.15462296503138548,-54.30990019231245,-46.45802193098041,-48.15573551004563,1.6977135790652227,42.18949763472588,33.53811706597586,951.789990234375,1012.8974975585937,1133.0380078125,1096.0015045166015,SJS.NS,2025-02-14 10:57:39.603730
