Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-24 00:00:00+05:30,659.0499877929688,663.7999877929688,656.5999755859375,658.8499755859375,4304,0.0,0.0,2023-11-24,666.8450012207031,9.000422366233238,675.8454235869364,657.8445788544699,684.8458459531696,648.8441564882366,-101.66368904163495,-105.21842199546562,361856,3312.3354465476536,2583.7460035225595,619.2016687029188,37.29374756680586,659.7499796549479,662.8999837239583,655.699971516927,666.9499918619791,652.5499674479166,670.0999959309895,648.4999593098958,-0.43331867997684675,-93.5591283238025,-5.930658050504576,-5.610615638399456,-0.32004241210511974,39.959020745425,31.47565466024716,660.6800048828125,666.8450012207031,684.4319982910156,698.3414978027344,SOMANYCERA.BO,2023-11-27 11:03:51.496068
2,2023-11-23 00:00:00+05:30,667.9000244140625,678.4500122070312,657.0499877929688,658.9500122070312,3672,0.0,0.0,2023-11-23,666.8575012207032,8.988900508913774,675.8464017296169,657.8686007117894,684.8353022385307,648.8797002028756,-84.6548493148347,-87.81658366434218,366160,2826.380695979044,2401.5986427662856,619.1491363800428,41.856733429242205,664.8166707356771,672.5833536783855,651.183329264323,686.2166951497396,643.4166463216146,693.983378092448,629.7833048502605,-0.45295478469548445,-93.42627754384117,-5.708980459475924,-5.530605035373176,-0.17837542410274843,40.01201370418352,31.759932052960213,663.8300048828125,666.8575012207032,686.3609985351562,698.4419982910156,SOMANYCERA.BO,2023-11-27 11:03:51.496068
3,2023-11-22 00:00:00+05:30,665.0,667.7999877929688,656.1500244140625,657.7000122070312,871,0.0,0.0,2023-11-22,667.5675018310546,8.89172223897769,676.4592240700323,658.675779592077,685.35094630901,649.7840573530992,-122.32543658148197,-112.97690128875442,362488,669.1469769523674,2295.403129463096,619.104094531917,31.673566138521352,660.5500081380209,664.9499918619792,653.300028483073,672.1999715169271,648.9000447591146,676.5999552408855,641.6500651041667,-0.4375580002497393,-88.66870041602168,-5.348518355471583,-5.486011179347488,0.13749282387590522,39.07417077159451,32.02178426895846,666.9800048828125,667.5675018310546,688.1549987792969,698.435498046875,SOMANYCERA.BO,2023-11-27 11:03:51.496068
4,2023-11-21 00:00:00+05:30,671.9500122070312,673.0,658.0999755859375,660.5,6407,0.0,0.0,2023-11-21,669.0125,9.529177008459333,678.5416770084594,659.4833229915407,688.0708540169187,649.9541459830814,-94.58224261905237,-104.66563352539518,363359,4943.14171321362,2701.9671675907775,619.0937312569281,34.64688240875927,663.8666585286459,669.6333414713542,654.7333170572917,678.7666829427084,648.9666341145834,684.5333658854167,639.8332926432292,-0.46313306375328656,-85.20122327302632,-4.682873413898392,-5.520384385316464,0.8375109714180722,40.387507885270374,32.90950937289232,670.4800048828125,669.0125,689.507998046875,698.4834979248047,SOMANYCERA.BO,2023-11-27 11:03:51.496068
5,2023-11-20 00:00:00+05:30,675.0499877929688,678.75,666.0,667.4000244140625,1391,0.0,0.0,2023-11-20,670.025,9.652112394138177,679.6771123941381,660.3728876058618,689.3292247882763,650.7207752117237,-37.86483003327051,-77.41238552538987,369766,1084.3983885463533,2141.6735311850666,619.0117872972769,38.792394411683404,670.7166748046875,675.433349609375,662.683349609375,683.4666748046875,657.9666748046875,688.183349609375,649.933349609375,-0.4520767840897286,-76.65630139802632,-4.035449924163117,-5.729762128170982,1.6943122040078649,43.752597751612434,33.68903950148028,675.260009765625,670.025,691.122998046875,698.5584979248047,SOMANYCERA.BO,2023-11-27 11:03:51.496068
6,2023-11-17 00:00:00+05:30,673.5999755859375,681.0,673.0,674.5999755859375,2754,0.0,0.0,2023-11-17,671.1174987792969,10.535507022571366,681.6530058018682,660.5819917567255,692.1885128244396,650.0464847341541,9.38287332829095,-53.74488039200401,371157,2170.1301083347366,2405.992316844745,618.9909879505921,43.84748011728026,676.1999918619791,679.3999837239583,671.3999837239583,684.1999918619791,668.1999918619791,687.3999837239583,663.3999837239583,-0.43067123230355286,-67.73995319756192,-3.8249563466572454,-6.153340179172948,2.3283838325157022,47.59506579971238,33.79975739188929,677.5900024414062,671.1174987792969,692.5049975585938,698.4454974365234,SOMANYCERA.BO,2023-11-27 11:03:51.496068
7,2023-11-16 00:00:00+05:30,689.0,689.0,673.1500244140625,674.7000122070312,2103,0.0,0.0,2023-11-16,672.025,11.58108155860404,683.606081558604,660.4439184413959,695.187163117208,648.862836882792,34.89521495096109,-42.387074954689275,373911,1657.393022001036,2464.957868972247,618.9436225248883,53.42212806698382,678.9500122070312,684.75,668.9000244140625,694.7999877929688,663.1000366210938,700.5999755859375,653.050048828125,-0.42214350429948316,-67.61606883707431,-4.206592997737175,-6.735436137301873,2.5288431395646978,47.64903467256884,33.22930900114925,679.6800048828125,672.025,693.6239978027344,698.2229974365234,SOMANYCERA.BO,2023-11-27 11:03:51.496068
8,2023-11-15 00:00:00+05:30,690.0,690.0,674.25,675.2000122070312,4268,0.0,0.0,2023-11-15,673.3324981689453,13.254274482834319,686.5867726517797,660.078223686111,699.841047134614,646.8239492032767,47.83879761752531,-40.67469940717189,376014,3366.14149548044,2666.8490807150497,618.9073340261282,44.69617064877971,679.8166707356771,685.3833414713542,669.6333414713542,695.5666707356771,664.0666707356771,701.1333414713542,653.8833414713542,-0.4072329868814993,-66.99687379063468,-4.6413193925193355,-7.367646922193047,2.7263275296737115,47.90121620385934,32.60030412300512,678.1599975585938,673.3324981689453,694.4819970703124,697.8304974365234,SOMANYCERA.BO,2023-11-27 11:03:51.496068
9,2023-11-13 00:00:00+05:30,680.9000244140625,686.0,678.7999877929688,684.4000244140625,2663,0.0,0.0,2023-11-13,674.2849975585938,14.055808354900375,688.3408059134941,660.2291892036934,702.3966142683945,646.173380848793,81.37323234989043,-27.69684635199413,380282,2128.907040053641,2492.025977023702,618.8328804724594,47.94996558030063,683.0666707356771,687.3333536783855,680.1333414713542,690.2666829427084,675.8666585286459,694.5333658854167,672.933329264323,-0.3741003203821594,-55.603669819078945,-5.176820316255316,-8.049228804611474,2.8724084883561574,52.663340346287534,31.82193341278937,674.8599975585937,674.2849975585938,695.1899963378906,697.4304974365234,SOMANYCERA.BO,2023-11-27 11:03:51.496068
10,2023-11-10 00:00:00+05:30,684.0,689.3499755859375,676.0499877929688,679.0499877929688,2788,0.0,0.0,2023-11-10,675.3049957275391,15.494977381665464,690.7999731092045,659.8100183458737,706.2949504908701,644.3150409642082,98.85687469874621,-39.56223308920249,377619,2211.41387683261,2582.8057112662173,618.7787271524077,49.61786319117566,681.4833170572916,686.9166463216145,673.6166585286458,694.7833048502604,668.1833292643229,700.2166341145833,660.316670735677,-0.42555578917955755,-62.22910216718266,-6.690048908454287,-8.767330926700513,2.077282018246226,49.97801856521127,30.577746439215147,669.839990234375,675.3049957275391,695.7029956054688,696.9229974365235,SOMANYCERA.BO,2023-11-27 11:03:51.496068
