Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-08-14 00:00:00+05:30,149.89999389648438,161.60000610351562,147.5,150.2899932861328,23875,0.0,0.0,2025-08-14,150.4520004272461,3.088218627622879,153.54021905486897,147.36378179962324,156.62843768249186,144.27556317200035,79.01061901466424,-23.019078159319157,2780735,65003.143842626174,34553.748818699416,140.87450795579215,38.30291485824297,153.12999979654947,158.75999959309894,144.65999348958331,167.2300059000651,139.02999369303384,172.86000569661456,130.5599873860677,-0.3226672075719114,-60.30681429995735,-1.9138155367712386,-2.407953984551177,0.49413844777993843,47.18777778386245,25.05217844583211,149.70399780273436,150.4520004272461,154.53840026855468,168.6288998413086,SOMICONVEY.NS,2025-08-15 11:36:09.862556
2,2025-08-13 00:00:00+05:30,155.5,156.89999389648438,145.0500030517578,148.22000122070312,15770,0.0,0.0,2025-08-13,150.47750091552734,3.088916055518722,153.56641697104607,147.38858486000862,156.6553330265648,144.2996688044899,18.4671840775581,-74.3322731074583,2756860,42344.73527072507,26941.40006271773,140.85811410973588,21.53292467544037,150.0566660563151,155.06332906087238,143.21333821614581,161.90665690104166,138.20667521158853,166.91331990559894,131.36334737141925,-0.2801487259169289,-70.23007415069041,-2.132102107436822,-2.5314885964961613,0.3993864890593395,43.56661794283404,26.27085683823424,148.37799987792968,150.47750091552734,154.71000030517578,168.8617999267578,SOMICONVEY.NS,2025-08-15 11:36:09.862556
3,2025-08-12 00:00:00+05:30,156.9499969482422,158.8000030517578,148.5,152.77000427246094,8824,0.0,0.0,2025-08-12,150.71550064086915,3.089199722543922,153.80470036341308,147.62630091832523,156.893900085957,144.5371011957813,100.65023088489926,-21.8112004994618,2772630,24421.05976573203,23090.566260715896,140.849637633141,29.70374833555273,153.3566691080729,158.21333821614581,147.913335164388,163.65667215983072,143.0566660563151,168.51334126790363,137.6133321126302,-0.27324239741345224,-48.41797962227549,-2.175407633020342,-2.631335218760996,0.4559275857406542,50.65585067772329,28.09910999917165,147.64800109863282,150.71550064086915,155.01620025634764,169.13809997558593,SOMICONVEY.NS,2025-08-15 11:36:09.862556
4,2025-08-11 00:00:00+05:30,146.5,162.8699951171875,146.5,151.47999572753906,8372,0.0,0.0,2025-08-11,150.70900039672853,3.084782759457641,153.79378315618618,147.62421763727087,156.8785659156438,144.53943487781325,128.60161104055993,-18.455998731893864,2763806,22974.46570113828,22757.942884461863,140.84195288707875,38.75629720441249,153.61666361490884,160.7333272298177,144.3633321126302,169.98665873209634,137.24666849772134,177.1033223470052,127.99333699544269,-0.28224336180581616,-54.602104776527504,-2.6459974680993525,-2.7453171151961593,0.09931964709680674,48.44738997890894,29.730094746306467,147.18600158691407,150.70900039672853,155.23440002441407,169.30110000610352,SOMICONVEY.NS,2025-08-15 11:36:09.862556
5,2025-08-08 00:00:00+05:30,146.5,146.5,143.99000549316406,145.75999450683594,2513,0.0,0.0,2025-08-08,150.8915008544922,3.237010701184354,154.12851155567654,147.65449015330785,157.3655222568609,144.41747945212347,-96.96597028492951,-158.66039156042962,2755434,6635.776469800429,22703.812180292756,140.83544213616204,32.36504335942108,145.41666666666666,146.84332784016925,144.33333333333331,147.9266611735026,142.90667215983072,149.3533223470052,141.82333882649738,-0.27591601986356495,-75.80645161290323,-3.081357893161197,-2.7701470269703607,-0.3112108661908364,36.80118008617556,31.4865398586055,147.002001953125,150.8915008544922,155.41440002441405,169.5948001098633,SOMICONVEY.NS,2025-08-15 11:36:09.862556
6,2025-08-07 00:00:00+05:30,146.2899932861328,146.97999572753906,142.00999450683594,143.66000366210938,10659,0.0,0.0,2025-08-07,151.4730010986328,3.310444416410586,154.78344551504338,148.16255668222223,158.093889931454,144.85211226581163,-180.2575742473397,-194.54449900554786,2752921,27740.434019386867,26720.82110791584,140.8345372807951,24.875997304119778,144.21666463216147,146.423334757487,141.45333353678387,149.1866658528646,139.24666341145834,151.39333597819012,136.48333231608075,-0.26074282247441133,-89.35477964339718,-3.0287304702823405,-2.692344310422651,-0.33638615985968956,31.527829669193906,29.773885669073856,147.9780029296875,151.4730010986328,156.24920013427734,169.96190017700195,SOMICONVEY.NS,2025-08-15 11:36:09.862556
7,2025-08-06 00:00:00+05:30,144.0,147.99000549316406,143.14999389648438,144.57000732421875,29453,0.0,0.0,2025-08-06,152.14500122070314,2.9895464851390643,155.1345477058422,149.15545473556406,158.12409419098125,146.16590825042502,-216.41099425488497,-193.55188195234803,2763580,77138.05012443045,26465.91788004808,140.83233351658095,36.732310704922185,145.2366689046224,147.32334391276044,142.48333231608075,150.0766805013021,140.39665730794272,152.16335550944012,137.64332071940106,-0.24839251991412573,-89.91168952117614,-2.7086442855207338,-2.6082477704577283,-0.10039651506300551,32.62314953217876,27.929488849578245,149.59200134277344,152.14500122070314,157.1670001220703,170.4093000793457,SOMICONVEY.NS,2025-08-15 11:36:09.862556
8,2025-08-05 00:00:00+05:30,152.0,152.0,149.5,150.4600067138672,1935,0.0,0.0,2025-08-05,152.7565010070801,2.5815157245910276,155.3380167316711,150.17498528248908,157.91953245626215,147.59346955789803,-26.107139772730367,-102.39102019382476,2793033,5274.277336365566,13797.884818952489,140.82426067449632,44.359886859511505,150.65333557128906,151.80667114257812,149.30667114257812,153.15333557128906,148.15333557128906,154.30667114257812,146.80667114257812,-0.23117154009841767,-52.77424208751002,-2.34741848106367,-2.583148641691977,0.23573016062830687,41.23263498026978,26.088031948306288,150.70599975585938,152.7565010070801,158.04260009765625,170.7719999694824,SOMICONVEY.NS,2025-08-15 11:36:09.862556
9,2025-08-04 00:00:00+05:30,152.1999969482422,152.1999969482422,149.5800018310547,150.55999755859375,1408,0.0,0.0,2025-08-04,153.1425003051758,2.7888944420495982,155.9313947472254,150.35360586312618,158.72028918927498,147.5647114210766,-26.708364945558145,-105.56018148671667,2794968,3840.370899140035,15928.78668959922,140.82289318667551,50.46541524221225,150.77999877929688,151.97999572753906,149.36000061035156,153.39999389648438,148.16000366210938,154.59999084472656,146.74000549316406,-0.23987484490672586,-52.14378281337039,-2.4294487397762055,-2.6420811818490533,0.21263244207284782,41.40490237923706,25.092348835531784,150.76199951171876,153.1425003051758,158.89260009765624,171.1104998779297,SOMICONVEY.NS,2025-08-15 11:36:09.862556
10,2025-08-01 00:00:00+05:30,151.1699981689453,151.9600067138672,150.00999450683594,150.63999938964844,2271,0.0,0.0,2025-08-01,153.5150001525879,2.920244840218725,156.43524499280662,150.5947553123692,159.35548983302536,147.67451047215044,-29.619338799592747,-110.48430851885692,2796376,6197.525976187594,18950.890637214015,140.82188756533043,48.4245856301987,150.87000020345053,151.73000590006512,149.77999369303387,152.82001241048178,148.91998799641928,153.68001810709637,147.82998148600262,-0.2735440924847332,-51.6393576685033,-2.5075100823846697,-2.695239292367265,0.18772920998259535,41.53380716841814,24.03475297421424,150.41000061035157,153.5150001525879,159.62080017089843,171.14739990234375,SOMICONVEY.NS,2025-08-15 11:36:09.862556
