Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-09-30 00:00:00+05:30,405.6499938964844,413.8999938964844,403.29998779296875,411.75,2437250,0.0,0.0,2025-09-30,430.8875015258789,15.07669827587359,445.9641998017525,415.81080325000534,461.0408980776261,400.73410497413175,-77.80950520760254,-201.78192683474208,116069027,1734373.327423384,1883251.0217354205,562.9534500246647,23.585244159406614,409.6499938964844,416.0,405.3999938964844,420.25,399.04998779296875,426.6000061035156,394.79998779296875,-0.3971318277368137,-80.75354168570131,-10.110718511165828,-7.922854944549542,-2.1878635666162864,36.91617545771625,25.18933596167867,410.1299987792969,430.8875015258789,445.31800048828126,472.492389831543,SONACOMS.NS,2025-09-30 11:36:21.078333
2,2025-09-29 00:00:00+05:30,410.1000061035156,411.6499938964844,402.29998779296875,405.3500061035156,2086802,0.0,0.0,2025-09-29,432.5475021362305,14.681223218451686,447.2287253546822,417.8662789177788,461.9099485731339,403.1850556993271,-119.32787928563472,-254.3129225427082,113631777,1461908.9578565913,1920470.4453134295,563.2845273227217,27.62642090727364,406.43332926432294,410.5666707356771,401.2166646321615,415.78333536783856,397.0833231608073,419.91667683919275,391.86665852864587,-0.45337665400685273,-94.4695975333618,-10.11014416796354,-7.37588905289547,-2.73425511506807,31.563347438546643,23.66025514365353,412.05,432.5475021362305,446.67800048828127,473.3631838989258,SONACOMS.NS,2025-09-30 11:36:21.078333
3,2025-09-26 00:00:00+05:30,407.0,413.79998779296875,405.75,407.1000061035156,2512505,0.0,0.0,2025-09-26,434.82000122070315,13.736988846927327,448.55699006763047,421.08301237377583,462.2939789145578,407.3460235268485,-139.98975012742025,-276.8654169251878,115718579,1767734.1122964001,2035110.8171776389,563.5811749664502,27.77908062812392,408.8833312988281,412.01666259765625,403.9666748046875,416.9333190917969,400.8333435058594,420.066650390625,395.91668701171875,-0.395765508489496,-97.38877024223986,-9.325922402877097,-6.692325274128452,-2.6335971287486455,32.25834085872691,21.546501482090672,415.1,434.82000122070315,448.29100036621094,474.37372436523435,SONACOMS.NS,2025-09-30 11:36:21.078333
4,2025-09-25 00:00:00+05:30,416.0,419.8999938964844,408.1000061035156,409.6499938964844,2409924,0.0,0.0,2025-09-25,436.6175003051758,12.18304879209496,448.80054909727073,424.43445151308083,460.9835978893657,412.2514027209859,-163.06584029034687,-287.1387551981675,118231084,1706181.381928319,2101954.9933979483,563.9358534639506,36.07983930019978,412.5499979654948,416.999989827474,405.20000203450525,424.34998575846356,400.75001017252606,428.79997762044275,393.4000142415365,-0.41302390983642184,-96.97563357469512,-8.352927530866793,-6.03392599194129,-2.3190015389255034,33.24892810993995,19.50832517509319,420.9200012207031,436.6175003051758,449.25,475.39716278076173,SONACOMS.NS,2025-09-30 11:36:21.078333
5,2025-09-24 00:00:00+05:30,422.8500061035156,426.25,415.5,416.79998779296875,2547455,0.0,0.0,2025-09-24,438.65250091552736,10.75717054232555,449.4096714578529,427.89533037320183,460.16684200017846,417.13815983087625,-160.60831788903295,-251.53149364100673,120641008,1835029.784540898,2200898.3962653554,564.2720091951488,34.19129191003955,419.51666259765625,423.5333251953125,412.7833251953125,430.26666259765625,408.76666259765625,434.2833251953125,402.0333251953125,-0.3998591277754322,-97.0353760273148,-7.231774901147901,-5.454175607209914,-1.7775992939379872,36.13827224150908,17.48024711210823,427.11000366210936,438.65250091552736,450.16400024414065,476.3083920288086,SONACOMS.NS,2025-09-30 11:36:21.078333
6,2025-09-23 00:00:00+05:30,423.5,434.3999938964844,420.6499938964844,421.3500061035156,4907137,0.0,0.0,2025-09-23,440.4975021362305,9.945727248859342,450.4432293850898,430.55177488737115,460.3889566339492,420.60604763851177,-122.50199913253022,-208.98227061793625,123188463,3573387.2758697495,2292365.5491964696,564.612439796003,33.22595401893693,425.46666463216144,430.2833353678385,416.5333353678385,439.21666463216144,411.71666463216144,444.0333353678385,402.7833353678385,-0.13604326257960708,-95.0,-6.390953510462339,-5.009775783725416,-1.3811777267369223,38.09442950990359,15.875192177100791,430.6700073242188,440.4975021362305,450.87300048828126,477.2094158935547,SONACOMS.NS,2025-09-30 11:36:21.078333
7,2025-09-22 00:00:00+05:30,436.25,437.25,419.3500061035156,420.6000061035156,2723801,0.0,0.0,2025-09-22,441.9875015258789,9.12451680745723,451.1120183333361,432.86298471842167,460.23653514079336,423.7384679109644,-138.98030531341738,-213.20037294111486,118281326,1979946.925542394,1972110.1175281492,565.252334389493,43.37244819109566,425.73333740234375,432.1166687011719,414.2166748046875,443.6333312988281,407.8333435058594,450.01666259765625,396.3166809082031,-0.10096565236665975,-96.875,-5.665722570995172,-4.664481352041186,-1.0012412189539859,37.577246214041274,14.614987258779355,432.9100036621094,441.9875015258789,451.3890002441406,477.9627816772461,SONACOMS.NS,2025-09-30 11:36:21.078333
8,2025-09-19 00:00:00+05:30,440.0,441.20001220703125,435.54998779296875,436.20001220703125,2335111,0.0,0.0,2025-09-19,443.4400009155273,7.749271856358602,451.1892727718859,435.69072905916875,458.93854462824453,427.9414572028101,-30.474788544725072,-99.92035794439676,121005127,1760362.474411921,1970150.9155245877,565.6118574942408,41.77204121136304,437.65000406901044,439.7500203450521,434.0999959309896,443.30002848307294,431.99997965494794,445.4000447591146,428.4499715169271,-0.0779421820467013,-69.5194629642358,-4.577499283783482,-4.414171047302689,-0.1633282364807922,44.807313056324844,13.257843500587038,435.5900024414062,443.4400009155273,452.07,478.5522213745117,SONACOMS.NS,2025-09-30 11:36:21.078333
9,2025-09-18 00:00:00+05:30,436.0,441.20001220703125,433.8500061035156,440.6000061035156,1638234,0.0,0.0,2025-09-18,443.7625,7.564110665965767,451.32661066596575,436.19838933403423,458.8907213319315,428.6342786680685,-26.812654345652895,-91.243090943997,123340238,1247467.767445013,2022598.025802754,565.8881912401299,48.42265864518007,438.5500081380208,443.250010172526,435.9000040690104,445.90001424153644,431.2000020345052,450.60001627604163,428.54999796549475,-0.09780443142728305,-56.30627534538456,-4.651251899233159,-4.373338988182491,-0.2779129110506684,47.18505790298014,13.70247854818391,434.00999755859374,443.7625,452.4579998779297,479.0923040771484,SONACOMS.NS,2025-09-30 11:36:21.078333
10,2025-09-17 00:00:00+05:30,434.3999938964844,436.8999938964844,432.70001220703125,434.6000061035156,1508205,0.0,0.0,2025-09-17,444.25,7.663104967759618,451.91310496775964,436.58689503224036,459.5762099355192,428.9237900644808,-73.14474949614232,-119.86213286927875,121702004,1132815.032241097,2216380.590392189,566.0761616566102,42.190273345559994,434.73333740234375,436.76666259765625,432.5666809082031,438.9333190917969,430.5333557128906,440.9666442871094,428.36669921875,-0.10943571916369778,-74.32428345590762,-5.108536814891011,-4.303860760419823,-0.8046760544711873,43.380574474992095,14.18131629174977,433.8799987792969,444.25,452.87199951171874,479.3033413696289,SONACOMS.NS,2025-09-30 11:36:21.078333
