Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-08-21 00:00:00+05:30,2938.0,2938.0,2902.10009765625,2912.800048828125,306132,0.0,0.0,2025-08-21,2970.259899902344,94.69129748456137,3064.9511973869053,2875.5686024177826,3159.6424948714666,2780.8773049332212,49.9710959621537,-96.95229551327093,38196134,389597.6833507551,602252.5569126859,2582.6357799105735,54.07742684290251,2917.6333821614585,2933.166666666667,2897.266764322917,2953.5332845052085,2881.7334798177085,2969.066569010417,2861.366861979167,-0.3279933689913924,-66.30352878183182,-55.648507247330144,-56.67194007755798,1.0234328302278328,40.93103472992664,23.620365101605604,2907.639990234375,2970.259899902344,3082.5416064453125,3017.6407763671873,SRF.NS,2025-08-21 11:35:33.215211
2,2025-08-20 00:00:00+05:30,2950.0,3014.5,2906.10009765625,2924.199951171875,733614,0.0,0.0,2025-08-20,2984.0609741210938,105.38664517427597,3089.44761929537,2878.6743289468177,3194.834264469646,2773.2876837725416,81.39395692337834,-84.7386871328329,38502266,937284.9420935101,655416.2753031685,2582.282390127517,50.49045409671604,2948.2666829427085,2990.433268229167,2882.033365885417,3056.6665852864585,2839.8667805989585,3098.833170572917,2773.633463541667,-0.2176712250869345,-62.16412922259711,-58.704848403102005,-56.92779828511493,-1.7770501179870735,41.96692686640634,24.941487735068815,2896.119970703125,2984.0609741210938,3085.908857421875,3017.4139038085937,SRF.NS,2025-08-21 11:35:33.215211
3,2025-08-19 00:00:00+05:30,2930.0,2981.300048828125,2911.60009765625,2929.60009765625,1004428,0.0,0.0,2025-08-19,2994.470751953125,109.3697439560818,3103.8404959092068,2885.101007997043,3213.2102398652883,2775.7312640409614,39.14530614905326,-93.11271023407468,39235880,1285654.0316637545,584949.1086055831,2581.403125520989,48.411748027954374,2940.8334147135415,2970.066731770833,2900.366780598958,3010.5333658854165,2871.1334635416665,3039.766682942708,2830.666829427083,-0.13501717031249977,-66.16235544895808,-62.85114150149593,-56.483535755618156,-6.367605745877775,42.439353966128834,26.426337881981404,2880.519970703125,2994.470751953125,3089.17994140625,3017.5898559570314,SRF.NS,2025-08-21 11:35:33.215211
4,2025-08-18 00:00:00+05:30,2860.0,2945.0,2848.10009765625,2929.699951171875,306279,0.0,0.0,2025-08-18,3004.3059204101564,112.04090632442245,3116.346826734579,2892.265014085734,3228.387733059001,2780.2241077613116,-12.953388834198625,-116.8458031810129,40240308,392046.27162790723,409772.87784104014,2580.1728392840655,43.19439465907851,2907.6000162760415,2967.099934895833,2870.200032552083,3004.4999186197915,2810.7001139322915,3063.999837239583,2773.300130208333,-0.10883716036910872,-66.13152693838971,-67.73919570545468,-54.89163431914871,-12.84756138630597,42.44757075317648,27.446442927639247,2870.599951171875,3004.3059204101564,3093.032119140625,3018.168210449219,SRF.NS,2025-08-21 11:35:33.215211
5,2025-08-14 00:00:00+05:30,2852.10009765625,2865.800048828125,2830.5,2841.89990234375,190742,0.0,0.0,2025-08-14,3016.967395019531,117.34882382948109,3134.3162188490123,2899.61857119005,3251.665042678493,2782.269747360569,-77.42184606828489,-161.38378057723708,39934029,236838.37516727042,414204.52939432336,2579.79585033694,36.81984416821704,2846.066650390625,2861.63330078125,2826.333251953125,2881.36669921875,2810.7666015625,2896.933349609375,2791.033203125,-0.14909513505524294,-93.23868201710417,-72.98086892334231,-51.67974397257221,-21.301124950770102,31.66016466334449,27.866225848967254,2856.899951171875,3016.967395019531,3096.8263720703126,3019.0751342773438,SRF.NS,2025-08-21 11:35:33.215211
6,2025-08-13 00:00:00+05:30,2859.89990234375,2887.300048828125,2845.300048828125,2855.199951171875,220747,0.0,0.0,2025-08-13,3034.7878540039064,116.42232285435756,3151.210176858264,2918.365531149549,3267.6324997126217,2801.943208295191,-77.28740490307194,-161.48933521184327,40124771,275377.4039582202,458546.06795108656,2579.6196760955213,34.62245857500258,2862.6000162760415,2879.899983723958,2837.899983723958,2904.6000162760415,2820.6000162760415,2921.899983723958,2795.899983723958,-0.1614888087626567,-89.13246008499323,-69.93905378099953,-46.35446273487968,-23.584591046119847,32.517484255503575,26.557716651910987,2869.339990234375,3034.7878540039064,3102.041064453125,3020.54796875,SRF.NS,2025-08-21 11:35:33.215211
7,2025-08-12 00:00:00+05:30,2880.0,2885.0,2832.199951171875,2846.199951171875,415408,0.0,0.0,2025-08-12,3051.8783935546876,113.72906578484094,3165.6074593395288,2938.1493277698464,3279.3365251243695,2824.4202619850057,-103.4025818161696,-181.32182188893265,39904024,516579.57024246233,504338.23394930316,2579.4051385801827,41.69257643054754,2854.4666341145835,2876.733317057292,2823.933268229167,2907.2666829427085,2801.6665852864585,2929.533365885417,2771.133219401042,-0.17233200525737535,-93.99267490353496,-66.29477929726909,-40.45831497334972,-25.836464323919365,31.349383769932246,25.291243947535392,2892.07998046875,3051.8783935546876,3105.7953173828123,3022.0101416015623,SRF.NS,2025-08-21 11:35:33.215211
8,2025-08-11 00:00:00+05:30,2840.0,2892.89990234375,2820.0,2880.0,244526,0.0,0.0,2025-08-11,3070.5374755859375,108.71066877312951,3179.248144359067,2961.826806812808,3287.9588131321966,2853.1161380396784,-128.23981761469173,-191.0146200001931,40319432,307690.78881399514,501277.8998760134,2579.0137129598093,54.36849599115922,2864.2999674479165,2908.599934895833,2835.700032552083,2937.1998697916665,2791.4000651041665,2981.499837239583,2762.800130208333,-0.12817893111403017,-86.24274131568517,-59.738173643140726,-33.999198892369876,-25.73897475077085,33.363329837848994,23.873663349223783,2931.4,3070.5374755859375,3107.88,3023.621735839844,SRF.NS,2025-08-21 11:35:33.215211
9,2025-08-08 00:00:00+05:30,2886.0,2919.60009765625,2844.89990234375,2861.199951171875,260157,0.0,0.0,2025-08-08,3084.80009765625,100.82296312640698,3185.623060782657,2983.9771345298427,3286.4460239090636,2883.154171403436,-166.09896754857456,-199.70612730853563,40074906,325222.57839109754,549674.677641518,2578.7535508825654,52.0339131580418,2875.2333170572915,2905.566731770833,2830.866536458333,2949.9335123697915,2800.5331217447915,2980.266927083333,2756.166341145833,-0.14500825471496354,-96.0363032353934,-53.767400400199676,-27.564455204677163,-26.202945195522513,31.076452253785575,22.347038089503585,2965.47998046875,3084.80009765625,3108.18212890625,3024.3011083984375,SRF.NS,2025-08-21 11:35:33.215211
10,2025-08-07 00:00:00+05:30,2965.0,2965.0,2875.0,2904.10009765625,479056,0.0,0.0,2025-08-07,3100.6568603515625,87.91837731587158,3188.575237667434,3012.738483035691,3276.4936149833056,2924.8201057198194,-192.73278538575204,-183.34614450948342,40335063,607847.7719056197,605787.702454123,2578.4935688304968,50.2710586051719,2914.7000325520835,2954.400065104167,2864.400065104167,3004.7000325520835,2824.7000325520835,3044.400065104167,2774.400065104167,-0.14510255988999496,-92.36485238969696,-43.45682378184256,-21.013718905796534,-22.443104876046025,33.51350083497283,20.909594406777217,2990.27998046875,3100.6568603515625,3108.103251953125,3025.2363940429686,SRF.NS,2025-08-21 11:35:33.215211
