Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-18 00:00:00+05:30,237.0,237.0,222.99000549316406,227.19000244140625,54784,0.0,0.0,2024-09-18,234.59174880981445,3.2353083115447294,237.8270571213592,231.3564404982697,241.0623654329039,228.121132186725,-121.94375753127906,-116.11007475931409,9154029,63434.09988155956,31218.672991017196,215.4702510215126,41.93491809417559,229.06000264485678,235.1299997965495,221.12000528971356,243.06999715169272,215.05000813802084,249.13999430338544,207.11001078287762,-0.28627701891627294,-76.48378048874258,-1.359004612174573,-1.408931071996646,0.049926459822073,40.07182548625856,11.357614599682528,232.777197265625,234.59174880981445,239.00732208251952,238.16002548217773,STARPAPER.NS,2024-09-18 10:58:00.430387
2,2024-09-17 00:00:00+05:30,240.85000610351562,240.85000610351562,236.86000061035156,237.42999267578125,13997,4.0,0.0,2024-09-17,235.0692253112793,2.7543709445837035,237.823596255863,232.31485436669558,240.5779672004467,229.5604834221119,160.0461847963343,38.78285403218114,9208813,16937.54135218009,23164.816268381604,215.45232115737704,46.901153297116366,238.37999979654947,239.89999898274738,235.90999348958331,242.37000528971353,234.3899943033854,243.89000447591144,231.91998799641925,-0.22820687339203677,-24.104873054355654,-0.8923347821350092,-1.421412686952164,0.5290779048171548,53.60403969383811,10.159893466345595,233.65673217773437,235.0692253112793,239.83265899658204,238.2644677734375,STARPAPER.NS,2024-09-18 10:58:00.430387
3,2024-09-16 00:00:00+05:30,236.89684073895955,236.94600266109592,232.6101821654212,233.7899932861328,20618,0.0,0.0,2024-09-16,234.75990371704103,2.8218463180022706,237.58175003504329,231.93805739903877,240.40359635304557,229.11621108103648,38.50981332524958,-29.312977908023317,9194816,24567.008754167364,24721.634997431982,215.44372723771957,38.18415612897585,234.44872603754996,236.2872699096787,231.951449414004,238.78454653322467,230.11290554187525,240.62309040535342,227.6156289183293,-0.22304332130966048,-52.52127771463286,-1.2898196473313703,-1.5536821631564526,0.26386251582508224,47.783636005548296,10.468490435412281,233.0919403076172,234.75990371704103,240.28802276611327,238.23209884643555,STARPAPER.NS,2024-09-18 10:58:00.430387
4,2024-09-13 00:00:00+05:30,230.99776954335078,236.93617567240938,230.21122379751435,235.80551147460938,23531,0.0,0.0,2024-09-13,234.61390228271483,2.9474171380064713,237.5613194207213,231.66648514470836,240.50873655872778,228.7190680067019,24.462297595020384,-34.299712607709566,9215434,28279.65860318115,24760.291558248136,215.43315372977463,28.683537651356176,234.31763698151101,238.42405016550768,231.69909829061265,241.04258885640604,227.592685106616,245.1490020404027,224.97414641571763,-0.22897233255702845,-46.08694358284871,-1.4206932144381312,-1.619647792112723,0.1989545776745918,51.08612357049397,10.777979045935012,232.5590606689453,234.61390228271483,240.85551330566406,238.22138229370117,STARPAPER.NS,2024-09-18 10:58:00.430387
5,2024-09-12 00:00:00+05:30,232.91496325622325,232.91496325622325,226.66194786308282,229.6704864501953,18701,0.0,0.0,2024-09-12,234.266349029541,3.1986314681975627,237.46498049773857,231.06771756134344,240.66361196593613,227.86908609314588,-142.3974792406735,-98.8506214314482,9191903,21890.20593578399,23880.449797014884,215.41974485591282,27.569379171852873,229.7491325231671,232.8363171832514,226.58330179011097,236.00214791630754,223.49611713002668,239.08933257639183,220.33028639697054,-0.28263468229389854,-82.26079923852657,-1.7652233876378318,-1.6693864365313709,-0.09583695110646095,39.23200648431416,11.108705615617872,231.5758819580078,234.266349029541,241.35516479492188,238.15708251953126,STARPAPER.NS,2024-09-18 10:58:00.430387
6,2024-09-11 00:00:00+05:30,235.52039063390438,236.93616994174477,230.85029319596225,231.58767700195312,28808,0.0,0.0,2024-09-11,234.34156188964843,3.101074122835712,237.44263601248414,231.24048776681272,240.54371013531986,228.139413643977,-54.77003151034925,-57.995051861655455,9210604,34002.30679869566,24378.010762322607,215.41228655061042,27.16546267660013,233.12471337988669,235.39913356381112,229.3132568180286,239.2105901256692,227.03883663410417,241.48501030959363,223.2273800722461,-0.28833872357693835,-72.90057785983029,-1.575373593532447,-1.6454271987547555,0.07005360522230841,42.2017266264373,10.356322882804392,232.555126953125,234.34156188964843,242.1102456665039,238.18854415893554,STARPAPER.NS,2024-09-18 10:58:00.430387
7,2024-09-10 00:00:00+05:30,233.01328906140094,235.8546741380567,232.2464110823805,234.6060333251953,13496,0.0,0.0,2024-09-10,234.18425369262695,3.320180166431079,237.50443385905803,230.86407352619588,240.8246140254891,227.5438933597648,-21.57729789153698,-47.48047297656418,9239412,16137.047337735501,21971.93675322934,215.39923518310857,38.37284045624947,234.2357061818775,236.22500128137452,232.6167382256983,237.84396923755372,230.62744312620129,239.83326433705074,229.00847517002208,-0.2690912589367608,-54.615880704330756,-1.497253250971653,-1.6629406000603324,0.16568734908867944,47.447497898624555,10.462616246341545,233.17059631347655,234.18425369262695,242.4297787475586,238.17674606323243,STARPAPER.NS,2024-09-18 10:58:00.430387
8,2024-09-09 00:00:00+05:30,231.93179363206897,233.40656132791202,227.11422515982684,231.12559509277344,21820,0.0,0.0,2024-09-09,234.07020568847656,3.344019369730454,237.41422505820702,230.7261863187461,240.75824442793748,227.38216694901564,-196.13784479031492,-89.3136584782547,9225916,25702.928933437735,23430.6591071028,215.39197224448333,39.18771905155891,230.54879386017078,233.9833625605147,227.69102639242954,236.84113002825595,224.2564576920856,240.27569872859988,221.39869022434436,-0.2599394894139136,-75.69979268590161,-1.6718122495128398,-1.7043624373325021,0.032550187819662346,39.3854872687266,10.91947143163841,233.280712890625,234.07020568847656,242.77094177246093,238.14164672851564,STARPAPER.NS,2024-09-18 10:58:00.430387
9,2024-09-06 00:00:00+05:30,234.63552532197207,236.6018821736194,229.08057321691328,230.88961791992188,18355,0.0,0.0,2024-09-06,234.00728225708008,3.413462523542468,237.42074478062256,230.5938197335376,240.834207304165,227.18035720999515,-160.68216509504552,-74.22713712254586,9204096,21599.247488293986,22862.591650519065,215.3823472295527,40.34839560383409,232.19069110348485,235.30080899005642,227.7795000333503,239.71200006019097,224.66938214677873,242.82211794676255,220.25819107664418,-0.28703196105631273,-87.55918412253831,-1.5271997437018285,-1.7124999842874176,0.18530024058558903,38.78408980276936,10.715927148958961,233.96500244140626,234.00728225708008,243.26705352783202,238.2082078552246,STARPAPER.NS,2024-09-18 10:58:00.430387
10,2024-09-05 00:00:00+05:30,235.96282299491435,240.0233547079611,233.1116115512374,234.56671142578125,17275,0.0,0.0,2024-09-05,233.9119140625,3.529812709530101,237.44172677203008,230.3821013529699,240.9715394815602,226.85228864343978,-37.41517565570307,-42.357027344270335,9222451,20652.102032928437,23178.427691075332,215.37436303274455,45.288297890199516,235.90055922832656,238.68950690541573,231.77776374869202,242.81230238505026,228.98881607160286,245.60125006213943,224.86602059196832,-0.280012966314301,-65.64499270674136,-1.2956723481220251,-1.758825044433815,0.4631526963117898,45.16425151268969,10.955296403573502,234.69058837890626,233.9119140625,243.79069427490234,238.36315689086913,STARPAPER.NS,2024-09-18 10:58:00.430387
11,2024-09-04 00:00:00+05:30,235.1762807951624,237.39827367986734,233.01329121886965,234.66502380371094,15471,0.0,0.0,2024-09-04,233.7609962463379,3.5646960832173193,237.3256923295552,230.19630016312058,240.89038841277252,226.63160407990327,-78.46224127097034,-52.313388692197975,9239726,18503.188659041778,23810.00910561206,215.36505842326628,39.54788661112829,235.02552956748264,237.03776791609562,232.65278545509793,239.41051202848033,230.64054710648495,241.4227503770933,228.26780299410024,-0.27611036101366193,-51.20855335316099,-1.341753719538275,-1.874613218511762,0.5328594989734872,45.35250666729601,11.308782884685012,234.77317504882814,233.7609962463379,244.21444427490235,238.48625091552734,STARPAPER.NS,2024-09-18 10:58:00.430387
12,2024-09-03 00:00:00+05:30,234.29142936996877,236.94600820419907,233.85882844842806,235.1566162109375,13709,0.0,0.0,2024-09-03,233.59680557250977,3.596350846399962,237.19315641890972,230.0004547261098,240.78950726530968,226.40410387970985,-67.57295397700665,-52.473070711123896,9255197,16430.19831694894,25136.71421725463,215.35667511386754,45.16217248616812,235.3204842878549,236.78214012728174,233.69496037151072,238.4076640436259,232.23330453208388,239.86931988305275,230.6077806157397,-0.30621883456572385,-48.397966931020356,-1.3901045168364305,-2.007828093255134,0.6177235764187032,46.229266116104405,11.943411206400556,235.1448181152344,233.59680557250977,244.62128356933593,238.59361404418945,STARPAPER.NS,2024-09-18 10:58:00.430387
13,2024-09-02 00:00:00+05:30,234.48805454147262,239.69890319837222,234.20293939893435,234.5470428466797,17984,0.0,0.0,2024-09-02,233.50979461669922,3.5776290933353807,237.0874237100346,229.93216552336384,240.66505280336997,226.35453643002847,-21.102392682050613,-48.81594451446162,9241488,21497.902182087106,27313.343192331053,215.34905120941409,49.53932960408626,236.14962848132873,238.09631756372312,232.60035376428525,241.6455922807666,230.65366468189086,243.592281363161,227.10438996484737,-0.25776703027161285,-51.88308711533597,-1.4793604032277585,-2.1622589873598095,0.682898584132051,45.00015919796005,12.858149356402718,235.61281127929686,233.50979461669922,245.06627014160156,238.70835098266602,STARPAPER.NS,2024-09-18 10:58:00.430387
14,2024-08-30 00:00:00+05:30,237.43758871853936,238.13565199851698,232.7281706819457,234.51754760742188,14951,0.0,0.0,2024-08-30,233.68676681518554,3.716485415859531,237.40325223104506,229.970281399326,241.1197376469046,226.25379598346646,-39.52306253581569,-58.232388006966595,9223504,17870.03537984522,28767.20344489204,215.3393490302947,48.57991456692172,235.12712342929487,237.52607617664404,232.11859486007276,240.53460474586615,229.7196421127236,242.93355749321532,226.71111354350148,-0.21881731194825987,-48.762540381410204,-1.511186693063621,-2.3329836333928218,0.8217969403292007,44.94268598771396,13.760037498661847,236.62745361328126,233.68676681518554,245.49611602783204,238.81738540649414,STARPAPER.NS,2024-09-18 10:58:00.430387
15,2024-08-29 00:00:00+05:30,236.46423880396426,238.15530690377204,232.2365835565571,234.97964477539062,22568,0.0,0.0,2024-08-29,233.87652053833008,3.8554214984761406,237.73194203680623,230.02109903985394,241.58736353528238,226.1656775413778,-20.20001514659076,-60.686256399409764,9238455,27027.32990957935,31491.49546115374,215.33128805197614,48.464684676103886,235.12384507857325,238.01110660058941,232.09238325337446,241.0425684257882,229.2051217313583,243.92982994780436,226.17365990615951,-0.24198300465663894,-46.287534030513456,-1.526132386137732,-2.5384328684751214,1.0123004823373893,45.62145982597273,14.505168942347067,237.34714050292968,233.87652053833008,245.84986358642578,238.8873876953125,STARPAPER.NS,2024-09-18 10:58:00.430387
