Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-07-28 00:00:00+05:30,209.1999969482422,209.3000030517578,198.85000610351562,209.3000030517578,6750,0.0,0.0,2025-07-28,206.9224983215332,4.574341616147941,211.49683993768113,202.34815670538526,216.0711815538291,197.7738150892373,-42.73840050362698,-40.38651152797197,1479000,23625.00064588311,15007.294261535253,85.82734464586639,56.057242904362475,205.8166707356771,212.78333536783856,202.33333841959637,216.26666768391928,195.3666737874349,223.23333231608075,191.88334147135419,,-27.800810171848113,-0.48877464351946287,-0.6869487406841696,0.1981740971647067,50.97645597220432,25.88670499149591,205.97999877929686,206.9224983215332,210.52599884033202,208.55099975585938,SVJ.BO,2025-07-29 12:21:07.267601
2,2025-07-24 00:00:00+05:30,209.3000030517578,209.3000030517578,209.3000030517578,209.3000030517578,750,0.0,0.0,2025-07-24,207.06749801635743,4.697963657328062,211.7654616736855,202.36953435902936,216.46342533101355,197.6715707017013,33.595319843387124,-0.5893771294202286,1485750,2625.00007176479,12852.867665448288,85.72599909861121,56.64346995333894,209.3000030517578,209.3000030517578,209.3000030517578,209.3000030517578,209.3000030517578,209.3000030517578,209.3000030517578,,-27.800810171848113,-0.6928236914614843,-0.7364922649753463,0.043668573513862,50.97645597220432,25.675862548683657,206.9199981689453,207.06749801635743,210.22799865722655,208.31649978637697,SVJ.BO,2025-07-29 12:21:07.267601
3,2025-07-23 00:00:00+05:30,203.89999389648438,203.89999389648438,203.89999389648438,203.89999389648438,750,0.0,0.0,2025-07-23,206.87249755859375,4.6813312078379505,211.5538287664317,202.1911663507558,216.23515997426966,197.50983514291784,-37.48186084773321,-65.93963620526404,1485000,2557.2742035687056,15409.83456386916,85.7147282117129,58.16649506063293,203.89999389648438,203.89999389648438,203.89999389648438,203.89999389648438,203.89999389648438,203.89999389648438,203.89999389648438,,-50.20748149001721,-0.9435709772135965,-0.7474094083538118,-0.19616156885978475,46.56975951882894,26.341933360072023,207.25999755859374,206.87249755859375,210.13399871826172,208.04599975585938,SVJ.BO,2025-07-29 12:21:07.267601
4,2025-07-22 00:00:00+05:30,198.5,198.5,198.5,198.5,750,0.0,0.0,2025-07-22,206.45999755859376,5.281985577098598,211.74198313569235,201.17801198149516,217.02396871279095,195.89602640439657,-109.3858987535307,-136.30581511191033,1484250,2489.548526745397,18622.974653944275,85.70394783538481,59.891537488092276,198.5,198.5,198.5,198.5,198.5,198.5,198.5,,-69.86027093027435,-0.7184878735706093,-0.6983690161388656,-0.020118857431743686,41.70385497038927,26.297117711332767,208.87999877929687,206.45999755859376,210.1139987182617,207.79449981689453,SVJ.BO,2025-07-29 12:21:07.267601
5,2025-07-21 00:00:00+05:30,203.3000030517578,208.89999389648438,203.3000030517578,208.89999389648438,3000,0.0,0.0,2025-07-21,206.82999725341796,4.943374665476561,211.77337191889453,201.8866225879414,216.7167465843711,196.94324792246482,0.22639008452221654,-35.681801624336295,1485000,10479.932937876374,22656.33118574399,85.69365810247434,58.92147318942889,207.03333028157553,210.76665751139325,205.16666666666669,212.6333211263021,201.43333943684897,216.3666483561198,199.56667582194012,,-28.343334285611604,0.11239046671045116,-0.6933393017809297,0.8057297684913809,49.817439266466394,25.415754807129584,211.65999755859374,206.82999725341796,210.17999877929688,207.51199981689453,SVJ.BO,2025-07-29 12:21:07.267601
6,2025-07-18 00:00:00+05:30,212.0,216.0,212.0,214.0,3750,0.0,0.0,2025-07-18,207.08499755859376,5.18157494221049,212.26657250080424,201.90342261638327,217.44814744301473,196.72184767417278,112.68349693220063,55.156604719258354,1488000,13419.732612682996,25700.430747710896,85.64868407955264,61.925952406875005,214.0,216.0,212.0,218.0,210.0,220.0,208.0,,-7.984030963459926,0.1502218145875247,-0.894771743903775,1.0449935584912997,54.65979514891355,24.82937082477386,212.25999755859374,207.08499755859376,210.15799896240233,207.04449981689453,SVJ.BO,2025-07-29 12:21:07.267601
7,2025-07-17 00:00:00+05:30,212.14999389648438,212.14999389648438,210.0,211.0,6000,0.0,0.0,2025-07-17,206.92499771118165,5.003144625760646,211.9281423369423,201.921853085421,216.93128696270293,196.91870845966037,95.71256567798694,17.594995733208087,1484250,21170.56883197093,28770.60528146787,85.59009222530246,58.183688840206045,211.04999796549478,212.09999593098956,209.9500020345052,213.19999186197916,208.9000040690104,214.24998982747394,207.80000813802081,,-9.07029352923632,-0.305892012561344,-1.1560201335265998,0.8501281209652558,52.117546068590116,24.95070304941882,209.8499969482422,206.92499771118165,209.9639990234375,206.44899978637696,SVJ.BO,2025-07-29 12:21:07.267601
8,2025-07-16 00:00:00+05:30,201.8000030517578,212.0,201.8000030517578,212.0,12750,0.0,0.0,2025-07-16,207.07249755859374,5.170297320710467,212.2427948793042,201.90220023788328,217.41309220001466,196.73190291717282,71.71625772966847,-13.414375211311302,1490250,45200.66947299955,30670.6143938421,85.49842669198152,55.4883203841511,208.6000010172526,215.39999898274738,205.2000020345052,218.79999796549478,198.4000040690104,225.59999593098956,195.000005086263,,-4.53514676461816,-0.5897666547055564,-1.3685521637679137,0.7787855090623572,53.03802968916368,24.475581729965334,208.04999694824218,207.07249755859374,209.8439990234375,205.81449981689454,SVJ.BO,2025-07-29 12:21:07.267601
9,2025-07-15 00:00:00+05:30,213.0,213.0,208.0,212.39999389648438,12750,0.0,0.0,2025-07-15,207.19749755859374,5.323644010763398,212.52114156935713,201.87385354783035,217.84478558012054,196.55020953706693,139.60423530672708,19.9195200251549,1503000,45285.952453689206,27038.10062405274,85.30163617713559,64.3322640911567,211.13333129882812,214.26666259765625,209.26666259765625,216.13333129882812,206.13333129882812,219.26666259765625,204.26666259765625,,-2.214044163767873,-1.0427612093491518,-1.5632485410335029,0.520487331684351,53.38825955445412,23.940543019829907,206.12999572753907,207.19749755859374,209.57299896240235,205.17399978637695,SVJ.BO,2025-07-29 12:21:07.267601
10,2025-07-14 00:00:00+05:30,205.9499969482422,211.9499969482422,205.9499969482422,211.89999389648438,15000,0.0,0.0,2025-07-14,207.20249786376954,5.328832149373424,212.53133001314296,201.8736657143961,217.8601621625164,196.54483356502269,167.60413346322807,7.473677684334704,1490250,53152.17306018651,22476.137666643623,85.10360922440634,53.12412617356128,209.9333292643229,213.91666158040363,207.91666158040363,215.9333292643229,203.9333292643229,219.91666158040363,201.91666158040363,,-1.1406958819259954,-1.646325436397433,-1.6933703739545904,0.04704493755715755,53.02823843971675,23.87917954125344,204.7499969482422,207.20249786376954,209.12699920654296,204.5024998474121,SVJ.BO,2025-07-29 12:21:07.267601
