Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-06 00:00:00+05:30,1082.0,1085.5,1053.300048828125,1056.6500244140625,1013806,0.0,0.0,2024-09-06,1063.217510986328,23.170124231988588,1086.3876352183167,1040.0473867543394,1109.5577594503052,1016.8772625223509,-142.44002270342358,-4.128470249272308,97022713,952084.7099558889,953303.9043016825,1078.1701659299727,57.073433346039835,1065.1500244140625,1077.0,1044.800048828125,1097.3499755859375,1032.9500732421875,1109.199951171875,1012.60009765625,-0.019846126239430457,-78.27609628074642,3.7155402613527713,2.2923842043600278,1.4231560569927435,46.052352552033184,18.41137648822158,1082.6000244140625,1063.217510986328,1071.8539990234376,1081.4635015869142,TATACHEM.NS,2024-09-06 10:57:18.836640
2,2024-09-05 00:00:00+05:30,1083.300048828125,1088.25,1071.300048828125,1081.25,1278880,0.0,0.0,2024-09-05,1063.0375122070313,23.237714238122912,1086.2752264451542,1039.7997979689085,1109.512940683277,1016.5620837307855,-24.607251209036242,49.32454824059106,98036519,1228981.886855584,953608.7028881307,1078.2011631338808,64.10972572347234,1080.2666829427083,1089.2333170572915,1072.2833658854165,1097.2166341145833,1063.3167317708333,1106.1832682291665,1055.3334147135415,0.05887115676734273,-34.5494701852243,5.8407405497598575,1.936595190111842,3.9041453596480156,52.5421841919139,19.305433363917626,1085.930029296875,1063.0375122070313,1072.6619995117187,1082.2765008544923,TATACHEM.NS,2024-09-06 10:57:18.836640
3,2024-09-03 00:00:00+05:30,1082.0,1112.5,1082.0,1108.300048828125,1756062,0.0,0.0,2024-09-03,1060.6175109863282,23.755664626089192,1084.3731756124173,1036.861846360239,1108.1288402385067,1013.1061817341498,174.1789672210354,122.19304927875439,99315399,1729763.6387278663,884765.4068962673,1078.1956133464485,66.64575357202362,1100.933349609375,1119.86669921875,1089.36669921875,1131.433349609375,1070.433349609375,1150.36669921875,1058.86669921875,-0.04606733989691129,-4.141962683090377,6.050419981760342,0.9605588501998381,5.089861131560504,61.37313336395082,19.20732407042842,1084.8100341796876,1060.6175109863282,1073.1059985351562,1082.8395013427735,TATACHEM.NS,2024-09-06 10:57:18.836640
4,2024-09-02 00:00:00+05:30,1083.0,1097.0,1077.25,1084.1500244140625,524425,0.0,0.0,2024-09-02,1057.865008544922,20.965423720745527,1078.8304322656675,1036.8995848241764,1099.795855986413,1015.9341611034308,80.29388855836827,69.01256476141126,97559337,505315.1706141838,673515.8489383676,1078.1201789230986,55.61235780620655,1086.1333414713542,1095.0166829427085,1075.2666829427085,1105.8833414713542,1066.3833414713542,1114.7666829427085,1055.5166829427085,-0.1784683398366838,-23.024204388613118,3.5631802035707096,-0.31190643269028795,3.8750866362609977,55.11967206536308,18.389653281123127,1080.5100341796874,1057.865008544922,1073.4659985351564,1083.0820013427735,TATACHEM.NS,2024-09-06 10:57:18.836640
5,2024-08-30 00:00:00+05:30,1073.300048828125,1096.0,1073.300048828125,1082.6500244140625,784070,0.0,0.0,2024-08-30,1058.0075073242188,21.16224343124486,1079.1697507554636,1036.845263892974,1100.3319941867085,1015.683020461729,72.35360645524824,57.33640594692567,97034912,754453.5272835257,715566.0185194134,1078.1156633391352,55.43050403509007,1083.9833577473958,1094.6666666666665,1071.9667154947915,1106.6833089192708,1061.2834065755208,1117.3666178385415,1049.2667643229165,-0.17690741877723437,-24.604815151635986,2.703183494946643,-1.2806780917555374,3.9838615867021803,54.69666207078371,18.130548223783315,1078.3100341796876,1058.0075073242188,1074.862998046875,1083.1770013427733,TATACHEM.NS,2024-09-06 10:57:18.836640
6,2024-08-29 00:00:00+05:30,1075.6500244140625,1076.550048828125,1057.550048828125,1073.300048828125,663496,0.0,0.0,2024-08-29,1059.0625061035157,22.90923961269588,1081.9717457162117,1036.1532664908198,1104.8809853289074,1013.2440268781239,7.070957472671727,3.714118192588179,96250842,632920.2984003114,705844.1413283853,1078.1105807873103,53.85519101842234,1069.1333821614583,1080.7167154947915,1061.7167154947915,1088.1333821614583,1050.1333821614583,1099.7167154947915,1042.7167154947915,-0.1986970183187629,-34.45726318172522,1.7088970498907656,-2.276643488431082,3.985540538321848,52.082551455224255,17.89331789303341,1076.2400390625,1059.0625061035157,1075.3469970703125,1083.268501586914,TATACHEM.NS,2024-09-06 10:57:18.836640
7,2024-08-28 00:00:00+05:30,1089.0,1106.0,1072.449951171875,1075.6500244140625,1009628,0.0,0.0,2024-08-28,1061.3800048828125,26.489874603189417,1087.869879486002,1034.890130279623,1114.3597540891913,1008.4002556764336,81.37725498057974,51.41039324472453,96914338,965210.2913250831,724075.1020604038,1078.1151480335438,53.69699573349354,1084.6999918619792,1096.9500325520835,1063.3999837239585,1118.2500406901042,1051.1499430338542,1130.5000813802085,1029.8499348958335,-0.20123335276514917,-31.980998712409363,1.3308476506708757,-3.2730286230115437,4.6038762736824195,52.79351263167985,18.50718659552664,1078.67001953125,1061.3800048828125,1076.3029956054688,1083.4740008544923,TATACHEM.NS,2024-09-06 10:57:18.836640
8,2024-08-27 00:00:00+05:30,1073.4000244140625,1097.75,1072.75,1086.800048828125,1126815,0.0,0.0,2024-08-27,1063.1725036621094,28.632586412770213,1091.8050900748797,1034.5399172493392,1120.43767648765,1005.907330836569,102.93612110198325,51.097017248837226,97923966,1088408.2748502837,663791.304744234,1078.1187146055045,63.03155646997147,1085.7666829427083,1098.7833658854165,1073.7833658854165,1110.7666829427083,1060.7666829427083,1123.7833658854165,1048.7833658854165,-0.11860107132743024,-12.636985674175902,0.595228511377627,-4.423997691432149,5.019226202809776,56.171781025942686,18.207505145940697,1076.0000244140624,1063.1725036621094,1076.9069946289062,1083.5895001220704,TATACHEM.NS,2024-09-06 10:57:18.836640
9,2024-08-26 00:00:00+05:30,1079.949951171875,1083.0,1071.0,1073.1500244140625,317928,0.0,0.0,2024-08-26,1063.7625,29.259778439080346,1093.0222784390803,1034.5027215609198,1122.2820568781608,1005.2429431218394,88.70612981854279,18.24848509755166,96797151,303234.620769431,557637.0622177215,1078.1046738059733,46.65805044105584,1075.7166748046875,1080.433349609375,1068.433349609375,1087.7166748046875,1063.7166748046875,1092.433349609375,1056.433349609375,-0.06466227698764114,-24.283107539454967,-1.4537139806384403,-5.678804242134593,4.2250902614961525,52.73351053570022,18.25515024418501,1070.57001953125,1063.7625,1077.4969946289064,1083.5304998779297,TATACHEM.NS,2024-09-06 10:57:18.836640
10,2024-08-23 00:00:00+05:30,1091.9000244140625,1091.9000244140625,1068.0999755859375,1072.300048828125,614605,0.0,0.0,2024-08-23,1063.6399963378906,29.223512994424162,1092.8635093323148,1034.4164833434663,1122.0870223267389,1005.1929703490423,122.28131147374701,22.171443879714197,96479223,585736.0860416946,621237.6725797941,1078.106935806368,43.28078266292122,1077.433349609375,1086.7667236328125,1062.9666748046875,1101.2333984375,1053.63330078125,1110.5667724609375,1039.1666259765625,-0.019301056226308656,-25.320294636805766,-2.710634706446399,-6.735076807508631,4.024442101062232,52.51812543162262,19.03450738054022,1066.5300048828126,1063.6399963378906,1078.5059936523437,1083.9020001220704,TATACHEM.NS,2024-09-06 10:57:18.836640
