Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-11-19 00:00:00+05:30,6499.35009765625,6597.0498046875,6478.0,6548.9501953125,7897,0.0,0.0,2024-11-19,6931.067529296875,319.65391953798246,7250.721448834858,6611.413609758893,7570.37536837284,6291.759690220911,-52.706492726007454,-141.3772548700295,245883,7678.856857645543,15596.048448670097,7219.8573083997435,33.49900005564564,6541.333333333333,6604.666666666666,6485.616861979166,6660.383138020833,6422.283528645833,6723.716471354166,6366.567057291666,-0.22382730266463946,-76.32968892610572,-241.95325426390718,-197.28734185101155,-44.665912412895636,35.809170773877696,18.64758603504936,6484.65009765625,6931.067529296875,7378.96203125,7236.62251953125,TATAELXSI.BO,2024-11-19 11:06:36.195191
2,2024-11-18 00:00:00+05:30,6419.9501953125,6565.9501953125,6285.0498046875,6453.4501953125,12225,0.0,0.0,2024-11-18,6971.885009765625,320.41228498912994,7292.297294754755,6651.472724776495,7612.709579743885,6331.060439787365,-87.72297360868934,-172.63368371804074,237986,11713.955687371828,17575.346346426235,7220.742435861096,27.84046630672701,6434.816731770833,6584.583658854166,6303.683268229166,6715.717122395833,6153.916341145833,6865.484049479166,6022.782877604166,-0.26145973410539647,-84.89547657880031,-244.8195011150301,-186.1208637477876,-58.6986373672425,31.94773803479896,17.65621236944422,6480.76005859375,6971.885009765625,7402.960029296875,7241.677270507813,TATAELXSI.BO,2024-11-19 11:06:36.195191
3,2024-11-14 00:00:00+05:30,6446.0,6511.64990234375,6345.5498046875,6366.60009765625,20002,0.0,0.0,2024-11-14,7019.289990234375,309.62703801768566,7328.917028252061,6709.6629522166895,7638.5440662697465,6400.035914199004,-119.03710344001566,-193.89772515565608,225761,18907.919333263148,19040.694011189837,7222.312722166106,21.76038093042132,6407.933268229167,6470.316731770834,6304.216634114584,6574.033365885417,6241.833170572917,6636.416829427084,6138.116536458334,-0.29427902940399103,-98.0035768996375,-235.37447623328626,-171.44620440597697,-63.92827182730929,28.3057228990979,16.36904821373388,6580.6,7019.289990234375,7431.305029296875,7248.728369140625,TATAELXSI.BO,2024-11-19 11:06:36.195191
4,2024-11-13 00:00:00+05:30,6688.35009765625,6721.25,6386.85009765625,6420.0,12103,0.0,0.0,2024-11-13,7074.54248046875,284.6121822510554,7359.154662719806,6789.930298217694,7643.766844970861,6505.318115966639,-139.25743664830577,-192.5965360641324,245763,11536.944612622254,19073.88768067151,7225.187651542475,21.813005485073433,6509.36669921875,6631.88330078125,6297.4833984375,6843.7666015625,6174.966796875,6966.283203125,5963.08349609375,-0.2753099719978188,-96.72787492366841,-211.16228360440437,-155.46413644914963,-55.69814715525473,29.19787134366443,15.188748096995488,6739.57001953125,7074.54248046875,7459.821025390625,7256.765815429688,TATAELXSI.BO,2024-11-19 11:06:36.195191
5,2024-11-12 00:00:00+05:30,6550.0,6695.0,6489.5,6634.25,30661,0.0,0.0,2024-11-12,7132.187475585937,260.82391149938474,7393.011387085322,6871.363564086552,7653.835298584707,6610.539652587167,-182.56983068798627,-190.0173558148217,257866,30202.361020001772,20958.12344768382,7226.827862614272,22.017712165232368,6606.25,6723.0,6517.5,6811.75,6400.75,6928.5,6312.0,-0.28922418958012164,-84.44384739387426,-182.22299276333342,-141.53959966033597,-40.68339310299746,33.082566622730795,14.057087443092042,6901.77998046875,7132.187475585937,7491.262021484375,7264.781274414063,TATAELXSI.BO,2024-11-19 11:06:36.195191
6,2024-11-11 00:00:00+05:30,6945.0,7010.0,6490.0,6529.5,52575,0.0,0.0,2024-11-11,7184.2974853515625,260.21491719879253,7444.512402550355,6924.08256815277,7704.727319749148,6663.867650953977,-252.06248216784007,-191.29455419658206,227205,50970.8591342631,18647.064054604336,7229.9017527352935,32.79679078309482,6676.5,6863.0,6343.0,7196.5,6156.5,7383.0,5823.0,-0.4286862256767217,-96.03015075376885,-163.51135535676076,-131.3687513845866,-32.14260397217416,28.780752241575087,13.19027286548072,6981.82998046875,7184.2974853515625,7517.158017578125,7270.398720703125,TATAELXSI.BO,2024-11-19 11:06:36.195191
7,2024-11-08 00:00:00+05:30,7167.2998046875,7235.0,6853.0498046875,6952.64990234375,4821,0.0,0.0,2024-11-08,7245.939990234375,242.34744166259512,7488.28743189697,7003.59254857178,7730.634873559565,6761.245106909185,-71.74017683706724,-124.1472836879735,279780,4976.800580558518,10566.115284689648,7236.18759312173,39.93989701891898,7013.566569010417,7174.083333333334,6792.133138020834,7395.516764322917,6631.616373697917,7556.033528645834,6410.182942708334,-0.3426488985306574,-84.23924885298949,-126.7610566262747,-123.33310039154304,-3.427956234731653,37.92626603748736,12.258476243198828,7097.47001953125,7245.939990234375,7551.206025390625,7276.728935546875,TATAELXSI.BO,2024-11-19 11:06:36.195191
8,2024-11-07 00:00:00+05:30,7370.0,7380.0,7135.0,7161.4501953125,8884,0.0,0.0,2024-11-07,7278.867504882813,245.12347956725912,7523.990984450072,7033.744025315554,7769.114464017331,6788.620545748295,127.98188369157491,-77.29952793713093,284601,9446.529216533052,11963.443960722429,7236.42112293018,37.28366548567636,7225.4833984375,7315.966796875,7070.966796875,7470.4833984375,6980.4833984375,7560.966796875,6825.966796875,-0.343805823239684,-56.77307408211403,-119.462769745699,-122.47611133286011,3.013341587161108,44.38928767546808,12.68314641997826,7113.16005859375,7278.867504882813,7566.47203125,7277.6719140625,TATAELXSI.BO,2024-11-19 11:06:36.195191
9,2024-11-06 00:00:00+05:30,7050.0,7260.0,7020.0,7231.0498046875,14240,0.0,0.0,2024-11-06,7298.282495117188,250.64931983342476,7548.9318149506125,7047.633175283763,7799.581134784037,6796.9838554503385,73.38113122220861,-96.50699153934646,293485,15288.824251886874,12592.672646769772,7236.535083728574,31.763445829548033,7170.349934895833,7320.699869791666,7080.699869791666,7410.349934895833,6930.349934895833,7560.699869791666,6840.699869791666,-0.31436339320749623,-46.628588501999396,-128.87237418725272,-123.22944672965039,-5.642927457602326,46.86101930883916,12.610369337187382,7088.46005859375,7298.282495117188,7564.971025390625,7276.253061523437,TATAELXSI.BO,2024-11-19 11:06:36.195191
10,2024-11-04 00:00:00+05:30,7120.0498046875,7120.0498046875,6970.0,7034.5,10072,0.0,0.0,2024-11-04,7307.8900146484375,251.6173638112372,7559.507378459674,7056.272650837201,7811.124742270912,6804.655287025963,-57.29448232219731,-138.49089049827086,279245,10519.902079195264,11918.634745490495,7236.548481180505,25.22290217049185,7041.5166015625,7113.033203125,6962.9833984375,7191.56640625,6891.466796875,7263.0830078125,6812.93359375,-0.3736043771729413,-78.3309134819733,-145.821414521517,-121.8187148652498,-24.002699656267197,37.77515887355991,13.15957342168968,7054.71005859375,7307.8900146484375,7559.50203125,7274.644282226563,TATAELXSI.BO,2024-11-19 11:06:36.195191
